Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,651260665,1778079944.418786474,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651260665,1778079944.418786474,1,OK,0.4489518,0.1977387,0.1365921,-0.8606302,91.516,-65.351,-1560.918,0.1613321,3,OK,91.392,-65.437,-1560.989,OK,34.989,9.615,-1539.857,OK,138.208,-0.742,-1519.282,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651260665,1778079944.418786474,1,OK,0.9309062,0.2191080,0.2831015,-0.0725180,-196.607,-110.504,-1543.585,0.2199861,3,OK,-196.399,-110.525,-1543.736,OK,-224.137,-37.943,-1481.442,OK,-274.111,-109.526,-1491.376
3,Port 0x01: JJH Probe  s/n:3E4C880C,651260668,1778079944.468786474,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651260668,1778079944.468786474,1,OK,0.4489496,0.1978898,0.1366751,-0.8605834,91.528,-65.350,-1560.940,0.1737560,3,OK,91.398,-65.452,-1561.020,OK,34.994,9.612,-1539.866,OK,138.216,-0.739,-1519.268,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651260668,1778079944.468786474,1,OK,0.9308975,0.2191068,0.2831380,-0.0724913,-196.601,-110.509,-1543.579,0.2220976,3,OK,-196.388,-110.532,-1543.735,OK,-224.135,-37.953,-1481.431,OK,-274.101,-109.533,-1491.364
3,Port 0x01: JJH Probe  s/n:3E4C880C,651260671,1778079944.518786474,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651260671,1778079944.518786474,1,OK,0.4489755,0.1974016,0.1363493,-0.8607337,91.531,-65.356,-1560.898,0.1528456,3,OK,91.415,-65.437,-1560.964,OK,35.015,9.632,-1539.870,OK,138.238,-0.726,-1519.334,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651260671,1778079944.518786474,1,OK,0.9309017,0.2192698,0.2829970,-0.0724947,-196.570,-110.489,-1543.563,0.2172394,3,OK,-196.365,-110.512,-1543.713,OK,-224.106,-37.939,-1481.401,OK,-274.081,-109.521,-1491.375
3,Port 0x01: JJH Probe  s/n:3E4C880C,651260674,1778079944.568786474,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651260674,1778079944.568786474,1,OK,0.4489342,0.1975696,0.1361302,-0.8607514,91.525,-65.399,-1560.821,0.1622017,3,OK,91.395,-65.472,-1560.887,OK,35.016,9.593,-1539.841,OK,138.239,-0.767,-1519.244,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651260674,1778079944.568786474,1,OK,0.9309351,0.2193927,0.2827942,-0.0724855,-196.557,-110.503,-1543.549,0.2104272,3,OK,-196.361,-110.525,-1543.692,OK,-224.106,-37.958,-1481.385,OK,-274.085,-109.539,-1491.400
3,Port 0x01: JJH Probe  s/n:3E4C880C,651260677,1778079944.618786474,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651260677,1778079944.618786474,1,OK,0.4489344,0.1981561,0.1365730,-0.8605462,91.527,-65.414,-1560.888,0.1816145,3,OK,91.391,-65.521,-1560.972,OK,34.985,9.552,-1539.841,OK,138.206,-0.806,-1519.180,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651260677,1778079944.618786474,1,OK,0.9308701,0.2194450,0.2829510,-0.0725499,-196.599,-110.534,-1543.570,0.2157879,3,OK,-196.396,-110.565,-1543.724,OK,-224.128,-37.991,-1481.382,OK,-274.108,-109.563,-1491.390
3,Port 0x01: JJH Probe  s/n:3E4C880C,651260680,1778079944.668786474,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651260680,1778079944.668786474,1,OK,0.4488979,0.1981273,0.1369206,-0.8605167,91.526,-65.379,-1560.947,0.1908223,3,OK,91.384,-65.500,-1561.038,OK,34.991,9.568,-1539.833,OK,138.213,-0.779,-1519.211,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651260680,1778079944.668786474,1,OK,0.9309113,0.2190361,0.2831432,-0.0725070,-196.595,-110.531,-1543.585,0.2212815,3,OK,-196.383,-110.552,-1543.739,OK,-224.129,-37.969,-1481.448,OK,-274.094,-109.548,-1491.367
3,Port 0x01: JJH Probe  s/n:3E4C880C,651260683,1778079944.718786474,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651260683,1778079944.718786474,1,OK,0.4489978,0.1974901,0.1361941,-0.8607263,91.544,-65.458,-1560.886,0.1552608,3,OK,91.426,-65.542,-1560.954,OK,35.025,9.537,-1539.889,OK,138.240,-0.819,-1519.319,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651260683,1778079944.718786474,1,OK,0.9308856,0.2193566,0.2829691,-0.0725482,-196.555,-110.573,-1543.556,0.2199447,3,OK,-196.348,-110.607,-1543.714,OK,-224.086,-38.020,-1481.377,OK,-274.065,-109.598,-1491.371
3,Port 0x01: JJH Probe  s/n:3E4C880C,651260686,1778079944.768786474,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651260686,1778079944.768786474,1,OK,0.4489682,0.1978411,0.1365160,-0.8606102,91.525,-65.360,-1560.897,0.1699312,3,OK,91.399,-65.461,-1560.975,OK,34.992,9.614,-1539.850,OK,138.211,-0.740,-1519.245,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651260686,1778079944.768786474,1,OK,0.9309460,0.2191571,0.2829182,-0.0725738,-196.590,-110.533,-1543.574,0.2193143,3,OK,-196.385,-110.554,-1543.723,OK,-224.121,-37.960,-1481.438,OK,-274.113,-109.547,-1491.396
3,Port 0x01: JJH Probe  s/n:3E4C880C,651260689,1778079944.818786474,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651260689,1778079944.818786474,1,OK,0.4489994,0.1977698,0.1364109,-0.8606269,91.519,-65.377,-1560.913,0.1718046,3,OK,91.391,-65.482,-1560.994,OK,34.989,9.601,-1539.884,OK,138.202,-0.742,-1519.279,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651260689,1778079944.818786474,1,OK,0.9309051,0.2193479,0.2829145,-0.0725367,-196.590,-110.526,-1543.552,0.2172953,3,OK,-196.384,-110.553,-1543.705,OK,-224.127,-37.977,-1481.384,OK,-274.107,-109.549,-1491.376
3,Port 0x01: JJH Probe  s/n:3E4C880C,651260692,1778079944.868786474,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651260692,1778079944.868786474,1,OK,0.4489658,0.1976872,0.1366613,-0.8606237,91.557,-65.334,-1560.922,0.1648761,3,OK,91.433,-65.429,-1560.997,OK,35.027,9.631,-1539.845,OK,138.250,-0.720,-1519.285,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651260692,1778079944.868786474,1,OK,0.9309165,0.2190774,0.2830920,-0.0725151,-196.561,-110.490,-1543.585,0.2244097,3,OK,-196.346,-110.506,-1543.738,OK,-224.093,-37.932,-1481.451,OK,-274.071,-109.508,-1491.373
