Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,650667139,1778070052.318783205,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650667139,1778070052.318783205,1,OK,0.4279839,0.2443995,0.1629269,-0.8547242,81.016,-82.638,-1567.947,0.2062644,3,OK,80.814,-82.646,-1568.019,OK,25.793,-8.162,-1542.625,OK,127.322,-24.015,-1517.817,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650667139,1778070052.318783205,1,OK,0.8600804,0.1896831,-0.4458857,0.1595867,-144.644,-137.818,-1863.003,0.5588611,3,OK,-144.101,-138.190,-1862.608,OK,-212.894,-73.171,-1896.791,OK,-196.189,-147.519,-1940.224
3,Port 0x01: JJH Probe  s/n:3E4C880C,650667142,1778070052.368783206,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650667142,1778070052.368783206,1,OK,0.4279419,0.2445018,0.1629425,-0.8547130,81.010,-82.695,-1567.981,0.2176120,3,OK,80.800,-82.722,-1568.068,OK,25.790,-8.213,-1542.654,OK,127.321,-24.068,-1517.825,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650667142,1778070052.368783206,1,OK,0.8599322,0.1898892,-0.4460752,0.1596109,-144.651,-137.901,-1862.977,0.5537377,3,OK,-144.112,-138.265,-1862.580,OK,-212.895,-73.247,-1896.751,OK,-196.164,-147.592,-1940.238
3,Port 0x01: JJH Probe  s/n:3E4C880C,650667145,1778070052.418783205,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650667145,1778070052.418783205,1,OK,0.4280044,0.2444050,0.1627040,-0.8547548,81.036,-82.687,-1567.928,0.2104345,3,OK,80.830,-82.690,-1567.999,OK,25.810,-8.199,-1542.650,OK,127.347,-24.051,-1517.811,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650667145,1778070052.418783205,1,OK,0.8598932,0.1896087,-0.4462292,0.1597237,-144.665,-137.857,-1862.998,0.5997022,3,OK,-144.079,-138.242,-1862.555,OK,-212.909,-73.216,-1896.865,OK,-196.173,-147.559,-1940.292
3,Port 0x01: JJH Probe  s/n:3E4C880C,650667148,1778070052.468783205,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650667148,1778070052.468783205,1,OK,0.4279608,0.2444199,0.1628675,-0.8547413,81.022,-82.645,-1567.962,0.2036855,3,OK,80.822,-82.654,-1568.035,OK,25.802,-8.159,-1542.648,OK,127.328,-24.023,-1517.835,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650667148,1778070052.468783205,1,OK,0.8599707,0.1895085,-0.4461178,0.1597367,-144.665,-137.809,-1863.017,0.5791560,3,OK,-144.102,-138.198,-1862.611,OK,-212.909,-73.190,-1896.894,OK,-196.170,-147.505,-1940.250
3,Port 0x01: JJH Probe  s/n:3E4C880C,650667151,1778070052.518783205,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650667151,1778070052.518783205,1,OK,0.4279518,0.2442726,0.1625901,-0.8548407,80.997,-82.740,-1567.934,0.2065120,3,OK,80.793,-82.732,-1567.998,OK,25.792,-8.238,-1542.670,OK,127.323,-24.102,-1517.849,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650667151,1778070052.518783205,1,OK,0.8601446,0.1894040,-0.4458351,0.1597137,-144.654,-137.904,-1863.006,0.5576779,3,OK,-144.117,-138.292,-1862.633,OK,-212.909,-73.290,-1896.856,OK,-196.186,-147.622,-1940.177
3,Port 0x01: JJH Probe  s/n:3E4C880C,650667154,1778070052.568783205,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650667154,1778070052.568783205,1,OK,0.4279976,0.2444536,0.1622694,-0.8548269,81.028,-82.734,-1567.917,0.2183185,3,OK,80.812,-82.707,-1567.974,OK,25.813,-8.229,-1542.727,OK,127.346,-24.085,-1517.825,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650667154,1778070052.568783205,1,OK,0.8598436,0.1902165,-0.4461301,0.1595450,-144.637,-137.929,-1863.021,0.5716460,3,OK,-144.076,-138.273,-1862.578,OK,-212.882,-73.259,-1896.738,OK,-196.175,-147.601,-1940.354
3,Port 0x01: JJH Probe  s/n:3E4C880C,650667157,1778070052.618783206,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650667157,1778070052.618783206,1,OK,0.4280308,0.2444493,0.1623298,-0.8548001,81.044,-82.951,-1567.931,0.2124400,3,OK,80.833,-82.930,-1567.990,OK,25.827,-8.450,-1542.728,OK,127.348,-24.300,-1517.838,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650667157,1778070052.618783206,1,OK,0.8599641,0.1898357,-0.4460057,0.1596969,-144.633,-138.165,-1863.047,0.5601420,3,OK,-144.086,-138.523,-1862.634,OK,-212.886,-73.524,-1896.823,OK,-196.163,-147.883,-1940.320
3,Port 0x01: JJH Probe  s/n:3E4C880C,650667160,1778070052.668783205,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650667160,1778070052.668783205,1,OK,0.4279980,0.2444396,0.1625525,-0.8547770,81.014,-82.983,-1567.963,0.2149294,3,OK,80.802,-82.983,-1568.034,OK,25.794,-8.487,-1542.714,OK,127.325,-24.338,-1517.849,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650667160,1778070052.668783205,1,OK,0.8599957,0.1894229,-0.4460852,0.1597950,-144.663,-138.203,-1863.050,0.5714908,3,OK,-144.106,-138.582,-1862.643,OK,-212.901,-73.595,-1896.930,OK,-196.172,-147.926,-1940.289
3,Port 0x01: JJH Probe  s/n:3E4C880C,650667163,1778070052.718783205,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650667163,1778070052.718783205,1,OK,0.4280120,0.2445091,0.1625524,-0.8547501,81.031,-82.874,-1567.934,0.2188637,3,OK,80.815,-82.878,-1568.010,OK,25.810,-8.382,-1542.687,OK,127.334,-24.225,-1517.807,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650667163,1778070052.718783205,1,OK,0.8602182,0.1897627,-0.4455400,0.1597153,-144.600,-138.073,-1863.041,0.5277798,3,OK,-144.098,-138.454,-1862.710,OK,-212.898,-73.458,-1896.793,OK,-196.151,-147.792,-1940.158
3,Port 0x01: JJH Probe  s/n:3E4C880C,650667166,1778070052.768783205,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650667166,1778070052.768783205,1,OK,0.4279228,0.2447635,0.1629484,-0.8546466,81.058,-82.811,-1568.026,0.2282023,3,OK,80.836,-82.830,-1568.112,OK,25.832,-8.344,-1542.711,OK,127.359,-24.197,-1517.828,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650667166,1778070052.768783205,1,OK,0.8601086,0.1894183,-0.4459076,0.1596881,-144.604,-138.033,-1863.027,0.5620294,3,OK,-144.064,-138.426,-1862.656,OK,-212.858,-73.403,-1896.882,OK,-196.122,-147.746,-1940.206
