Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,650787328,1778072055.468779965,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650787328,1778072055.468779965,1,OK,0.4492130,0.1839159,0.0805425,-0.8705720,88.944,-62.003,-1589.447,0.2495181,3,OK,88.759,-62.182,-1589.557,OK,34.122,16.268,-1578.221,OK,136.593,5.731,-1554.095,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650787328,1778072055.468779965,1,OK,0.9680234,0.2247156,0.1101285,-0.0174705,-230.874,-117.353,-1628.164,0.4220526,3,OK,-230.394,-117.545,-1628.372,OK,-281.202,-45.784,-1580.438,OK,-322.105,-118.851,-1607.497
3,Port 0x01: JJH Probe  s/n:3E4C880C,650787331,1778072055.518779965,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650787331,1778072055.518779965,1,OK,0.4492195,0.1840885,0.0809198,-0.8704971,88.955,-61.949,-1589.488,0.2608777,3,OK,88.764,-62.142,-1589.604,OK,34.116,16.306,-1578.196,OK,136.599,5.776,-1554.076,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650787331,1778072055.518779965,1,OK,0.9679036,0.2251996,0.1101776,-0.0175709,-230.898,-117.302,-1628.203,0.4304236,3,OK,-230.420,-117.508,-1628.418,OK,-281.199,-45.736,-1580.385,OK,-322.121,-118.810,-1607.533
3,Port 0x01: JJH Probe  s/n:3E4C880C,650787334,1778072055.568779965,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650787334,1778072055.568779965,1,OK,0.4492113,0.1841483,0.0810506,-0.8704765,88.980,-62.006,-1589.510,0.2648848,3,OK,88.792,-62.217,-1589.631,OK,34.143,16.253,-1578.191,OK,136.612,5.718,-1554.078,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650787334,1778072055.568779965,1,OK,0.9678738,0.2251607,0.1105214,-0.0175508,-230.884,-117.337,-1628.201,0.4385570,3,OK,-230.395,-117.550,-1628.424,OK,-281.178,-45.780,-1580.352,OK,-322.094,-118.854,-1607.467
3,Port 0x01: JJH Probe  s/n:3E4C880C,650787337,1778072055.618779965,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650787337,1778072055.618779965,1,OK,0.4492187,0.1843160,0.0811339,-0.8704295,88.977,-61.979,-1589.514,0.2631520,3,OK,88.789,-62.179,-1589.632,OK,34.126,16.269,-1578.187,OK,136.605,5.733,-1554.050,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650787337,1778072055.618779965,1,OK,0.9680034,0.2249337,0.1098504,-0.0175281,-230.872,-117.330,-1628.149,0.4182769,3,OK,-230.404,-117.518,-1628.354,OK,-281.191,-45.751,-1580.416,OK,-322.113,-118.829,-1607.540
3,Port 0x01: JJH Probe  s/n:3E4C880C,650787340,1778072055.668779965,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650787340,1778072055.668779965,1,OK,0.4491776,0.1843858,0.0813963,-0.8704114,88.968,-61.974,-1589.513,0.2752494,3,OK,88.774,-62.191,-1589.638,OK,34.116,16.270,-1578.137,OK,136.603,5.732,-1554.013,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650787340,1778072055.668779965,1,OK,0.9679641,0.2247725,0.1105241,-0.0175283,-230.898,-117.321,-1628.202,0.4283364,3,OK,-230.412,-117.522,-1628.417,OK,-281.199,-45.755,-1580.421,OK,-322.109,-118.824,-1607.462
3,Port 0x01: JJH Probe  s/n:3E4C880C,650787343,1778072055.718779965,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650787343,1778072055.718779965,1,OK,0.4491410,0.1843718,0.0813855,-0.8704343,88.962,-62.014,-1589.485,0.2735393,3,OK,88.763,-62.219,-1589.607,OK,34.117,16.226,-1578.112,OK,136.608,5.685,-1553.988,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650787343,1778072055.718779965,1,OK,0.9680104,0.2248193,0.1100231,-0.0175229,-230.888,-117.358,-1628.172,0.4252589,3,OK,-230.405,-117.548,-1628.380,OK,-281.208,-45.786,-1580.441,OK,-322.130,-118.851,-1607.524
3,Port 0x01: JJH Probe  s/n:3E4C880C,650787346,1778072055.768779965,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650787346,1778072055.768779965,1,OK,0.4491595,0.1836650,0.0805588,-0.8706510,88.950,-61.985,-1589.422,0.2426268,3,OK,88.765,-62.154,-1589.528,OK,34.145,16.290,-1578.185,OK,136.619,5.744,-1554.110,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650787346,1778072055.768779965,1,OK,0.9679812,0.2246990,0.1105226,-0.0175346,-230.892,-117.321,-1628.215,0.4294503,3,OK,-230.405,-117.519,-1628.430,OK,-281.190,-45.746,-1580.446,OK,-322.108,-118.824,-1607.476
3,Port 0x01: JJH Probe  s/n:3E4C880C,650787349,1778072055.818779965,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650787349,1778072055.818779965,1,OK,0.4491322,0.1840760,0.0806060,-0.8705739,88.972,-62.019,-1589.451,0.2567896,3,OK,88.782,-62.204,-1589.564,OK,34.157,16.257,-1578.214,OK,136.629,5.705,-1554.067,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650787349,1778072055.818779965,1,OK,0.9678818,0.2252305,0.1103019,-0.0175954,-230.883,-117.344,-1628.240,0.4319682,3,OK,-230.406,-117.556,-1628.458,OK,-281.177,-45.776,-1580.401,OK,-322.095,-118.852,-1607.547
3,Port 0x01: JJH Probe  s/n:3E4C880C,650787352,1778072055.868779965,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650787352,1778072055.868779965,1,OK,0.4491959,0.1840514,0.0805077,-0.8705554,88.955,-62.007,-1589.434,0.2479433,3,OK,88.765,-62.172,-1589.540,OK,34.131,16.257,-1578.221,OK,136.605,5.717,-1554.065,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650787352,1778072055.868779965,1,OK,0.9679250,0.2249171,0.1105720,-0.0175332,-230.901,-117.329,-1628.194,0.4295341,3,OK,-230.417,-117.533,-1628.411,OK,-281.196,-45.768,-1580.383,OK,-322.108,-118.840,-1607.448
3,Port 0x01: JJH Probe  s/n:3E4C880C,650787355,1778072055.918779965,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650787355,1778072055.918779965,1,OK,0.4491430,0.1844240,0.0813203,-0.8704282,88.975,-61.992,-1589.510,0.2678858,3,OK,88.782,-62.201,-1589.632,OK,34.136,16.255,-1578.147,OK,136.605,5.707,-1554.014,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650787355,1778072055.918779965,1,OK,0.9678967,0.2250189,0.1106094,-0.0175517,-230.901,-117.312,-1628.199,0.4324568,3,OK,-230.414,-117.520,-1628.419,OK,-281.193,-45.758,-1580.368,OK,-322.106,-118.822,-1607.445
