Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,656398813,1778165580.218768054,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,656398813,1778165580.218768054,1,OK,0.4441145,0.2293333,0.1766903,-0.8479087,171.847,-70.142,-1556.940,0.2665523,3,OK,171.643,-70.299,-1557.092,OK,114.049,1.724,-1529.590,OK,216.948,-9.633,-1507.782,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,656398813,1778165580.218768054,1,OK,0.9880044,0.0132556,-0.1463966,-0.0473250,-133.208,-114.360,-1843.860,0.6427594,3,OK,-132.721,-115.041,-1843.721,OK,-182.091,-28.194,-1857.593,OK,-221.975,-105.049,-1870.695
3,Port 0x01: JJH Probe  s/n:3E4C880C,656398816,1778165580.268768055,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,656398816,1778165580.268768055,1,OK,0.4440233,0.2299952,0.1774226,-0.8476242,171.873,-70.018,-1557.070,0.2967762,3,OK,171.664,-70.224,-1557.253,OK,114.049,1.801,-1529.599,OK,216.935,-9.565,-1507.747,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,656398816,1778165580.268768055,1,OK,0.9880242,0.0131633,-0.1462627,-0.0473505,-133.214,-114.284,-1843.891,0.6449549,3,OK,-132.733,-114.968,-1843.754,OK,-182.102,-28.119,-1857.626,OK,-221.974,-104.963,-1870.698
3,Port 0x01: JJH Probe  s/n:3E4C880C,656398819,1778165580.318768054,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,656398819,1778165580.318768054,1,OK,0.4441315,0.2296223,0.1769751,-0.8477621,171.865,-70.137,-1556.991,0.2711289,3,OK,171.671,-70.322,-1557.157,OK,114.047,1.715,-1529.591,OK,216.925,-9.648,-1507.769,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,656398819,1778165580.318768054,1,OK,0.9880562,0.0133308,-0.1460352,-0.0473390,-133.197,-114.369,-1843.953,0.6406489,3,OK,-132.726,-115.052,-1843.819,OK,-182.089,-28.189,-1857.634,OK,-221.968,-105.063,-1870.717
3,Port 0x01: JJH Probe  s/n:3E4C880C,656398822,1778165580.368768054,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,656398822,1778165580.368768054,1,OK,0.4440964,0.2298963,0.1772904,-0.8476404,171.919,-70.075,-1557.036,0.2834015,3,OK,171.723,-70.277,-1557.213,OK,114.089,1.754,-1529.586,OK,216.966,-9.612,-1507.745,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,656398822,1778165580.368768054,1,OK,0.9880396,0.0135193,-0.1461462,-0.0472886,-133.164,-114.343,-1843.963,0.6391020,3,OK,-132.679,-115.020,-1843.825,OK,-182.063,-28.177,-1857.625,OK,-221.947,-105.037,-1870.751
3,Port 0x01: JJH Probe  s/n:3E4C880C,656398825,1778165580.418768054,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,656398825,1778165580.418768054,1,OK,0.4440290,0.2300477,0.1775267,-0.8475852,171.896,-70.044,-1557.096,0.2965944,3,OK,171.693,-70.258,-1557.283,OK,114.067,1.771,-1529.605,OK,216.948,-9.598,-1507.759,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,656398825,1778165580.418768054,1,OK,0.9880391,0.0134909,-0.1461379,-0.0473344,-133.174,-114.327,-1843.888,0.6433498,3,OK,-132.694,-115.011,-1843.752,OK,-182.070,-28.151,-1857.555,OK,-221.945,-105.011,-1870.672
3,Port 0x01: JJH Probe  s/n:3E4C880C,656398828,1778165580.468768054,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,656398828,1778165580.468768054,1,OK,0.4440837,0.2298440,0.1772035,-0.8476794,171.877,-70.124,-1557.063,0.2863061,3,OK,171.679,-70.327,-1557.241,OK,114.049,1.715,-1529.625,OK,216.935,-9.653,-1507.783,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,656398828,1778165580.468768054,1,OK,0.9880293,0.0132796,-0.1462316,-0.0473084,-133.197,-114.396,-1843.890,0.6439760,3,OK,-132.716,-115.080,-1843.754,OK,-182.090,-28.223,-1857.602,OK,-221.965,-105.091,-1870.693
3,Port 0x01: JJH Probe  s/n:3E4C880C,656398831,1778165580.518768055,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,656398831,1778165580.518768055,1,OK,0.4441405,0.2295357,0.1770184,-0.8477718,171.885,-70.050,-1556.980,0.2612601,3,OK,171.699,-70.225,-1557.138,OK,114.063,1.800,-1529.571,OK,216.949,-9.567,-1507.773,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,656398831,1778165580.518768055,1,OK,0.9879859,0.0133441,-0.1465003,-0.0473646,-133.199,-114.276,-1843.905,0.6434032,3,OK,-132.712,-114.957,-1843.766,OK,-182.075,-28.103,-1857.633,OK,-221.961,-104.956,-1870.758
3,Port 0x01: JJH Probe  s/n:3E4C880C,656398834,1778165580.568768054,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,656398834,1778165580.568768054,1,OK,0.4441048,0.2296798,0.1768343,-0.8477899,171.870,-70.147,-1556.985,0.2777189,3,OK,171.665,-70.326,-1557.151,OK,114.059,1.710,-1529.615,OK,216.941,-9.653,-1507.760,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,656398834,1778165580.568768054,1,OK,0.9880851,0.0138858,-0.1458069,-0.0472798,-133.170,-114.393,-1843.933,0.6230053,3,OK,-132.714,-115.058,-1843.804,OK,-182.078,-28.221,-1857.495,OK,-221.953,-105.091,-1870.651
3,Port 0x01: JJH Probe  s/n:3E4C880C,656398837,1778165580.618768054,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,656398837,1778165580.618768054,1,OK,0.4440953,0.2297255,0.1771594,-0.8477147,171.840,-70.058,-1556.985,0.2825426,3,OK,171.646,-70.260,-1557.162,OK,114.019,1.787,-1529.551,OK,216.902,-9.579,-1507.729,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,656398837,1778165580.618768054,1,OK,0.9880817,0.0135757,-0.1458409,-0.0473363,-133.204,-114.287,-1843.866,0.6350250,3,OK,-132.750,-114.967,-1843.738,OK,-182.110,-28.109,-1857.486,OK,-221.967,-104.973,-1870.587
3,Port 0x01: JJH Probe  s/n:3E4C880C,656398840,1778165580.668768054,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,656398840,1778165580.668768054,1,OK,0.4440865,0.2294861,0.1773132,-0.8477519,171.866,-70.175,-1557.048,0.2717501,3,OK,171.681,-70.371,-1557.219,OK,114.052,1.666,-1529.577,OK,216.940,-9.701,-1507.822,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,656398840,1778165580.668768054,1,OK,0.9881012,0.0136712,-0.1456873,-0.0473748,-133.162,-114.437,-1843.910,0.6380280,3,OK,-132.710,-115.121,-1843.783,OK,-182.071,-28.248,-1857.497,OK,-221.930,-105.115,-1870.602
