Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086369,1780410372.818695358,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086369,1780410372.818695358,1,OK,0.6978063,0.0595018,0.0385520,-0.7127690,257.413,-39.369,-1764.600,0.2103491,3,OK,257.304,-39.445,-1764.614,OK,168.159,-3.409,-1762.383,OK,259.308,49.695,-1752.125,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086369,1780410372.818695358,1,OK,0.9770492,0.1288969,-0.1260307,-0.1134759,44.683,-76.754,-1905.234,0.3851703,3,OK,45.126,-77.045,-1905.173,OK,4.715,13.818,-1895.384,OK,-43.400,-52.826,-1925.477,Passive Strays,791086369,1780410372.818,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.837,526.844,-2501.466
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086372,1780410372.868695358,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086372,1780410372.868695358,1,OK,0.6977539,0.0597282,0.0386917,-0.7127938,257.398,-39.357,-1764.661,0.2090405,3,OK,257.289,-39.431,-1764.675,OK,168.146,-3.387,-1762.437,OK,259.300,49.699,-1752.140,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086372,1780410372.868695358,1,OK,0.9771128,0.1289539,-0.1254315,-0.1135272,44.673,-76.739,-1905.283,0.3792889,3,OK,45.103,-77.032,-1905.227,OK,4.698,13.824,-1895.367,OK,-43.413,-52.806,-1925.407,Passive Strays,791086372,1780410372.868,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.812,526.837,-2501.457
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086375,1780410372.918695358,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086375,1780410372.918695358,1,OK,0.6978104,0.0595586,0.0382407,-0.7127770,257.405,-39.361,-1764.605,0.2141169,3,OK,257.287,-39.431,-1764.618,OK,168.154,-3.402,-1762.448,OK,259.302,49.709,-1752.161,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086375,1780410372.918695358,1,OK,0.9770712,0.1286665,-0.1261364,-0.1134302,44.679,-76.743,-1905.205,0.3829522,3,OK,45.119,-77.028,-1905.142,OK,4.710,13.827,-1895.406,OK,-43.401,-52.823,-1925.473,Passive Strays,791086375,1780410372.918,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.849,526.849,-2501.554
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086378,1780410372.968695358,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086378,1780410372.968695358,1,OK,0.6978504,0.0600511,0.0387845,-0.7126671,257.441,-39.338,-1764.651,0.2062968,3,OK,257.330,-39.411,-1764.664,OK,168.185,-3.395,-1762.437,OK,259.309,49.709,-1752.077,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086378,1780410372.968695358,1,OK,0.9770522,0.1291364,-0.1257934,-0.1134404,44.711,-76.740,-1905.262,0.3780725,3,OK,45.145,-77.024,-1905.202,OK,4.731,13.817,-1895.349,OK,-43.379,-52.820,-1925.455,Passive Strays,791086378,1780410372.968,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.841,526.820,-2501.406
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086381,1780410373.018695358,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086381,1780410373.018695358,1,OK,0.6977682,0.0592857,0.0383395,-0.7128358,257.412,-39.347,-1764.663,0.2128296,3,OK,257.300,-39.418,-1764.676,OK,168.161,-3.376,-1762.467,OK,259.326,49.724,-1752.242,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086381,1780410373.018695358,1,OK,0.9769964,0.1291703,-0.1261519,-0.1134850,44.679,-76.740,-1905.234,0.3770349,3,OK,45.114,-77.024,-1905.174,OK,4.717,13.834,-1895.344,OK,-43.399,-52.814,-1925.495,Passive Strays,791086381,1780410373.018,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.853,526.855,-2501.552
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086384,1780410373.068695358,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086384,1780410373.068695358,1,OK,0.6977946,0.0598338,0.0384090,-0.7127604,257.422,-39.354,-1764.664,0.2114019,3,OK,257.315,-39.426,-1764.677,OK,168.160,-3.392,-1762.499,OK,259.316,49.706,-1752.164,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086384,1780410373.068695358,1,OK,0.9770729,0.1283870,-0.1264110,-0.1134266,44.669,-76.738,-1905.196,0.3868760,3,OK,45.116,-77.012,-1905.130,OK,4.709,13.824,-1895.477,OK,-43.408,-52.810,-1925.521,Passive Strays,791086384,1780410373.068,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.772,526.800,-2501.317
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086387,1780410373.118695358,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086387,1780410373.118695358,1,OK,0.6977856,0.0598627,0.0388726,-0.7127417,257.433,-39.365,-1764.700,0.2107524,3,OK,257.322,-39.440,-1764.714,OK,168.181,-3.409,-1762.456,OK,259.325,49.689,-1752.139,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086387,1780410373.118695358,1,OK,0.9771301,0.1285900,-0.1257894,-0.1133950,44.709,-76.723,-1905.227,0.3793501,3,OK,45.143,-77.007,-1905.167,OK,4.727,13.837,-1895.412,OK,-43.376,-52.814,-1925.431,Passive Strays,791086387,1780410373.118,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.862,526.842,-2501.503
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086390,1780410373.168663325,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086390,1780410373.168663325,1,OK,0.6978017,0.0602234,0.0386410,-0.7127081,257.409,-39.359,-1764.635,0.2103285,3,OK,257.297,-39.430,-1764.649,OK,168.153,-3.406,-1762.459,OK,259.291,49.690,-1752.057,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086390,1780410373.168663325,1,OK,0.9770208,0.1292711,-0.1258944,-0.1134454,44.670,-76.730,-1905.298,0.3761569,3,OK,45.102,-77.015,-1905.240,OK,4.692,13.829,-1895.371,OK,-43.414,-52.808,-1925.508,Passive Strays,791086390,1780410373.168,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.822,526.854,-2501.494
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086393,1780410373.218663325,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086393,1780410373.218663325,1,OK,0.6978040,0.0599397,0.0389914,-0.7127107,257.422,-39.369,-1764.669,0.2033983,3,OK,257.325,-39.449,-1764.683,OK,168.160,-3.411,-1762.408,OK,259.301,49.675,-1752.084,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086393,1780410373.218663325,1,OK,0.9769668,0.1291902,-0.1264017,-0.1134388,44.686,-76.745,-1905.215,0.3785532,3,OK,45.126,-77.019,-1905.151,OK,4.723,13.816,-1895.349,OK,-43.394,-52.819,-1925.524,Passive Strays,791086393,1780410373.218,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.831,526.830,-2501.445
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086396,1780410373.268663325,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086396,1780410373.268663325,1,OK,0.6978148,0.0599290,0.0391470,-0.7126924,257.431,-39.356,-1764.693,0.2141015,3,OK,257.331,-39.441,-1764.708,OK,168.159,-3.411,-1762.406,OK,259.317,49.697,-1752.088,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086396,1780410373.268663325,1,OK,0.9769869,0.1291657,-0.1262957,-0.1134113,44.683,-76.733,-1905.290,0.3735339,3,OK,45.116,-77.007,-1905.227,OK,4.715,13.827,-1895.418,OK,-43.397,-52.818,-1925.580,Passive Strays,791086396,1780410373.268,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.817,526.808,-2501.382
