Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007013,1780409050,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007013,1780409050,1,OK,0.6905342,0.0107526,-0.0141125,-0.7230821,255.379,-32.202,-1788.225,0.2010813,3,OK,255.287,-32.286,-1788.228,OK,167.133,6.122,-1791.532,OK,259.694,57.643,-1788.573,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007013,1780409050,1,OK,0.8324067,0.0290974,0.5381044,-0.1292135,75.162,-87.923,-1708.539,0.4074687,3,OK,75.349,-87.781,-1708.871,OK,72.331,0.079,-1663.177,OK,38.902,-70.61,-1623.955,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007016,1780409050,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007016,1780409050,1,OK,0.6905512,0.0101082,-0.0140732,-0.723076,255.361,-32.202,-1788.253,0.2042009,3,OK,255.269,-32.283,-1788.255,OK,167.105,6.114,-1791.505,OK,259.68,57.644,-1788.68,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007016,1780409050,1,OK,0.8325147,0.0289582,0.5379281,-0.129283,75.164,-87.936,-1708.525,0.3947317,3,OK,75.342,-87.772,-1708.828,OK,72.32,0.083,-1663.213,OK,38.873,-70.614,-1623.973,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007019,1780409050,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007019,1780409050,1,OK,0.6905765,0.0106017,-0.0139621,-0.7230469,255.375,-32.206,-1788.223,0.2000355,3,OK,255.289,-32.288,-1788.225,OK,167.114,6.109,-1791.492,OK,259.682,57.635,-1788.572,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007019,1780409050,1,OK,0.8323268,0.0289735,0.53826,-0.1291075,75.158,-87.92,-1708.549,0.4435506,3,OK,75.363,-87.769,-1708.917,OK,72.325,0.082,-1663.208,OK,38.897,-70.619,-1623.898,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007022,1780409050,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007022,1780409050,1,OK,0.6906212,0.0106134,-0.0135908,-0.7230111,255.374,-32.209,-1788.259,0.2076008,3,OK,255.291,-32.3,-1788.262,OK,167.1,6.096,-1791.464,OK,259.675,57.644,-1788.561,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007022,1780409050,1,OK,0.8323985,0.0287061,0.5381174,-0.1292995,75.166,-87.941,-1708.497,0.4135747,3,OK,75.351,-87.76,-1708.808,OK,72.333,0.087,-1663.237,OK,38.899,-70.607,-1623.905,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007025,1780409050,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007025,1780409050,1,OK,0.6906768,0.0108617,-0.0137892,-0.7229505,255.379,-32.205,-1788.185,0.1962142,3,OK,255.305,-32.294,-1788.187,OK,167.102,6.095,-1791.444,OK,259.655,57.636,-1788.48,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007025,1780409050,1,OK,0.8323232,0.0288685,0.5382464,-0.1292113,75.168,-87.932,-1708.514,0.4381482,3,OK,75.368,-87.768,-1708.866,OK,72.344,0.077,-1663.207,OK,38.911,-70.613,-1623.874,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007028,1780409050,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007028,1780409050,1,OK,0.6906657,0.0112099,-0.013068,-0.7229692,255.342,-32.215,-1788.298,0.2022123,3,OK,255.266,-32.312,-1788.3,OK,167.064,6.09,-1791.455,OK,259.62,57.637,-1788.458,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007028,1780409050,1,OK,0.832302,0.0291368,0.5382753,-0.1291669,75.129,-87.918,-1708.538,0.4272172,3,OK,75.327,-87.777,-1708.895,OK,72.314,0.075,-1663.162,OK,38.89,-70.613,-1623.911,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007031,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007031,1780409051,1,OK,0.6906566,0.010834,-0.0133089,-0.7229793,255.336,-32.226,-1788.188,0.2000583,3,OK,255.254,-32.319,-1788.19,OK,167.068,6.078,-1791.359,OK,259.617,57.623,-1788.427,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007031,1780409051,1,OK,0.8323691,0.0289245,0.5381744,-0.129203,75.162,-87.935,-1708.539,0.4276059,3,OK,75.359,-87.785,-1708.89,OK,72.329,0.078,-1663.213,OK,38.899,-70.615,-1623.92,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007034,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007034,1780409051,1,OK,0.69072,0.0108052,-0.0127949,-0.7229284,255.379,-32.225,-1788.249,0.1936523,3,OK,255.311,-32.307,-1788.251,OK,167.087,6.071,-1791.328,OK,259.646,57.61,-1788.428,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007034,1780409051,1,OK,0.8324181,0.0290659,0.5380971,-0.129177,75.2,-87.932,-1708.539,0.4064373,3,OK,75.387,-87.79,-1708.872,OK,72.362,0.077,-1663.181,OK,38.935,-70.625,-1623.954,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007037,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007037,1780409051,1,OK,0.6906748,0.0112581,-0.0128685,-0.7229633,255.32,-32.227,-1788.245,0.1997028,3,OK,255.24,-32.319,-1788.247,OK,167.045,6.076,-1791.37,OK,259.595,57.621,-1788.374,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007037,1780409051,1,OK,0.8322767,0.0290188,0.5383186,-0.129176,75.13,-87.921,-1708.55,0.4374082,3,OK,75.332,-87.771,-1708.912,OK,72.317,0.079,-1663.203,OK,38.889,-70.613,-1623.904,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007040,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007040,1780409051,1,OK,0.6906734,0.0107373,-0.0132806,-0.7229652,255.32,-32.224,-1788.21,0.1993486,3,OK,255.238,-32.302,-1788.212,OK,167.041,6.071,-1791.369,OK,259.605,57.615,-1788.457,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007040,1780409051,1,OK,0.8323323,0.0288658,0.5382296,-0.1292232,75.141,-87.94,-1708.503,0.422392,3,OK,75.334,-87.779,-1708.84,OK,72.316,0.076,-1663.193,OK,38.891,-70.619,-1623.886,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007043,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007043,1780409051,1,OK,0.6906532,0.0109153,-0.0133411,-0.7229807,255.369,-32.224,-1788.196,0.1986191,3,OK,255.285,-32.313,-1788.199,OK,167.101,6.08,-1791.379,OK,259.65,57.621,-1788.428,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007043,1780409051,1,OK,0.8323307,0.0288575,0.5382179,-0.1292837,75.19,-87.939,-1708.549,0.4307822,3,OK,75.387,-87.772,-1708.892,OK,72.378,0.082,-1663.257,OK,38.932,-70.617,-1623.919,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007046,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007046,1780409051,1,OK,0.6906726,0.0110133,-0.0130105,-0.7229666,255.344,-32.218,-1788.23,0.2045622,3,OK,255.263,-32.306,-1788.233,OK,167.063,6.078,-1791.363,OK,259.63,57.63,-1788.409,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007046,1780409051,1,OK,0.8323403,0.0289059,0.5382064,-0.1292591,75.17,-87.94,-1708.533,0.4241003,3,OK,75.364,-87.78,-1708.873,OK,72.353,0.076,-1663.223,OK,38.915,-70.62,-1623.914,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007049,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007049,1780409051,1,OK,0.6907272,0.0114788,-0.0131368,-0.722905,255.345,-32.223,-1788.215,0.1953737,3,OK,255.268,-32.312,-1788.218,OK,167.067,6.068,-1791.405,OK,259.604,57.619,-1788.349,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007049,1780409051,1,OK,0.832366,0.0286906,0.5381768,-0.1292649,75.175,-87.954,-1708.503,0.408516,3,OK,75.358,-87.779,-1708.814,OK,72.34,0.077,-1663.235,OK,38.92,-70.622,-1623.912,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007052,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007052,1780409051,1,OK,0.6906486,0.0107988,-0.0136785,-0.7229805,255.341,-32.227,-1788.15,0.2008512,3,OK,255.264,-32.324,-1788.153,OK,167.07,6.08,-1791.385,OK,259.623,57.624,-1788.44,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007052,1780409051,1,OK,0.8323516,0.0290405,0.538203,-0.1291701,75.177,-87.926,-1708.563,0.4274808,3,OK,75.376,-87.786,-1708.921,OK,72.35,0.083,-1663.209,OK,38.919,-70.619,-1623.938,,,,,,,,,,,,
