Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 0x01: JJH Probe  s/n:3E4C880C,790442662,1780399644.368664426,1,OK,0.6654484,0.1915448,0.4850296,0.5340742,176.971,-205.416,-1848.909,0.2519966,3,OK,182.443,-315.741,-1796.986,OK,186.423,-407.512,-1751.457,OK,201.143,-450.738,-1753.954,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790442662,1780399644.368664426,1,OK,0.7019738,0.0691011,0.0165367,-0.7086497,260.287,-34.187,-1792.809,0.1672505,3,OK,260.246,-34.278,-1792.823,OK,170.721,1.080,-1795.279,OK,260.864,55.062,-1781.906,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790442662,1780399644.368664426,1,OK,0.9090296,0.0630223,0.3904799,-0.1312206,48.532,-86.443,-1762.951,0.4892169,3,OK,48.903,-86.327,-1763.289,OK,33.130,1.338,-1719.679,OK,-13.406,-68.626,-1694.819,Passive Strays,790442662,1780399644.368,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790442665,1780399644.418664426,1,OK,0.6657879,0.1906825,0.4852594,0.5337509,177.038,-205.553,-1849.287,0.2509327,3,OK,182.480,-315.769,-1797.162,OK,186.441,-407.492,-1751.451,OK,201.160,-450.687,-1753.859,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790442665,1780399644.418664426,1,OK,0.7019852,0.0696854,0.0171788,-0.7085659,260.295,-34.160,-1792.865,0.1677475,3,OK,260.261,-34.254,-1792.879,OK,170.715,1.095,-1795.268,OK,260.854,55.070,-1781.807,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790442665,1780399644.418664426,1,OK,0.9091366,0.0627051,0.3902613,-0.1312815,48.554,-86.440,-1762.913,0.4860201,3,OK,48.912,-86.292,-1763.228,OK,33.136,1.347,-1719.727,OK,-13.412,-68.597,-1694.824,Passive Strays,790442665,1780399644.418,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790442668,1780399644.468664426,1,OK,0.6654903,0.1911773,0.4859066,0.5333561,176.993,-205.581,-1849.316,0.2630194,3,OK,182.485,-315.782,-1797.174,OK,186.477,-407.492,-1751.421,OK,201.188,-450.701,-1753.869,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790442668,1780399644.468664426,1,OK,0.7019942,0.0695391,0.0167051,-0.7085826,260.281,-34.170,-1792.788,0.1708763,3,OK,260.242,-34.256,-1792.801,OK,170.700,1.083,-1795.264,OK,260.850,55.068,-1781.807,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790442668,1780399644.468664426,1,OK,0.9091467,0.0628896,0.3902253,-0.1312303,48.543,-86.445,-1762.897,0.4850757,3,OK,48.907,-86.317,-1763.224,OK,33.116,1.341,-1719.669,OK,-13.429,-68.616,-1694.809,Passive Strays,790442668,1780399644.468,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790442671,1780399644.518664426,1,OK,0.6653204,0.1911880,0.4853172,0.5341003,176.986,-205.469,-1849.059,0.2352734,3,OK,182.529,-315.758,-1797.049,OK,186.593,-407.505,-1751.488,OK,201.309,-450.690,-1753.917,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790442671,1780399644.518664426,1,OK,0.7019783,0.0695138,0.0172322,-0.7085882,260.272,-34.171,-1792.895,0.1729201,3,OK,260.237,-34.266,-1792.909,OK,170.687,1.084,-1795.276,OK,260.843,55.065,-1781.851,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790442671,1780399644.518664426,1,OK,0.9091157,0.0631762,0.3902224,-0.1313163,48.516,-86.436,-1762.906,0.4807707,3,OK,48.878,-86.313,-1763.232,OK,33.113,1.332,-1719.632,OK,-13.442,-68.605,-1694.819,Passive Strays,790442671,1780399644.518,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790442674,1780399644.568664426,1,OK,0.6651937,0.1914426,0.4855344,0.5339695,176.998,-205.502,-1849.096,0.2590357,3,OK,182.562,-315.793,-1797.103,OK,186.614,-407.529,-1751.506,OK,201.357,-450.744,-1754.000,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790442674,1780399644.568664426,1,OK,0.7019766,0.0694760,0.0171156,-0.7085965,260.303,-34.172,-1792.860,0.1754156,3,OK,260.277,-34.275,-1792.875,OK,170.713,1.089,-1795.259,OK,260.873,55.070,-1781.836,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790442674,1780399644.568664426,1,OK,0.9090818,0.0629196,0.3903843,-0.1311925,48.552,-86.438,-1762.935,0.4934205,3,OK,48.924,-86.312,-1763.270,OK,33.131,1.336,-1719.688,OK,-13.402,-68.613,-1694.817,Passive Strays,790442674,1780399644.568,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790442677,1780399644.618664426,1,OK,0.6652441,0.1915011,0.4862670,0.5332184,177.036,-205.591,-1849.357,0.2797760,3,OK,182.579,-315.791,-1797.229,OK,186.599,-407.505,-1751.452,OK,201.322,-450.713,-1753.953,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790442677,1780399644.618664426,1,OK,0.7020059,0.0695956,0.0169904,-0.7085587,260.305,-34.168,-1792.841,0.1724206,3,OK,260.274,-34.267,-1792.856,OK,170.718,1.085,-1795.271,OK,260.863,55.071,-1781.818,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790442677,1780399644.618664426,1,OK,0.9091056,0.0631534,0.3902758,-0.1312381,48.552,-86.432,-1762.947,0.4780248,3,OK,48.914,-86.318,-1763.277,OK,33.139,1.345,-1719.664,OK,-13.403,-68.616,-1694.853,Passive Strays,790442677,1780399644.618,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790442680,1780399644.668664426,1,OK,0.6654712,0.1910949,0.4849592,0.5342709,177.024,-205.466,-1848.979,0.2270475,3,OK,182.527,-315.781,-1796.998,OK,186.565,-407.533,-1751.489,OK,201.272,-450.717,-1753.900,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790442680,1780399644.668664426,1,OK,0.7019874,0.0692453,0.0171302,-0.7086080,260.281,-34.177,-1792.891,0.1682758,3,OK,260.251,-34.269,-1792.904,OK,170.695,1.081,-1795.268,OK,260.853,55.058,-1781.895,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790442680,1780399644.668664426,1,OK,0.9091499,0.0634892,0.3901370,-0.1311821,48.538,-86.415,-1762.904,0.4716070,3,OK,48.896,-86.303,-1763.229,OK,33.117,1.333,-1719.569,OK,-13.429,-68.623,-1694.832,Passive Strays,790442680,1780399644.668,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790442683,1780399644.718664430,1,OK,0.6652751,0.1910832,0.4854231,0.5340980,176.994,-205.518,-1849.158,0.2548757,3,OK,182.564,-315.767,-1797.143,OK,186.629,-407.538,-1751.503,OK,201.384,-450.729,-1753.976,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790442683,1780399644.718664430,1,OK,0.7020286,0.0695741,0.0177181,-0.7085205,260.308,-34.164,-1792.981,0.1785124,3,OK,260.286,-34.284,-1792.998,OK,170.711,1.083,-1795.281,OK,260.853,55.078,-1781.868,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790442683,1780399644.718664430,1,OK,0.9086990,0.0640719,0.3911439,-0.1310241,48.462,-86.371,-1763.125,0.5698856,3,OK,48.917,-86.332,-1763.573,OK,33.115,1.333,-1719.593,OK,-13.435,-68.618,-1694.813,Passive Strays,790442683,1780399644.718,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790442686,1780399644.768664431,1,OK,0.6651459,0.1916271,0.4854711,0.5340204,176.979,-205.480,-1849.062,0.2614393,3,OK,182.540,-315.767,-1797.125,OK,186.590,-407.561,-1751.538,OK,201.333,-450.769,-1754.064,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790442686,1780399644.768664431,1,OK,0.7019781,0.0690966,0.0173459,-0.7086265,260.273,-34.173,-1792.905,0.1694270,3,OK,260.232,-34.260,-1792.919,OK,170.693,1.078,-1795.233,OK,260.855,55.061,-1781.900,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790442686,1780399644.768664431,1,OK,0.9090107,0.0632851,0.3905008,-0.1311626,48.523,-86.421,-1762.960,0.5081683,3,OK,48.912,-86.316,-1763.320,OK,33.120,1.330,-1719.635,OK,-13.425,-68.617,-1694.806,Passive Strays,790442686,1780399644.768,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790442689,1780399644.818664431,1,OK,0.6650965,0.1920045,0.4857691,0.5336753,176.988,-205.500,-1849.056,0.2846232,3,OK,182.534,-315.809,-1797.107,OK,186.545,-407.554,-1751.495,OK,201.284,-450.787,-1754.072,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790442689,1780399644.818664431,1,OK,0.7019599,0.0698759,0.0175228,-0.7085638,260.276,-34.175,-1792.904,0.1744641,3,OK,260.245,-34.280,-1792.920,OK,170.690,1.082,-1795.262,OK,260.837,55.056,-1781.778,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790442689,1780399644.818664431,1,OK,0.9090638,0.0629919,0.3903950,-0.1312512,48.520,-86.446,-1762.928,0.4913786,3,OK,48.893,-86.331,-1763.268,OK,33.112,1.337,-1719.667,OK,-13.429,-68.616,-1694.808,Passive Strays,790442689,1780399644.818,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
