Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 0x01: JJH Probe  s/n:3E4C880C,790451785,1780399796.418667583,1,OK,0.5040977,0.4731921,-0.4640841,-0.5537154,342.090,-155.667,-1829.803,0.4443455,3,OK,347.892,-33.930,-1825.123,OK,352.497,68.442,-1818.592,OK,351.136,108.120,-1841.759,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790451785,1780399796.418667583,1,OK,0.7020567,0.0709840,0.0183511,-0.7083367,260.310,-34.261,-1792.722,0.1917803,3,OK,260.284,-34.374,-1792.738,OK,170.687,0.947,-1795.026,OK,260.835,54.955,-1781.349,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790451785,1780399796.418667583,1,OK,0.9092400,0.0630323,0.3900025,-0.1311777,48.598,-86.500,-1762.885,0.4701193,3,OK,48.948,-86.366,-1763.195,OK,33.147,1.270,-1719.644,OK,-13.392,-68.685,-1694.842,Passive Strays,790451785,1780399796.418,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790451788,1780399796.468667583,1,OK,0.5035523,0.4738813,-0.4636295,-0.5540030,342.213,-155.680,-1830.350,0.4825935,3,OK,347.989,-33.947,-1825.443,OK,352.581,68.431,-1818.642,OK,351.214,108.102,-1841.807,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790451788,1780399796.468667583,1,OK,0.7020413,0.0709553,0.0182323,-0.7083579,260.309,-34.276,-1792.695,0.1855368,3,OK,260.278,-34.376,-1792.710,OK,170.693,0.935,-1795.017,OK,260.840,54.933,-1781.342,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790451788,1780399796.468667583,1,OK,0.9091723,0.0625612,0.3902105,-0.1312540,48.589,-86.527,-1762.847,0.4795372,3,OK,48.938,-86.371,-1763.151,OK,33.159,1.273,-1719.691,OK,-13.385,-68.688,-1694.772,Passive Strays,790451788,1780399796.468,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790451791,1780399796.518667583,1,OK,0.5044989,0.4721965,-0.4643319,-0.5539921,342.051,-155.790,-1829.639,0.4217541,3,OK,347.981,-34.062,-1825.128,OK,352.693,68.321,-1818.787,OK,351.343,107.981,-1841.957,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790451791,1780399796.518667583,1,OK,0.7020885,0.0700844,0.0175224,-0.7084158,260.309,-34.274,-1792.612,0.1752715,3,OK,260.276,-34.355,-1792.624,OK,170.695,0.938,-1794.990,OK,260.850,54.940,-1781.460,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790451791,1780399796.518667583,1,OK,0.9092004,0.0627886,0.3900985,-0.1312837,48.591,-86.521,-1762.855,0.4759117,3,OK,48.939,-86.368,-1763.158,OK,33.164,1.263,-1719.668,OK,-13.389,-68.684,-1694.797,Passive Strays,790451791,1780399796.518,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790451794,1780399796.568667583,1,OK,0.5035384,0.4738272,-0.4644056,-0.5534115,342.262,-155.964,-1830.252,0.4279779,3,OK,348.060,-34.232,-1825.493,OK,352.652,68.171,-1818.935,OK,351.340,107.796,-1842.023,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790451794,1780399796.568667583,1,OK,0.7020832,0.0703024,0.0173479,-0.7084037,260.300,-34.270,-1792.545,0.1799566,3,OK,260.257,-34.352,-1792.558,OK,170.695,0.939,-1794.971,OK,260.840,54.952,-1781.386,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790451794,1780399796.568667583,1,OK,0.9091238,0.0630997,0.3902677,-0.1311620,48.584,-86.499,-1762.874,0.4873797,3,OK,48.954,-86.384,-1763.211,OK,33.150,1.267,-1719.595,OK,-13.380,-68.683,-1694.776,Passive Strays,790451794,1780399796.568,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790451797,1780399796.618667583,1,OK,0.5034413,0.4741436,-0.4647158,-0.5529683,342.246,-155.988,-1830.176,0.4453679,3,OK,347.996,-34.244,-1825.458,OK,352.549,68.133,-1818.894,OK,351.245,107.785,-1842.051,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790451797,1780399796.618667583,1,OK,0.7020366,0.0700051,0.0175249,-0.7084750,260.302,-34.282,-1792.595,0.1822935,3,OK,260.263,-34.366,-1792.609,OK,170.694,0.939,-1794.967,OK,260.863,54.943,-1781.451,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790451797,1780399796.618667583,1,OK,0.9091548,0.0626231,0.3902394,-0.1312599,48.594,-86.527,-1762.859,0.4873965,3,OK,48.953,-86.377,-1763.174,OK,33.166,1.266,-1719.687,OK,-13.379,-68.682,-1694.772,Passive Strays,790451797,1780399796.618,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790451800,1780399796.668667583,1,OK,0.5039281,0.4737308,-0.4644447,-0.5531065,342.174,-155.985,-1829.748,0.4315026,3,OK,347.898,-34.242,-1825.085,OK,352.429,68.131,-1818.595,OK,351.087,107.802,-1841.744,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790451800,1780399796.668667583,1,OK,0.7020811,0.0707257,0.0178760,-0.7083505,260.297,-34.257,-1792.631,0.1846111,3,OK,260.263,-34.355,-1792.646,OK,170.683,0.950,-1794.998,OK,260.823,54.961,-1781.352,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790451800,1780399796.668667583,1,OK,0.9092872,0.0626481,0.3899411,-0.1312169,48.603,-86.519,-1762.803,0.4735775,3,OK,48.946,-86.358,-1763.098,OK,33.145,1.269,-1719.648,OK,-13.402,-68.685,-1694.773,Passive Strays,790451800,1780399796.668,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790451803,1780399796.718667581,1,OK,0.5042621,0.4731129,-0.4636837,-0.5539687,342.156,-155.994,-1829.951,0.4321368,3,OK,347.934,-34.251,-1825.218,OK,352.518,68.115,-1818.668,OK,351.131,107.789,-1841.783,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790451803,1780399796.718667581,1,OK,0.7020383,0.0701739,0.0176135,-0.7084544,260.287,-34.284,-1792.588,0.1854983,3,OK,260.245,-34.374,-1792.602,OK,170.684,0.934,-1794.957,OK,260.843,54.945,-1781.411,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790451803,1780399796.718667581,1,OK,0.9091480,0.0631393,0.3901817,-0.1312308,48.582,-86.508,-1762.859,0.4839877,3,OK,48.947,-86.387,-1763.189,OK,33.158,1.260,-1719.587,OK,-13.390,-68.687,-1694.775,Passive Strays,790451803,1780399796.718,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790451806,1780399796.768667581,1,OK,0.5040753,0.4734926,-0.4637832,-0.5537310,342.204,-155.967,-1830.034,0.4117996,3,OK,347.944,-34.218,-1825.261,OK,352.488,68.154,-1818.723,OK,351.116,107.804,-1841.771,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790451806,1780399796.768667581,1,OK,0.7020824,0.0704692,0.0180539,-0.7083703,260.331,-34.244,-1792.662,0.1850526,3,OK,260.306,-34.347,-1792.677,OK,170.708,0.966,-1794.978,OK,260.861,54.975,-1781.394,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790451806,1780399796.768667581,1,OK,0.9091306,0.0630771,0.3902178,-0.1312737,48.591,-86.508,-1762.881,0.4927009,3,OK,48.968,-86.401,-1763.227,OK,33.172,1.276,-1719.614,OK,-13.383,-68.673,-1694.783,Passive Strays,790451806,1780399796.768,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790451809,1780399796.818667581,1,OK,0.5040206,0.4734046,-0.4636953,-0.5539295,342.228,-155.970,-1830.123,0.4142461,3,OK,348.001,-34.231,-1825.323,OK,352.574,68.143,-1818.756,OK,351.205,107.812,-1841.804,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790451809,1780399796.818667581,1,OK,0.7020359,0.0700011,0.0170929,-0.7084866,260.287,-34.266,-1792.538,0.1769931,3,OK,260.246,-34.341,-1792.550,OK,170.687,0.960,-1794.985,OK,260.848,54.957,-1781.450,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790451809,1780399796.818667581,1,OK,0.9092042,0.0630445,0.3900682,-0.1312250,48.584,-86.499,-1762.886,0.4710292,3,OK,48.935,-86.366,-1763.198,OK,33.148,1.273,-1719.642,OK,-13.395,-68.679,-1694.833,Passive Strays,790451809,1780399796.818,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790451812,1780399796.868667581,1,OK,0.5041191,0.4730829,-0.4637210,-0.5540933,342.143,-155.973,-1829.962,0.4128588,3,OK,347.964,-34.239,-1825.199,OK,352.580,68.139,-1818.667,OK,351.213,107.809,-1841.725,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790451812,1780399796.868667581,1,OK,0.7020495,0.0700862,0.0173618,-0.7084582,260.297,-34.274,-1792.555,0.1802661,3,OK,260.272,-34.365,-1792.568,OK,170.682,0.954,-1794.962,OK,260.847,54.951,-1781.422,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790451812,1780399796.868667581,1,OK,0.9093254,0.0626933,0.3898150,-0.1313054,48.613,-86.530,-1762.791,0.4465493,3,OK,48.933,-86.369,-1763.062,OK,33.163,1.272,-1719.639,OK,-13.384,-68.691,-1694.802,Passive Strays,790451812,1780399796.868,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
