Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 0x01: JJH Probe  s/n:3E4C880C,795427972,1780482732.868660058,1,OK,0.4333499,0.4610186,-0.4598939,-0.6230307,336.973,-155.197,-1804.265,0.3417788,3,OK,361.745,-37.230,-1784.915,OK,382.245,61.466,-1766.321,OK,386.934,103.395,-1784.168,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795427972,1780482732.868660058,1,OK,0.6943700,0.0417502,0.0258840,-0.7179396,259.622,-37.006,-1768.759,0.2175682,3,OK,259.412,-36.975,-1768.761,OK,170.935,0.081,-1767.352,OK,262.696,52.415,-1760.135,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795427972,1780482732.868660058,1,OK,0.8581346,0.3835278,-0.3315631,-0.0811015,50.797,-78.456,-1921.067,0.5411067,3,OK,51.329,-78.787,-1920.789,OK,-3.279,0.324,-1893.321,OK,-21.151,-41.559,-1968.636,Passive Strays,795427972,1780482732.868,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,795427975,1780482732.918660058,1,OK,0.4333454,0.4602869,-0.4589051,-0.6243026,337.011,-155.179,-1804.360,0.3155345,3,OK,361.945,-37.265,-1784.862,OK,382.578,61.383,-1766.206,OK,387.260,103.325,-1783.922,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795427975,1780482732.918660058,1,OK,0.6943372,0.0413810,0.0255444,-0.7180048,259.628,-37.005,-1768.721,0.2255476,3,OK,259.404,-36.967,-1768.722,OK,170.958,0.090,-1767.345,OK,262.717,52.424,-1760.187,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795427975,1780482732.918660058,1,OK,0.8582645,0.3834564,-0.3313453,-0.0809536,50.853,-78.435,-1920.960,0.5223101,3,OK,51.374,-78.759,-1920.686,OK,-3.251,0.306,-1893.257,OK,-21.110,-41.563,-1968.470,Passive Strays,795427975,1780482732.918,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,795427978,1780482732.968660051,1,OK,0.4324465,0.4609461,-0.4592458,-0.6241890,337.027,-155.172,-1804.529,0.3601615,3,OK,362.003,-37.298,-1784.898,OK,382.686,61.330,-1766.028,OK,387.416,103.276,-1783.809,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795427978,1780482732.968660051,1,OK,0.6943806,0.0413498,0.0249739,-0.7179847,259.621,-37.024,-1768.646,0.2281017,3,OK,259.392,-36.990,-1768.648,OK,170.955,0.067,-1767.369,OK,262.698,52.418,-1760.187,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795427978,1780482732.968660051,1,OK,0.8580638,0.3833103,-0.3320483,-0.0808928,50.803,-78.462,-1920.911,0.5685434,3,OK,51.350,-78.778,-1920.593,OK,-3.262,0.308,-1893.270,OK,-21.132,-41.561,-1968.602,Passive Strays,795427978,1780482732.968,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,795427981,1780482733.018660057,1,OK,0.4326479,0.4608548,-0.4593570,-0.6240351,336.976,-155.187,-1804.338,0.3616568,3,OK,361.928,-37.305,-1784.774,OK,382.593,61.335,-1765.950,OK,387.317,103.299,-1783.767,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795427981,1780482733.018660057,1,OK,0.6943675,0.0421069,0.0261008,-0.7179134,259.609,-37.013,-1768.756,0.2154938,3,OK,259.397,-36.995,-1768.760,OK,170.931,0.076,-1767.338,OK,262.668,52.409,-1760.060,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795427981,1780482733.018660057,1,OK,0.8579958,0.3836886,-0.3317292,-0.0811295,50.785,-78.461,-1920.990,0.5438089,3,OK,51.312,-78.785,-1920.707,OK,-3.284,0.313,-1893.223,OK,-21.148,-41.549,-1968.591,Passive Strays,795427981,1780482733.018,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,795427984,1780482733.068660057,1,OK,0.4328992,0.4601578,-0.4585640,-0.6249577,337.069,-155.173,-1804.615,0.3349094,3,OK,362.120,-37.323,-1784.988,OK,382.870,61.314,-1766.174,OK,387.568,103.253,-1783.885,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795427984,1780482733.068660057,1,OK,0.6943513,0.0413331,0.0253402,-0.7180012,259.613,-37.022,-1768.637,0.2201810,3,OK,259.395,-36.998,-1768.640,OK,170.944,0.080,-1767.294,OK,262.692,52.417,-1760.134,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795427984,1780482733.068660057,1,OK,0.8580401,0.3839348,-0.3313182,-0.0811759,50.836,-78.447,-1921.055,0.5342821,3,OK,51.359,-78.784,-1920.795,OK,-3.261,0.317,-1893.200,OK,-21.126,-41.552,-1968.573,Passive Strays,795427984,1780482733.068,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,795427987,1780482733.118660057,1,OK,0.4329725,0.4596103,-0.4587283,-0.6251892,337.118,-155.178,-1804.594,0.3640511,3,OK,362.275,-37.332,-1785.062,OK,383.121,61.286,-1766.264,OK,387.827,103.224,-1784.074,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795427987,1780482733.118660057,1,OK,0.6943538,0.0416143,0.0251159,-0.7179905,259.642,-37.019,-1768.629,0.2242597,3,OK,259.418,-36.982,-1768.631,OK,170.975,0.079,-1767.347,OK,262.721,52.412,-1760.118,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795427987,1780482733.118660057,1,OK,0.8581627,0.3837732,-0.3311716,-0.0812425,50.862,-78.459,-1921.070,0.5240426,3,OK,51.387,-78.804,-1920.818,OK,-3.233,0.309,-1893.248,OK,-21.102,-41.556,-1968.530,Passive Strays,795427987,1780482733.118,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,795427990,1780482733.168660057,1,OK,0.4340464,0.4578706,-0.4584488,-0.6259256,336.928,-155.186,-1804.197,0.3271686,3,OK,362.243,-37.319,-1784.924,OK,383.211,61.284,-1766.425,OK,387.891,103.226,-1784.231,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795427990,1780482733.168660057,1,OK,0.6943539,0.0417124,0.0259247,-0.7179559,259.610,-37.010,-1768.729,0.2227460,3,OK,259.394,-36.990,-1768.732,OK,170.933,0.080,-1767.312,OK,262.687,52.425,-1760.104,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795427990,1780482733.168660057,1,OK,0.8580654,0.3839138,-0.3312840,-0.0811471,50.825,-78.441,-1921.087,0.5286117,3,OK,51.344,-78.780,-1920.835,OK,-3.280,0.328,-1893.231,OK,-21.133,-41.559,-1968.599,Passive Strays,795427990,1780482733.168,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,795427993,1780482733.218660057,1,OK,0.4333078,0.4591691,-0.4588148,-0.6252176,336.986,-155.175,-1804.430,0.3423516,3,OK,362.172,-37.306,-1784.999,OK,383.033,61.310,-1766.339,OK,387.737,103.233,-1784.128,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795427993,1780482733.218660057,1,OK,0.6943747,0.0416853,0.0258934,-0.7179384,259.612,-37.006,-1768.722,0.2167071,3,OK,259.400,-36.995,-1768.726,OK,170.938,0.087,-1767.308,OK,262.674,52.429,-1760.105,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795427993,1780482733.218660057,1,OK,0.8580380,0.3835403,-0.3318377,-0.0809404,50.803,-78.451,-1920.939,0.5571931,3,OK,51.338,-78.771,-1920.641,OK,-3.277,0.319,-1893.219,OK,-21.140,-41.564,-1968.592,Passive Strays,795427993,1780482733.218,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,795427996,1780482733.268660057,1,OK,0.4330097,0.4596166,-0.4595144,-0.6245812,337.039,-155.200,-1804.297,0.3835501,3,OK,362.191,-37.312,-1784.925,OK,383.026,61.290,-1766.222,OK,387.759,103.239,-1784.145,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795427996,1780482733.268660057,1,OK,0.6943829,0.0417773,0.0254479,-0.7179412,259.628,-37.012,-1768.661,0.2267673,3,OK,259.406,-36.977,-1768.663,OK,170.948,0.071,-1767.333,OK,262.704,52.419,-1760.087,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795427996,1780482733.268660057,1,OK,0.8580468,0.3837816,-0.3315118,-0.0810387,50.838,-78.453,-1921.032,0.5490168,3,OK,51.377,-78.797,-1920.759,OK,-3.269,0.317,-1893.235,OK,-21.120,-41.565,-1968.599,Passive Strays,795427996,1780482733.268,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,795427999,1780482733.318660057,1,OK,0.4331732,0.4592704,-0.4588870,-0.6251835,336.980,-155.184,-1804.279,0.3609309,3,OK,362.173,-37.311,-1784.835,OK,383.039,61.276,-1766.125,OK,387.751,103.223,-1783.958,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795427999,1780482733.318660057,1,OK,0.6943496,0.0416753,0.0256730,-0.7179712,259.622,-37.013,-1768.692,0.2213606,3,OK,259.406,-36.990,-1768.695,OK,170.947,0.083,-1767.316,OK,262.700,52.422,-1760.103,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795427999,1780482733.318660057,1,OK,0.8582077,0.3836549,-0.3312101,-0.0811686,50.838,-78.442,-1921.082,0.5167384,3,OK,51.355,-78.775,-1920.826,OK,-3.255,0.317,-1893.300,OK,-21.123,-41.549,-1968.551,Passive Strays,795427999,1780482733.318,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,795428002,1780482733.368660057,1,OK,0.4332109,0.4594742,-0.4585977,-0.6252199,337.022,-155.191,-1804.433,0.3521721,3,OK,362.159,-37.333,-1784.926,OK,382.983,61.280,-1766.174,OK,387.676,103.236,-1783.969,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795428002,1780482733.368660057,1,OK,0.6943838,0.0415849,0.0254200,-0.7179524,259.614,-37.019,-1768.659,0.2186587,3,OK,259.398,-36.994,-1768.662,OK,170.939,0.074,-1767.321,OK,262.681,52.416,-1760.114,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795428002,1780482733.368660057,1,OK,0.8582336,0.3833127,-0.3315990,-0.0809233,50.814,-78.455,-1920.949,0.5464078,3,OK,51.357,-78.788,-1920.658,OK,-3.280,0.308,-1893.289,OK,-21.142,-41.570,-1968.522,Passive Strays,795428002,1780482733.368,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
