Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434029,1780482833.818651760,1,OK,0.8070648,0.1819408,0.3117564,0.4672814,213.197,-186.462,-1842.745,0.1882071,3,OK,168.885,-293.444,-1803.678,OK,131.204,-382.185,-1769.648,OK,132.685,-427.593,-1771.139,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434029,1780482833.818651760,1,OK,0.6938309,0.0392285,0.0237647,-0.7186759,259.945,-36.661,-1769.532,0.2134565,3,OK,259.735,-36.647,-1769.536,OK,171.342,0.608,-1768.299,OK,263.176,52.819,-1761.495,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434029,1780482833.818651760,1,OK,0.8580522,0.3839621,-0.3312520,-0.0811896,50.879,-78.401,-1921.037,0.5394458,3,OK,51.400,-78.731,-1920.771,OK,-3.208,0.360,-1893.154,OK,-21.099,-41.516,-1968.565,Passive Strays,795434029,1780482833.818,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.170,-194.496,-1780.003
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434032,1780482833.868651760,1,OK,0.8077539,0.1790577,0.3097003,0.4685699,213.294,-186.568,-1842.923,0.1966069,3,OK,168.971,-293.559,-1803.923,OK,131.317,-382.363,-1769.996,OK,132.859,-427.734,-1771.322,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434032,1780482833.868651760,1,OK,0.6938348,0.0385879,0.0235071,-0.7187153,259.955,-36.668,-1769.496,0.2136447,3,OK,259.750,-36.659,-1769.500,OK,171.346,0.605,-1768.260,OK,263.197,52.826,-1761.573,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434032,1780482833.868651760,1,OK,0.8581310,0.3833981,-0.3317691,-0.0809096,50.872,-78.401,-1920.926,0.5588940,3,OK,51.412,-78.721,-1920.622,OK,-3.205,0.365,-1893.237,OK,-21.083,-41.521,-1968.568,Passive Strays,795434032,1780482833.868,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.205,-194.500,-1780.009
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434035,1780482833.918651760,1,OK,0.8075481,0.1801200,0.3104545,0.4680180,213.247,-186.592,-1843.105,0.1778681,3,OK,168.923,-293.566,-1804.086,OK,131.193,-382.335,-1770.070,OK,132.767,-427.736,-1771.510,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434035,1780482833.918651760,1,OK,0.6938273,0.0390640,0.0244226,-0.7186663,259.932,-36.655,-1769.602,0.2151734,3,OK,259.724,-36.651,-1769.606,OK,171.324,0.606,-1768.240,OK,263.167,52.827,-1761.504,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434035,1780482833.918651760,1,OK,0.8582633,0.3837406,-0.3309562,-0.0812112,50.875,-78.392,-1921.009,0.5149886,3,OK,51.391,-78.730,-1920.761,OK,-3.222,0.365,-1893.174,OK,-21.110,-41.513,-1968.440,Passive Strays,795434035,1780482833.918,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.138,-194.496,-1780.062
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434038,1780482833.968651760,1,OK,0.8084678,0.1792668,0.3089544,0.4677503,213.264,-186.649,-1842.990,0.1821337,3,OK,168.655,-293.552,-1804.084,OK,130.684,-382.251,-1770.167,OK,132.206,-427.649,-1771.581,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434038,1780482833.968651760,1,OK,0.6938310,0.0383598,0.0234645,-0.7187326,259.945,-36.673,-1769.514,0.2173626,3,OK,259.737,-36.664,-1769.517,OK,171.337,0.600,-1768.268,OK,263.195,52.827,-1761.625,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434038,1780482833.968651760,1,OK,0.8581254,0.3838485,-0.3311986,-0.0811699,50.881,-78.408,-1921.017,0.5412985,3,OK,51.410,-78.743,-1920.747,OK,-3.208,0.349,-1893.166,OK,-21.107,-41.520,-1968.528,Passive Strays,795434038,1780482833.968,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.221,-194.501,-1780.058
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434041,1780482834.018651755,1,OK,0.8096640,0.1781747,0.3065682,0.4676687,213.477,-186.941,-1843.029,0.1786796,3,OK,168.510,-293.787,-1804.383,OK,130.170,-382.405,-1770.630,OK,131.706,-427.836,-1772.098,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434041,1780482834.018651755,1,OK,0.6938482,0.0392247,0.0239164,-0.7186544,259.949,-36.665,-1769.571,0.2260829,3,OK,259.733,-36.659,-1769.575,OK,171.337,0.588,-1768.312,OK,263.189,52.831,-1761.514,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434041,1780482834.018651755,1,OK,0.8582567,0.3831854,-0.3316970,-0.0808801,50.868,-78.404,-1920.840,0.5559677,3,OK,51.409,-78.722,-1920.532,OK,-3.205,0.359,-1893.199,OK,-21.096,-41.530,-1968.464,Passive Strays,795434041,1780482834.018,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.192,-194.506,-1780.048
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434044,1780482834.068651755,1,OK,0.8112578,0.1743599,0.3036206,0.4682670,213.778,-187.407,-1842.923,0.1781396,3,OK,168.523,-294.141,-1804.318,OK,129.945,-382.685,-1770.625,OK,131.505,-428.101,-1771.893,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434044,1780482834.068651755,1,OK,0.6938494,0.0395057,0.0237086,-0.7186447,259.960,-36.673,-1769.548,0.2219334,3,OK,259.743,-36.665,-1769.553,OK,171.354,0.585,-1768.347,OK,263.188,52.816,-1761.481,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434044,1780482834.068651755,1,OK,0.8581958,0.3834175,-0.3315844,-0.0808873,50.880,-78.409,-1920.886,0.5526543,3,OK,51.418,-78.728,-1920.585,OK,-3.208,0.339,-1893.194,OK,-21.093,-41.535,-1968.487,Passive Strays,795434044,1780482834.068,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.143,-194.533,-1780.043
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434047,1780482834.118651755,1,OK,0.8125582,0.1739822,0.3032677,0.4663775,214.281,-188.147,-1842.514,0.1834691,3,OK,168.538,-294.630,-1803.754,OK,129.552,-382.923,-1769.934,OK,130.935,-428.361,-1771.124,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434047,1780482834.118651755,1,OK,0.6938357,0.0394650,0.0236048,-0.7186636,259.943,-36.688,-1769.558,0.2223242,3,OK,259.731,-36.674,-1769.562,OK,171.327,0.572,-1768.373,OK,263.183,52.800,-1761.510,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434047,1780482834.118651755,1,OK,0.8581447,0.3838312,-0.3311764,-0.0811382,50.876,-78.421,-1921.009,0.5393294,3,OK,51.402,-78.750,-1920.736,OK,-3.213,0.330,-1893.163,OK,-21.116,-41.540,-1968.521,Passive Strays,795434047,1780482834.118,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.141,-194.532,-1780.053
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434050,1780482834.168651755,1,OK,0.8155892,0.1685418,0.2984205,0.4662115,214.784,-189.246,-1842.456,0.1739927,3,OK,168.306,-295.428,-1803.789,OK,128.733,-383.513,-1770.098,OK,130.000,-428.950,-1770.966,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434050,1780482834.168651755,1,OK,0.6938335,0.0393319,0.0236489,-0.7186715,259.929,-36.691,-1769.520,0.2255300,3,OK,259.707,-36.673,-1769.524,OK,171.328,0.566,-1768.316,OK,263.169,52.795,-1761.484,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434050,1780482834.168651755,1,OK,0.8581137,0.3836071,-0.3315418,-0.0810343,50.869,-78.425,-1920.968,0.5556591,3,OK,51.405,-78.750,-1920.677,OK,-3.209,0.341,-1893.201,OK,-21.103,-41.540,-1968.566,Passive Strays,795434050,1780482834.168,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.119,-194.534,-1779.994
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434053,1780482834.218651755,1,OK,0.8174087,0.1648968,0.2959452,0.4659061,215.319,-190.343,-1842.403,0.1865697,3,OK,168.423,-296.339,-1803.656,OK,128.476,-384.200,-1769.899,OK,129.745,-429.649,-1770.583,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434053,1780482834.218651755,1,OK,0.6938354,0.0395306,0.0239393,-0.7186492,259.936,-36.707,-1769.494,0.2216361,3,OK,259.721,-36.687,-1769.498,OK,171.323,0.547,-1768.255,OK,263.174,52.770,-1761.396,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434053,1780482834.218651755,1,OK,0.8581485,0.3838772,-0.3311270,-0.0810821,50.889,-78.425,-1921.019,0.5371668,3,OK,51.420,-78.763,-1920.751,OK,-3.224,0.315,-1893.183,OK,-21.105,-41.545,-1968.507,Passive Strays,795434053,1780482834.218,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.164,-194.535,-1780.111
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434056,1780482834.268651755,1,OK,0.8184915,0.1616846,0.2943171,0.4661622,215.728,-191.485,-1842.153,0.1710471,3,OK,168.676,-297.336,-1803.297,OK,128.567,-385.143,-1769.436,OK,129.874,-430.580,-1769.933,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434056,1780482834.268651755,1,OK,0.6938682,0.0390551,0.0243316,-0.7186303,259.939,-36.704,-1769.621,0.2177078,3,OK,259.732,-36.705,-1769.625,OK,171.321,0.547,-1768.276,OK,263.168,52.786,-1761.535,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434056,1780482834.268651755,1,OK,0.8580830,0.3836681,-0.3315681,-0.0809626,50.875,-78.434,-1920.977,0.5694250,3,OK,51.426,-78.765,-1920.674,OK,-3.216,0.316,-1893.215,OK,-21.110,-41.546,-1968.587,Passive Strays,795434056,1780482834.268,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.164,-194.539,-1780.028
