Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,806142274,1780661304.568595004,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806142274,1780661304.568595004,1,OK,0.7199740,0.0907690,0.3356615,-0.6006078,251.427,-18.511,-1554.931,0.3701822,3,OK,251.039,-18.656,-1554.841,OK,166.710,-14.517,-1510.296,OK,246.709,53.837,-1501.655,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806142274,1780661304.568595004,1,OK,0.8419885,0.2942746,-0.4025827,-0.2058759,58.458,13.476,-1786.531,0.4935008,3,OK,58.813,12.980,-1786.293,OK,32.735,107.414,-1765.794,OK,3.077,68.160,-1838.697
3,Port 0x01: JJH Probe  s/n:3E4C880C,806142277,1780661304.618595004,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806142277,1780661304.618595004,1,OK,0.7200915,0.0907541,0.3352050,-0.6007242,251.453,-18.527,-1554.902,0.3890482,3,OK,251.033,-18.650,-1554.782,OK,166.720,-14.508,-1510.346,OK,246.721,53.851,-1501.691,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806142277,1780661304.618595004,1,OK,0.8419771,0.2940589,-0.4028257,-0.2057556,58.460,13.480,-1786.509,0.5068194,3,OK,58.827,12.983,-1786.251,OK,32.743,107.418,-1765.838,OK,3.090,68.158,-1838.741
3,Port 0x01: JJH Probe  s/n:3E4C880C,806142280,1780661304.668595004,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806142280,1780661304.668595004,1,OK,0.7200869,0.0906341,0.3351748,-0.6007646,251.449,-18.531,-1554.903,0.3838405,3,OK,251.035,-18.655,-1554.786,OK,166.718,-14.500,-1510.334,OK,246.719,53.857,-1501.708,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806142280,1780661304.668595004,1,OK,0.8418626,0.2940544,-0.4030598,-0.2057722,58.433,13.474,-1786.482,0.5139780,3,OK,58.802,12.985,-1786.215,OK,32.740,107.415,-1765.807,OK,3.085,68.157,-1838.770
3,Port 0x01: JJH Probe  s/n:3E4C880C,806142283,1780661304.718595004,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806142283,1780661304.718595004,1,OK,0.7200276,0.0906498,0.3353975,-0.6007091,251.435,-18.508,-1554.908,0.3779320,3,OK,251.030,-18.636,-1554.799,OK,166.714,-14.492,-1510.306,OK,246.715,53.861,-1501.685,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806142283,1780661304.718595004,1,OK,0.8419440,0.2941217,-0.4028285,-0.2057957,58.454,13.481,-1786.503,0.4996474,3,OK,58.816,12.989,-1786.251,OK,32.738,107.416,-1765.820,OK,3.094,68.165,-1838.722
3,Port 0x01: JJH Probe  s/n:3E4C880C,806142286,1780661304.768595004,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806142286,1780661304.768595004,1,OK,0.7199366,0.0907628,0.3357482,-0.6006051,251.439,-18.491,-1554.945,0.3651548,3,OK,251.060,-18.642,-1554.865,OK,166.728,-14.493,-1510.291,OK,246.723,53.852,-1501.657,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806142286,1780661304.768595004,1,OK,0.8419084,0.2939137,-0.4030760,-0.2057541,58.449,13.476,-1786.491,0.5130383,3,OK,58.821,12.980,-1786.222,OK,32.752,107.416,-1765.864,OK,3.109,68.164,-1838.769
3,Port 0x01: JJH Probe  s/n:3E4C880C,806142289,1780661304.818595004,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806142289,1780661304.818595004,1,OK,0.7200540,0.0905475,0.3352789,-0.6007590,251.442,-18.518,-1554.886,0.3755058,3,OK,251.036,-18.635,-1554.768,OK,166.715,-14.492,-1510.290,OK,246.724,53.861,-1501.695,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806142289,1780661304.818595004,1,OK,0.8419956,0.2939017,-0.4029410,-0.2056787,58.456,13.484,-1786.454,0.5108958,3,OK,58.829,12.982,-1786.190,OK,32.735,107.422,-1765.840,OK,3.098,68.161,-1838.705
3,Port 0x01: JJH Probe  s/n:3E4C880C,806142292,1780661304.868595004,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806142292,1780661304.868595004,1,OK,0.7200641,0.0903429,0.3353505,-0.6007378,251.408,-18.520,-1554.931,0.3670429,3,OK,251.011,-18.635,-1554.815,OK,166.683,-14.504,-1510.302,OK,246.698,53.869,-1501.754,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806142292,1780661304.868595004,1,OK,0.8421950,0.2937866,-0.4025266,-0.2058381,58.425,13.481,-1786.541,0.4853495,3,OK,58.781,12.974,-1786.308,OK,32.702,107.428,-1765.937,OK,3.060,68.156,-1838.672
3,Port 0x01: JJH Probe  s/n:3E4C880C,806142295,1780661304.918595004,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806142295,1780661304.918595004,1,OK,0.7200336,0.0905466,0.3353597,-0.6007386,251.434,-18.505,-1554.928,0.3704929,3,OK,251.032,-18.617,-1554.808,OK,166.702,-14.490,-1510.318,OK,246.727,53.867,-1501.731,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806142295,1780661304.918595004,1,OK,0.8420811,0.2939728,-0.4026217,-0.2058522,58.446,13.482,-1786.520,0.4879835,3,OK,58.802,12.983,-1786.280,OK,32.728,107.419,-1765.870,OK,3.081,68.165,-1838.678
3,Port 0x01: JJH Probe  s/n:3E4C880C,806142298,1780661304.968595004,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806142298,1780661304.968595004,1,OK,0.7199968,0.0907239,0.3355274,-0.6006623,251.462,-18.509,-1554.943,0.3763055,3,OK,251.063,-18.648,-1554.844,OK,166.741,-14.507,-1510.327,OK,246.747,53.854,-1501.691,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806142298,1780661304.968595004,1,OK,0.8418665,0.2943964,-0.4027554,-0.2058633,58.485,13.460,-1786.564,0.5000124,3,OK,58.840,12.967,-1786.322,OK,32.765,107.402,-1765.799,OK,3.117,68.147,-1838.768
3,Port 0x01: JJH Probe  s/n:3E4C880C,806142301,1780661305.018595004,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806142301,1780661305.018595004,1,OK,0.7201077,0.0907093,0.3351217,-0.6007580,251.466,-18.521,-1554.872,0.3900198,3,OK,251.042,-18.636,-1554.744,OK,166.733,-14.494,-1510.324,OK,246.734,53.860,-1501.681,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806142301,1780661305.018595004,1,OK,0.8419458,0.2941594,-0.4027800,-0.2058294,58.458,13.479,-1786.526,0.4990098,3,OK,58.819,12.983,-1786.277,OK,32.741,107.414,-1765.833,OK,3.096,68.168,-1838.729
