Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,806499469,1780667257.818394870,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806499469,1780667257.818394870,1,OK,0.6302615,-0.1873573,0.1249751,-0.7429999,277.171,42.280,-1636.313,0.1366237,3,OK,277.163,42.291,-1636.309,OK,201.707,91.675,-1602.474,OK,289.455,130.571,-1647.230,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806499469,1780667257.818394870,1,OK,0.8422171,0.2971494,-0.3989917,-0.2077936,59.009,24.926,-1785.685,0.4608425,3,OK,59.340,24.408,-1785.506,OK,33.247,118.689,-1764.125,OK,3.309,79.937,-1836.970
3,Port 0x01: JJH Probe  s/n:3E4C880C,806499472,1780667257.868394871,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806499472,1780667257.868394871,1,OK,0.6302887,-0.1874388,0.1250479,-0.7429441,277.194,42.291,-1636.318,0.1404881,3,OK,277.197,42.292,-1636.319,OK,201.721,91.685,-1602.456,OK,289.467,130.586,-1647.236,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806499472,1780667257.868394871,1,OK,0.8420092,0.2974773,-0.3991943,-0.2077781,59.018,24.926,-1785.641,0.4621841,3,OK,59.347,24.422,-1785.456,OK,33.258,118.685,-1763.998,OK,3.326,79.938,-1836.981
3,Port 0x01: JJH Probe  s/n:3E4C880C,806499475,1780667257.918394871,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806499475,1780667257.918394871,1,OK,0.6302771,-0.1872868,0.1252506,-0.7429581,277.181,42.284,-1636.370,0.1388889,3,OK,277.192,42.285,-1636.376,OK,201.712,91.679,-1602.480,OK,289.462,130.577,-1647.244,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806499475,1780667257.918394871,1,OK,0.8421634,0.2973559,-0.3989510,-0.2077938,59.020,24.933,-1785.679,0.4538839,3,OK,59.345,24.426,-1785.504,OK,33.252,118.691,-1764.062,OK,3.312,79.938,-1836.962
3,Port 0x01: JJH Probe  s/n:3E4C880C,806499478,1780667257.968394871,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806499478,1780667257.968394871,1,OK,0.6302840,-0.1871442,0.1253638,-0.7429691,277.187,42.282,-1636.380,0.1268381,3,OK,277.209,42.289,-1636.391,OK,201.726,91.683,-1602.481,OK,289.462,130.558,-1647.213,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806499478,1780667257.968394871,1,OK,0.8421355,0.2972692,-0.3990842,-0.2077756,59.028,24.915,-1785.644,0.4649812,3,OK,59.361,24.394,-1785.464,OK,33.262,118.682,-1764.059,OK,3.335,79.928,-1836.948
3,Port 0x01: JJH Probe  s/n:3E4C880C,806499481,1780667258.018394872,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806499481,1780667258.018394872,1,OK,0.6302471,-0.1873349,0.1251202,-0.7429934,277.181,42.283,-1636.372,0.1332560,3,OK,277.186,42.292,-1636.375,OK,201.720,91.686,-1602.507,OK,289.464,130.567,-1647.267,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806499481,1780667258.018394872,1,OK,0.8420415,0.2976353,-0.3989868,-0.2078193,59.025,24.924,-1785.692,0.4639799,3,OK,59.352,24.406,-1785.519,OK,33.246,118.687,-1764.008,OK,3.315,79.940,-1836.979
3,Port 0x01: JJH Probe  s/n:3E4C880C,806499484,1780667258.068394871,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806499484,1780667258.068394871,1,OK,0.6302086,-0.1873504,0.1253981,-0.7429753,277.168,42.279,-1636.401,0.1369402,3,OK,277.180,42.284,-1636.407,OK,201.718,91.683,-1602.484,OK,289.459,130.565,-1647.266,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806499484,1780667258.068394871,1,OK,0.8420855,0.2974039,-0.3991044,-0.2077467,59.013,24.918,-1785.675,0.4658768,3,OK,59.345,24.402,-1785.493,OK,33.242,118.682,-1764.052,OK,3.311,79.924,-1836.997
3,Port 0x01: JJH Probe  s/n:3E4C880C,806499487,1780667258.118394871,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806499487,1780667258.118394871,1,OK,0.6302125,-0.1875678,0.1252425,-0.7429434,277.194,42.273,-1636.400,0.1463066,3,OK,277.213,42.286,-1636.410,OK,201.727,91.682,-1602.490,OK,289.477,130.549,-1647.314,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806499487,1780667258.118394871,1,OK,0.8420914,0.2974113,-0.3990729,-0.2077724,59.026,24.917,-1785.661,0.4591771,3,OK,59.354,24.407,-1785.482,OK,33.256,118.676,-1764.038,OK,3.327,79.926,-1836.968
3,Port 0x01: JJH Probe  s/n:3E4C880C,806499490,1780667258.168394871,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806499490,1780667258.168394871,1,OK,0.6302126,-0.1875146,0.1251643,-0.7429699,277.181,42.268,-1636.418,0.1430658,3,OK,277.197,42.265,-1636.426,OK,201.714,91.682,-1602.528,OK,289.464,130.556,-1647.335,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806499490,1780667258.168394871,1,OK,0.8420315,0.2973176,-0.3992979,-0.2077173,59.005,24.910,-1785.640,0.4738209,3,OK,59.345,24.397,-1785.443,OK,33.248,118.672,-1764.044,OK,3.314,79.924,-1837.011
3,Port 0x01: JJH Probe  s/n:3E4C880C,806499493,1780667258.218394871,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806499493,1780667258.218394871,1,OK,0.6302139,-0.1877057,0.1245603,-0.7430220,277.196,42.263,-1636.316,0.1381336,3,OK,277.183,42.271,-1636.310,OK,201.727,91.681,-1602.532,OK,289.469,130.550,-1647.330,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806499493,1780667258.218394871,1,OK,0.8420215,0.2975067,-0.3991603,-0.2077514,59.023,24.905,-1785.688,0.4709734,3,OK,59.360,24.389,-1785.499,OK,33.250,118.661,-1764.049,OK,3.321,79.925,-1837.020
3,Port 0x01: JJH Probe  s/n:3E4C880C,806499496,1780667258.268394872,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806499496,1780667258.268394872,1,OK,0.6302324,-0.1875383,0.1245660,-0.7430477,277.202,42.261,-1636.340,0.1310199,3,OK,277.189,42.270,-1636.334,OK,201.734,91.677,-1602.568,OK,289.475,130.545,-1647.328,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806499496,1780667258.268394872,1,OK,0.8420238,0.2975055,-0.3991654,-0.2077341,59.025,24.899,-1785.673,0.4693345,3,OK,59.359,24.386,-1785.487,OK,33.252,118.662,-1764.026,OK,3.322,79.909,-1837.012
