Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,806503447,1780667324.118396289,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806503447,1780667324.118396289,1,OK,0.5648681,-0.2735946,0.0344827,-0.7777410,291.535,38.763,-1686.053,0.5877767,3,OK,291.486,38.745,-1686.021,OK,222.178,102.005,-1667.109,OK,309.977,119.223,-1720.397,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806503447,1780667324.118396289,1,OK,0.8422788,0.2965327,-0.3977003,-0.2108772,60.127,25.284,-1785.468,0.4519297,3,OK,60.435,24.756,-1785.329,OK,34.920,119.186,-1763.577,OK,4.496,80.617,-1836.408
3,Port 0x01: JJH Probe  s/n:3E4C880C,806503450,1780667324.168396289,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806503450,1780667324.168396289,1,OK,0.5647673,-0.2739749,0.0341303,-0.7776958,291.532,38.760,-1685.991,0.5829348,3,OK,291.467,38.736,-1685.948,OK,222.176,102.002,-1667.095,OK,309.968,119.204,-1720.433,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806503450,1780667324.168396289,1,OK,0.8422479,0.2963628,-0.3979068,-0.2108502,60.110,25.276,-1785.417,0.4612333,3,OK,60.429,24.745,-1785.264,OK,34.921,119.183,-1763.571,OK,4.495,80.615,-1836.409
3,Port 0x01: JJH Probe  s/n:3E4C880C,806503453,1780667324.218396289,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806503453,1780667324.218396289,1,OK,0.5648283,-0.2735065,0.0345278,-0.7777988,291.541,38.753,-1686.103,0.5971183,3,OK,291.495,38.738,-1686.073,OK,222.201,102.006,-1667.163,OK,309.990,119.209,-1720.426,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806503453,1780667324.218396289,1,OK,0.8422240,0.2963897,-0.3979780,-0.2107732,60.133,25.286,-1785.416,0.4585008,3,OK,60.452,24.767,-1785.255,OK,34.939,119.182,-1763.568,OK,4.513,80.615,-1836.437
3,Port 0x01: JJH Probe  s/n:3E4C880C,806503456,1780667324.268396289,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806503456,1780667324.268396289,1,OK,0.5648331,-0.2736750,0.0341571,-0.7777525,291.515,38.757,-1685.993,0.5991978,3,OK,291.459,38.732,-1685.955,OK,222.162,102.001,-1667.114,OK,309.947,119.206,-1720.379,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806503456,1780667324.268396289,1,OK,0.8422670,0.2962286,-0.3980010,-0.2107845,60.092,25.282,-1785.412,0.4551979,3,OK,60.410,24.761,-1785.255,OK,34.905,119.185,-1763.606,OK,4.487,80.610,-1836.426
3,Port 0x01: JJH Probe  s/n:3E4C880C,806503459,1780667324.318396289,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806503459,1780667324.318396289,1,OK,0.5647954,-0.2738033,0.0345679,-0.7777165,291.544,38.746,-1686.044,0.5768875,3,OK,291.491,38.732,-1686.011,OK,222.194,101.993,-1667.072,OK,309.993,119.201,-1720.415,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806503459,1780667324.318396289,1,OK,0.8423119,0.2962390,-0.3978815,-0.2108161,60.121,25.276,-1785.400,0.4548272,3,OK,60.438,24.756,-1785.242,OK,34.938,119.175,-1763.578,OK,4.498,80.603,-1836.400
3,Port 0x01: JJH Probe  s/n:3E4C880C,806503462,1780667324.368396289,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806503462,1780667324.368396289,1,OK,0.5648302,-0.2737923,0.0346681,-0.7776907,291.558,38.746,-1686.056,0.5806521,3,OK,291.516,38.729,-1686.028,OK,222.205,101.997,-1667.066,OK,309.993,119.200,-1720.407,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806503462,1780667324.368396289,1,OK,0.8422753,0.2963750,-0.3978427,-0.2108444,60.135,25.272,-1785.406,0.4528986,3,OK,60.449,24.750,-1785.255,OK,34.942,119.171,-1763.557,OK,4.515,80.606,-1836.383
3,Port 0x01: JJH Probe  s/n:3E4C880C,806503465,1780667324.418396289,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806503465,1780667324.418396289,1,OK,0.5648498,-0.2735376,0.0343950,-0.7777782,291.527,38.745,-1686.050,0.5983420,3,OK,291.480,38.727,-1686.019,OK,222.178,101.995,-1667.132,OK,309.966,119.199,-1720.389,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806503465,1780667324.418396289,1,OK,0.8422723,0.2961370,-0.3980775,-0.2107477,60.088,25.277,-1785.352,0.4674648,3,OK,60.417,24.751,-1785.180,OK,34.909,119.179,-1763.565,OK,4.474,80.607,-1836.404
3,Port 0x01: JJH Probe  s/n:3E4C880C,806503468,1780667324.468396289,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806503468,1780667324.468396289,1,OK,0.5648707,-0.2735714,0.0344592,-0.7777483,291.530,38.739,-1686.037,0.5946208,3,OK,291.480,38.728,-1686.006,OK,222.179,101.980,-1667.102,OK,309.967,119.194,-1720.375,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806503468,1780667324.468396289,1,OK,0.8422674,0.2963262,-0.3979084,-0.2108207,60.109,25.269,-1785.408,0.4572004,3,OK,60.425,24.744,-1785.255,OK,34.918,119.174,-1763.570,OK,4.492,80.599,-1836.405
3,Port 0x01: JJH Probe  s/n:3E4C880C,806503471,1780667324.518396289,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806503471,1780667324.518396289,1,OK,0.5647805,-0.2737943,0.0342613,-0.7777440,291.533,38.739,-1686.010,0.5829455,3,OK,291.478,38.718,-1685.974,OK,222.177,101.987,-1667.099,OK,309.981,119.186,-1720.412,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806503471,1780667324.518396289,1,OK,0.8423130,0.2962127,-0.3979135,-0.2107880,60.107,25.271,-1785.405,0.4583808,3,OK,60.426,24.749,-1785.245,OK,34.923,119.175,-1763.588,OK,4.483,80.594,-1836.418
3,Port 0x01: JJH Probe  s/n:3E4C880C,806503474,1780667324.568396289,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806503474,1780667324.568396289,1,OK,0.5647738,-0.2738484,0.0341109,-0.7777365,291.562,38.745,-1685.993,0.5864642,3,OK,291.495,38.719,-1685.948,OK,222.210,101.986,-1667.110,OK,310.007,119.197,-1720.422,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806503474,1780667324.568396289,1,OK,0.8422577,0.2963588,-0.3979315,-0.2107697,60.137,25.272,-1785.403,0.4621760,3,OK,60.458,24.744,-1785.245,OK,34.937,119.174,-1763.565,OK,4.515,80.602,-1836.409
