Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,805898413,1780657240.218765102,1,OK,0.7261909,-0.2880496,0.0276289,0.6236271,185.310,-133.805,-1712.854,0.2466847,3,OK,160.301,-242.856,-1663.967,OK,138.052,-333.973,-1622.937,OK,151.700,-369.510,-1598.376,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,805898413,1780657240.218765102,1,OK,0.6528330,-0.1780690,0.0998570,-0.7294718,262.810,40.116,-1665.409,0.2312656,3,OK,262.807,40.083,-1665.405,OK,183.058,85.435,-1635.754,OK,270.593,128.907,-1677.131,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,805898413,1780657240.218765102,1,OK,0.9162900,0.1558705,0.1284179,-0.3458697,37.125,16.663,-1647.832,0.6082388,3,OK,37.562,16.029,-1648.151,OK,48.740,108.779,-1611.885,OK,-31.022,72.446,-1615.626
3,Port 0x01: JJH Probe  s/n:3E4C880C,805898416,1780657240.268765102,1,OK,0.7262691,-0.2877513,0.0280357,0.6236556,185.292,-133.613,-1712.882,0.2382464,3,OK,160.301,-242.652,-1663.967,OK,138.049,-333.765,-1622.916,OK,151.729,-369.306,-1598.360,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,805898416,1780657240.268765102,1,OK,0.6528977,-0.1775935,0.1004425,-0.7294494,262.795,40.114,-1665.471,0.2135308,3,OK,262.815,40.075,-1665.476,OK,183.054,85.427,-1635.746,OK,270.568,128.903,-1677.048,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,805898416,1780657240.268765102,1,OK,0.9162131,0.1561577,0.1287540,-0.3458188,37.117,16.680,-1647.912,0.6203746,3,OK,37.559,16.031,-1648.240,OK,48.734,108.775,-1611.894,OK,-31.020,72.442,-1615.629
3,Port 0x01: JJH Probe  s/n:3E4C880C,805898419,1780657240.318765102,1,OK,0.7265988,-0.2876555,0.0268509,0.6233679,185.222,-133.587,-1712.774,0.2531880,3,OK,160.122,-242.724,-1664.094,OK,137.802,-333.892,-1623.247,OK,151.410,-369.466,-1598.745,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,805898419,1780657240.318765102,1,OK,0.6529171,-0.1779477,0.0999247,-0.7294168,262.808,40.122,-1665.360,0.2251196,3,OK,262.805,40.094,-1665.356,OK,183.051,85.422,-1635.701,OK,270.573,128.910,-1677.052,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,805898419,1780657240.318765102,1,OK,0.9163727,0.1555813,0.1280039,-0.3459342,37.133,16.650,-1647.776,0.5799395,3,OK,37.554,16.049,-1648.078,OK,48.742,108.780,-1611.908,OK,-31.012,72.450,-1615.665
3,Port 0x01: JJH Probe  s/n:3E4C880C,805898422,1780657240.368765103,1,OK,0.7263808,-0.2883248,0.0258901,0.6233534,185.152,-133.458,-1712.721,0.2506338,3,OK,160.037,-242.633,-1664.100,OK,137.691,-333.808,-1623.325,OK,151.292,-369.367,-1598.794,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,805898422,1780657240.368765103,1,OK,0.6528761,-0.1779899,0.1001072,-0.7294183,262.791,40.106,-1665.368,0.2334725,3,OK,262.790,40.079,-1665.365,OK,183.039,85.407,-1635.671,OK,270.572,128.899,-1677.049,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,805898422,1780657240.368765103,1,OK,0.9162870,0.1561564,0.1280959,-0.3458680,37.136,16.664,-1647.821,0.6049367,3,OK,37.569,16.031,-1648.139,OK,48.735,108.767,-1611.837,OK,-31.018,72.447,-1615.653
3,Port 0x01: JJH Probe  s/n:3E4C880C,805898425,1780657240.418765103,1,OK,0.7265003,-0.2883839,0.0263648,0.6231669,185.252,-133.817,-1713.017,0.2420408,3,OK,160.088,-242.909,-1664.334,OK,137.703,-334.085,-1623.468,OK,151.280,-369.661,-1598.913,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,805898425,1780657240.418765103,1,OK,0.6528846,-0.1777806,0.1000430,-0.7294705,262.806,40.110,-1665.407,0.2211603,3,OK,262.808,40.077,-1665.404,OK,183.057,85.422,-1635.740,OK,270.584,128.901,-1677.062,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,805898425,1780657240.418765103,1,OK,0.9163550,0.1556738,0.1282572,-0.3458458,37.147,16.659,-1647.806,0.5931478,3,OK,37.580,16.047,-1648.115,OK,48.747,108.778,-1611.909,OK,-31.005,72.446,-1615.643
3,Port 0x01: JJH Probe  s/n:3E4C880C,805898428,1780657240.468765102,1,OK,0.7263135,-0.2881956,0.0245834,0.6235444,185.239,-133.707,-1712.651,0.2644505,3,OK,160.160,-243.003,-1664.265,OK,137.872,-334.267,-1623.685,OK,151.444,-369.853,-1599.207,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,805898428,1780657240.468765102,1,OK,0.6528599,-0.1779651,0.1003076,-0.7294113,262.777,40.096,-1665.439,0.2393243,3,OK,262.780,40.060,-1665.437,OK,183.027,85.396,-1635.705,OK,270.566,128.899,-1677.095,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,805898428,1780657240.468765102,1,OK,0.9163555,0.1555405,0.1284013,-0.3458510,37.118,16.641,-1647.808,0.6025608,3,OK,37.558,16.021,-1648.122,OK,48.723,108.767,-1611.927,OK,-31.033,72.435,-1615.625
3,Port 0x01: JJH Probe  s/n:3E4C880C,805898431,1780657240.518765102,1,OK,0.7260025,-0.2887417,0.0244224,0.6236603,185.300,-133.734,-1712.800,0.2499603,3,OK,160.259,-242.998,-1664.355,OK,137.982,-334.255,-1623.725,OK,151.579,-369.829,-1599.192,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,805898431,1780657240.518765102,1,OK,0.6528964,-0.1775861,0.1002829,-0.7294743,262.788,40.106,-1665.417,0.2200522,3,OK,262.800,40.062,-1665.417,OK,183.039,85.418,-1635.719,OK,270.569,128.905,-1677.016,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,805898431,1780657240.518765102,1,OK,0.9164120,0.1555800,0.1278407,-0.3458911,37.134,16.655,-1647.746,0.5766897,3,OK,37.553,16.058,-1648.047,OK,48.724,108.786,-1611.888,OK,-31.022,72.455,-1615.665
3,Port 0x01: JJH Probe  s/n:3E4C880C,805898434,1780657240.568765102,1,OK,0.7258902,-0.2889031,0.0238455,0.6237386,185.315,-133.688,-1712.818,0.2446415,3,OK,160.294,-242.982,-1664.447,OK,138.021,-334.281,-1623.875,OK,151.626,-369.851,-1599.343,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,805898434,1780657240.568765102,1,OK,0.6528839,-0.1780727,0.1000218,-0.7294027,262.786,40.099,-1665.378,0.2361765,3,OK,262.778,40.080,-1665.373,OK,183.031,85.394,-1635.689,OK,270.565,128.889,-1677.081,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,805898434,1780657240.568765102,1,OK,0.9163172,0.1559109,0.1282800,-0.3458306,37.136,16.658,-1647.822,0.6017938,3,OK,37.573,16.034,-1648.137,OK,48.735,108.766,-1611.877,OK,-31.018,72.438,-1615.638
3,Port 0x01: JJH Probe  s/n:3E4C880C,805898437,1780657240.618765103,1,OK,0.7262697,-0.2885006,0.0240359,0.6234758,185.305,-133.622,-1712.925,0.2533426,3,OK,160.203,-242.910,-1664.604,OK,137.884,-334.220,-1624.056,OK,151.441,-369.820,-1599.561,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,805898437,1780657240.618765103,1,OK,0.6528903,-0.1781670,0.0999014,-0.7293905,262.810,40.104,-1665.341,0.2476129,3,OK,262.802,40.069,-1665.334,OK,183.043,85.398,-1635.664,OK,270.590,128.909,-1677.076,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,805898437,1780657240.618765103,1,OK,0.9163718,0.1553917,0.1283054,-0.3459103,37.134,16.644,-1647.737,0.5880952,3,OK,37.563,16.037,-1648.044,OK,48.747,108.779,-1611.891,OK,-31.003,72.445,-1615.583
3,Port 0x01: JJH Probe  s/n:3E4C880C,805898440,1780657240.668765103,1,OK,0.7264025,-0.2889535,0.0248848,0.6230779,185.299,-133.777,-1712.979,0.2456112,3,OK,160.088,-242.946,-1664.470,OK,137.667,-334.171,-1623.760,OK,151.203,-369.753,-1599.204,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,805898440,1780657240.668765103,1,OK,0.6528189,-0.1782205,0.1002837,-0.7293888,262.783,40.090,-1665.362,0.2494741,3,OK,262.788,40.052,-1665.361,OK,183.032,85.396,-1635.612,OK,270.575,128.894,-1677.059,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,805898440,1780657240.668765103,1,OK,0.9162820,0.1559915,0.1283745,-0.3458526,37.135,16.667,-1647.852,0.6023360,3,OK,37.572,16.043,-1648.167,OK,48.741,108.764,-1611.889,OK,-31.010,72.445,-1615.646
3,Port 0x01: JJH Probe  s/n:3E4C880C,805898443,1780657240.718765102,1,OK,0.7264904,-0.2892540,0.0263729,0.6227747,185.261,-133.681,-1712.857,0.2380091,3,OK,159.976,-242.717,-1664.055,OK,137.484,-333.792,-1623.121,OK,151.028,-369.355,-1598.490,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,805898443,1780657240.718765102,1,OK,0.6528696,-0.1776413,0.1004700,-0.7294592,262.768,40.093,-1665.402,0.2240203,3,OK,262.775,40.060,-1665.402,OK,183.029,85.398,-1635.667,OK,270.559,128.890,-1676.990,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,805898443,1780657240.718765102,1,OK,0.9163810,0.1555695,0.1280774,-0.3458905,37.133,16.647,-1647.754,0.5903010,3,OK,37.561,16.035,-1648.062,OK,48.732,108.779,-1611.883,OK,-31.018,72.447,-1615.628
3,Port 0x01: JJH Probe  s/n:3E4C880C,805898446,1780657240.768765102,1,OK,0.7274694,-0.2880207,0.0287340,0.6220986,185.247,-133.723,-1712.715,0.2424485,3,OK,159.789,-242.644,-1663.726,OK,137.147,-333.613,-1622.634,OK,150.678,-369.186,-1598.054,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,805898446,1780657240.768765102,1,OK,0.6528515,-0.1779644,0.1003840,-0.7294084,262.779,40.098,-1665.421,0.2379063,3,OK,262.793,40.061,-1665.423,OK,183.028,85.406,-1635.672,OK,270.565,128.896,-1677.065,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,805898446,1780657240.768765102,1,OK,0.9162811,0.1560134,0.1282939,-0.3458748,37.119,16.661,-1647.845,0.6012371,3,OK,37.549,16.033,-1648.161,OK,48.730,108.770,-1611.878,OK,-31.025,72.440,-1615.654
