Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,806024428,1780659340.468653001,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806024428,1780659340.468653001,1,OK,0.6399357,-0.2065899,0.0866049,-0.7350527,256.528,41.581,-1663.965,0.1521657,3,OK,256.457,41.601,-1663.936,OK,178.376,89.948,-1635.324,OK,265.262,129.292,-1681.356,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806024428,1780659340.468653001,1,OK,0.8757493,0.0980800,0.3000222,-0.3652808,61.303,18.094,-1594.890,0.6511633,3,OK,61.639,17.460,-1595.390,OK,84.999,109.501,-1563.690,OK,9.639,72.777,-1538.908
3,Port 0x01: JJH Probe  s/n:3E4C880C,806024431,1780659340.518653008,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806024431,1780659340.518653008,1,OK,0.6398878,-0.2066684,0.0872369,-0.7349976,256.519,41.588,-1664.106,0.1640446,3,OK,256.467,41.608,-1664.085,OK,178.373,89.953,-1635.335,OK,265.274,129.307,-1681.440,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806024431,1780659340.518653008,1,OK,0.8758302,0.0976873,0.2998435,-0.3653390,61.313,18.069,-1594.841,0.6324793,3,OK,61.642,17.455,-1595.326,OK,85.004,109.503,-1563.726,OK,9.632,72.776,-1538.915
3,Port 0x01: JJH Probe  s/n:3E4C880C,806024434,1780659340.568653008,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806024434,1780659340.568653008,1,OK,0.6399065,-0.2063793,0.0874276,-0.7350399,256.484,41.575,-1664.045,0.1409841,3,OK,256.443,41.595,-1664.029,OK,178.352,89.951,-1635.266,OK,265.233,129.287,-1681.306,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806024434,1780659340.568653008,1,OK,0.8757772,0.0981040,0.2999285,-0.3652846,61.290,18.094,-1594.883,0.6480185,3,OK,61.624,17.463,-1595.380,OK,84.979,109.498,-1563.680,OK,9.619,72.779,-1538.915
3,Port 0x01: JJH Probe  s/n:3E4C880C,806024437,1780659340.618653008,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806024437,1780659340.618653008,1,OK,0.6398807,-0.2066223,0.0872477,-0.7350155,256.509,41.576,-1664.090,0.1604223,3,OK,256.460,41.599,-1664.071,OK,178.361,89.947,-1635.320,OK,265.265,129.291,-1681.415,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806024437,1780659340.618653008,1,OK,0.8757859,0.0980754,0.2999034,-0.3652919,61.293,18.091,-1594.858,0.6465975,3,OK,61.626,17.461,-1595.354,OK,84.978,109.496,-1563.661,OK,9.624,72.779,-1538.899
3,Port 0x01: JJH Probe  s/n:3E4C880C,806024440,1780659340.668653008,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806024440,1780659340.668653008,1,OK,0.6398664,-0.2064757,0.0872501,-0.7350688,256.518,41.575,-1664.099,0.1474503,3,OK,256.469,41.591,-1664.078,OK,178.386,89.957,-1635.347,OK,265.274,129.293,-1681.400,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806024440,1780659340.668653008,1,OK,0.8758948,0.0977070,0.2995675,-0.3654051,61.325,18.062,-1594.805,0.6177261,3,OK,61.641,17.457,-1595.278,OK,85.008,109.501,-1563.695,OK,9.639,72.777,-1538.933
3,Port 0x01: JJH Probe  s/n:3E4C880C,806024443,1780659340.718653001,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806024443,1780659340.718653001,1,OK,0.6399034,-0.2065742,0.0870256,-0.7350355,256.546,41.584,-1664.049,0.1489136,3,OK,256.494,41.604,-1664.028,OK,178.399,89.960,-1635.328,OK,265.288,129.294,-1681.386,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806024443,1780659340.718653001,1,OK,0.8758172,0.0977174,0.2998450,-0.3653609,61.321,18.071,-1594.836,0.6319327,3,OK,61.649,17.456,-1595.321,OK,85.015,109.501,-1563.716,OK,9.647,72.779,-1538.910
3,Port 0x01: JJH Probe  s/n:3E4C880C,806024446,1780659340.768653008,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806024446,1780659340.768653008,1,OK,0.6398627,-0.2065058,0.0870468,-0.7350877,256.515,41.577,-1664.087,0.1481381,3,OK,256.464,41.589,-1664.065,OK,178.376,89.964,-1635.370,OK,265.270,129.293,-1681.416,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806024446,1780659340.768653008,1,OK,0.8758304,0.0975780,0.2997989,-0.3654041,61.303,18.057,-1594.794,0.6270867,3,OK,61.629,17.449,-1595.274,OK,84.994,109.493,-1563.703,OK,9.634,72.780,-1538.887
3,Port 0x01: JJH Probe  s/n:3E4C880C,806024449,1780659340.818653008,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806024449,1780659340.818653008,1,OK,0.6399026,-0.2062351,0.0876070,-0.7350625,256.500,41.585,-1664.173,0.1350668,3,OK,256.470,41.610,-1664.163,OK,178.368,89.968,-1635.371,OK,265.254,129.292,-1681.391,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806024449,1780659340.818653008,1,OK,0.8758309,0.0978008,0.2997619,-0.3653739,61.296,18.069,-1594.826,0.6358740,3,OK,61.619,17.445,-1595.313,OK,84.984,109.502,-1563.687,OK,9.625,72.780,-1538.912
3,Port 0x01: JJH Probe  s/n:3E4C880C,806024452,1780659340.868653008,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806024452,1780659340.868653008,1,OK,0.6398568,-0.2067095,0.0874128,-0.7349922,256.516,41.590,-1664.153,0.1509973,3,OK,256.482,41.600,-1664.139,OK,178.378,89.977,-1635.350,OK,265.260,129.305,-1681.464,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806024452,1780659340.868653008,1,OK,0.8757840,0.0982150,0.2998434,-0.3653083,61.307,18.097,-1594.907,0.6494954,3,OK,61.635,17.459,-1595.405,OK,85.001,109.505,-1563.685,OK,9.633,72.780,-1538.948
3,Port 0x01: JJH Probe  s/n:3E4C880C,806024455,1780659340.918653008,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806024455,1780659340.918653008,1,OK,0.6398276,-0.2065897,0.0874109,-0.7350515,256.522,41.588,-1664.126,0.1482687,3,OK,256.479,41.605,-1664.109,OK,178.397,89.977,-1635.336,OK,265.280,129.301,-1681.423,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806024455,1780659340.918653008,1,OK,0.8758052,0.0980826,0.2997362,-0.3653809,61.320,18.083,-1594.871,0.6384460,3,OK,61.641,17.454,-1595.360,OK,85.017,109.501,-1563.680,OK,9.652,72.780,-1538.945
