Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,806010328,1780659105.468543749,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806010328,1780659105.468543749,1,OK,0.6138970,-0.2024689,0.1019518,-0.7561367,282.323,27.824,-1654.552,0.2083430,3,OK,282.259,27.846,-1654.524,OK,208.064,81.290,-1624.476,OK,297.286,114.929,-1670.912,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806010328,1780659105.468543749,1,OK,0.8593888,0.2845982,-0.3614807,-0.2231285,51.649,14.263,-1776.724,0.4857525,3,OK,52.019,13.769,-1776.525,OK,28.592,108.232,-1753.220,OK,-8.220,69.480,-1823.021
3,Port 0x01: JJH Probe  s/n:3E4C880C,806010331,1780659105.518543749,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806010331,1780659105.518543749,1,OK,0.6146736,-0.1997856,0.1058214,-0.7556877,282.160,27.633,-1653.299,0.2121726,3,OK,282.116,27.656,-1653.280,OK,207.920,80.847,-1622.651,OK,297.149,114.873,-1668.838,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806010331,1780659105.518543749,1,OK,0.8594415,0.2845871,-0.3614918,-0.2229221,51.624,14.238,-1776.802,0.4759830,3,OK,51.985,13.737,-1776.619,OK,28.518,108.215,-1753.330,OK,-8.239,69.419,-1823.090
3,Port 0x01: JJH Probe  s/n:3E4C880C,806010334,1780659105.568543749,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806010334,1780659105.568543749,1,OK,0.6151637,-0.1989324,0.1062451,-0.7554545,282.060,27.555,-1652.876,0.2095557,3,OK,282.003,27.561,-1652.849,OK,207.778,80.656,-1622.190,OK,296.998,114.855,-1668.233,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806010334,1780659105.568543749,1,OK,0.8594069,0.2844227,-0.3615744,-0.2231312,51.630,14.262,-1776.707,0.4790591,3,OK,51.996,13.768,-1776.512,OK,28.579,108.238,-1753.252,OK,-8.215,69.477,-1823.010
3,Port 0x01: JJH Probe  s/n:3E4C880C,806010337,1780659105.618543749,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806010337,1780659105.618543749,1,OK,0.6147324,-0.1998685,0.1050106,-0.7557311,282.131,27.633,-1653.262,0.2149680,3,OK,282.060,27.655,-1653.230,OK,207.868,80.843,-1622.760,OK,297.105,114.877,-1668.905,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806010337,1780659105.618543749,1,OK,0.8593838,0.2846712,-0.3614983,-0.2230264,51.643,14.252,-1776.774,0.4771028,3,OK,52.006,13.764,-1776.581,OK,28.564,108.215,-1753.268,OK,-8.225,69.450,-1823.072
3,Port 0x01: JJH Probe  s/n:3E4C880C,806010340,1780659105.668543749,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806010340,1780659105.668543749,1,OK,0.6149574,-0.1991408,0.1058641,-0.7556210,282.076,27.572,-1653.107,0.1885294,3,OK,282.022,27.593,-1653.083,OK,207.822,80.734,-1622.494,OK,297.024,114.831,-1668.533,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806010340,1780659105.668543749,1,OK,0.8593860,0.2846685,-0.3615055,-0.2230096,51.637,14.240,-1776.797,0.4854569,3,OK,52.006,13.738,-1776.603,OK,28.548,108.210,-1753.297,OK,-8.232,69.443,-1823.092
3,Port 0x01: JJH Probe  s/n:3E4C880C,806010343,1780659105.718543749,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806010343,1780659105.718543749,1,OK,0.6149729,-0.1994890,0.1059558,-0.7555036,282.071,27.588,-1653.087,0.2164334,3,OK,282.022,27.607,-1653.065,OK,207.793,80.734,-1622.419,OK,297.020,114.855,-1668.560,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806010343,1780659105.718543749,1,OK,0.8593959,0.2844486,-0.3616621,-0.2229982,51.646,14.273,-1776.760,0.4921837,3,OK,52.023,13.774,-1776.554,OK,28.577,108.246,-1753.311,OK,-8.214,69.479,-1823.099
3,Port 0x01: JJH Probe  s/n:3E4C880C,806010346,1780659105.768543749,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806010346,1780659105.768543749,1,OK,0.6150040,-0.1995888,0.1057791,-0.7554768,282.075,27.583,-1653.038,0.2224263,3,OK,282.014,27.606,-1653.011,OK,207.790,80.718,-1622.396,OK,297.016,114.854,-1668.547,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806010346,1780659105.768543749,1,OK,0.8592918,0.2849237,-0.3615492,-0.2229757,51.642,14.247,-1776.790,0.4837811,3,OK,52.006,13.751,-1776.600,OK,28.540,108.211,-1753.238,OK,-8.229,69.446,-1823.092
3,Port 0x01: JJH Probe  s/n:3E4C880C,806010349,1780659105.818543749,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806010349,1780659105.818543749,1,OK,0.6150667,-0.1991401,0.1060520,-0.7555059,282.049,27.560,-1653.024,0.2120285,3,OK,282.000,27.576,-1653.002,OK,207.762,80.687,-1622.358,OK,296.998,114.837,-1668.435,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806010349,1780659105.818543749,1,OK,0.8593542,0.2848002,-0.3614443,-0.2230632,51.645,14.249,-1776.754,0.4808835,3,OK,52.008,13.751,-1776.566,OK,28.559,108.217,-1753.216,OK,-8.226,69.455,-1823.031
3,Port 0x01: JJH Probe  s/n:3E4C880C,806010352,1780659105.868543749,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806010352,1780659105.868543749,1,OK,0.6150689,-0.1990841,0.1064671,-0.7554605,282.053,27.576,-1653.076,0.2180698,3,OK,282.016,27.594,-1653.060,OK,207.768,80.695,-1622.332,OK,297.011,114.856,-1668.435,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806010352,1780659105.868543749,1,OK,0.8593026,0.2844897,-0.3618648,-0.2229767,51.634,14.262,-1776.684,0.4954515,3,OK,52.011,13.765,-1776.476,OK,28.570,108.241,-1753.232,OK,-8.209,69.469,-1823.063
3,Port 0x01: JJH Probe  s/n:3E4C880C,806010355,1780659105.918543749,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,806010355,1780659105.918543749,1,OK,0.6151574,-0.1989417,0.1064347,-0.7554305,282.038,27.562,-1653.053,0.2072642,3,OK,281.995,27.579,-1653.034,OK,207.754,80.666,-1622.328,OK,296.975,114.848,-1668.388,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,806010355,1780659105.918543749,1,OK,0.8593357,0.2848902,-0.3614310,-0.2230411,51.654,14.252,-1776.774,0.4785883,3,OK,52.013,13.754,-1776.592,OK,28.558,108.223,-1753.216,OK,-8.218,69.451,-1823.047
