Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,807217225,1780679220.418428803,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807217225,1780679220.418428803,1,OK,0.5608448,-0.2802827,0.0345428,-0.7782683,292.250,47.480,-1684.517,0.4733385,3,OK,292.143,47.472,-1684.454,OK,223.412,111.279,-1665.396,OK,310.990,127.545,-1719.935,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807217225,1780679220.418428803,1,OK,0.8464439,0.3029633,-0.3924345,-0.1942708,55.995,29.863,-1785.873,0.4651231,3,OK,56.330,29.362,-1785.714,OK,27.265,122.802,-1764.184,OK,-1.712,82.891,-1837.050
3,Port 0x01: JJH Probe  s/n:3E4C880C,807217228,1780679220.468428803,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807217228,1780679220.468428803,1,OK,0.5608607,-0.2803969,0.0350300,-0.7781939,292.292,47.472,-1684.588,0.4484924,3,OK,292.193,47.476,-1684.534,OK,223.449,111.269,-1665.356,OK,311.039,127.545,-1719.978,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807217228,1780679220.468428803,1,OK,0.8464293,0.3029522,-0.3924724,-0.1942748,56.036,29.854,-1785.850,0.4664604,3,OK,56.371,29.352,-1785.689,OK,27.307,122.795,-1764.166,OK,-1.667,82.886,-1837.032
3,Port 0x01: JJH Probe  s/n:3E4C880C,807217231,1780679220.518428803,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807217231,1780679220.518428803,1,OK,0.5608610,-0.2803447,0.0348878,-0.7782189,292.266,47.472,-1684.524,0.4594291,3,OK,292.167,47.472,-1684.468,OK,223.426,111.272,-1665.327,OK,311.007,127.541,-1719.915,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807217231,1780679220.518428803,1,OK,0.8463660,0.3033493,-0.3922797,-0.1943203,56.039,29.858,-1785.898,0.4639675,3,OK,56.364,29.358,-1785.754,OK,27.289,122.794,-1764.110,OK,-1.683,82.888,-1837.037
3,Port 0x01: JJH Probe  s/n:3E4C880C,807217234,1780679220.568428803,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807217234,1780679220.568428803,1,OK,0.5608570,-0.2802886,0.0348384,-0.7782442,292.260,47.476,-1684.573,0.4500957,3,OK,292.162,47.476,-1684.517,OK,223.408,111.276,-1665.381,OK,311.017,127.547,-1719.968,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807217234,1780679220.568428803,1,OK,0.8465237,0.3026626,-0.3925235,-0.1942120,55.989,29.864,-1785.814,0.4684887,3,OK,56.332,29.355,-1785.647,OK,27.263,122.809,-1764.210,OK,-1.708,82.891,-1837.008
3,Port 0x01: JJH Probe  s/n:3E4C880C,807217237,1780679220.618428803,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807217237,1780679220.618428803,1,OK,0.5608457,-0.2803082,0.0345475,-0.7782583,292.283,47.462,-1684.518,0.4689318,3,OK,292.178,47.456,-1684.457,OK,223.440,111.262,-1665.391,OK,311.023,127.524,-1719.939,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807217237,1780679220.618428803,1,OK,0.8464681,0.3031962,-0.3921938,-0.1942880,56.032,29.853,-1785.880,0.4558955,3,OK,56.356,29.353,-1785.736,OK,27.276,122.784,-1764.134,OK,-1.694,82.876,-1836.995
3,Port 0x01: JJH Probe  s/n:3E4C880C,807217240,1780679220.668428803,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807217240,1780679220.668428803,1,OK,0.5608207,-0.2804613,0.0346096,-0.7782183,292.282,47.475,-1684.560,0.4569522,3,OK,292.172,47.470,-1684.496,OK,223.435,111.270,-1665.407,OK,311.027,127.539,-1720.004,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807217240,1780679220.668428803,1,OK,0.8463936,0.3030698,-0.3924698,-0.1942523,56.014,29.864,-1785.912,0.4661366,3,OK,56.345,29.363,-1785.757,OK,27.276,122.807,-1764.199,OK,-1.690,82.888,-1837.095
3,Port 0x01: JJH Probe  s/n:3E4C880C,807217243,1780679220.718428803,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807217243,1780679220.718428803,1,OK,0.5608254,-0.2804052,0.0346401,-0.7782338,292.277,47.452,-1684.510,0.4609990,3,OK,292.176,47.444,-1684.451,OK,223.432,111.256,-1665.358,OK,311.018,127.514,-1719.938,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807217243,1780679220.718428803,1,OK,0.8464278,0.3029649,-0.3924574,-0.1942922,56.015,29.842,-1785.847,0.4631854,3,OK,56.348,29.342,-1785.690,OK,27.288,122.784,-1764.158,OK,-1.685,82.874,-1837.022
3,Port 0x01: JJH Probe  s/n:3E4C880C,807217246,1780679220.768428805,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807217246,1780679220.768428805,1,OK,0.5608286,-0.2802263,0.0346366,-0.7782961,292.290,47.454,-1684.563,0.4696934,3,OK,292.186,47.452,-1684.504,OK,223.454,111.258,-1665.426,OK,311.041,127.518,-1719.964,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807217246,1780679220.768428805,1,OK,0.8465308,0.3030097,-0.3922022,-0.1942886,56.046,29.852,-1785.877,0.4525374,3,OK,56.371,29.353,-1785.731,OK,27.299,122.786,-1764.176,OK,-1.675,82.873,-1836.993
3,Port 0x01: JJH Probe  s/n:3E4C880C,807217249,1780679220.818428805,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807217249,1780679220.818428805,1,OK,0.5607936,-0.2804533,0.0345712,-0.7782425,292.259,47.446,-1684.484,0.4639354,3,OK,292.148,47.441,-1684.420,OK,223.422,111.247,-1665.345,OK,311.004,127.506,-1719.929,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807217249,1780679220.818428805,1,OK,0.8463208,0.3031261,-0.3926067,-0.1942053,56.006,29.848,-1785.825,0.4741687,3,OK,56.344,29.356,-1785.653,OK,27.274,122.779,-1764.104,OK,-1.701,82.876,-1837.054
3,Port 0x01: JJH Probe  s/n:3E4C880C,807217252,1780679220.868428805,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807217252,1780679220.868428805,1,OK,0.5608317,-0.2802883,0.0347147,-0.7782680,292.304,47.422,-1684.548,0.4635049,3,OK,292.202,47.427,-1684.492,OK,223.465,111.223,-1665.390,OK,311.054,127.481,-1719.950,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807217252,1780679220.868428805,1,OK,0.8465562,0.3025035,-0.3925236,-0.1943177,56.055,29.846,-1785.775,0.4585228,3,OK,56.395,29.347,-1785.605,OK,27.357,122.784,-1764.202,OK,-1.629,82.887,-1836.956
