Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,807342010,1780681300.168639185,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807342010,1780681300.168639185,1,OK,0.6902363,-0.0724579,0.1960149,-0.6927495,255.843,49.203,-1619.310,0.1845547,3,OK,255.837,49.166,-1619.314,OK,173.521,80.257,-1580.010,OK,259.306,137.711,-1604.081,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807342010,1780681300.168639185,1,OK,0.9164161,0.1645226,0.1472599,-0.3338088,37.814,34.235,-1642.129,0.4088990,3,OK,38.141,33.857,-1642.355,OK,47.982,125.317,-1603.578,OK,-30.778,87.057,-1606.561
3,Port 0x01: JJH Probe  s/n:3E4C880C,807342013,1780681300.218639178,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807342013,1780681300.218639178,1,OK,0.6903199,-0.0722628,0.1960267,-0.6926832,255.830,49.165,-1619.258,0.1841710,3,OK,255.818,49.135,-1619.259,OK,173.495,80.191,-1579.973,OK,259.280,137.664,-1604.001,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807342013,1780681300.218639178,1,OK,0.9164371,0.1644249,0.1472281,-0.3338134,37.796,34.231,-1642.102,0.4084590,3,OK,38.124,33.855,-1642.326,OK,47.963,125.319,-1603.571,OK,-30.800,87.057,-1606.544
3,Port 0x01: JJH Probe  s/n:3E4C880C,807342016,1780681300.268639178,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807342016,1780681300.268639178,1,OK,0.6903016,-0.0721673,0.1960172,-0.6927141,255.794,49.170,-1619.286,0.1846933,3,OK,255.776,49.145,-1619.284,OK,173.460,80.197,-1580.012,OK,259.253,137.667,-1604.021,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807342016,1780681300.268639178,1,OK,0.9163697,0.1647567,0.1473177,-0.3337952,37.752,34.246,-1642.186,0.4203902,3,OK,38.082,33.849,-1642.421,OK,47.920,125.321,-1603.584,OK,-30.839,87.060,-1606.592
3,Port 0x01: JJH Probe  s/n:3E4C880C,807342019,1780681300.318639178,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807342019,1780681300.318639178,1,OK,0.6903069,-0.0722967,0.1959801,-0.6927059,255.871,49.165,-1619.253,0.1823988,3,OK,255.862,49.133,-1619.255,OK,173.536,80.201,-1579.972,OK,259.320,137.664,-1604.006,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807342019,1780681300.318639178,1,OK,0.9164595,0.1645566,0.1469560,-0.3338070,37.837,34.230,-1642.131,0.4065713,3,OK,38.162,33.853,-1642.355,OK,47.990,125.317,-1603.588,OK,-30.771,87.059,-1606.613
3,Port 0x01: JJH Probe  s/n:3E4C880C,807342022,1780681300.368639178,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807342022,1780681300.368639178,1,OK,0.6902548,-0.0723078,0.1961634,-0.6927047,255.809,49.171,-1619.265,0.1849140,3,OK,255.806,49.138,-1619.270,OK,173.481,80.207,-1579.950,OK,259.272,137.666,-1603.999,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807342022,1780681300.368639178,1,OK,0.9164632,0.1644724,0.1470666,-0.3337896,37.781,34.236,-1642.100,0.4041194,3,OK,38.104,33.862,-1642.323,OK,47.933,125.324,-1603.568,OK,-30.820,87.061,-1606.570
3,Port 0x01: JJH Probe  s/n:3E4C880C,807342025,1780681300.418639185,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807342025,1780681300.418639185,1,OK,0.6903215,-0.0718779,0.1961608,-0.6926837,255.803,49.125,-1619.201,0.1768681,3,OK,255.787,49.087,-1619.201,OK,173.474,80.141,-1579.926,OK,259.254,137.616,-1603.875,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807342025,1780681300.418639185,1,OK,0.9163557,0.1649098,0.1473635,-0.3337378,37.771,34.254,-1642.179,0.4187812,3,OK,38.103,33.863,-1642.411,OK,47.930,125.310,-1603.549,OK,-30.824,87.053,-1606.569
3,Port 0x01: JJH Probe  s/n:3E4C880C,807342028,1780681300.468639178,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807342028,1780681300.468639178,1,OK,0.6902291,-0.0724222,0.1956212,-0.6928716,255.868,49.168,-1619.258,0.1849912,3,OK,255.834,49.149,-1619.247,OK,173.544,80.237,-1580.035,OK,259.342,137.681,-1604.078,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807342028,1780681300.468639178,1,OK,0.9163903,0.1648693,0.1472146,-0.3337285,37.831,34.257,-1642.160,0.4166832,3,OK,38.164,33.872,-1642.390,OK,47.982,125.316,-1603.547,OK,-30.777,87.061,-1606.578
3,Port 0x01: JJH Probe  s/n:3E4C880C,807342031,1780681300.518639178,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807342031,1780681300.518639178,1,OK,0.6901751,-0.0723740,0.1960009,-0.6928232,255.822,49.205,-1619.328,0.1770611,3,OK,255.814,49.164,-1619.333,OK,173.513,80.280,-1580.040,OK,259.294,137.710,-1604.090,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807342031,1780681300.518639178,1,OK,0.9164490,0.1643291,0.1472839,-0.3338034,37.768,34.227,-1642.103,0.4102488,3,OK,38.098,33.850,-1642.329,OK,47.929,125.318,-1603.587,OK,-30.822,87.058,-1606.541
3,Port 0x01: JJH Probe  s/n:3E4C880C,807342034,1780681300.568639178,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807342034,1780681300.568639178,1,OK,0.6901247,-0.0722674,0.1965145,-0.6927390,255.835,49.172,-1619.349,0.1800763,3,OK,255.838,49.124,-1619.359,OK,173.540,80.223,-1579.979,OK,259.321,137.664,-1604.034,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807342034,1780681300.568639178,1,OK,0.9164425,0.1644206,0.1473440,-0.3337496,37.805,34.233,-1642.108,0.4136718,3,OK,38.137,33.852,-1642.336,OK,47.963,125.320,-1603.571,OK,-30.796,87.050,-1606.530
3,Port 0x01: JJH Probe  s/n:3E4C880C,807342037,1780681300.618639178,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807342037,1780681300.618639178,1,OK,0.6901547,-0.0718999,0.1964403,-0.6927685,255.856,49.167,-1619.345,0.1696701,3,OK,255.860,49.123,-1619.355,OK,173.550,80.219,-1580.017,OK,259.335,137.643,-1603.991,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807342037,1780681300.618639178,1,OK,0.9164333,0.1646365,0.1471158,-0.3337690,37.815,34.230,-1642.123,0.4076749,3,OK,38.140,33.851,-1642.348,OK,47.964,125.306,-1603.557,OK,-30.783,87.047,-1606.574
