Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,807242473,1780679641.218646409,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807242473,1780679641.218646409,1,OK,0.7187937,0.0332113,0.2989262,-0.6267981,235.908,22.782,-1567.807,0.1903650,3,OK,235.746,22.655,-1567.796,OK,152.044,33.962,-1522.304,OK,232.738,102.018,-1525.435,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807242473,1780679641.218646409,1,OK,0.9242421,0.1816490,0.0902605,-0.3234706,18.333,34.424,-1643.243,0.3846964,3,OK,18.665,34.068,-1643.413,OK,23.773,125.754,-1604.308,OK,-54.076,87.384,-1616.604
3,Port 0x01: JJH Probe  s/n:3E4C880C,807242476,1780679641.268646408,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807242476,1780679641.268646408,1,OK,0.7188158,0.0328359,0.2988987,-0.6268056,235.924,22.796,-1567.844,0.1797457,3,OK,235.782,22.665,-1567.844,OK,152.061,33.987,-1522.303,OK,232.751,102.055,-1525.517,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807242476,1780679641.268646408,1,OK,0.9242784,0.1814990,0.0901555,-0.3234804,18.358,34.408,-1643.232,0.3846692,3,OK,18.690,34.052,-1643.403,OK,23.797,125.753,-1604.329,OK,-54.057,87.376,-1616.620
3,Port 0x01: JJH Probe  s/n:3E4C880C,807242479,1780679641.318646409,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807242479,1780679641.318646409,1,OK,0.7187245,0.0328034,0.2992644,-0.6267374,235.898,22.845,-1567.931,0.1724626,3,OK,235.778,22.703,-1567.947,OK,152.048,34.022,-1522.321,OK,232.741,102.085,-1525.561,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807242479,1780679641.318646409,1,OK,0.9243216,0.1811214,0.0902014,-0.3235558,18.324,34.398,-1643.208,0.3806421,3,OK,18.657,34.053,-1643.373,OK,23.779,125.758,-1604.376,OK,-54.082,87.386,-1616.607
3,Port 0x01: JJH Probe  s/n:3E4C880C,807242482,1780679641.368646409,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807242482,1780679641.368646409,1,OK,0.7187620,0.0323395,0.2987174,-0.6269794,235.921,22.830,-1567.912,0.1666680,3,OK,235.786,22.714,-1567.908,OK,152.055,34.061,-1522.343,OK,232.780,102.127,-1525.676,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807242482,1780679641.368646409,1,OK,0.9242629,0.1816830,0.0899859,-0.3234685,18.349,34.410,-1643.227,0.3892177,3,OK,18.683,34.047,-1643.400,OK,23.775,125.747,-1604.299,OK,-54.071,87.382,-1616.632
3,Port 0x01: JJH Probe  s/n:3E4C880C,807242485,1780679641.418646409,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807242485,1780679641.418646409,1,OK,0.7187970,0.0325441,0.2986836,-0.6269448,235.953,22.862,-1567.901,0.1774601,3,OK,235.803,22.743,-1567.892,OK,152.093,34.087,-1522.365,OK,232.794,102.148,-1525.641,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807242485,1780679641.418646409,1,OK,0.9243227,0.1814426,0.0896329,-0.3235308,18.379,34.394,-1643.149,0.3697492,3,OK,18.698,34.052,-1643.312,OK,23.811,125.754,-1604.284,OK,-54.041,87.379,-1616.634
3,Port 0x01: JJH Probe  s/n:3E4C880C,807242488,1780679641.468646409,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807242488,1780679641.468646409,1,OK,0.7187438,0.0322776,0.2986188,-0.6270505,235.919,22.872,-1567.941,0.1701162,3,OK,235.792,22.740,-1567.949,OK,152.059,34.135,-1522.376,OK,232.770,102.183,-1525.717,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807242488,1780679641.468646409,1,OK,0.9242262,0.1817121,0.0901645,-0.3235073,18.320,34.407,-1643.250,0.3938156,3,OK,18.656,34.038,-1643.427,OK,23.762,125.743,-1604.306,OK,-54.092,87.379,-1616.621
3,Port 0x01: JJH Probe  s/n:3E4C880C,807242491,1780679641.518646408,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807242491,1780679641.518646408,1,OK,0.7186144,0.0323619,0.2992145,-0.6269104,235.930,22.943,-1568.039,0.1753034,3,OK,235.834,22.780,-1568.078,OK,152.092,34.177,-1522.379,OK,232.797,102.228,-1525.720,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807242491,1780679641.518646408,1,OK,0.9242265,0.1815841,0.0905567,-0.3234689,18.342,34.417,-1643.252,0.3951330,3,OK,18.678,34.046,-1643.430,OK,23.785,125.751,-1604.310,OK,-54.054,87.376,-1616.563
3,Port 0x01: JJH Probe  s/n:3E4C880C,807242494,1780679641.568646409,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807242494,1780679641.568646409,1,OK,0.7185907,0.0322568,0.2992051,-0.6269475,235.916,22.967,-1568.056,0.1734263,3,OK,235.820,22.806,-1568.093,OK,152.081,34.209,-1522.386,OK,232.793,102.260,-1525.752,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807242494,1780679641.568646409,1,OK,0.9242434,0.1815689,0.0903231,-0.3234943,18.331,34.402,-1643.229,0.3946493,3,OK,18.672,34.037,-1643.404,OK,23.775,125.736,-1604.305,OK,-54.079,87.373,-1616.579
3,Port 0x01: JJH Probe  s/n:3E4C880C,807242497,1780679641.618646409,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807242497,1780679641.618646409,1,OK,0.7186039,0.0323718,0.2991155,-0.6269693,235.921,22.998,-1568.082,0.1801904,3,OK,235.816,22.834,-1568.116,OK,152.085,34.245,-1522.440,OK,232.793,102.293,-1525.774,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807242497,1780679641.618646409,1,OK,0.9242650,0.1814862,0.0903140,-0.3234817,18.324,34.416,-1643.220,0.3867263,3,OK,18.659,34.061,-1643.391,OK,23.767,125.753,-1604.313,OK,-54.085,87.382,-1616.580
3,Port 0x01: JJH Probe  s/n:3E4C880C,807242500,1780679641.668646409,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807242500,1780679641.668646409,1,OK,0.7185835,0.0323387,0.2990403,-0.6270301,235.956,23.010,-1568.106,0.1775378,3,OK,235.848,22.853,-1568.136,OK,152.117,34.270,-1522.471,OK,232.837,102.311,-1525.815,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807242500,1780679641.668646409,1,OK,0.9242625,0.1814303,0.0904837,-0.3234727,18.360,34.408,-1643.220,0.3876691,3,OK,18.698,34.055,-1643.390,OK,23.804,125.738,-1604.317,OK,-54.043,87.372,-1616.552
