Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,807117964,1780677566.068762571,1,OK,0.7134086,0.2005835,0.5074804,0.4396341,143.253,-129.529,-1710.767,0.1859526,3,OK,131.433,-232.222,-1645.551,OK,121.340,-317.092,-1589.504,OK,127.986,-362.089,-1586.498,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807117964,1780677566.068762571,1,OK,0.6330808,-0.1902160,0.0875326,-0.7452279,268.709,47.639,-1671.237,0.0560581,3,OK,268.720,47.636,-1671.241,OK,191.262,97.701,-1643.819,OK,279.959,135.258,-1686.701,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807117964,1780677566.068762571,1,OK,0.9136223,0.1308855,0.1119260,-0.3682878,41.803,35.115,-1654.725,0.4869476,3,OK,42.116,34.563,-1654.949,OK,57.075,128.688,-1624.489,OK,-23.941,95.491,-1626.528
3,Port 0x01: JJH Probe  s/n:3E4C880C,807117967,1780677566.118762571,1,OK,0.7151394,0.2012888,0.5048123,0.4395713,143.167,-129.523,-1710.859,0.1853433,3,OK,130.678,-232.343,-1645.970,OK,120.021,-317.323,-1590.192,OK,126.501,-362.352,-1587.273,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807117967,1780677566.118762571,1,OK,0.6329944,-0.1907551,0.0871013,-0.7452141,268.673,47.672,-1671.161,0.0458992,3,OK,268.667,47.668,-1671.159,OK,191.228,97.745,-1643.788,OK,279.919,135.287,-1686.755,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807117967,1780677566.118762571,1,OK,0.9136646,0.1307802,0.1116455,-0.3683054,41.762,35.140,-1654.648,0.4790624,3,OK,42.071,34.598,-1654.868,OK,57.026,128.719,-1624.446,OK,-23.989,95.525,-1626.507
3,Port 0x01: JJH Probe  s/n:3E4C880C,807117970,1780677566.168762571,1,OK,0.7166469,0.2013801,0.5026792,0.4395190,143.222,-129.638,-1710.987,0.1777543,3,OK,130.206,-232.503,-1646.307,OK,119.085,-317.543,-1590.656,OK,125.463,-362.607,-1587.801,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807117970,1780677566.168762571,1,OK,0.6330353,-0.1900504,0.0880577,-0.7452469,268.719,47.641,-1671.328,0.0569450,3,OK,268.738,47.634,-1671.336,OK,191.292,97.707,-1643.826,OK,279.989,135.270,-1686.711,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807117970,1780677566.168762571,1,OK,0.9135842,0.1312280,0.1119548,-0.3682517,41.824,35.134,-1654.739,0.4955742,3,OK,42.140,34.571,-1654.968,OK,57.093,128.694,-1624.435,OK,-23.928,95.498,-1626.513
3,Port 0x01: JJH Probe  s/n:3E4C880C,807117973,1780677566.218733571,1,OK,0.7174543,0.2005095,0.5015523,0.4398870,143.228,-129.690,-1711.140,0.1515663,3,OK,130.015,-232.511,-1646.483,OK,118.756,-317.609,-1590.887,OK,125.095,-362.636,-1587.926,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807117973,1780677566.218733571,1,OK,0.6331417,-0.1897592,0.0874625,-0.7453008,268.729,47.659,-1671.260,0.0832622,3,OK,268.735,47.644,-1671.261,OK,191.296,97.723,-1643.895,OK,279.968,135.286,-1686.660,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807117973,1780677566.218733571,1,OK,0.9136815,0.1305618,0.1117752,-0.3683017,41.820,35.131,-1654.647,0.4698337,3,OK,42.130,34.606,-1654.862,OK,57.090,128.710,-1624.484,OK,-23.931,95.515,-1626.499
3,Port 0x01: JJH Probe  s/n:3E4C880C,807117976,1780677566.268733571,1,OK,0.7169709,0.2007421,0.5022998,0.4397162,143.170,-129.639,-1711.054,0.1631198,3,OK,130.102,-232.462,-1646.338,OK,118.959,-317.512,-1590.693,OK,125.326,-362.552,-1587.749,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807117976,1780677566.268733571,1,OK,0.6331226,-0.1897560,0.0877570,-0.7452833,268.673,47.661,-1671.304,0.0895168,3,OK,268.690,47.648,-1671.310,OK,191.253,97.732,-1643.888,OK,279.908,135.283,-1686.665,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807117976,1780677566.268733571,1,OK,0.9136990,0.1304273,0.1118681,-0.3682777,41.780,35.119,-1654.617,0.4783265,3,OK,42.096,34.584,-1654.836,OK,57.047,128.706,-1624.474,OK,-23.976,95.506,-1626.461
3,Port 0x01: JJH Probe  s/n:3E4C880C,807117979,1780677566.318733571,1,OK,0.7164661,0.2001006,0.5025268,0.4405712,143.256,-129.560,-1710.919,0.1751266,3,OK,130.431,-232.424,-1646.192,OK,119.487,-317.479,-1590.546,OK,125.965,-362.497,-1587.609,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807117979,1780677566.318733571,1,OK,0.6331617,-0.1897733,0.0879106,-0.7452276,268.729,47.664,-1671.323,0.0852452,3,OK,268.755,47.661,-1671.334,OK,191.297,97.723,-1643.871,OK,279.960,135.278,-1686.667,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807117979,1780677566.318733571,1,OK,0.9136840,0.1305537,0.1119974,-0.3682308,41.822,35.135,-1654.673,0.4791834,3,OK,42.143,34.604,-1654.891,OK,57.085,128.707,-1624.502,OK,-23.938,95.511,-1626.485
3,Port 0x01: JJH Probe  s/n:3E4C880C,807117982,1780677566.368733571,1,OK,0.7152657,0.2006766,0.5047517,0.4397153,143.186,-129.596,-1711.022,0.1776417,3,OK,130.723,-232.359,-1646.091,OK,120.053,-317.327,-1590.196,OK,126.591,-362.362,-1587.299,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807117982,1780677566.368733571,1,OK,0.6330759,-0.1902443,0.0869197,-0.7452966,268.716,47.655,-1671.177,0.0749178,3,OK,268.692,47.640,-1671.165,OK,191.284,97.717,-1643.882,OK,279.958,135.286,-1686.717,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807117982,1780677566.368733571,1,OK,0.9136557,0.1308854,0.1118510,-0.3682277,41.810,35.143,-1654.707,0.4828038,3,OK,42.124,34.600,-1654.929,OK,57.065,128.711,-1624.477,OK,-23.947,95.513,-1626.524
3,Port 0x01: JJH Probe  s/n:3E4C880C,807117985,1780677566.418733571,1,OK,0.7156807,0.2000204,0.5041749,0.4400007,143.202,-129.563,-1710.933,0.1714756,3,OK,130.655,-232.313,-1645.979,OK,119.943,-317.268,-1590.134,OK,126.465,-362.296,-1587.144,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807117985,1780677566.418733571,1,OK,0.6330467,-0.1900325,0.0878795,-0.7452628,268.703,47.659,-1671.358,0.0636180,3,OK,268.721,47.649,-1671.364,OK,191.276,97.730,-1643.892,OK,279.964,135.286,-1686.756,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807117985,1780677566.418733571,1,OK,0.9137363,0.1304423,0.1115140,-0.3682871,41.803,35.128,-1654.605,0.4632575,3,OK,42.113,34.613,-1654.816,OK,57.063,128.712,-1624.479,OK,-23.965,95.517,-1626.510
3,Port 0x01: JJH Probe  s/n:3E4C880C,807117988,1780677566.468733571,1,OK,0.7159485,0.2007469,0.5039064,0.4395416,143.226,-129.594,-1711.050,0.1701617,3,OK,130.514,-232.364,-1646.173,OK,119.659,-317.350,-1590.370,OK,126.110,-362.383,-1587.428,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807117988,1780677566.468733571,1,OK,0.6330661,-0.1898810,0.0877229,-0.7453034,268.738,47.654,-1671.306,0.0686300,3,OK,268.742,47.649,-1671.307,OK,191.315,97.718,-1643.883,OK,280.002,135.282,-1686.701,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807117988,1780677566.468733571,1,OK,0.9136304,0.1306509,0.1122251,-0.3682598,41.813,35.141,-1654.703,0.4837960,3,OK,42.130,34.599,-1654.925,OK,57.091,128.714,-1624.500,OK,-23.929,95.511,-1626.470
3,Port 0x01: JJH Probe  s/n:3E4C880C,807117991,1780677566.518733571,1,OK,0.7163506,0.2005766,0.5036627,0.4392434,143.183,-129.583,-1711.026,0.1720896,3,OK,130.345,-232.317,-1646.101,OK,119.393,-317.259,-1590.284,OK,125.802,-362.298,-1587.296,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807117991,1780677566.518733571,1,OK,0.6330541,-0.1905521,0.0869701,-0.7452306,268.688,47.658,-1671.192,0.0502044,3,OK,268.674,47.657,-1671.186,OK,191.235,97.717,-1643.855,OK,279.934,135.277,-1686.773,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807117991,1780677566.518733571,1,OK,0.9135905,0.1308491,0.1123633,-0.3682464,41.762,35.148,-1654.741,0.4873405,3,OK,42.080,34.600,-1654.966,OK,57.043,128.709,-1624.495,OK,-23.976,95.507,-1626.472
