Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,807119854,1780677597.568613127,1,OK,0.5802694,0.3200626,-0.1884125,-0.7248090,60.790,-67.228,-1761.994,0.1804831,3,OK,74.743,50.819,-1733.777,OK,87.145,149.249,-1708.721,OK,74.244,192.315,-1715.035,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807119854,1780677597.568613127,1,OK,0.6331562,-0.1900865,0.0869346,-0.7452669,268.700,47.559,-1671.254,0.0772961,3,OK,268.684,47.552,-1671.246,OK,191.254,97.611,-1643.963,OK,279.926,135.182,-1686.764,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807119854,1780677597.568613127,1,OK,0.9136971,0.1305083,0.1114938,-0.3683672,41.808,35.012,-1654.556,0.4687646,3,OK,42.117,34.487,-1654.770,OK,57.077,128.596,-1624.417,OK,-23.940,95.416,-1626.459
3,Port 0x01: JJH Probe  s/n:3E4C880C,807119857,1780677597.618613128,1,OK,0.5797061,0.3204712,-0.1893897,-0.7248245,60.897,-67.166,-1762.311,0.1570926,3,OK,74.941,50.844,-1734.148,OK,87.460,149.323,-1709.084,OK,74.584,192.403,-1715.489,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807119857,1780677597.618613128,1,OK,0.6331184,-0.1900957,0.0869006,-0.7453006,268.731,47.565,-1671.219,0.0787024,3,OK,268.709,47.564,-1671.209,OK,191.294,97.621,-1643.936,OK,279.968,135.186,-1686.736,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807119857,1780677597.618613128,1,OK,0.9136258,0.1307346,0.1120524,-0.3682942,41.848,35.047,-1654.679,0.4796108,3,OK,42.165,34.511,-1654.899,OK,57.123,128.609,-1624.472,OK,-23.892,95.425,-1626.470
3,Port 0x01: JJH Probe  s/n:3E4C880C,807119860,1780677597.668613128,1,OK,0.5804715,0.3181932,-0.1884171,-0.7254687,60.818,-67.208,-1762.049,0.1711971,3,OK,74.995,50.868,-1734.127,OK,87.616,149.353,-1709.290,OK,74.718,192.419,-1715.678,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807119860,1780677597.668613128,1,OK,0.6331018,-0.1901778,0.0875223,-0.7452210,268.677,47.560,-1671.310,0.0611681,3,OK,268.680,47.563,-1671.312,OK,191.237,97.614,-1643.899,OK,279.921,135.177,-1686.767,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807119860,1780677597.668613128,1,OK,0.9136015,0.1310256,0.1119756,-0.3682743,41.794,35.043,-1654.672,0.4801141,3,OK,42.105,34.501,-1654.893,OK,57.067,128.601,-1624.410,OK,-23.949,95.407,-1626.459
3,Port 0x01: JJH Probe  s/n:3E4C880C,807119863,1780677597.718613128,1,OK,0.5799380,0.3198693,-0.1891196,-0.7249754,60.869,-67.163,-1762.273,0.1731542,3,OK,74.941,50.874,-1734.172,OK,87.470,149.357,-1709.178,OK,74.599,192.407,-1715.569,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807119863,1780677597.718613128,1,OK,0.6331337,-0.1900704,0.0880306,-0.7451615,268.705,47.569,-1671.402,0.0644284,3,OK,268.724,47.572,-1671.411,OK,191.271,97.615,-1643.902,OK,279.945,135.189,-1686.782,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807119863,1780677597.718613128,1,OK,0.9137033,0.1304271,0.1116043,-0.3683471,41.816,35.026,-1654.589,0.4638083,3,OK,42.120,34.505,-1654.802,OK,57.089,128.616,-1624.460,OK,-23.930,95.420,-1626.482
3,Port 0x01: JJH Probe  s/n:3E4C880C,807119866,1780677597.768613128,1,OK,0.5795821,0.3207616,-0.1894561,-0.7247778,60.858,-67.195,-1762.199,0.1581567,3,OK,74.895,50.811,-1733.990,OK,87.397,149.269,-1708.898,OK,74.536,192.361,-1715.287,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807119866,1780677597.768613128,1,OK,0.6331417,-0.1903956,0.0867150,-0.7452258,268.732,47.560,-1671.195,0.0713198,3,OK,268.711,47.555,-1671.186,OK,191.279,97.612,-1643.922,OK,279.949,135.179,-1686.774,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807119866,1780677597.768613128,1,OK,0.9137070,0.1306270,0.1114201,-0.3683229,41.833,35.015,-1654.579,0.4677799,3,OK,42.140,34.491,-1654.793,OK,57.091,128.596,-1624.420,OK,-23.923,95.410,-1626.488
3,Port 0x01: JJH Probe  s/n:3E4C880C,807119869,1780677597.818613128,1,OK,0.5788565,0.3219347,-0.1893617,-0.7248623,60.804,-67.197,-1762.055,0.1653515,3,OK,74.868,50.750,-1733.581,OK,87.375,149.145,-1708.284,OK,74.570,192.250,-1714.595,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807119869,1780677597.818613128,1,OK,0.6331208,-0.1901518,0.0872271,-0.7452461,268.678,47.569,-1671.269,0.0655623,3,OK,268.673,47.565,-1671.266,OK,191.232,97.624,-1643.916,OK,279.916,135.191,-1686.757,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807119869,1780677597.818613128,1,OK,0.9136327,0.1308530,0.1117594,-0.3683240,41.787,35.043,-1654.641,0.4761915,3,OK,42.098,34.509,-1654.859,OK,57.056,128.605,-1624.424,OK,-23.956,95.427,-1626.475
3,Port 0x01: JJH Probe  s/n:3E4C880C,807119872,1780677597.868613128,1,OK,0.5782319,0.3240936,-0.1898694,-0.7242657,60.866,-67.210,-1762.078,0.1742573,3,OK,74.774,50.696,-1733.313,OK,87.141,149.034,-1707.774,OK,74.355,192.137,-1714.057,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807119872,1780677597.868613128,1,OK,0.6331826,-0.1899840,0.0875821,-0.7451947,268.729,47.564,-1671.338,0.0695243,3,OK,268.741,47.565,-1671.343,OK,191.279,97.610,-1643.927,OK,279.958,135.180,-1686.755,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807119872,1780677597.868613128,1,OK,0.9136954,0.1304179,0.1117755,-0.3683179,41.840,35.018,-1654.608,0.4670041,3,OK,42.150,34.498,-1654.821,OK,57.109,128.598,-1624.474,OK,-23.906,95.408,-1626.470
3,Port 0x01: JJH Probe  s/n:3E4C880C,807119875,1780677597.918613128,1,OK,0.5784028,0.3229168,-0.1879710,-0.7251495,60.838,-67.231,-1761.965,0.1773039,3,OK,74.879,50.626,-1733.070,OK,87.345,148.929,-1707.443,OK,74.552,192.038,-1713.578,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807119875,1780677597.918613128,1,OK,0.6331853,-0.1899518,0.0879977,-0.7451518,268.726,47.567,-1671.355,0.0710187,3,OK,268.753,47.565,-1671.367,OK,191.281,97.612,-1643.868,OK,279.955,135.186,-1686.718,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807119875,1780677597.918613128,1,OK,0.9136256,0.1308493,0.1120090,-0.3682673,41.848,35.047,-1654.673,0.4856794,3,OK,42.166,34.503,-1654.896,OK,57.114,128.609,-1624.444,OK,-23.898,95.423,-1626.463
3,Port 0x01: JJH Probe  s/n:3E4C880C,807119878,1780677597.968613128,1,OK,0.5782384,0.3238320,-0.1885257,-0.7247284,60.776,-67.258,-1761.803,0.1718798,3,OK,74.722,50.604,-1732.852,OK,87.118,148.880,-1707.169,OK,74.309,192.013,-1713.339,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807119878,1780677597.968613128,1,OK,0.6331688,-0.1899074,0.0873173,-0.7452571,268.667,47.566,-1671.275,0.0737893,3,OK,268.662,47.562,-1671.272,OK,191.225,97.613,-1643.923,OK,279.903,135.191,-1686.716,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807119878,1780677597.968613128,1,OK,0.9136726,0.1306555,0.1117491,-0.3682984,41.781,35.045,-1654.629,0.4627571,3,OK,42.089,34.530,-1654.840,OK,57.047,128.610,-1624.452,OK,-23.964,95.424,-1626.481
3,Port 0x01: JJH Probe  s/n:3E4C880C,807119881,1780677598.018613128,1,OK,0.5782881,0.3241178,-0.1879128,-0.7247202,60.832,-67.248,-1761.839,0.1755482,3,OK,74.720,50.588,-1732.751,OK,87.053,148.843,-1706.967,OK,74.235,191.972,-1713.066,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,807119881,1780677598.018613128,1,OK,0.6331503,-0.1903697,0.0871325,-0.7451765,268.737,47.565,-1671.252,0.0566342,3,OK,268.727,47.562,-1671.247,OK,191.282,97.606,-1643.897,OK,279.966,135.190,-1686.782,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,807119881,1780677598.018613128,1,OK,0.9136793,0.1306187,0.1118051,-0.3682777,41.844,35.029,-1654.598,0.4736708,3,OK,42.157,34.499,-1654.815,OK,57.108,128.603,-1624.423,OK,-23.907,95.410,-1626.441
