Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,832699540,1781103925.668708158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832699540,1781103925.668708158,1,OK,0.6747582,0.2208231,0.0292338,-0.7036220,251.175,175.858,-1559.791,0.4131404,3,OK,250.885,175.653,-1559.955,OK,164.869,215.895,-1570.711,OK,250.245,260.134,-1528.341,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832699540,1781103925.668708158,1,OK,0.6964606,0.1677312,0.5005231,-0.4860921,-28.374,152.999,-1514.883,0.5168379,3,OK,-28.602,152.583,-1515.285,OK,37.897,220.736,-1484.636,OK,-30.456,200.736,-1434.705
3,Port 0x01: JJH Probe  s/n:3E4C880C,832699543,1781103925.718708158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832699543,1781103925.718708158,1,OK,0.6748011,0.2204178,0.0295760,-0.7036937,251.207,175.871,-1559.839,0.4216788,3,OK,250.925,175.649,-1560.007,OK,164.890,215.907,-1570.665,OK,250.284,260.156,-1528.397,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832699543,1781103925.718708158,1,OK,0.6964206,0.1676869,0.5006468,-0.4860374,-28.360,153.008,-1514.867,0.5084136,3,OK,-28.579,152.595,-1515.275,OK,37.916,220.746,-1484.642,OK,-30.444,200.736,-1434.662
3,Port 0x01: JJH Probe  s/n:3E4C880C,832699546,1781103925.768708158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832699546,1781103925.768708158,1,OK,0.6748143,0.2206073,0.0295933,-0.7036209,251.214,175.860,-1559.817,0.4169673,3,OK,250.929,175.645,-1559.984,OK,164.891,215.884,-1570.660,OK,250.281,260.135,-1528.351,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832699546,1781103925.768708158,1,OK,0.6964590,0.1676869,0.5005151,-0.4861179,-28.350,152.992,-1514.873,0.5097803,3,OK,-28.577,152.580,-1515.270,OK,37.928,220.734,-1484.641,OK,-30.435,200.733,-1434.698
3,Port 0x01: JJH Probe  s/n:3E4C880C,832699549,1781103925.818708158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832699549,1781103925.818708158,1,OK,0.6747519,0.2206531,0.0291062,-0.7036867,251.184,175.852,-1559.781,0.4132190,3,OK,250.900,175.641,-1559.945,OK,164.880,215.903,-1570.707,OK,250.263,260.141,-1528.366,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832699549,1781103925.818708158,1,OK,0.6964281,0.1676166,0.5006160,-0.4860826,-28.381,153.004,-1514.893,0.5084483,3,OK,-28.606,152.591,-1515.294,OK,37.899,220.752,-1484.677,OK,-30.459,200.741,-1434.708
3,Port 0x01: JJH Probe  s/n:3E4C880C,832699552,1781103925.868708158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832699552,1781103925.868708158,1,OK,0.6748466,0.2202003,0.0295474,-0.7037193,251.196,175.856,-1559.806,0.4193365,3,OK,250.919,175.638,-1559.971,OK,164.876,215.891,-1570.620,OK,250.272,260.142,-1528.400,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832699552,1781103925.868708158,1,OK,0.6964297,0.1677784,0.5006665,-0.4859724,-28.375,153.013,-1514.873,0.5185810,3,OK,-28.597,152.593,-1515.288,OK,37.893,220.747,-1484.619,OK,-30.458,200.730,-1434.658
3,Port 0x01: JJH Probe  s/n:3E4C880C,832699555,1781103925.918708158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832699555,1781103925.918708158,1,OK,0.6747711,0.2203939,0.0290494,-0.7037519,251.187,175.838,-1559.734,0.4129056,3,OK,250.908,175.626,-1559.898,OK,164.884,215.895,-1570.649,OK,250.277,260.137,-1528.360,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832699555,1781103925.918708158,1,OK,0.6964329,0.1676950,0.5005996,-0.4860656,-28.376,153.000,-1514.855,0.5095445,3,OK,-28.596,152.589,-1515.258,OK,37.895,220.734,-1484.625,OK,-30.457,200.732,-1434.662
3,Port 0x01: JJH Probe  s/n:3E4C880C,832699558,1781103925.968708158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832699558,1781103925.968708158,1,OK,0.6748443,0.2200564,0.0291399,-0.7037835,251.195,175.850,-1559.745,0.4117987,3,OK,250.917,175.644,-1559.905,OK,164.884,215.896,-1570.620,OK,250.289,260.152,-1528.405,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832699558,1781103925.968708158,1,OK,0.6964236,0.1676962,0.5006220,-0.4860553,-28.375,153.010,-1514.870,0.5073634,3,OK,-28.593,152.600,-1515.274,OK,37.899,220.744,-1484.642,OK,-30.457,200.739,-1434.672
3,Port 0x01: JJH Probe  s/n:3E4C880C,832699561,1781103926.018708158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832699561,1781103926.018708158,1,OK,0.6748398,0.2203924,0.0295370,-0.7036661,251.214,175.856,-1559.801,0.4117785,3,OK,250.944,175.635,-1559.965,OK,164.882,215.889,-1570.636,OK,250.285,260.138,-1528.370,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832699561,1781103926.018708158,1,OK,0.6965487,0.1675570,0.5004170,-0.4861351,-28.362,152.976,-1514.834,0.5003058,3,OK,-28.589,152.577,-1515.209,OK,37.898,220.737,-1484.615,OK,-30.459,200.730,-1434.699
3,Port 0x01: JJH Probe  s/n:3E4C880C,832699564,1781103926.068708158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832699564,1781103926.068708158,1,OK,0.6747674,0.2205870,0.0291014,-0.7036927,251.165,175.851,-1559.741,0.4099139,3,OK,250.878,175.652,-1559.903,OK,164.860,215.897,-1570.665,OK,250.248,260.136,-1528.338,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832699564,1781103926.068708158,1,OK,0.6964570,0.1677438,0.5006165,-0.4859968,-28.389,153.007,-1514.868,0.5162117,3,OK,-28.609,152.591,-1515.280,OK,37.873,220.742,-1484.620,OK,-30.476,200.734,-1434.662
3,Port 0x01: JJH Probe  s/n:3E4C880C,832699567,1781103926.118708158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832699567,1781103926.118708158,1,OK,0.6748246,0.2204353,0.0294876,-0.7036693,251.203,175.868,-1559.806,0.4141746,3,OK,250.927,175.653,-1559.969,OK,164.882,215.904,-1570.650,OK,250.271,260.145,-1528.378,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832699567,1781103926.118708158,1,OK,0.6965000,0.1676251,0.5005089,-0.4860869,-28.371,152.997,-1514.863,0.4999242,3,OK,-28.592,152.595,-1515.250,OK,37.897,220.747,-1484.642,OK,-30.467,200.737,-1434.696
