Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,832705186,1781104019.768708156,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832705186,1781104019.768708156,1,OK,0.6796623,0.2091262,0.0270443,-0.7025624,250.124,177.787,-1556.784,0.4112287,3,OK,249.848,177.573,-1556.938,OK,163.362,216.917,-1567.425,OK,248.887,262.684,-1527.103,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832705186,1781104019.768708156,1,OK,0.7036276,0.1730356,0.4901383,-0.4844908,-32.786,153.483,-1512.574,0.5253958,3,OK,-33.009,153.053,-1512.993,OK,32.617,221.363,-1480.762,OK,-37.076,201.505,-1432.641
3,Port 0x01: JJH Probe  s/n:3E4C880C,832705189,1781104019.818708156,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832705189,1781104019.818708156,1,OK,0.6796668,0.2092139,0.0278682,-0.7024998,250.172,177.814,-1556.874,0.4270042,3,OK,249.891,177.590,-1557.033,OK,163.403,216.925,-1567.374,OK,248.913,262.677,-1527.085,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832705189,1781104019.818708156,1,OK,0.7036143,0.1728839,0.4902184,-0.4844832,-32.752,153.474,-1512.572,0.5151803,3,OK,-32.969,153.047,-1512.992,OK,32.659,221.368,-1480.801,OK,-37.047,201.502,-1432.629
3,Port 0x01: JJH Probe  s/n:3E4C880C,832705192,1781104019.868708156,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832705192,1781104019.868708156,1,OK,0.6796851,0.2090516,0.0272151,-0.7025560,250.134,177.793,-1556.809,0.4135468,3,OK,249.868,177.571,-1556.963,OK,163.366,216.924,-1567.413,OK,248.887,262.686,-1527.120,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832705192,1781104019.868708156,1,OK,0.7036517,0.1728587,0.4901256,-0.4845318,-32.788,153.467,-1512.532,0.5108721,3,OK,-33.007,153.048,-1512.937,OK,32.617,221.364,-1480.760,OK,-37.084,201.504,-1432.616
3,Port 0x01: JJH Probe  s/n:3E4C880C,832705195,1781104019.918708156,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832705195,1781104019.918708156,1,OK,0.6796371,0.2094447,0.0271428,-0.7024881,250.140,177.780,-1556.802,0.4127260,3,OK,249.869,177.558,-1556.957,OK,163.377,216.912,-1567.449,OK,248.883,262.665,-1527.070,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832705195,1781104019.918708156,1,OK,0.7036160,0.1729334,0.4901693,-0.4845127,-32.780,153.472,-1512.559,0.5183642,3,OK,-33.003,153.046,-1512.971,OK,32.629,221.362,-1480.772,OK,-37.067,201.498,-1432.634
3,Port 0x01: JJH Probe  s/n:3E4C880C,832705198,1781104019.968708156,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832705198,1781104019.968708156,1,OK,0.6797217,0.2087433,0.0271550,-0.7026146,250.151,177.791,-1556.808,0.4152615,3,OK,249.885,177.568,-1556.962,OK,163.383,216.923,-1567.398,OK,248.913,262.697,-1527.165,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832705198,1781104019.968708156,1,OK,0.7037153,0.1729969,0.4899636,-0.4845541,-32.757,153.474,-1512.562,0.5189371,3,OK,-32.984,153.051,-1512.965,OK,32.643,221.366,-1480.752,OK,-37.067,201.511,-1432.662
3,Port 0x01: JJH Probe  s/n:3E4C880C,832705201,1781104020.018708156,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832705201,1781104020.018708156,1,OK,0.6796586,0.2091339,0.0268968,-0.7025694,250.124,177.786,-1556.785,0.4122385,3,OK,249.849,177.574,-1556.937,OK,163.371,216.923,-1567.449,OK,248.882,262.684,-1527.123,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832705201,1781104020.018708156,1,OK,0.7035871,0.1728487,0.4902086,-0.4845452,-32.788,153.471,-1512.576,0.5120094,3,OK,-33.007,153.047,-1512.990,OK,32.633,221.365,-1480.817,OK,-37.075,201.505,-1432.642
3,Port 0x01: JJH Probe  s/n:3E4C880C,832705204,1781104020.068708156,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832705204,1781104020.068708156,1,OK,0.6796219,0.2095447,0.0273132,-0.7024664,250.141,177.788,-1556.830,0.4161592,3,OK,249.863,177.569,-1556.987,OK,163.380,216.914,-1567.455,OK,248.880,262.662,-1527.066,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832705204,1781104020.068708156,1,OK,0.7036669,0.1728385,0.4900726,-0.4845705,-32.768,153.460,-1512.546,0.5126200,3,OK,-32.992,153.039,-1512.948,OK,32.640,221.362,-1480.775,OK,-37.064,201.504,-1432.643
3,Port 0x01: JJH Probe  s/n:3E4C880C,832705207,1781104020.118708156,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832705207,1781104020.118708156,1,OK,0.6796632,0.2090504,0.0267434,-0.7025957,250.131,177.782,-1556.757,0.4103111,3,OK,249.858,177.573,-1556.908,OK,163.382,216.925,-1567.442,OK,248.894,262.685,-1527.126,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832705207,1781104020.118708156,1,OK,0.7036451,0.1726752,0.4901591,-0.4845729,-32.773,153.462,-1512.555,0.4978675,3,OK,-32.990,153.052,-1512.949,OK,32.641,221.377,-1480.827,OK,-37.066,201.510,-1432.653
3,Port 0x01: JJH Probe  s/n:3E4C880C,832705210,1781104020.168708156,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832705210,1781104020.168708156,1,OK,0.6796578,0.2094146,0.0274620,-0.7024647,250.153,177.802,-1556.858,0.4147183,3,OK,249.880,177.584,-1557.012,OK,163.383,216.923,-1567.447,OK,248.889,262.670,-1527.094,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832705210,1781104020.168708156,1,OK,0.7037423,0.1728272,0.4899299,-0.4846094,-32.764,153.449,-1512.534,0.5118855,3,OK,-32.993,153.034,-1512.922,OK,32.632,221.359,-1480.753,OK,-37.068,201.503,-1432.666
3,Port 0x01: JJH Probe  s/n:3E4C880C,832705213,1781104020.218708160,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832705213,1781104020.218708160,1,OK,0.6796691,0.2091286,0.0267968,-0.7025646,250.135,177.782,-1556.745,0.4121352,3,OK,249.863,177.564,-1556.900,OK,163.382,216.919,-1567.429,OK,248.893,262.690,-1527.095,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832705213,1781104020.218708160,1,OK,0.7036092,0.1729417,0.4901837,-0.4845052,-32.777,153.484,-1512.587,0.5193321,3,OK,-32.994,153.057,-1513.008,OK,32.631,221.369,-1480.803,OK,-37.067,201.514,-1432.645
