Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,832686079,1781103701.318610113,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832686079,1781103701.318610113,1,OK,0.7373978,0.1468938,-0.0323425,-0.6584988,232.525,210.137,-1577.014,0.3486606,3,OK,232.343,209.898,-1577.103,OK,141.999,235.868,-1595.189,OK,220.573,298.277,-1563.965,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832686079,1781103701.318610113,1,OK,0.8536790,0.4424153,-0.0707580,-0.2655074,-82.657,153.204,-1686.608,0.5536653,3,OK,-82.284,152.688,-1687.005,OK,-101.137,221.177,-1616.074,OK,-161.791,201.537,-1675.678
3,Port 0x01: JJH Probe  s/n:3E4C880C,832686082,1781103701.368610113,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832686082,1781103701.368610113,1,OK,0.7374086,0.1472493,-0.0322907,-0.6584098,232.525,210.146,-1577.015,0.3443772,3,OK,232.350,209.909,-1577.103,OK,141.997,235.875,-1595.214,OK,220.551,298.272,-1563.921,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832686082,1781103701.368610113,1,OK,0.8535654,0.4426370,-0.0707610,-0.2655023,-82.654,153.215,-1686.606,0.5626550,3,OK,-82.278,152.687,-1687.017,OK,-101.137,221.171,-1616.021,OK,-161.795,201.542,-1675.673
3,Port 0x01: JJH Probe  s/n:3E4C880C,832686085,1781103701.418610113,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832686085,1781103701.418610113,1,OK,0.7374333,0.1472426,-0.0319015,-0.6584027,232.575,210.141,-1577.034,0.3428285,3,OK,232.403,209.902,-1577.121,OK,142.028,235.866,-1595.167,OK,220.594,298.258,-1563.890,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832686085,1781103701.418610113,1,OK,0.8536148,0.4425340,-0.0708694,-0.2654863,-82.611,153.203,-1686.587,0.5470198,3,OK,-82.242,152.690,-1686.983,OK,-101.090,221.168,-1616.030,OK,-161.756,201.533,-1675.685
3,Port 0x01: JJH Probe  s/n:3E4C880C,832686088,1781103701.468610113,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832686088,1781103701.468610113,1,OK,0.7372876,0.1472129,-0.0328430,-0.6585261,232.510,210.122,-1576.948,0.3419226,3,OK,232.334,209.882,-1577.036,OK,142.001,235.877,-1595.234,OK,220.575,298.270,-1563.925,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832686088,1781103701.468610113,1,OK,0.8535284,0.4427896,-0.0703164,-0.2654848,-82.639,153.244,-1686.644,0.5761351,3,OK,-82.265,152.705,-1687.070,OK,-101.119,221.166,-1616.005,OK,-161.778,201.531,-1675.624
3,Port 0x01: JJH Probe  s/n:3E4C880C,832686091,1781103701.518610113,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832686091,1781103701.518610113,1,OK,0.7373554,0.1471906,-0.0324327,-0.6584755,232.502,210.137,-1576.978,0.3477850,3,OK,232.324,209.893,-1577.067,OK,141.982,235.878,-1595.193,OK,220.545,298.276,-1563.906,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832686091,1781103701.518610113,1,OK,0.8535345,0.4427127,-0.0705718,-0.2655259,-82.668,153.229,-1686.624,0.5696186,3,OK,-82.293,152.695,-1687.043,OK,-101.144,221.171,-1616.010,OK,-161.806,201.543,-1675.651
3,Port 0x01: JJH Probe  s/n:3E4C880C,832686094,1781103701.568610113,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832686094,1781103701.568610113,1,OK,0.7373586,0.1472542,-0.0322243,-0.6584680,232.552,210.133,-1577.022,0.3445965,3,OK,232.374,209.894,-1577.111,OK,142.023,235.871,-1595.210,OK,220.595,298.266,-1563.915,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832686094,1781103701.568610113,1,OK,0.8536480,0.4424442,-0.0710868,-0.2654711,-82.615,153.190,-1686.537,0.5448410,3,OK,-82.239,152.679,-1686.926,OK,-101.104,221.171,-1616.016,OK,-161.763,201.541,-1675.675
3,Port 0x01: JJH Probe  s/n:3E4C880C,832686097,1781103701.618610113,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832686097,1781103701.618610113,1,OK,0.7373917,0.1470900,-0.0320855,-0.6584744,232.545,210.140,-1577.050,0.3464588,3,OK,232.372,209.895,-1577.138,OK,142.007,235.876,-1595.200,OK,220.583,298.273,-1563.945,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832686097,1781103701.618610113,1,OK,0.8536295,0.4425123,-0.0708870,-0.2654706,-82.633,153.207,-1686.575,0.5446680,3,OK,-82.264,152.697,-1686.968,OK,-101.114,221.173,-1616.027,OK,-161.780,201.538,-1675.678
3,Port 0x01: JJH Probe  s/n:3E4C880C,832686100,1781103701.668610113,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832686100,1781103701.668610113,1,OK,0.7374115,0.1466517,-0.0324555,-0.6585318,232.520,210.136,-1576.986,0.3489054,3,OK,232.344,209.896,-1577.074,OK,141.993,235.872,-1595.158,OK,220.571,298.277,-1563.983,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832686100,1781103701.668610113,1,OK,0.8537050,0.4423311,-0.0708473,-0.2655404,-82.656,153.196,-1686.534,0.5461811,3,OK,-82.281,152.687,-1686.921,OK,-101.123,221.178,-1616.020,OK,-161.795,201.543,-1675.625
3,Port 0x01: JJH Probe  s/n:3E4C880C,832686103,1781103701.718610113,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832686103,1781103701.718610113,1,OK,0.7374148,0.1469928,-0.0322523,-0.6584621,232.539,210.136,-1577.012,0.3491113,3,OK,232.368,209.887,-1577.101,OK,142.005,235.868,-1595.182,OK,220.573,298.276,-1563.942,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832686103,1781103701.718610113,1,OK,0.8536078,0.4425318,-0.0708536,-0.2655167,-82.645,153.201,-1686.586,0.5499758,3,OK,-82.274,152.685,-1686.984,OK,-101.119,221.167,-1616.027,OK,-161.785,201.536,-1675.676
3,Port 0x01: JJH Probe  s/n:3E4C880C,832686106,1781103701.768610113,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832686106,1781103701.768610113,1,OK,0.7373934,0.1469505,-0.0322028,-0.6584980,232.525,210.142,-1577.006,0.3510271,3,OK,232.344,209.899,-1577.096,OK,141.997,235.877,-1595.162,OK,220.569,298.280,-1563.933,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832686106,1781103701.768610113,1,OK,0.8536640,0.4424227,-0.0709184,-0.2655006,-82.651,153.204,-1686.564,0.5409766,3,OK,-82.281,152.698,-1686.951,OK,-101.125,221.180,-1616.035,OK,-161.793,201.544,-1675.673
