Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,832747678,1781104727.968577276,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832747678,1781104727.968577276,1,OK,0.7312563,0.1925641,0.0352242,-0.6534084,231.406,206.640,-1555.266,0.3731414,3,OK,231.203,206.408,-1555.392,OK,139.795,232.624,-1565.902,OK,218.274,291.318,-1528.064,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832747678,1781104727.968577276,1,OK,0.8507478,0.4523731,-0.1058237,-0.2457398,-76.992,153.056,-1695.527,0.5476493,3,OK,-76.617,152.559,-1695.889,OK,-101.458,221.091,-1626.931,OK,-156.823,201.188,-1691.266
3,Port 0x01: JJH Probe  s/n:3E4C880C,832747681,1781104728.018577276,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832747681,1781104728.018577276,1,OK,0.7313106,0.1924634,0.0351300,-0.6533824,231.395,206.665,-1555.293,0.3744991,3,OK,231.187,206.438,-1555.418,OK,139.787,232.638,-1565.937,OK,218.255,291.345,-1528.117,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832747681,1781104728.018577276,1,OK,0.8507906,0.4523272,-0.1058295,-0.2456737,-77.002,153.079,-1695.552,0.5462322,3,OK,-76.623,152.583,-1695.908,OK,-101.477,221.115,-1626.972,OK,-156.846,201.207,-1691.299
3,Port 0x01: JJH Probe  s/n:3E4C880C,832747684,1781104728.068577276,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832747684,1781104728.068577276,1,OK,0.7312834,0.1926469,0.0355414,-0.6533365,231.419,206.690,-1555.300,0.3798049,3,OK,231.206,206.457,-1555.429,OK,139.808,232.652,-1565.891,OK,218.274,291.354,-1528.048,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832747684,1781104728.068577276,1,OK,0.8507553,0.4524145,-0.1056702,-0.2457036,-76.985,153.109,-1695.567,0.5471089,3,OK,-76.614,152.612,-1695.933,OK,-101.449,221.135,-1626.950,OK,-156.824,201.221,-1691.287
3,Port 0x01: JJH Probe  s/n:3E4C880C,832747687,1781104728.118577276,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832747687,1781104728.118577276,1,OK,0.7312962,0.1924970,0.0351483,-0.6533877,231.414,206.676,-1555.299,0.3784200,3,OK,231.204,206.446,-1555.426,OK,139.812,232.652,-1565.940,OK,218.273,291.355,-1528.117,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832747687,1781104728.118577276,1,OK,0.8508532,0.4522236,-0.1056747,-0.2457141,-76.988,153.082,-1695.515,0.5504974,3,OK,-76.610,152.589,-1695.870,OK,-101.456,221.119,-1626.954,OK,-156.819,201.208,-1691.226
3,Port 0x01: JJH Probe  s/n:3E4C880C,832747690,1781104728.168577276,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832747690,1781104728.168577276,1,OK,0.7313186,0.1924060,0.0351874,-0.6533872,231.426,206.675,-1555.313,0.3759074,3,OK,231.215,206.449,-1555.439,OK,139.819,232.643,-1565.942,OK,218.289,291.356,-1528.135,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832747690,1781104728.168577276,1,OK,0.8507365,0.4524351,-0.1056423,-0.2457428,-76.984,153.089,-1695.568,0.5493278,3,OK,-76.615,152.592,-1695.935,OK,-101.447,221.110,-1626.950,OK,-156.811,201.204,-1691.272
3,Port 0x01: JJH Probe  s/n:3E4C880C,832747693,1781104728.218577276,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832747693,1781104728.218577276,1,OK,0.7312918,0.1922665,0.0350513,-0.6534656,231.385,206.626,-1555.228,0.3775501,3,OK,231.170,206.403,-1555.354,OK,139.786,232.609,-1565.865,OK,218.263,291.316,-1528.084,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832747693,1781104728.218577276,1,OK,0.8506103,0.4526523,-0.1056926,-0.2457581,-77.004,153.064,-1695.550,0.5569019,3,OK,-76.636,152.553,-1695.936,OK,-101.468,221.079,-1626.872,OK,-156.833,201.175,-1691.264
3,Port 0x01: JJH Probe  s/n:3E4C880C,832747696,1781104728.268577272,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832747696,1781104728.268577272,1,OK,0.7313292,0.1923439,0.0356372,-0.6533692,231.391,206.648,-1555.282,0.3832973,3,OK,231.184,206.408,-1555.412,OK,139.774,232.607,-1565.829,OK,218.247,291.321,-1528.052,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832747696,1781104728.268577272,1,OK,0.8507866,0.4523342,-0.1057269,-0.2457187,-77.012,153.064,-1695.529,0.5503421,3,OK,-76.637,152.566,-1695.892,OK,-101.480,221.098,-1626.939,OK,-156.843,201.187,-1691.251
3,Port 0x01: JJH Probe  s/n:3E4C880C,832747699,1781104728.318577272,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832747699,1781104728.318577272,1,OK,0.7312773,0.1925183,0.0354974,-0.6533836,231.427,206.644,-1555.317,0.3797811,3,OK,231.214,206.413,-1555.445,OK,139.818,232.613,-1565.902,OK,218.291,291.312,-1528.085,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832747699,1781104728.318577272,1,OK,0.8508402,0.4522104,-0.1058789,-0.2456957,-76.972,153.035,-1695.510,0.5404561,3,OK,-76.598,152.548,-1695.859,OK,-101.441,221.083,-1626.958,OK,-156.806,201.170,-1691.267
3,Port 0x01: JJH Probe  s/n:3E4C880C,832747702,1781104728.368577272,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832747702,1781104728.368577272,1,OK,0.7312939,0.1923914,0.0352532,-0.6534156,231.406,206.627,-1555.278,0.3797463,3,OK,231.194,206.397,-1555.406,OK,139.802,232.602,-1565.893,OK,218.272,291.309,-1528.093,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832747702,1781104728.368577272,1,OK,0.8508015,0.4523055,-0.1056022,-0.2457736,-76.996,153.046,-1695.549,0.5481645,3,OK,-76.626,152.553,-1695.910,OK,-101.449,221.077,-1626.957,OK,-156.818,201.167,-1691.245
3,Port 0x01: JJH Probe  s/n:3E4C880C,832747705,1781104728.418577272,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832747705,1781104728.418577272,1,OK,0.7312419,0.1927389,0.0351972,-0.6533744,231.380,206.629,-1555.237,0.3751784,3,OK,231.167,206.402,-1555.364,OK,139.778,232.609,-1565.893,OK,218.243,291.301,-1528.019,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832747705,1781104728.418577272,1,OK,0.8507362,0.4524861,-0.1053639,-0.2457697,-77.026,153.074,-1695.572,0.5631554,3,OK,-76.655,152.565,-1695.953,OK,-101.482,221.086,-1626.920,OK,-156.852,201.171,-1691.220
