Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,832759015,1781104916.918727373,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832759015,1781104916.918727373,1,OK,0.6849233,0.2483324,0.0569805,-0.6826157,247.906,178.949,-1557.944,0.4244028,3,OK,247.639,178.707,-1558.140,OK,159.675,215.067,-1567.057,OK,242.160,260.560,-1520.466,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832759015,1781104916.918727373,1,OK,0.7724385,0.2549596,0.3700222,-0.4487960,-62.207,152.652,-1557.542,0.6186923,3,OK,-62.300,152.075,-1558.190,OK,-10.149,219.936,-1505.535,OK,-92.235,199.993,-1482.623
3,Port 0x01: JJH Probe  s/n:3E4C880C,832759018,1781104916.968727373,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832759018,1781104916.968727373,1,OK,0.6851087,0.2477792,0.0569680,-0.6826318,247.922,179.050,-1558.185,0.4356668,3,OK,247.662,178.789,-1558.388,OK,159.682,215.144,-1567.259,OK,242.166,260.701,-1520.774,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832759018,1781104916.968727373,1,OK,0.7724328,0.2550563,0.3698628,-0.4488823,-62.238,152.655,-1557.545,0.6168337,3,OK,-62.339,152.080,-1558.188,OK,-10.177,219.932,-1505.521,OK,-92.264,200.005,-1482.649
3,Port 0x01: JJH Probe  s/n:3E4C880C,832759021,1781104917.018727373,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832759021,1781104917.018727373,1,OK,0.6852707,0.2471985,0.0555794,-0.6827942,247.928,179.169,-1558.413,0.4267040,3,OK,247.670,178.913,-1558.612,OK,159.707,215.287,-1567.686,OK,242.196,260.929,-1521.233,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832759021,1781104917.018727373,1,OK,0.7724466,0.2550541,0.3697842,-0.4489246,-62.240,152.662,-1557.536,0.6044238,3,OK,-62.343,152.097,-1558.164,OK,-10.183,219.935,-1505.517,OK,-92.264,200.016,-1482.660
3,Port 0x01: JJH Probe  s/n:3E4C880C,832759024,1781104917.068727373,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832759024,1781104917.068727373,1,OK,0.6854534,0.2466683,0.0555385,-0.6828059,248.005,179.257,-1558.655,0.4292232,3,OK,247.748,179.002,-1558.853,OK,159.775,215.348,-1567.898,OK,242.267,261.043,-1521.547,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832759024,1781104917.068727373,1,OK,0.7723405,0.2552403,0.3699487,-0.4488659,-62.208,152.658,-1557.542,0.6371998,3,OK,-62.311,152.064,-1558.207,OK,-10.141,219.911,-1505.480,OK,-92.219,199.993,-1482.613
3,Port 0x01: JJH Probe  s/n:3E4C880C,832759027,1781104917.118727373,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832759027,1781104917.118727373,1,OK,0.6856513,0.2459685,0.0540910,-0.6829758,248.012,179.391,-1558.901,0.4291419,3,OK,247.748,179.140,-1559.099,OK,159.814,215.501,-1568.342,OK,242.293,261.294,-1522.046,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832759027,1781104917.118727373,1,OK,0.7724652,0.2546928,0.3699335,-0.4489748,-62.220,152.632,-1557.473,0.5879786,3,OK,-62.310,152.084,-1558.088,OK,-10.148,219.932,-1505.533,OK,-92.232,200.009,-1482.597
3,Port 0x01: JJH Probe  s/n:3E4C880C,832759030,1781104917.168727373,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832759030,1781104917.168727373,1,OK,0.6857544,0.2455674,0.0536513,-0.6830513,248.064,179.440,-1559.096,0.4275403,3,OK,247.803,179.184,-1559.294,OK,159.864,215.548,-1568.585,OK,242.359,261.394,-1522.336,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832759030,1781104917.168727373,1,OK,0.7724782,0.2548361,0.3698175,-0.4489666,-62.192,152.617,-1557.458,0.5947019,3,OK,-62.293,152.061,-1558.076,OK,-10.124,219.914,-1505.481,OK,-92.211,199.987,-1482.594
3,Port 0x01: JJH Probe  s/n:3E4C880C,832759033,1781104917.218727373,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832759033,1781104917.218727373,1,OK,0.6857996,0.2446913,0.0526564,-0.6833976,248.118,179.449,-1559.279,0.4220252,3,OK,247.869,179.200,-1559.470,OK,159.950,215.619,-1568.856,OK,242.464,261.482,-1522.749,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832759033,1781104917.218727373,1,OK,0.7723496,0.2550521,0.3699863,-0.4489260,-62.174,152.646,-1557.448,0.6159160,3,OK,-62.274,152.071,-1558.090,OK,-10.090,219.912,-1505.432,OK,-92.178,199.988,-1482.536
3,Port 0x01: JJH Probe  s/n:3E4C880C,832759036,1781104917.268727373,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832759036,1781104917.268727373,1,OK,0.6857320,0.2447410,0.0524405,-0.6834644,248.154,179.398,-1559.281,0.4258249,3,OK,247.903,179.139,-1559.476,OK,159.997,215.587,-1568.896,OK,242.518,261.454,-1522.761,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832759036,1781104917.268727373,1,OK,0.7723420,0.2549641,0.3699756,-0.4489980,-62.176,152.631,-1557.456,0.6093682,3,OK,-62.279,152.062,-1558.090,OK,-10.083,219.904,-1505.459,OK,-92.168,199.985,-1482.557
3,Port 0x01: JJH Probe  s/n:3E4C880C,832759039,1781104917.318727377,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832759039,1781104917.318727377,1,OK,0.6857941,0.2447381,0.0525489,-0.6833947,248.215,179.425,-1559.393,0.4210876,3,OK,247.964,179.170,-1559.587,OK,160.043,215.592,-1568.997,OK,242.567,261.473,-1522.862,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832759039,1781104917.318727377,1,OK,0.7723501,0.2548694,0.3700189,-0.4490022,-62.148,152.620,-1557.420,0.6077660,3,OK,-62.246,152.053,-1558.055,OK,-10.055,219.899,-1505.444,OK,-92.138,199.982,-1482.518
3,Port 0x01: JJH Probe  s/n:3E4C880C,832759042,1781104917.368727377,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832759042,1781104917.368727377,1,OK,0.6857094,0.2449787,0.0530536,-0.6833545,248.219,179.409,-1559.430,0.4364795,3,OK,247.966,179.133,-1559.634,OK,160.045,215.573,-1568.961,OK,242.566,261.438,-1522.801,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832759042,1781104917.368727377,1,OK,0.7723280,0.2549581,0.3700054,-0.4490009,-62.149,152.631,-1557.416,0.6139190,3,OK,-62.253,152.057,-1558.056,OK,-10.052,219.905,-1505.420,OK,-92.137,199.986,-1482.512
