Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,832354114,1781098168.568722526,1,OK,0.4950184,0.5724378,-0.3668111,-0.5410373,84.605,83.978,-1605.659,0.4250227,3,OK,67.281,201.323,-1576.440,OK,52.466,299.022,-1549.505,OK,43.978,341.592,-1564.212,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832354114,1781098168.568722526,1,OK,0.6829869,0.1727079,-0.0380430,-0.7086986,259.330,178.116,-1587.618,0.3410003,3,OK,259.093,177.942,-1587.727,OK,174.154,217.595,-1606.917,OK,259.819,266.335,-1570.337,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832354114,1781098168.568722526,1,OK,0.7697207,0.2250520,0.3316622,-0.4968721,-52.795,167.980,-1572.731,0.6687089,3,OK,-52.923,167.294,-1573.360,OK,4.013,236.781,-1528.216,OK,-79.328,225.729,-1503.990
3,Port 0x01: JJH Probe  s/n:3E4C880C,832354117,1781098168.618722526,1,OK,0.4959319,0.5717635,-0.3661587,-0.5413555,84.615,84.196,-1605.463,0.4141114,3,OK,67.252,201.552,-1576.287,OK,52.412,299.249,-1549.417,OK,43.850,341.806,-1564.107,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832354117,1781098168.618722526,1,OK,0.6830571,0.1728750,-0.0373431,-0.7086274,259.365,178.133,-1587.682,0.3467363,3,OK,259.126,177.952,-1587.793,OK,174.164,217.597,-1606.873,OK,259.824,266.337,-1570.296,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832354117,1781098168.618722526,1,OK,0.7696978,0.2253253,0.3316073,-0.4968203,-52.773,167.982,-1572.750,0.6835225,3,OK,-52.908,167.280,-1573.392,OK,4.023,236.765,-1528.174,OK,-79.310,225.713,-1503.995
3,Port 0x01: JJH Probe  s/n:3E4C880C,832354120,1781098168.668722526,1,OK,0.4954272,0.5725986,-0.3665732,-0.5406541,84.520,84.443,-1605.724,0.3829321,3,OK,67.052,201.783,-1576.525,OK,52.109,299.477,-1549.715,OK,43.585,342.004,-1564.318,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832354120,1781098168.668722526,1,OK,0.6830995,0.1729341,-0.0370317,-0.7085884,259.374,178.169,-1587.777,0.3567605,3,OK,259.127,177.979,-1587.892,OK,174.167,217.621,-1606.917,OK,259.816,266.375,-1570.345,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832354120,1781098168.668722526,1,OK,0.7697584,0.2251430,0.3314719,-0.4968994,-52.781,167.986,-1572.720,0.6689569,3,OK,-52.917,167.299,-1573.347,OK,4.017,236.787,-1528.182,OK,-79.322,225.741,-1504.004
3,Port 0x01: JJH Probe  s/n:3E4C880C,832354123,1781098168.718722526,1,OK,0.4962050,0.5716097,-0.3669235,-0.5407495,84.576,84.291,-1605.649,0.3849201,3,OK,67.195,201.692,-1576.684,OK,52.325,299.466,-1550.056,OK,43.796,341.961,-1564.750,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832354123,1781098168.718722526,1,OK,0.6830720,0.1731745,-0.0370335,-0.7085561,259.370,178.139,-1587.758,0.3499974,3,OK,259.132,177.949,-1587.871,OK,174.159,217.599,-1606.918,OK,259.806,266.338,-1570.297,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832354123,1781098168.718722526,1,OK,0.7696967,0.2252048,0.3315857,-0.4968910,-52.790,167.976,-1572.736,0.6683908,3,OK,-52.922,167.290,-1573.364,OK,4.015,236.761,-1528.193,OK,-79.321,225.718,-1504.000
3,Port 0x01: JJH Probe  s/n:3E4C880C,832354126,1781098168.768722526,1,OK,0.4964539,0.5707349,-0.3675413,-0.5410256,84.517,84.130,-1605.406,0.4094427,3,OK,67.315,201.620,-1576.623,OK,52.609,299.417,-1550.104,OK,44.117,341.922,-1564.916,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832354126,1781098168.768722526,1,OK,0.6830547,0.1730860,-0.0372829,-0.7085813,259.358,178.146,-1587.696,0.3524478,3,OK,259.113,177.961,-1587.810,OK,174.162,217.605,-1606.891,OK,259.805,266.352,-1570.275,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832354126,1781098168.768722526,1,OK,0.7696948,0.2251172,0.3316767,-0.4968730,-52.791,167.988,-1572.712,0.6698505,3,OK,-52.919,167.301,-1573.343,OK,4.016,236.779,-1528.187,OK,-79.320,225.732,-1503.966
3,Port 0x01: JJH Probe  s/n:3E4C880C,832354129,1781098168.818722526,1,OK,0.4978839,0.5681289,-0.3658738,-0.5435785,84.577,83.855,-1605.350,0.3489513,3,OK,67.740,201.367,-1576.461,OK,53.340,299.222,-1549.989,OK,44.784,341.702,-1564.593,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832354129,1781098168.818722526,1,OK,0.6830103,0.1731592,-0.0374180,-0.7085991,259.347,178.109,-1587.678,0.3439396,3,OK,259.109,177.926,-1587.789,OK,174.151,217.579,-1606.903,OK,259.804,266.312,-1570.263,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832354129,1781098168.818722526,1,OK,0.7696684,0.2251638,0.3317081,-0.4968718,-52.794,167.968,-1572.722,0.6815141,3,OK,-52.922,167.269,-1573.365,OK,4.014,236.755,-1528.185,OK,-79.314,225.713,-1503.962
3,Port 0x01: JJH Probe  s/n:3E4C880C,832354132,1781098168.868722526,1,OK,0.4980262,0.5678024,-0.3650483,-0.5443437,84.616,83.791,-1605.351,0.4065700,3,OK,67.830,201.261,-1576.343,OK,53.490,299.089,-1549.615,OK,44.877,341.620,-1564.329,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832354132,1781098168.868722526,1,OK,0.6830094,0.1733820,-0.0369950,-0.7085677,259.362,178.120,-1587.677,0.3503086,3,OK,259.118,177.929,-1587.792,OK,174.156,217.586,-1606.846,OK,259.809,266.320,-1570.180,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832354132,1781098168.868722526,1,OK,0.7697229,0.2252305,0.3314524,-0.4969278,-52.779,167.985,-1572.743,0.6741252,3,OK,-52.913,167.293,-1573.376,OK,4.025,236.774,-1528.192,OK,-79.318,225.741,-1504.018
3,Port 0x01: JJH Probe  s/n:3E4C880C,832354135,1781098168.918722522,1,OK,0.4975736,0.5685749,-0.3657482,-0.5434807,84.587,83.559,-1605.185,0.4078439,3,OK,67.700,201.041,-1576.235,OK,53.273,298.859,-1549.566,OK,44.699,341.374,-1564.302,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832354135,1781098168.918722522,1,OK,0.6830335,0.1734798,-0.0366909,-0.7085363,259.359,178.089,-1587.644,0.3534440,3,OK,259.120,177.894,-1587.758,OK,174.146,217.558,-1606.765,OK,259.783,266.276,-1570.102,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832354135,1781098168.918722522,1,OK,0.7697776,0.2247889,0.3316489,-0.4969119,-52.791,167.944,-1572.689,0.6558295,3,OK,-52.917,167.270,-1573.306,OK,4.016,236.769,-1528.225,OK,-79.322,225.714,-1503.976
3,Port 0x01: JJH Probe  s/n:3E4C880C,832354138,1781098168.968722522,1,OK,0.4975484,0.5685624,-0.3655089,-0.5436778,84.613,83.553,-1605.363,0.4292094,3,OK,67.735,201.015,-1576.368,OK,53.317,298.834,-1549.603,OK,44.730,341.352,-1564.376,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832354138,1781098168.968722522,1,OK,0.6829405,0.1733714,-0.0377115,-0.7085990,259.320,178.082,-1587.534,0.3426760,3,OK,259.086,177.893,-1587.645,OK,174.140,217.568,-1606.825,OK,259.783,266.292,-1570.126,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832354138,1781098168.968722522,1,OK,0.7697076,0.2249739,0.3316845,-0.4969127,-52.805,167.970,-1572.726,0.6639766,3,OK,-52.931,167.288,-1573.352,OK,4.011,236.772,-1528.231,OK,-79.331,225.726,-1503.990
3,Port 0x01: JJH Probe  s/n:3E4C880C,832354141,1781098169.018722522,1,OK,0.4979489,0.5677832,-0.3652869,-0.5442743,84.623,83.598,-1605.388,0.4114007,3,OK,67.860,201.089,-1576.414,OK,53.541,298.923,-1549.713,OK,44.949,341.435,-1564.443,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832354141,1781098169.018722522,1,OK,0.6829324,0.1736922,-0.0372842,-0.7085509,259.354,178.078,-1587.538,0.3461750,3,OK,259.114,177.894,-1587.650,OK,174.170,217.563,-1606.776,OK,259.796,266.266,-1570.039,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832354141,1781098169.018722522,1,OK,0.7696299,0.2254867,0.3316543,-0.4968209,-52.768,167.993,-1572.754,0.6951027,3,OK,-52.905,167.280,-1573.408,OK,4.039,236.758,-1528.150,OK,-79.301,225.714,-1503.974
