Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,832391518,1781098791.968574631,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832391518,1781098791.968574631,1,OK,0.7115264,0.1458483,-0.0472570,-0.6857297,220.480,194.914,-1581.472,0.3318850,3,OK,220.314,194.681,-1581.553,OK,132.490,227.462,-1601.274,OK,215.320,283.868,-1569.596,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832391518,1781098791.968574631,1,OK,0.8285218,0.4705917,-0.1721831,-0.2498961,-82.836,161.590,-1715.274,0.7131068,3,OK,-82.496,161.035,-1715.690,OK,-110.758,230.287,-1648.732,OK,-158.617,215.519,-1719.356
3,Port 0x01: JJH Probe  s/n:3E4C880C,832391521,1781098792.018574631,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832391521,1781098792.018574631,1,OK,0.7115453,0.1457677,-0.0471086,-0.6857374,220.495,194.895,-1581.494,0.3354048,3,OK,220.324,194.663,-1581.577,OK,132.503,227.440,-1601.263,OK,215.332,283.848,-1569.609,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832391521,1781098792.018574631,1,OK,0.8285235,0.4705156,-0.1725094,-0.2498088,-82.817,161.544,-1715.235,0.6970774,3,OK,-82.468,160.999,-1715.630,OK,-110.750,230.249,-1648.742,OK,-158.609,215.496,-1719.391
3,Port 0x01: JJH Probe  s/n:3E4C880C,832391524,1781098792.068574631,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832391524,1781098792.068574631,1,OK,0.7115266,0.1460645,-0.0468583,-0.6857109,220.543,194.900,-1581.470,0.3328223,3,OK,220.365,194.675,-1581.554,OK,132.548,227.443,-1601.221,OK,215.378,283.845,-1569.515,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832391524,1781098792.068574631,1,OK,0.8285031,0.4704961,-0.1727393,-0.2497541,-82.763,161.552,-1715.197,0.6846246,3,OK,-82.413,161.010,-1715.585,OK,-110.702,230.268,-1648.716,OK,-158.561,215.513,-1719.409
3,Port 0x01: JJH Probe  s/n:3E4C880C,832391527,1781098792.118574631,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832391527,1781098792.118574631,1,OK,0.7115523,0.1460425,-0.0467122,-0.6856988,220.523,194.901,-1581.541,0.3349164,3,OK,220.345,194.672,-1581.626,OK,132.521,227.439,-1601.266,OK,215.351,283.846,-1569.570,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832391527,1781098792.118574631,1,OK,0.8285814,0.4703056,-0.1727985,-0.2498123,-82.816,161.531,-1715.189,0.6842527,3,OK,-82.469,161.000,-1715.565,OK,-110.740,230.263,-1648.759,OK,-158.597,215.508,-1719.405
3,Port 0x01: JJH Probe  s/n:3E4C880C,832391530,1781098792.168574631,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832391530,1781098792.168574631,1,OK,0.7116060,0.1459132,-0.0465588,-0.6856810,220.500,194.904,-1581.552,0.3347898,3,OK,220.323,194.677,-1581.636,OK,132.487,227.432,-1601.241,OK,215.320,283.846,-1569.579,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832391530,1781098792.168574631,1,OK,0.8286568,0.4702487,-0.1725170,-0.2498638,-82.848,161.535,-1715.203,0.7007247,3,OK,-82.496,160.993,-1715.589,OK,-110.762,230.269,-1648.761,OK,-158.634,215.501,-1719.361
3,Port 0x01: JJH Probe  s/n:3E4C880C,832391533,1781098792.218574631,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832391533,1781098792.218574631,1,OK,0.7115344,0.1462267,-0.0467363,-0.6856765,220.527,194.902,-1581.525,0.3242890,3,OK,220.353,194.684,-1581.606,OK,132.520,227.442,-1601.271,OK,215.356,283.835,-1569.534,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832391533,1781098792.218574631,1,OK,0.8283962,0.4706467,-0.1726937,-0.2498567,-82.799,161.557,-1715.230,0.6852982,3,OK,-82.450,161.010,-1715.626,OK,-110.724,230.258,-1648.706,OK,-158.589,215.525,-1719.421
3,Port 0x01: JJH Probe  s/n:3E4C880C,832391536,1781098792.268574631,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832391536,1781098792.268574631,1,OK,0.7115154,0.1463516,-0.0468153,-0.6856642,220.532,194.895,-1581.518,0.3272085,3,OK,220.359,194.671,-1581.600,OK,132.532,227.440,-1601.286,OK,215.357,283.832,-1569.522,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832391536,1781098792.268574631,1,OK,0.8285059,0.4704629,-0.1726714,-0.2498546,-82.790,161.534,-1715.195,0.6877184,3,OK,-82.442,160.992,-1715.585,OK,-110.710,230.253,-1648.711,OK,-158.577,215.503,-1719.385
3,Port 0x01: JJH Probe  s/n:3E4C880C,832391539,1781098792.318574631,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832391539,1781098792.318574631,1,OK,0.7115540,0.1457620,-0.0469930,-0.6857376,220.505,194.898,-1581.470,0.3354423,3,OK,220.328,194.666,-1581.554,OK,132.507,227.435,-1601.220,OK,215.348,283.857,-1569.568,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832391539,1781098792.318574631,1,OK,0.8283694,0.4708504,-0.1722220,-0.2498872,-82.805,161.582,-1715.304,0.7129617,3,OK,-82.454,161.012,-1715.731,OK,-110.737,230.257,-1648.705,OK,-158.603,215.516,-1719.393
3,Port 0x01: JJH Probe  s/n:3E4C880C,832391542,1781098792.368574631,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832391542,1781098792.368574631,1,OK,0.7114984,0.1459757,-0.0470533,-0.6857457,220.489,194.884,-1581.463,0.3307291,3,OK,220.317,194.658,-1581.546,OK,132.498,227.436,-1601.240,OK,215.334,283.832,-1569.544,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832391542,1781098792.368574631,1,OK,0.8285108,0.4705347,-0.1724341,-0.2498669,-82.829,161.547,-1715.229,0.7059652,3,OK,-82.475,160.993,-1715.631,OK,-110.756,230.253,-1648.722,OK,-158.619,215.504,-1719.362
3,Port 0x01: JJH Probe  s/n:3E4C880C,832391545,1781098792.418574631,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832391545,1781098792.418574631,1,OK,0.7115943,0.1459126,-0.0465549,-0.6856936,220.540,194.911,-1581.510,0.3288516,3,OK,220.367,194.688,-1581.592,OK,132.521,227.443,-1601.200,OK,215.364,283.847,-1569.536,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832391545,1781098792.418574631,1,OK,0.8284043,0.4707532,-0.1724121,-0.2498236,-82.785,161.571,-1715.246,0.7009122,3,OK,-82.435,161.010,-1715.663,OK,-110.721,230.262,-1648.677,OK,-158.586,215.510,-1719.386
