Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,832374274,1781098504.568589847,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832374274,1781098504.568589847,1,OK,0.7002112,0.0919732,-0.0941594,-0.7016974,250.560,186.852,-1596.118,0.3590779,3,OK,250.392,186.597,-1596.163,OK,164.286,221.462,-1619.558,OK,250.532,276.735,-1596.437,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832374274,1781098504.568589847,1,OK,0.8279381,0.4551164,-0.1366969,-0.2978281,-64.368,167.464,-1696.260,0.6188031,3,OK,-64.044,166.911,-1696.645,OK,-80.999,236.639,-1626.552,OK,-137.402,225.278,-1691.644
3,Port 0x01: JJH Probe  s/n:3E4C880C,832374277,1781098504.618589847,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832374277,1781098504.618589847,1,OK,0.7002934,0.0917327,-0.0939679,-0.7016725,250.575,186.852,-1596.146,0.3598543,3,OK,250.408,186.595,-1596.190,OK,164.282,221.448,-1619.535,OK,250.534,276.736,-1596.472,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832374277,1781098504.618589847,1,OK,0.8279824,0.4550155,-0.1368366,-0.2977948,-64.366,167.444,-1696.214,0.6116664,3,OK,-64.044,166.897,-1696.591,OK,-81.000,236.636,-1626.531,OK,-137.401,225.264,-1691.633
3,Port 0x01: JJH Probe  s/n:3E4C880C,832374280,1781098504.668589847,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832374280,1781098504.668589847,1,OK,0.7002284,0.0922231,-0.0939990,-0.7016690,250.572,186.849,-1596.144,0.3518524,3,OK,250.406,186.605,-1596.188,OK,164.292,221.459,-1619.577,OK,250.535,276.723,-1596.411,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832374280,1781098504.668589847,1,OK,0.8280416,0.4548732,-0.1369396,-0.2978002,-64.364,167.439,-1696.164,0.6147414,3,OK,-64.036,166.896,-1696.531,OK,-81.003,236.644,-1626.529,OK,-137.391,225.277,-1691.596
3,Port 0x01: JJH Probe  s/n:3E4C880C,832374283,1781098504.718589847,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832374283,1781098504.718589847,1,OK,0.7003056,0.0918272,-0.0938089,-0.7016692,250.575,186.852,-1596.175,0.3615083,3,OK,250.394,186.606,-1596.223,OK,164.286,221.443,-1619.542,OK,250.531,276.733,-1596.469,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832374283,1781098504.718589847,1,OK,0.8278935,0.4551678,-0.1367183,-0.2978635,-64.376,167.448,-1696.227,0.6185111,3,OK,-64.060,166.893,-1696.621,OK,-81.002,236.626,-1626.498,OK,-137.400,225.260,-1691.613
3,Port 0x01: JJH Probe  s/n:3E4C880C,832374286,1781098504.768589847,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832374286,1781098504.768589847,1,OK,0.7002729,0.0922460,-0.0938237,-0.7016450,250.575,186.851,-1596.202,0.3598993,3,OK,250.405,186.597,-1596.247,OK,164.291,221.457,-1619.605,OK,250.522,276.734,-1596.446,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832374286,1781098504.768589847,1,OK,0.8279392,0.4550953,-0.1367073,-0.2978524,-64.368,167.450,-1696.222,0.6202979,3,OK,-64.045,166.895,-1696.610,OK,-80.994,236.633,-1626.511,OK,-137.397,225.267,-1691.607
3,Port 0x01: JJH Probe  s/n:3E4C880C,832374289,1781098504.818589847,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832374289,1781098504.818589847,1,OK,0.7002487,0.0918562,-0.0940947,-0.7016840,250.573,186.846,-1596.167,0.3592148,3,OK,250.399,186.596,-1596.213,OK,164.294,221.445,-1619.587,OK,250.541,276.728,-1596.493,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832374289,1781098504.818589847,1,OK,0.8279898,0.4550468,-0.1365587,-0.2978540,-64.362,167.448,-1696.260,0.6279920,3,OK,-64.039,166.894,-1696.648,OK,-80.991,236.627,-1626.564,OK,-137.387,225.257,-1691.612
3,Port 0x01: JJH Probe  s/n:3E4C880C,832374292,1781098504.868589847,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832374292,1781098504.868589847,1,OK,0.7002158,0.0916376,-0.0945620,-0.7016826,250.543,186.857,-1596.099,0.3632784,3,OK,250.376,186.595,-1596.143,OK,164.278,221.455,-1619.583,OK,250.522,276.744,-1596.512,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832374292,1781098504.868589847,1,OK,0.8279499,0.4549982,-0.1370990,-0.2977911,-64.374,167.439,-1696.198,0.5968275,3,OK,-64.052,166.900,-1696.566,OK,-81.005,236.638,-1626.530,OK,-137.412,225.278,-1691.675
3,Port 0x01: JJH Probe  s/n:3E4C880C,832374295,1781098504.918589847,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832374295,1781098504.918589847,1,OK,0.7002650,0.0920512,-0.0940167,-0.7016526,250.568,186.846,-1596.192,0.3612897,3,OK,250.396,186.593,-1596.238,OK,164.291,221.446,-1619.613,OK,250.524,276.729,-1596.485,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832374295,1781098504.918589847,1,OK,0.8278705,0.4552123,-0.1367286,-0.2978548,-64.369,167.445,-1696.250,0.6206141,3,OK,-64.048,166.886,-1696.646,OK,-80.997,236.619,-1626.511,OK,-137.399,225.259,-1691.637
3,Port 0x01: JJH Probe  s/n:3E4C880C,832374298,1781098504.968589847,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832374298,1781098504.968589847,1,OK,0.7002606,0.0922721,-0.0940278,-0.7016265,250.579,186.849,-1596.182,0.3546305,3,OK,250.408,186.603,-1596.228,OK,164.300,221.447,-1619.623,OK,250.533,276.728,-1596.448,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832374298,1781098504.968589847,1,OK,0.8280262,0.4548371,-0.1372366,-0.2977616,-64.349,167.416,-1696.153,0.5935225,3,OK,-64.025,166.886,-1696.507,OK,-80.986,236.632,-1626.535,OK,-137.383,225.267,-1691.657
3,Port 0x01: JJH Probe  s/n:3E4C880C,832374301,1781098505.018589847,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832374301,1781098505.018589847,1,OK,0.7002446,0.0919498,-0.0943418,-0.7016426,250.554,186.845,-1596.147,0.3548805,3,OK,250.387,186.593,-1596.192,OK,164.278,221.438,-1619.619,OK,250.522,276.727,-1596.492,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832374301,1781098505.018589847,1,OK,0.8279546,0.4550079,-0.1369266,-0.2978424,-64.377,167.423,-1696.202,0.6040059,3,OK,-64.056,166.880,-1696.575,OK,-80.998,236.616,-1626.519,OK,-137.410,225.254,-1691.639
