Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,832452310,1781099805.168761201,1,OK,0.8183225,0.0200214,0.2371682,0.5231622,257.562,47.595,-1607.466,0.2899964,3,OK,217.316,-59.328,-1563.713,OK,182.662,-147.744,-1526.247,OK,190.238,-191.865,-1519.025,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832452310,1781099805.168761201,1,OK,0.6917716,0.2013018,0.0000258,-0.6934909,253.033,183.792,-1576.802,0.3754688,3,OK,252.796,183.589,-1576.935,OK,165.924,220.637,-1592.097,OK,249.394,270.065,-1551.757,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832452310,1781099805.168761201,1,OK,0.7710015,0.2383662,0.3568878,-0.4704990,-56.895,159.468,-1563.853,0.6161929,3,OK,-57.028,158.864,-1564.457,OK,-2.535,227.844,-1515.766,OK,-84.934,211.541,-1491.391
3,Port 0x01: JJH Probe  s/n:3E4C880C,832452313,1781099805.218761201,1,OK,0.8185964,0.0224738,0.2394400,0.5215970,257.546,47.574,-1607.576,0.2844238,3,OK,217.157,-59.223,-1563.670,OK,182.379,-147.547,-1526.059,OK,189.837,-191.703,-1518.928,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832452313,1781099805.218761201,1,OK,0.6917848,0.2013643,0.0002787,-0.6934596,253.030,183.818,-1576.814,0.3740632,3,OK,252.783,183.627,-1576.947,OK,165.913,220.646,-1592.073,OK,249.392,270.077,-1551.729,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832452313,1781099805.218761201,1,OK,0.7710277,0.2382580,0.3569104,-0.4704938,-56.905,159.480,-1563.867,0.6123981,3,OK,-57.036,158.879,-1564.469,OK,-2.548,227.867,-1515.801,OK,-84.944,211.559,-1491.411
3,Port 0x01: JJH Probe  s/n:3E4C880C,832452316,1781099805.268761201,1,OK,0.8188912,0.0247548,0.2421010,0.5197995,257.501,47.572,-1607.595,0.2738899,3,OK,216.964,-59.045,-1563.434,OK,182.045,-147.244,-1525.584,OK,189.381,-191.433,-1518.514,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832452316,1781099805.268761201,1,OK,0.6918000,0.2016788,0.0006434,-0.6933528,253.028,183.821,-1576.852,0.3792131,3,OK,252.794,183.607,-1576.988,OK,165.897,220.646,-1592.072,OK,249.353,270.068,-1551.685,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832452316,1781099805.268761201,1,OK,0.7709978,0.2381255,0.3571327,-0.4704411,-56.925,159.469,-1563.843,0.6091788,3,OK,-57.047,158.872,-1564.444,OK,-2.564,227.860,-1515.805,OK,-84.953,211.540,-1491.362
3,Port 0x01: JJH Probe  s/n:3E4C880C,832452319,1781099805.318761201,1,OK,0.8190005,0.0243974,0.2417054,0.5198283,257.555,47.620,-1607.426,0.2877805,3,OK,216.972,-59.007,-1563.284,OK,182.040,-147.189,-1525.469,OK,189.355,-191.362,-1518.379,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832452319,1781099805.318761201,1,OK,0.6917767,0.2017122,0.0005784,-0.6933663,253.022,183.829,-1576.833,0.3748416,3,OK,252.778,183.627,-1576.969,OK,165.893,220.649,-1592.070,OK,249.362,270.075,-1551.668,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832452319,1781099805.318761201,1,OK,0.7710129,0.2383605,0.3569106,-0.4704660,-56.917,159.489,-1563.865,0.6127324,3,OK,-57.051,158.888,-1564.465,OK,-2.561,227.868,-1515.778,OK,-84.958,211.554,-1491.405
3,Port 0x01: JJH Probe  s/n:3E4C880C,832452322,1781099805.368761201,1,OK,0.8186955,0.0241279,0.2421146,0.5201308,257.591,47.604,-1607.515,0.2802753,3,OK,217.140,-59.022,-1563.282,OK,182.294,-147.222,-1525.374,OK,189.675,-191.384,-1518.266,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832452322,1781099805.368761201,1,OK,0.6917680,0.2016162,0.0000911,-0.6934031,253.052,183.813,-1576.795,0.3738721,3,OK,252.809,183.616,-1576.929,OK,165.943,220.646,-1592.106,OK,249.399,270.073,-1551.704,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832452322,1781099805.368761201,1,OK,0.7710053,0.2383036,0.3570450,-0.4704053,-56.886,159.483,-1563.878,0.6233286,3,OK,-57.017,158.872,-1564.491,OK,-2.530,227.869,-1515.797,OK,-84.926,211.545,-1491.394
3,Port 0x01: JJH Probe  s/n:3E4C880C,832452325,1781099805.418761201,1,OK,0.8184182,0.0239609,0.2420982,0.5205824,257.520,47.598,-1607.558,0.2799515,3,OK,217.185,-59.076,-1563.326,OK,182.419,-147.304,-1525.415,OK,189.868,-191.466,-1518.313,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832452325,1781099805.418761201,1,OK,0.6917622,0.2015756,0.0003481,-0.6934207,253.023,183.822,-1576.825,0.3756560,3,OK,252.781,183.621,-1576.959,OK,165.906,220.654,-1592.087,OK,249.373,270.077,-1551.705,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832452325,1781099805.418761201,1,OK,0.7708812,0.2384509,0.3573564,-0.4702976,-56.928,159.518,-1563.935,0.6354535,3,OK,-57.050,158.896,-1564.566,OK,-2.557,227.876,-1515.833,OK,-84.957,211.542,-1491.387
3,Port 0x01: JJH Probe  s/n:3E4C880C,832452328,1781099805.468761201,1,OK,0.8185296,0.0222975,0.2408180,0.5210746,257.579,47.481,-1607.839,0.2477572,3,OK,217.237,-59.153,-1563.657,OK,182.436,-147.452,-1525.758,OK,189.913,-191.604,-1518.570,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832452328,1781099805.468761201,1,OK,0.6917704,0.2014768,0.0002362,-0.6934412,253.021,183.815,-1576.799,0.3747196,3,OK,252.785,183.616,-1576.931,OK,165.908,220.656,-1592.070,OK,249.368,270.068,-1551.710,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832452328,1781099805.468761201,1,OK,0.7709229,0.2384008,0.3571595,-0.4704041,-56.930,159.504,-1563.901,0.6279197,3,OK,-57.054,158.889,-1564.522,OK,-2.565,227.866,-1515.810,OK,-84.958,211.554,-1491.388
3,Port 0x01: JJH Probe  s/n:3E4C880C,832452331,1781099805.518761201,1,OK,0.8186019,0.0222437,0.2394816,0.5215791,257.606,47.553,-1607.573,0.2806186,3,OK,217.220,-59.218,-1563.631,OK,182.441,-147.550,-1525.983,OK,189.897,-191.690,-1518.832,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832452331,1781099805.518761201,1,OK,0.6917261,0.2017402,0.0003114,-0.6934088,253.054,183.807,-1576.831,0.3729006,3,OK,252.811,183.607,-1576.966,OK,165.937,220.643,-1592.114,OK,249.407,270.062,-1551.693,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832452331,1781099805.518761201,1,OK,0.7709846,0.2382838,0.3569808,-0.4704980,-56.894,159.477,-1563.869,0.6106448,3,OK,-57.025,158.878,-1564.468,OK,-2.530,227.856,-1515.800,OK,-84.923,211.546,-1491.404
3,Port 0x01: JJH Probe  s/n:3E4C880C,832452334,1781099805.568761201,1,OK,0.8186729,0.0207252,0.2373157,0.5225192,257.546,47.508,-1607.745,0.2627312,3,OK,217.163,-59.331,-1564.047,OK,182.363,-147.782,-1526.584,OK,189.873,-191.911,-1519.403,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832452334,1781099805.568761201,1,OK,0.6916826,0.2018539,0.0000308,-0.6934192,253.006,183.809,-1576.784,0.3735712,3,OK,252.767,183.609,-1576.918,OK,165.908,220.664,-1592.120,OK,249.355,270.064,-1551.670,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832452334,1781099805.568761201,1,OK,0.7709707,0.2380873,0.3572370,-0.4704257,-56.930,159.485,-1563.854,0.6097180,3,OK,-57.049,158.888,-1564.458,OK,-2.559,227.877,-1515.827,OK,-84.955,211.550,-1491.359
3,Port 0x01: JJH Probe  s/n:3E4C880C,832452337,1781099805.618761201,1,OK,0.8184325,0.0221866,0.2387623,0.5221768,257.532,47.496,-1607.746,0.2629316,3,OK,217.223,-59.343,-1563.961,OK,182.490,-147.771,-1526.427,OK,189.993,-191.929,-1519.307,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,832452337,1781099805.618761201,1,OK,0.6917164,0.2014880,0.0003409,-0.6934918,252.998,183.800,-1576.795,0.3794349,3,OK,252.749,183.598,-1576.932,OK,165.888,220.640,-1592.050,OK,249.370,270.065,-1551.681,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,832452337,1781099805.618761201,1,OK,0.7709832,0.2382952,0.3570291,-0.4704577,-56.927,159.483,-1563.874,0.6125163,3,OK,-57.053,158.883,-1564.477,OK,-2.573,227.857,-1515.803,OK,-84.954,211.549,-1491.399
