Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,977513527,1783517492.118405478,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977513527,1783517492.118405478,1,OK,0.4820705,0.1130161,-0.1051764,-0.8624229,115.303,192.361,-1591.783,0.2651035,3,OK,115.129,192.531,-1591.850,OK,60.098,267.665,-1614.690,OK,161.317,269.138,-1583.306,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977513527,1783517492.118405478,1,OK,0.8754510,0.2956501,-0.2109238,-0.3188851,-154.328,257.227,-1671.229,0.4672697,3,OK,-154.212,256.708,-1671.411,OK,-161.059,347.413,-1629.396,OK,-220.080,321.083,-1687.822
3,Port 0x01: JJH Probe  s/n:3E4C880C,977513530,1783517492.168405478,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977513530,1783517492.168405478,1,OK,0.4820414,0.1130792,-0.1052983,-0.8624160,115.276,192.355,-1591.750,0.2601376,3,OK,115.110,192.525,-1591.814,OK,60.078,267.666,-1614.682,OK,161.288,269.126,-1583.273,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977513530,1783517492.168405478,1,OK,0.8754278,0.2956322,-0.2110207,-0.3189012,-154.354,257.233,-1671.239,0.4646331,3,OK,-154.233,256.714,-1671.419,OK,-161.078,347.422,-1629.411,OK,-220.105,321.098,-1687.852
3,Port 0x01: JJH Probe  s/n:3E4C880C,977513533,1783517492.218405478,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977513533,1783517492.218405478,1,OK,0.4821267,0.1128359,-0.1051827,-0.8624144,115.281,192.335,-1591.765,0.2637711,3,OK,115.104,192.504,-1591.832,OK,60.070,267.630,-1614.667,OK,161.289,269.120,-1583.318,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977513533,1783517492.218405478,1,OK,0.8753128,0.2959377,-0.2111040,-0.3188785,-154.358,257.219,-1671.285,0.4627378,3,OK,-154.244,256.697,-1671.470,OK,-161.093,347.400,-1629.394,OK,-220.111,321.079,-1687.899
3,Port 0x01: JJH Probe  s/n:3E4C880C,977513536,1783517492.268405478,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977513536,1783517492.268405478,1,OK,0.4820376,0.1131286,-0.1050273,-0.8624447,115.259,192.325,-1591.780,0.2663884,3,OK,115.086,192.500,-1591.848,OK,60.057,267.637,-1614.662,OK,161.273,269.095,-1583.272,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977513536,1783517492.268405478,1,OK,0.8753242,0.2959329,-0.2111153,-0.3188442,-154.362,257.211,-1671.240,0.4614885,3,OK,-154.243,256.689,-1671.422,OK,-161.104,347.386,-1629.357,OK,-220.121,321.071,-1687.858
3,Port 0x01: JJH Probe  s/n:3E4C880C,977513539,1783517492.318405478,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977513539,1783517492.318405478,1,OK,0.4820934,0.1132640,-0.1050528,-0.8623927,115.263,192.345,-1591.770,0.2593151,3,OK,115.096,192.517,-1591.835,OK,60.054,267.656,-1614.661,OK,161.255,269.119,-1583.246,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977513539,1783517492.318405478,1,OK,0.8753784,0.2959406,-0.2108411,-0.3188695,-154.359,257.242,-1671.273,0.4680207,3,OK,-154.250,256.719,-1671.463,OK,-161.100,347.419,-1629.372,OK,-220.120,321.087,-1687.839
3,Port 0x01: JJH Probe  s/n:3E4C880C,977513542,1783517492.368405478,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977513542,1783517492.368405478,1,OK,0.4820668,0.1129522,-0.1053678,-0.8624100,115.305,192.347,-1591.747,0.2576308,3,OK,115.136,192.511,-1591.812,OK,60.108,267.652,-1614.688,OK,161.314,269.125,-1583.299,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977513542,1783517492.368405478,1,OK,0.8753321,0.2960589,-0.2108037,-0.3189117,-154.313,257.236,-1671.299,0.4633558,3,OK,-154.208,256.719,-1671.490,OK,-161.046,347.403,-1629.369,OK,-220.071,321.081,-1687.851
3,Port 0x01: JJH Probe  s/n:3E4C880C,977513545,1783517492.418405478,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977513545,1783517492.418405478,1,OK,0.4820635,0.1131455,-0.1051959,-0.8624075,115.249,192.361,-1591.793,0.2635508,3,OK,115.074,192.534,-1591.860,OK,60.054,267.664,-1614.705,OK,161.253,269.137,-1583.299,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977513545,1783517492.418405478,1,OK,0.8754057,0.2958683,-0.2108198,-0.3188758,-154.358,257.252,-1671.263,0.4728185,3,OK,-154.247,256.728,-1671.453,OK,-161.101,347.431,-1629.380,OK,-220.113,321.101,-1687.823
3,Port 0x01: JJH Probe  s/n:3E4C880C,977513548,1783517492.468405478,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977513548,1783517492.468405478,1,OK,0.4820196,0.1131016,-0.1052562,-0.8624304,115.234,192.342,-1591.770,0.2611193,3,OK,115.064,192.510,-1591.836,OK,60.041,267.655,-1614.694,OK,161.249,269.113,-1583.287,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977513548,1783517492.468405478,1,OK,0.8754660,0.2957588,-0.2107531,-0.3188561,-154.368,257.232,-1671.257,0.4667001,3,OK,-154.258,256.717,-1671.443,OK,-161.108,347.410,-1629.394,OK,-220.131,321.072,-1687.816
3,Port 0x01: JJH Probe  s/n:3E4C880C,977513551,1783517492.518405478,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977513551,1783517492.518405478,1,OK,0.4821054,0.1135981,-0.1046088,-0.8623960,115.310,192.342,-1591.900,0.2710983,3,OK,115.137,192.525,-1591.967,OK,60.086,267.658,-1614.718,OK,161.298,269.115,-1583.283,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977513551,1783517492.518405478,1,OK,0.8753201,0.2959571,-0.2110662,-0.3188653,-154.332,257.231,-1671.263,0.4557818,3,OK,-154.220,256.716,-1671.447,OK,-161.064,347.406,-1629.365,OK,-220.091,321.083,-1687.875
3,Port 0x01: JJH Probe  s/n:3E4C880C,977513554,1783517492.568405478,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977513554,1783517492.568405478,1,OK,0.4820606,0.1130466,-0.1050961,-0.8624343,115.282,192.331,-1591.769,0.2610969,3,OK,115.106,192.503,-1591.837,OK,60.089,267.638,-1614.658,OK,161.287,269.108,-1583.283,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977513554,1783517492.568405478,1,OK,0.8753475,0.2960465,-0.2108162,-0.3188726,-154.328,257.223,-1671.285,0.4637551,3,OK,-154.224,256.705,-1671.475,OK,-161.070,347.391,-1629.360,OK,-220.091,321.063,-1687.842
