Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,977600827,1783518947.118590534,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977600827,1783518947.118590534,1,OK,0.4707932,0.1057319,-0.1170974,-0.8680223,133.013,188.776,-1596.407,0.2567935,3,OK,132.867,188.964,-1596.473,OK,80.003,265.097,-1621.129,OK,181.229,264.340,-1589.747,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977600827,1783518947.118590534,1,OK,0.8713203,0.0950915,0.3126006,-0.3661139,-147.629,241.813,-1553.082,0.4469458,3,OK,-147.374,241.421,-1553.432,OK,-122.869,333.053,-1522.260,OK,-197.853,296.053,-1495.526
3,Port 0x01: JJH Probe  s/n:3E4C880C,977600830,1783518947.168590534,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977600830,1783518947.168590534,1,OK,0.4707487,0.1058860,-0.1166461,-0.8680884,132.995,188.747,-1596.441,0.2603691,3,OK,132.843,188.943,-1596.509,OK,79.990,265.083,-1621.079,OK,181.210,264.303,-1589.717,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977600830,1783518947.168590534,1,OK,0.8713080,0.0950963,0.3126882,-0.3660673,-147.650,241.801,-1553.076,0.4526002,3,OK,-147.394,241.401,-1553.431,OK,-122.896,333.044,-1522.246,OK,-197.869,296.035,-1495.506
3,Port 0x01: JJH Probe  s/n:3E4C880C,977600833,1783518947.218590534,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977600833,1783518947.218590534,1,OK,0.4707309,0.1059445,-0.1169329,-0.8680523,132.972,188.763,-1596.364,0.2619717,3,OK,132.823,188.951,-1596.431,OK,79.967,265.097,-1621.061,OK,181.199,264.323,-1589.653,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977600833,1783518947.218590534,1,OK,0.8711950,0.0956647,0.3128469,-0.3660524,-147.674,241.844,-1553.144,0.4677472,3,OK,-147.409,241.430,-1553.513,OK,-122.897,333.041,-1522.204,OK,-197.875,296.049,-1495.509
3,Port 0x01: JJH Probe  s/n:3E4C880C,977600836,1783518947.268590534,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977600836,1783518947.268590534,1,OK,0.4707099,0.1057418,-0.1168036,-0.8681059,132.973,188.743,-1596.306,0.2568861,3,OK,132.826,188.924,-1596.371,OK,79.967,265.088,-1620.973,OK,181.207,264.299,-1589.616,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977600836,1783518947.268590534,1,OK,0.8712458,0.0952298,0.3128336,-0.3660564,-147.679,241.809,-1553.094,0.4562513,3,OK,-147.416,241.412,-1553.452,OK,-122.914,333.031,-1522.238,OK,-197.886,296.032,-1495.490
3,Port 0x01: JJH Probe  s/n:3E4C880C,977600839,1783518947.318590534,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977600839,1783518947.318590534,1,OK,0.4707687,0.1055586,-0.1166900,-0.8681116,133.022,188.769,-1596.357,0.2561011,3,OK,132.861,188.952,-1596.427,OK,80.023,265.098,-1620.991,OK,181.243,264.338,-1589.691,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977600839,1783518947.318590534,1,OK,0.8712089,0.0952884,0.3129337,-0.3660433,-147.641,241.830,-1553.142,0.4603682,3,OK,-147.377,241.429,-1553.503,OK,-122.867,333.049,-1522.273,OK,-197.842,296.045,-1495.517
3,Port 0x01: JJH Probe  s/n:3E4C880C,977600842,1783518947.368590534,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977600842,1783518947.368590534,1,OK,0.4707166,0.1059323,-0.1165357,-0.8681150,133.029,188.767,-1596.425,0.2667010,3,OK,132.870,188.966,-1596.496,OK,80.029,265.104,-1621.041,OK,181.255,264.323,-1589.682,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977600842,1783518947.368590534,1,OK,0.8713421,0.0950780,0.3125333,-0.3661229,-147.617,241.804,-1553.092,0.4457515,3,OK,-147.365,241.410,-1553.441,OK,-122.861,333.050,-1522.273,OK,-197.845,296.048,-1495.549
3,Port 0x01: JJH Probe  s/n:3E4C880C,977600845,1783518947.418590534,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977600845,1783518947.418590534,1,OK,0.4707419,0.1061083,-0.1167983,-0.8680445,132.960,188.770,-1596.387,0.2607578,3,OK,132.812,188.956,-1596.453,OK,79.953,265.109,-1621.063,OK,181.178,264.332,-1589.640,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977600845,1783518947.418590534,1,OK,0.8712459,0.0954425,0.3126734,-0.3661376,-147.691,241.819,-1553.089,0.4591587,3,OK,-147.432,241.411,-1553.451,OK,-122.913,333.037,-1522.199,OK,-197.899,296.048,-1495.498
3,Port 0x01: JJH Probe  s/n:3E4C880C,977600848,1783518947.468590534,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977600848,1783518947.468590534,1,OK,0.4707604,0.1055314,-0.1171936,-0.8680515,132.988,188.784,-1596.362,0.2558375,3,OK,132.838,188.964,-1596.428,OK,79.985,265.105,-1621.096,OK,181.219,264.349,-1589.740,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977600848,1783518947.468590534,1,OK,0.8712743,0.0953839,0.3126434,-0.3661107,-147.661,241.825,-1553.124,0.4568019,3,OK,-147.404,241.420,-1553.483,OK,-122.891,333.049,-1522.244,OK,-197.878,296.053,-1495.542
3,Port 0x01: JJH Probe  s/n:3E4C880C,977600851,1783518947.518590534,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977600851,1783518947.518590534,1,OK,0.4707765,0.1060303,-0.1169174,-0.8680192,133.032,188.784,-1596.438,0.2559746,3,OK,132.883,188.963,-1596.503,OK,80.026,265.117,-1621.133,OK,181.243,264.354,-1589.716,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977600851,1783518947.518590534,1,OK,0.8712132,0.0953350,0.3129012,-0.3660486,-147.631,241.823,-1553.111,0.4599973,3,OK,-147.368,241.421,-1553.472,OK,-122.858,333.039,-1522.234,OK,-197.833,296.037,-1495.489
3,Port 0x01: JJH Probe  s/n:3E4C880C,977600854,1783518947.568590534,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977600854,1783518947.568590534,1,OK,0.4707721,0.1052874,-0.1172536,-0.8680667,132.977,188.788,-1596.376,0.2524783,3,OK,132.822,188.956,-1596.443,OK,79.976,265.106,-1621.115,OK,181.214,264.362,-1589.799,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977600854,1783518947.568590534,1,OK,0.8712582,0.0950208,0.3128316,-0.3660828,-147.679,241.807,-1553.104,0.4544439,3,OK,-147.419,241.410,-1553.460,OK,-122.911,333.048,-1522.288,OK,-197.886,296.042,-1495.514
