Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589004,1783518750.068458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589004,1783518750.068458070,1,OK,0.4808414,0.1559038,-0.0441600,-0.8617050,115.328,193.017,-1576.016,0.3293712,3,OK,115.110,193.208,-1576.073,OK,58.728,269.698,-1588.629,OK,159.565,268.659,-1555.595,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589004,1783518750.068458070,1,OK,0.8860212,0.2828098,-0.1668428,-0.3273354,-159.293,256.335,-1661.977,0.4427797,3,OK,-159.164,255.828,-1662.151,OK,-163.125,346.308,-1619.369,OK,-227.164,319.402,-1672.068
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589007,1783518750.118458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589007,1783518750.118458070,1,OK,0.4808612,0.1555951,-0.0446958,-0.8617221,115.334,193.016,-1575.981,0.3164934,3,OK,115.129,193.195,-1576.034,OK,58.745,269.706,-1588.685,OK,159.575,268.672,-1555.657,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589007,1783518750.118458070,1,OK,0.8860961,0.2824449,-0.1669975,-0.3273689,-159.296,256.312,-1661.915,0.4433137,3,OK,-159.158,255.809,-1662.081,OK,-163.115,346.304,-1619.389,OK,-227.152,319.398,-1672.048
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589010,1783518750.168458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589010,1783518750.168458070,1,OK,0.4809323,0.1552033,-0.0448221,-0.8617465,115.337,193.020,-1575.954,0.3125683,3,OK,115.130,193.197,-1576.008,OK,58.749,269.700,-1588.671,OK,159.580,268.692,-1555.704,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589010,1783518750.168458070,1,OK,0.8861425,0.2822645,-0.1671115,-0.3273407,-159.284,256.314,-1661.899,0.4449808,3,OK,-159.138,255.806,-1662.063,OK,-163.104,346.319,-1619.415,OK,-227.146,319.406,-1672.067
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589013,1783518750.218458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589013,1783518750.218458070,1,OK,0.4808236,0.1555375,-0.0449449,-0.8617405,115.314,193.005,-1575.927,0.3202674,3,OK,115.107,193.181,-1575.982,OK,58.737,269.697,-1588.677,OK,159.571,268.666,-1555.631,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589013,1783518750.218458070,1,OK,0.8860659,0.2824813,-0.1670388,-0.3273980,-159.307,256.320,-1661.924,0.4403773,3,OK,-159.171,255.817,-1662.091,OK,-163.118,346.312,-1619.388,OK,-227.162,319.408,-1672.063
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589016,1783518750.268458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589016,1783518750.268458070,1,OK,0.4808656,0.1552612,-0.0445947,-0.8617851,115.328,193.009,-1575.958,0.3199141,3,OK,115.113,193.194,-1576.014,OK,58.746,269.689,-1588.631,OK,159.584,268.670,-1555.676,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589016,1783518750.268458070,1,OK,0.8861589,0.2823799,-0.1668308,-0.3273399,-159.288,256.313,-1661.892,0.4395114,3,OK,-159.156,255.819,-1662.058,OK,-163.111,346.301,-1619.375,OK,-227.150,319.383,-1672.002
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589019,1783518750.318458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589019,1783518750.318458070,1,OK,0.4808643,0.1551060,-0.0448984,-0.8617980,115.308,193.014,-1575.920,0.3202668,3,OK,115.091,193.193,-1575.978,OK,58.736,269.694,-1588.646,OK,159.575,268.688,-1555.687,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589019,1783518750.318458070,1,OK,0.8861897,0.2823390,-0.1667101,-0.3273535,-159.294,256.328,-1661.929,0.4429631,3,OK,-159.165,255.832,-1662.097,OK,-163.115,346.318,-1619.412,OK,-227.155,319.393,-1672.018
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589022,1783518750.368458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589022,1783518750.368458070,1,OK,0.4808623,0.1553686,-0.0448905,-0.8617522,115.329,193.017,-1575.946,0.3266016,3,OK,115.115,193.200,-1576.002,OK,58.745,269.697,-1588.682,OK,159.592,268.684,-1555.670,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589022,1783518750.368458070,1,OK,0.8861486,0.2823127,-0.1669375,-0.3273716,-159.289,256.309,-1661.891,0.4477765,3,OK,-159.149,255.803,-1662.057,OK,-163.108,346.308,-1619.391,OK,-227.144,319.396,-1672.019
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589025,1783518750.418458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589025,1783518750.418458070,1,OK,0.4808626,0.1556072,-0.0445942,-0.8617244,115.335,193.012,-1575.945,0.3242798,3,OK,115.121,193.196,-1576.001,OK,58.744,269.694,-1588.631,OK,159.581,268.669,-1555.608,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589025,1783518750.418458070,1,OK,0.8860045,0.2826031,-0.1671482,-0.3274033,-159.298,256.316,-1661.919,0.4352599,3,OK,-159.160,255.815,-1662.085,OK,-163.107,346.301,-1619.363,OK,-227.155,319.409,-1672.074
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589028,1783518750.468458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589028,1783518750.468458070,1,OK,0.4809009,0.1553193,-0.0448382,-0.8617423,115.320,193.008,-1575.954,0.3161443,3,OK,115.113,193.186,-1576.009,OK,58.732,269.692,-1588.679,OK,159.568,268.676,-1555.686,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589028,1783518750.468458070,1,OK,0.8861358,0.2823921,-0.1668446,-0.3273850,-159.308,256.316,-1661.929,0.4473934,3,OK,-159.176,255.813,-1662.099,OK,-163.126,346.311,-1619.406,OK,-227.160,319.394,-1672.035
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589031,1783518750.518458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589031,1783518750.518458070,1,OK,0.4808539,0.1554530,-0.0451330,-0.8617290,115.341,193.023,-1575.972,0.3200300,3,OK,115.139,193.205,-1576.024,OK,58.758,269.712,-1588.757,OK,159.596,268.685,-1555.706,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589031,1783518750.518458070,1,OK,0.8861411,0.2825578,-0.1665705,-0.3273673,-159.274,256.336,-1661.984,0.4514008,3,OK,-159.146,255.829,-1662.159,OK,-163.101,346.318,-1619.415,OK,-227.139,319.399,-1672.033
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589034,1783518750.568458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589034,1783518750.568458070,1,OK,0.4809154,0.1548870,-0.0452700,-0.8617894,115.327,193.016,-1575.949,0.3118670,3,OK,115.124,193.189,-1576.003,OK,58.747,269.701,-1588.743,OK,159.594,268.698,-1555.785,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589034,1783518750.568458070,1,OK,0.8860578,0.2826058,-0.1669290,-0.3273686,-159.291,256.321,-1661.941,0.4441849,3,OK,-159.158,255.817,-1662.110,OK,-163.118,346.302,-1619.382,OK,-227.147,319.401,-1672.051
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589037,1783518750.618458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589037,1783518750.618458070,1,OK,0.4809170,0.1551957,-0.0449939,-0.8617475,115.335,193.027,-1576.069,0.3210613,3,OK,115.124,193.203,-1576.125,OK,58.745,269.705,-1588.821,OK,159.594,268.705,-1555.831,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589037,1783518750.618458070,1,OK,0.8861628,0.2824651,-0.1665762,-0.3273857,-159.302,256.330,-1661.968,0.4572378,3,OK,-159.175,255.820,-1662.144,OK,-163.130,346.317,-1619.421,OK,-227.155,319.397,-1672.016
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589040,1783518750.668458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589040,1783518750.668458070,1,OK,0.4808459,0.1546715,-0.0457610,-0.8618410,115.323,192.997,-1576.001,0.3128339,3,OK,115.123,193.177,-1576.053,OK,58.769,269.687,-1588.879,OK,159.613,268.679,-1555.910,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589040,1783518750.668458070,1,OK,0.8861734,0.2822576,-0.1669935,-0.3273233,-159.297,256.313,-1661.906,0.4379781,3,OK,-159.159,255.819,-1662.067,OK,-163.119,346.310,-1619.421,OK,-227.159,319.391,-1672.054
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589043,1783518750.718458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589043,1783518750.718458070,1,OK,0.4807795,0.1548929,-0.0460850,-0.8618210,115.331,193.001,-1576.018,0.3168226,3,OK,115.138,193.183,-1576.068,OK,58.784,269.700,-1588.966,OK,159.629,268.674,-1555.919,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589043,1783518750.718458070,1,OK,0.8861192,0.2824600,-0.1668655,-0.3273606,-159.292,256.324,-1661.925,0.4441524,3,OK,-159.158,255.822,-1662.093,OK,-163.115,346.312,-1619.391,OK,-227.151,319.401,-1672.033
3,Port 0x01: JJH Probe  s/n:3E4C880C,977589046,1783518750.768458070,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977589046,1783518750.768458070,1,OK,0.4807323,0.1555700,-0.0459851,-0.8617307,115.345,192.992,-1576.124,0.3204950,3,OK,115.150,193.166,-1576.175,OK,58.798,269.699,-1589.073,OK,159.622,268.659,-1555.910,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977589046,1783518750.768458070,1,OK,0.8860878,0.2826734,-0.1666849,-0.3273533,-159.292,256.329,-1661.957,0.4465970,3,OK,-159.161,255.824,-1662.130,OK,-163.122,346.302,-1619.373,OK,-227.160,319.396,-1672.023
