Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,982086664,1783593711.068599159,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982086664,1783593711.068599159,1,OK,0.4811238,0.1155604,-0.1122680,-0.8617201,130.362,193.743,-1599.956,0.1906455,3,OK,130.252,193.872,-1600.003,OK,75.597,268.997,-1624.232,OK,176.358,270.484,-1591.714,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982086664,1783593711.068599159,1,OK,0.8712461,0.0991096,0.3155765,-0.3626556,-148.248,241.646,-1552.278,0.4564654,3,OK,-147.988,241.246,-1552.643,OK,-123.818,332.629,-1520.454,OK,-198.583,295.041,-1494.029
3,Port 0x01: JJH Probe  s/n:3E4C880C,982086667,1783593711.118599159,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982086667,1783593711.118599159,1,OK,0.4810710,0.1160461,-0.1120335,-0.8617149,130.382,193.736,-1600.000,0.1970210,3,OK,130.263,193.864,-1600.050,OK,75.626,269.001,-1624.244,OK,176.374,270.479,-1591.660,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982086667,1783593711.118599159,1,OK,0.8712620,0.0988560,0.3156231,-0.3626460,-148.233,241.627,-1552.249,0.4498572,3,OK,-147.977,241.234,-1552.608,OK,-123.804,332.630,-1520.473,OK,-198.569,295.025,-1494.011
3,Port 0x01: JJH Probe  s/n:3E4C880C,982086670,1783593711.168599160,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982086670,1783593711.168599160,1,OK,0.4811874,0.1161164,-0.1116579,-0.8616892,130.401,193.741,-1600.060,0.2045376,3,OK,130.276,193.881,-1600.112,OK,75.618,268.994,-1624.236,OK,176.373,270.492,-1591.678,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982086670,1783593711.168599160,1,OK,0.8713043,0.0990250,0.3154215,-0.3626737,-148.214,241.633,-1552.230,0.4446411,3,OK,-147.960,241.245,-1552.585,OK,-123.790,332.625,-1520.429,OK,-198.563,295.032,-1494.015
3,Port 0x01: JJH Probe  s/n:3E4C880C,982086673,1783593711.218599159,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982086673,1783593711.218599159,1,OK,0.4811390,0.1155411,-0.1119459,-0.8617561,130.397,193.737,-1599.973,0.2012497,3,OK,130.267,193.878,-1600.026,OK,75.635,268.980,-1624.181,OK,176.392,270.483,-1591.705,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982086673,1783593711.218599159,1,OK,0.8712451,0.0991825,0.3155463,-0.3626642,-148.201,241.625,-1552.222,0.4572797,3,OK,-147.943,241.220,-1552.588,OK,-123.771,332.607,-1520.383,OK,-198.533,295.019,-1493.975
3,Port 0x01: JJH Probe  s/n:3E4C880C,982086676,1783593711.268599159,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982086676,1783593711.268599159,1,OK,0.4811081,0.1161324,-0.1121724,-0.8616644,130.404,193.724,-1600.014,0.1936694,3,OK,130.289,193.847,-1600.062,OK,75.646,268.984,-1624.288,OK,176.385,270.474,-1591.674,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982086676,1783593711.268599159,1,OK,0.8712168,0.0991070,0.3156254,-0.3626841,-148.177,241.618,-1552.193,0.4544968,3,OK,-147.920,241.217,-1552.557,OK,-123.738,332.602,-1520.369,OK,-198.498,295.013,-1493.941
3,Port 0x01: JJH Probe  s/n:3E4C880C,982086679,1783593711.318599159,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982086679,1783593711.318599159,1,OK,0.4811458,0.1159779,-0.1117536,-0.8617186,130.441,193.711,-1600.002,0.2010166,3,OK,130.317,193.844,-1600.053,OK,75.667,268.969,-1624.191,OK,176.425,270.460,-1591.648,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982086679,1783593711.318599159,1,OK,0.8712446,0.0990053,0.3155584,-0.3627033,-148.133,241.595,-1552.151,0.4497938,3,OK,-147.882,241.196,-1552.510,OK,-123.696,332.592,-1520.347,OK,-198.460,294.996,-1493.917
3,Port 0x01: JJH Probe  s/n:3E4C880C,982086682,1783593711.368599159,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982086682,1783593711.368599159,1,OK,0.4811959,0.1159941,-0.1114360,-0.8617296,130.456,193.721,-1600.053,0.2024357,3,OK,130.329,193.857,-1600.106,OK,75.668,268.980,-1624.183,OK,176.430,270.473,-1591.671,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982086682,1783593711.368599159,1,OK,0.8711139,0.0991525,0.3158721,-0.3627039,-148.139,241.614,-1552.132,0.4603848,3,OK,-147.881,241.206,-1552.500,OK,-123.672,332.593,-1520.294,OK,-198.435,294.999,-1493.837
3,Port 0x01: JJH Probe  s/n:3E4C880C,982086685,1783593711.418599160,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982086685,1783593711.418599160,1,OK,0.4811153,0.1158420,-0.1121470,-0.8617028,130.445,193.723,-1599.931,0.1988573,3,OK,130.328,193.855,-1599.981,OK,75.679,268.977,-1624.193,OK,176.440,270.467,-1591.632,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982086685,1783593711.418599160,1,OK,0.8712004,0.0987453,0.3157386,-0.3627235,-148.103,241.574,-1552.056,0.4411910,3,OK,-147.853,241.188,-1552.407,OK,-123.654,332.580,-1520.302,OK,-198.410,294.978,-1493.814
3,Port 0x01: JJH Probe  s/n:3E4C880C,982086688,1783593711.468599159,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982086688,1783593711.468599159,1,OK,0.4812112,0.1158479,-0.1117214,-0.8617037,130.470,193.706,-1599.996,0.1977633,3,OK,130.343,193.835,-1600.048,OK,75.688,268.956,-1624.175,OK,176.443,270.465,-1591.663,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982086688,1783593711.468599159,1,OK,0.8711878,0.0985260,0.3158869,-0.3626843,-148.084,241.567,-1552.055,0.4382618,3,OK,-147.833,241.189,-1552.403,OK,-123.638,332.582,-1520.338,OK,-198.386,294.970,-1493.804
3,Port 0x01: JJH Probe  s/n:3E4C880C,982086691,1783593711.518599159,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982086691,1783593711.518599159,1,OK,0.4811651,0.1157793,-0.1117917,-0.8617296,130.473,193.715,-1599.962,0.1930618,3,OK,130.348,193.842,-1600.014,OK,75.705,268.971,-1624.150,OK,176.450,270.468,-1591.647,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982086691,1783593711.518599159,1,OK,0.8711640,0.0988964,0.3158245,-0.3626951,-148.084,241.593,-1552.072,0.4473042,3,OK,-147.832,241.199,-1552.429,OK,-123.632,332.589,-1520.283,OK,-198.383,294.986,-1493.807
