Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,982159876,1783594931.268437324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982159876,1783594931.268437324,1,OK,0.4919434,0.1111693,-0.1097162,-0.8565018,113.271,197.571,-1593.034,0.1981903,3,OK,113.147,197.706,-1593.084,OK,56.507,271.430,-1616.941,OK,157.559,275.392,-1585.569,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982159876,1783594931.268437324,1,OK,0.8768572,0.2984268,-0.2108542,-0.3124155,-156.693,256.728,-1671.307,0.4509012,3,OK,-156.556,256.217,-1671.476,OK,-164.820,346.747,-1629.380,OK,-223.248,319.723,-1688.158
3,Port 0x01: JJH Probe  s/n:3E4C880C,982159879,1783594931.318437324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982159879,1783594931.318437324,1,OK,0.4920040,0.1116369,-0.1088416,-0.8565178,113.269,197.544,-1593.154,0.2181737,3,OK,113.128,197.699,-1593.211,OK,56.477,271.406,-1616.910,OK,157.542,275.369,-1585.536,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982159879,1783594931.318437324,1,OK,0.8768337,0.2985091,-0.2108149,-0.3124293,-156.732,256.728,-1671.377,0.4503690,3,OK,-156.600,256.218,-1671.551,OK,-164.858,346.746,-1629.428,OK,-223.285,319.719,-1688.217
3,Port 0x01: JJH Probe  s/n:3E4C880C,982159882,1783594931.368437324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982159882,1783594931.368437324,1,OK,0.4919802,0.1115882,-0.1090330,-0.8565135,113.248,197.601,-1593.225,0.2175825,3,OK,113.107,197.760,-1593.282,OK,56.469,271.458,-1617.014,OK,157.524,275.423,-1585.633,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982159882,1783594931.368437324,1,OK,0.8769066,0.2983406,-0.2106892,-0.3124704,-156.754,256.775,-1671.515,0.4575277,3,OK,-156.626,256.256,-1671.696,OK,-164.864,346.816,-1629.579,OK,-223.307,319.759,-1688.343
3,Port 0x01: JJH Probe  s/n:3E4C880C,982159885,1783594931.418437324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982159885,1783594931.418437324,1,OK,0.4918822,0.1109755,-0.1094834,-0.8565919,113.305,197.549,-1593.135,0.2088571,3,OK,113.165,197.695,-1593.191,OK,56.553,271.409,-1616.986,OK,157.615,275.366,-1585.676,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982159885,1783594931.418437324,1,OK,0.8768605,0.2985085,-0.2106126,-0.3124910,-156.702,256.752,-1671.521,0.4540670,3,OK,-156.578,256.236,-1671.703,OK,-164.812,346.778,-1629.546,OK,-223.260,319.733,-1688.327
3,Port 0x01: JJH Probe  s/n:3E4C880C,982159888,1783594931.468437324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982159888,1783594931.468437324,1,OK,0.4918005,0.1109338,-0.1100296,-0.8565742,113.315,197.510,-1593.072,0.2002400,3,OK,113.189,197.640,-1593.122,OK,56.578,271.377,-1617.029,OK,157.644,275.321,-1585.665,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982159888,1783594931.468437324,1,OK,0.8769905,0.2980135,-0.2108803,-0.3124181,-156.666,256.693,-1671.424,0.4482636,3,OK,-156.527,256.188,-1671.588,OK,-164.775,346.737,-1629.575,OK,-223.218,319.687,-1688.306
3,Port 0x01: JJH Probe  s/n:3E4C880C,982159891,1783594931.518437324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982159891,1783594931.518437324,1,OK,0.4918539,0.1115986,-0.1093131,-0.8565490,113.354,197.462,-1593.219,0.2102034,3,OK,113.222,197.609,-1593.273,OK,56.598,271.337,-1617.061,OK,157.650,275.273,-1585.647,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982159891,1783594931.518437324,1,OK,0.8769842,0.2982296,-0.2106438,-0.3123893,-156.646,256.647,-1671.507,0.4502153,3,OK,-156.522,256.134,-1671.687,OK,-164.757,346.697,-1629.585,OK,-223.217,319.608,-1688.349
3,Port 0x01: JJH Probe  s/n:3E4C880C,982159894,1783594931.568437324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982159894,1783594931.568437324,1,OK,0.4918809,0.1110151,-0.1096280,-0.8565690,113.407,197.460,-1593.266,0.2094133,3,OK,113.271,197.605,-1593.320,OK,56.652,271.318,-1617.148,OK,157.720,275.276,-1585.812,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982159894,1783594931.568437324,1,OK,0.8770866,0.2979567,-0.2105893,-0.3123987,-156.615,256.623,-1671.530,0.4503831,3,OK,-156.486,256.113,-1671.704,OK,-164.717,346.682,-1629.662,OK,-223.186,319.587,-1688.376
3,Port 0x01: JJH Probe  s/n:3E4C880C,982159897,1783594931.618437324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982159897,1783594931.618437324,1,OK,0.4918310,0.1107663,-0.1101824,-0.8565588,113.463,197.469,-1593.139,0.2039444,3,OK,113.333,197.601,-1593.191,OK,56.723,271.322,-1617.119,OK,157.796,275.286,-1585.771,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982159897,1783594931.618437324,1,OK,0.8770786,0.2978361,-0.2107521,-0.3124265,-156.557,256.624,-1671.499,0.4444277,3,OK,-156.431,256.121,-1671.671,OK,-164.644,346.695,-1629.657,OK,-223.115,319.593,-1688.380
3,Port 0x01: JJH Probe  s/n:3E4C880C,982159900,1783594931.668437324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982159900,1783594931.668437324,1,OK,0.4918644,0.1109526,-0.1093954,-0.8566164,113.481,197.443,-1593.254,0.2070533,3,OK,113.341,197.589,-1593.310,OK,56.732,271.309,-1617.087,OK,157.792,275.257,-1585.791,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982159900,1783594931.668437324,1,OK,0.8770163,0.2980098,-0.2107483,-0.3124383,-156.557,256.604,-1671.462,0.4445229,3,OK,-156.428,256.096,-1671.635,OK,-164.646,346.665,-1629.584,OK,-223.121,319.578,-1688.336
3,Port 0x01: JJH Probe  s/n:3E4C880C,982159903,1783594931.718437324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982159903,1783594931.718437324,1,OK,0.4919267,0.1104415,-0.1096676,-0.8566118,113.452,197.463,-1593.212,0.2020228,3,OK,113.314,197.601,-1593.266,OK,56.694,271.313,-1617.083,OK,157.769,275.284,-1585.854,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982159903,1783594931.718437324,1,OK,0.8770562,0.2979154,-0.2106941,-0.3124529,-156.598,256.619,-1671.472,0.4451467,3,OK,-156.471,256.116,-1671.644,OK,-164.686,346.680,-1629.614,OK,-223.157,319.592,-1688.335
