Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,982161808,1783594963.468445884,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982161808,1783594963.468445884,1,OK,0.4909839,0.1042554,-0.1103967,-0.8578334,114.583,196.392,-1596.793,0.2030247,3,OK,114.454,196.535,-1596.845,OK,57.896,270.328,-1620.610,OK,159.310,274.058,-1590.409,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982161808,1783594963.468445884,1,OK,0.8770878,0.2979554,-0.2094743,-0.3131456,-156.179,256.241,-1671.325,0.4589972,3,OK,-156.052,255.726,-1671.504,OK,-164.131,346.267,-1629.352,OK,-222.740,319.267,-1687.939
3,Port 0x01: JJH Probe  s/n:3E4C880C,982161811,1783594963.518445884,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982161811,1783594963.518445884,1,OK,0.4910078,0.1039366,-0.1105779,-0.8578351,114.553,196.415,-1596.755,0.2004293,3,OK,114.425,196.558,-1596.806,OK,57.867,270.341,-1620.596,OK,159.283,274.082,-1590.437,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982161811,1783594963.518445884,1,OK,0.8769896,0.2981615,-0.2095758,-0.3131564,-156.229,256.267,-1671.359,0.4476477,3,OK,-156.108,255.756,-1671.540,OK,-164.171,346.289,-1629.336,OK,-222.795,319.288,-1687.991
3,Port 0x01: JJH Probe  s/n:3E4C880C,982161814,1783594963.568445891,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982161814,1783594963.568445891,1,OK,0.4909460,0.1044481,-0.1106836,-0.8577947,114.516,196.393,-1596.774,0.2055496,3,OK,114.393,196.543,-1596.825,OK,57.837,270.326,-1620.653,OK,159.245,274.051,-1590.384,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982161814,1783594963.568445891,1,OK,0.8770627,0.2980689,-0.2093879,-0.3131656,-156.246,256.240,-1671.310,0.4512057,3,OK,-156.126,255.732,-1671.490,OK,-164.190,346.257,-1629.302,OK,-222.814,319.256,-1687.908
3,Port 0x01: JJH Probe  s/n:3E4C880C,982161817,1783594963.618445891,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982161817,1783594963.618445891,1,OK,0.4909337,0.1039662,-0.1108369,-0.8578405,114.543,196.396,-1596.735,0.1945655,3,OK,114.424,196.539,-1596.784,OK,57.872,270.330,-1620.627,OK,159.279,274.048,-1590.436,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982161817,1783594963.618445891,1,OK,0.8770563,0.2978475,-0.2098477,-0.3130861,-156.209,256.212,-1671.235,0.4457286,3,OK,-156.072,255.699,-1671.405,OK,-164.152,346.253,-1629.294,OK,-222.778,319.245,-1687.940
3,Port 0x01: JJH Probe  s/n:3E4C880C,982161820,1783594963.668445891,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982161820,1783594963.668445891,1,OK,0.4909428,0.1044467,-0.1104856,-0.8578223,114.584,196.358,-1596.786,0.2047392,3,OK,114.461,196.511,-1596.838,OK,57.904,270.297,-1620.627,OK,159.310,274.012,-1590.379,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982161820,1783594963.668445891,1,OK,0.8770871,0.2980102,-0.2094465,-0.3131140,-156.172,256.203,-1671.341,0.4484271,3,OK,-156.052,255.698,-1671.521,OK,-164.121,346.226,-1629.350,OK,-222.743,319.213,-1687.959
3,Port 0x01: JJH Probe  s/n:3E4C880C,982161823,1783594963.718445884,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982161823,1783594963.718445884,1,OK,0.4910684,0.1042712,-0.1100668,-0.8578255,114.573,196.370,-1596.781,0.2176451,3,OK,114.429,196.529,-1596.839,OK,57.869,270.288,-1620.535,OK,159.292,274.045,-1590.365,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982161823,1783594963.718445884,1,OK,0.8771137,0.2977986,-0.2096035,-0.3131358,-156.215,256.180,-1671.234,0.4547874,3,OK,-156.085,255.667,-1671.410,OK,-164.158,346.220,-1629.295,OK,-222.774,319.209,-1687.885
3,Port 0x01: JJH Probe  s/n:3E4C880C,982161826,1783594963.768445884,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982161826,1783594963.768445884,1,OK,0.4910629,0.1045441,-0.1098990,-0.8578170,114.601,196.332,-1596.901,0.2140173,3,OK,114.466,196.501,-1596.957,OK,57.897,270.261,-1620.632,OK,159.302,273.995,-1590.430,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982161826,1783594963.768445884,1,OK,0.8772302,0.2975922,-0.2094929,-0.3130796,-156.190,256.118,-1671.283,0.4622179,3,OK,-156.058,255.601,-1671.459,OK,-164.141,346.172,-1629.383,OK,-222.756,319.135,-1687.926
3,Port 0x01: JJH Probe  s/n:3E4C880C,982161829,1783594963.818445891,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982161829,1783594963.818445891,1,OK,0.4911302,0.1046081,-0.1100140,-0.8577559,114.668,196.316,-1596.889,0.2197994,3,OK,114.529,196.485,-1596.946,OK,57.951,270.229,-1620.646,OK,159.364,273.991,-1590.418,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982161829,1783594963.818445891,1,OK,0.8772161,0.2977916,-0.2091871,-0.3131339,-156.121,256.080,-1671.352,0.4656578,3,OK,-156.008,255.558,-1671.544,OK,-164.061,346.137,-1629.375,OK,-222.696,319.073,-1687.935
3,Port 0x01: JJH Probe  s/n:3E4C880C,982161832,1783594963.868445891,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982161832,1783594963.868445891,1,OK,0.4912513,0.1039612,-0.1101040,-0.8577536,114.678,196.235,-1596.839,0.2061656,3,OK,114.539,196.387,-1596.894,OK,57.948,270.133,-1620.593,OK,159.362,273.925,-1590.483,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982161832,1783594963.868445891,1,OK,0.8774619,0.2970993,-0.2092758,-0.3130435,-156.120,255.945,-1671.257,0.4679752,3,OK,-155.997,255.433,-1671.437,OK,-164.065,346.030,-1629.444,OK,-222.685,318.936,-1687.889
3,Port 0x01: JJH Probe  s/n:3E4C880C,982161835,1783594963.918445891,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,982161835,1783594963.918445891,1,OK,0.4912705,0.1041568,-0.1102606,-0.8576988,114.683,196.105,-1596.828,0.2052784,3,OK,114.547,196.262,-1596.883,OK,57.957,269.997,-1620.617,OK,159.353,273.796,-1590.458,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,982161835,1783594963.918445891,1,OK,0.8773955,0.2971112,-0.2095384,-0.3130427,-156.114,255.764,-1671.269,0.4552800,3,OK,-155.984,255.254,-1671.442,OK,-164.045,345.854,-1629.455,OK,-222.685,318.767,-1687.961
