Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,977323513,1783514325.218449818,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977323513,1783514325.218449818,1,OK,0.4788645,0.1294376,-0.0965066,-0.8629143,113.398,190.901,-1587.499,0.2770885,3,OK,113.217,191.081,-1587.568,OK,58.690,266.933,-1609.143,OK,159.261,267.333,-1575.653,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977323513,1783514325.218449818,1,OK,0.8746314,0.2972025,-0.2129762,-0.3183265,-154.850,257.130,-1671.418,0.4552341,3,OK,-154.733,256.614,-1671.598,OK,-161.773,347.252,-1629.453,OK,-220.528,321.013,-1688.269
3,Port 0x01: JJH Probe  s/n:3E4C880C,977323516,1783514325.268449818,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977323516,1783514325.268449818,1,OK,0.4789035,0.1291685,-0.0968973,-0.8628892,113.380,190.899,-1587.457,0.2710026,3,OK,113.207,191.068,-1587.522,OK,58.668,266.925,-1609.171,OK,159.248,267.339,-1575.687,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977323516,1783514325.268449818,1,OK,0.8746234,0.2972181,-0.2130068,-0.3183133,-154.883,257.098,-1671.461,0.4518690,3,OK,-154.767,256.586,-1671.640,OK,-161.806,347.220,-1629.494,OK,-220.561,320.978,-1688.319
3,Port 0x01: JJH Probe  s/n:3E4C880C,977323519,1783514325.318449818,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977323519,1783514325.318449818,1,OK,0.4789414,0.1291316,-0.0968343,-0.8628808,113.378,190.905,-1587.535,0.2701815,3,OK,113.201,191.069,-1587.602,OK,58.663,266.926,-1609.235,OK,159.240,267.353,-1575.767,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977323519,1783514325.318449818,1,OK,0.8747399,0.2970779,-0.2128637,-0.3182200,-154.892,257.070,-1671.500,0.4599804,3,OK,-154.773,256.554,-1671.679,OK,-161.837,347.197,-1629.565,OK,-220.583,320.936,-1688.341
3,Port 0x01: JJH Probe  s/n:3E4C880C,977323522,1783514325.368449818,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977323522,1783514325.368449818,1,OK,0.4789206,0.1289071,-0.0974098,-0.8628611,113.364,190.895,-1587.495,0.2671653,3,OK,113.197,191.058,-1587.559,OK,58.658,266.910,-1609.300,OK,159.241,267.342,-1575.811,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977323522,1783514325.368449818,1,OK,0.8748575,0.2970454,-0.2125073,-0.3181650,-154.914,257.027,-1671.589,0.4725083,3,OK,-154.804,256.508,-1671.777,OK,-161.881,347.154,-1629.653,OK,-220.616,320.868,-1688.366
3,Port 0x01: JJH Probe  s/n:3E4C880C,977323525,1783514325.418449825,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977323525,1783514325.418449825,1,OK,0.4790004,0.1291578,-0.0972864,-0.8627932,113.348,190.919,-1587.577,0.2785938,3,OK,113.174,191.094,-1587.643,OK,58.624,266.916,-1609.368,OK,159.209,267.372,-1575.843,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977323525,1783514325.418449825,1,OK,0.8747762,0.2970086,-0.2130115,-0.3180858,-154.969,256.981,-1671.570,0.4559091,3,OK,-154.847,256.464,-1671.748,OK,-161.932,347.120,-1629.658,OK,-220.676,320.833,-1688.458
3,Port 0x01: JJH Probe  s/n:3E4C880C,977323528,1783514325.468449818,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977323528,1783514325.468449818,1,OK,0.4790995,0.1290125,-0.0975067,-0.8627351,113.306,190.893,-1587.580,0.2723402,3,OK,113.137,191.058,-1587.645,OK,58.569,266.878,-1609.412,OK,159.153,267.360,-1575.892,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977323528,1783514325.468449818,1,OK,0.8748034,0.2973682,-0.2125016,-0.3180161,-155.012,256.915,-1671.695,0.4617482,3,OK,-154.910,256.398,-1671.888,OK,-162.002,347.034,-1629.686,OK,-220.745,320.721,-1688.478
3,Port 0x01: JJH Probe  s/n:3E4C880C,977323531,1783514325.518449818,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977323531,1783514325.518449818,1,OK,0.4791978,0.1285684,-0.0971142,-0.8627911,113.334,190.896,-1587.650,0.2776655,3,OK,113.152,191.077,-1587.719,OK,58.580,266.864,-1609.393,OK,159.180,267.369,-1575.999,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977323531,1783514325.518449818,1,OK,0.8748633,0.2971995,-0.2125692,-0.3179638,-155.010,256.887,-1671.676,0.4626283,3,OK,-154.909,256.370,-1671.870,OK,-162.004,347.021,-1629.705,OK,-220.743,320.686,-1688.483
3,Port 0x01: JJH Probe  s/n:3E4C880C,977323534,1783514325.568449818,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977323534,1783514325.568449818,1,OK,0.4791375,0.1292615,-0.0973030,-0.8626998,113.332,190.872,-1587.674,0.2827494,3,OK,113.158,191.049,-1587.741,OK,58.581,266.850,-1609.476,OK,159.171,267.339,-1575.928,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977323534,1783514325.568449818,1,OK,0.8747333,0.2974888,-0.2127976,-0.3178980,-155.017,256.847,-1671.690,0.4497300,3,OK,-154.913,256.332,-1671.881,OK,-162.017,346.971,-1629.665,OK,-220.766,320.645,-1688.540
3,Port 0x01: JJH Probe  s/n:3E4C880C,977323537,1783514325.618449818,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977323537,1783514325.618449818,1,OK,0.4791730,0.1285744,-0.0981660,-0.8626849,113.272,190.872,-1587.587,0.2559253,3,OK,113.115,191.023,-1587.646,OK,58.541,266.843,-1609.532,OK,159.112,267.353,-1576.030,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977323537,1783514325.618449818,1,OK,0.8749949,0.2966160,-0.2131873,-0.3177326,-155.093,256.756,-1671.594,0.4493981,3,OK,-154.964,256.243,-1671.764,OK,-162.102,346.927,-1629.783,OK,-220.839,320.564,-1688.568
3,Port 0x01: JJH Probe  s/n:3E4C880C,977323540,1783514325.668449825,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,977323540,1783514325.668449825,1,OK,0.4791886,0.1289231,-0.0978995,-0.8626545,113.256,190.867,-1587.659,0.2740152,3,OK,113.085,191.035,-1587.724,OK,58.516,266.826,-1609.563,OK,159.093,267.348,-1576.021,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,977323540,1783514325.668449825,1,OK,0.8750550,0.2966802,-0.2129872,-0.3176414,-155.106,256.728,-1671.676,0.4497057,3,OK,-154.976,256.215,-1671.845,OK,-162.134,346.890,-1629.847,OK,-220.879,320.517,-1688.620
