Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,983538106,1783617901.768592019,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983538106,1783617901.768592019,1,OK,0.7966452,-0.1576464,0.2773793,0.5133856,85.621,6.599,-1520.469,0.4912379,3,OK,86.023,6.493,-1520.539,OK,156.155,-56.246,-1502.980,OK,56.494,-59.138,-1465.985,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983538106,1783617901.768592019,1,OK,0.7416555,-0.4868838,-0.1270390,0.4435677,-206.512,79.068,-1770.495,0.6219489,3,OK,-206.179,79.482,-1770.588,OK,-283.152,44.273,-1823.852,OK,-260.194,5.639,-1747.293
3,Port 0x01: JJH Probe  s/n:3E4C880C,983538109,1783617901.818592019,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983538109,1783617901.818592019,1,OK,0.7966325,-0.1577389,0.2773848,0.5133740,85.661,6.624,-1520.511,0.4958399,3,OK,86.069,6.531,-1520.591,OK,156.192,-56.215,-1503.004,OK,56.531,-59.118,-1466.010,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983538109,1783617901.818592019,1,OK,0.7419026,-0.4866467,-0.1270269,0.4434182,-206.471,79.132,-1770.526,0.6047200,3,OK,-206.132,79.551,-1770.618,OK,-283.125,44.383,-1823.863,OK,-260.191,5.721,-1747.393
3,Port 0x01: JJH Probe  s/n:3E4C880C,983538112,1783617901.868592019,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983538112,1783617901.868592019,1,OK,0.7966218,-0.1577061,0.2774012,0.5133917,85.634,6.629,-1520.446,0.4929185,3,OK,86.036,6.519,-1520.514,OK,156.174,-56.209,-1502.950,OK,56.507,-59.102,-1465.955,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983538112,1783617901.868592019,1,OK,0.7419744,-0.4869859,-0.1267726,0.4429983,-206.466,79.281,-1770.539,0.6195260,3,OK,-206.135,79.693,-1770.634,OK,-283.143,44.598,-1823.908,OK,-260.255,5.927,-1747.353
3,Port 0x01: JJH Probe  s/n:3E4C880C,983538115,1783617901.918592019,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983538115,1783617901.918592019,1,OK,0.7967194,-0.1579825,0.2772083,0.5132594,85.631,6.648,-1520.443,0.4830862,3,OK,86.031,6.543,-1520.513,OK,156.140,-56.195,-1502.874,OK,56.476,-59.065,-1465.958,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983538115,1783617901.918592019,1,OK,0.7421401,-0.4869567,-0.1263503,0.4428734,-206.468,79.412,-1770.529,0.6168483,3,OK,-206.153,79.830,-1770.652,OK,-283.166,44.788,-1823.817,OK,-260.316,6.086,-1747.306
3,Port 0x01: JJH Probe  s/n:3E4C880C,983538118,1783617901.968592019,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983538118,1783617901.968592019,1,OK,0.7966933,-0.1578147,0.2773044,0.5132998,85.613,6.663,-1520.464,0.4903946,3,OK,86.014,6.557,-1520.534,OK,156.137,-56.184,-1502.936,OK,56.462,-59.059,-1465.977,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983538118,1783617901.968592019,1,OK,0.7422531,-0.4870227,-0.1261393,0.4426715,-206.462,79.525,-1770.651,0.6193931,3,OK,-206.156,79.944,-1770.785,OK,-283.174,44.950,-1823.921,OK,-260.358,6.227,-1747.408
3,Port 0x01: JJH Probe  s/n:3E4C880C,983538121,1783617902.018592019,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983538121,1783617902.018592019,1,OK,0.7965675,-0.1582383,0.2775551,0.5132289,85.620,6.661,-1520.474,0.4930278,3,OK,86.023,6.570,-1520.555,OK,156.153,-56.159,-1502.881,OK,56.481,-59.024,-1465.911,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983538121,1783617902.018592019,1,OK,0.7423978,-0.4870992,-0.1263370,0.4422882,-206.437,79.653,-1770.621,0.6276141,3,OK,-206.109,80.068,-1770.724,OK,-283.170,45.124,-1823.995,OK,-260.369,6.387,-1747.429
3,Port 0x01: JJH Probe  s/n:3E4C880C,983538124,1783617902.068592019,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983538124,1783617902.068592019,1,OK,0.7966796,-0.1580685,0.2773514,0.5132175,85.640,6.661,-1520.438,0.4858563,3,OK,86.037,6.561,-1520.510,OK,156.159,-56.181,-1502.860,OK,56.484,-59.036,-1465.924,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983538124,1783617902.068592019,1,OK,0.7426274,-0.4869779,-0.1266147,0.4419568,-206.439,79.737,-1770.578,0.6192451,3,OK,-206.089,80.152,-1770.653,OK,-283.184,45.256,-1824.029,OK,-260.406,6.499,-1747.490
3,Port 0x01: JJH Probe  s/n:3E4C880C,983538127,1783617902.118592019,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983538127,1783617902.118592019,1,OK,0.7967401,-0.1578554,0.2772859,0.5132244,85.593,6.687,-1520.439,0.4807624,3,OK,85.985,6.564,-1520.494,OK,156.108,-56.170,-1502.897,OK,56.435,-59.010,-1465.964,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983538127,1783617902.118592019,1,OK,0.7426203,-0.4871772,-0.1257744,0.4419890,-206.470,79.870,-1770.742,0.6304193,3,OK,-206.163,80.289,-1770.878,OK,-283.235,45.434,-1824.038,OK,-260.494,6.657,-1747.492
3,Port 0x01: JJH Probe  s/n:3E4C880C,983538130,1783617902.168592019,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983538130,1783617902.168592019,1,OK,0.7967316,-0.1576998,0.2773466,0.5132527,85.596,6.694,-1520.417,0.4850679,3,OK,85.989,6.566,-1520.469,OK,156.119,-56.168,-1502.911,OK,56.441,-59.009,-1465.948,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983538130,1783617902.168592019,1,OK,0.7426459,-0.4870947,-0.1262052,0.4419140,-206.471,79.805,-1770.648,0.6243910,3,OK,-206.143,80.219,-1770.751,OK,-283.228,45.357,-1824.034,OK,-260.471,6.586,-1747.482
3,Port 0x01: JJH Probe  s/n:3E4C880C,983538133,1783617902.218592019,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983538133,1783617902.218592019,1,OK,0.7966465,-0.1581229,0.2774680,0.5131891,85.694,6.613,-1520.431,0.4926539,3,OK,86.099,6.521,-1520.511,OK,156.211,-56.223,-1502.849,OK,56.541,-59.080,-1465.889,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983538133,1783617902.218592019,1,OK,0.7422211,-0.4870943,-0.1261331,0.4426482,-206.388,79.415,-1770.545,0.6251386,3,OK,-206.069,79.832,-1770.663,OK,-283.118,44.830,-1823.840,OK,-260.278,6.126,-1747.291
