Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,983427844,1783616064.068516830,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983427844,1783616064.068516830,1,OK,0.8207913,0.0772150,0.1482468,0.5462256,80.785,-28.092,-1596.728,0.3028450,3,OK,80.992,-28.061,-1596.801,OK,147.111,-94.689,-1617.268,OK,48.211,-110.812,-1582.338,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983427844,1783616064.068516830,1,OK,0.7472111,-0.4639463,-0.0932724,0.4666151,-218.131,80.132,-1756.998,0.6481239,3,OK,-217.824,80.570,-1757.161,OK,-299.344,45.367,-1803.014,OK,-269.264,6.446,-1729.090
3,Port 0x01: JJH Probe  s/n:3E4C880C,983427847,1783616064.118516830,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983427847,1783616064.118516830,1,OK,0.8207238,0.0771751,0.1484029,0.5462902,80.736,-28.111,-1596.836,0.3059750,3,OK,80.949,-28.084,-1596.911,OK,147.067,-94.692,-1617.375,OK,48.181,-110.837,-1582.420,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983427847,1783616064.118516830,1,OK,0.7472987,-0.4636530,-0.0929859,0.4668235,-218.158,80.134,-1756.961,0.6160656,3,OK,-217.873,80.573,-1757.148,OK,-299.359,45.366,-1802.843,OK,-269.295,6.452,-1729.066
3,Port 0x01: JJH Probe  s/n:3E4C880C,983427850,1783616064.168516830,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983427850,1783616064.168516830,1,OK,0.8207061,0.0775630,0.1479065,0.5463964,80.745,-28.149,-1596.900,0.2965818,3,OK,80.951,-28.119,-1596.973,OK,147.083,-94.713,-1617.493,OK,48.196,-110.887,-1582.602,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983427850,1783616064.168516830,1,OK,0.7473292,-0.4636451,-0.0933889,0.4667021,-218.146,80.120,-1756.913,0.6073631,3,OK,-217.839,80.557,-1757.074,OK,-299.341,45.340,-1802.879,OK,-269.282,6.439,-1729.101
3,Port 0x01: JJH Probe  s/n:3E4C880C,983427853,1783616064.218516830,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983427853,1783616064.218516830,1,OK,0.8206110,0.0787524,0.1476771,0.5464313,80.793,-28.189,-1597.060,0.3006741,3,OK,80.991,-28.157,-1597.130,OK,147.114,-94.727,-1617.869,OK,48.228,-110.950,-1582.912,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983427853,1783616064.218516830,1,OK,0.7471689,-0.4639511,-0.0932052,0.4666912,-218.113,80.129,-1756.972,0.6398455,3,OK,-217.812,80.566,-1757.141,OK,-299.317,45.350,-1802.956,OK,-269.241,6.445,-1729.057
3,Port 0x01: JJH Probe  s/n:3E4C880C,983427856,1783616064.268516830,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983427856,1783616064.268516830,1,OK,0.8206509,0.0790672,0.1471847,0.5464587,80.749,-28.219,-1597.227,0.2985739,3,OK,80.953,-28.197,-1597.299,OK,147.057,-94.739,-1618.071,OK,48.168,-110.986,-1583.184,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983427856,1783616064.268516830,1,OK,0.7472279,-0.4638710,-0.0933255,0.4666524,-218.151,80.134,-1756.943,0.6366144,3,OK,-217.840,80.575,-1757.105,OK,-299.358,45.358,-1802.946,OK,-269.285,6.448,-1729.066
3,Port 0x01: JJH Probe  s/n:3E4C880C,983427859,1783616064.318516830,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983427859,1783616064.318516830,1,OK,0.8206189,0.0786754,0.1474528,0.5464910,80.739,-28.211,-1597.281,0.3062587,3,OK,80.950,-28.187,-1597.355,OK,147.063,-94.729,-1618.065,OK,48.172,-110.981,-1583.158,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983427859,1783616064.318516830,1,OK,0.7472369,-0.4638165,-0.0933534,0.4666865,-218.155,80.143,-1756.959,0.6349907,3,OK,-217.841,80.587,-1757.122,OK,-299.358,45.361,-1802.955,OK,-269.287,6.449,-1729.093
3,Port 0x01: JJH Probe  s/n:3E4C880C,983427862,1783616064.368516830,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983427862,1783616064.368516830,1,OK,0.8206882,0.0786031,0.1473478,0.5464256,80.771,-28.206,-1597.217,0.3065777,3,OK,80.988,-28.181,-1597.293,OK,147.080,-94.733,-1617.979,OK,48.188,-110.973,-1583.101,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983427862,1783616064.368516830,1,OK,0.7472423,-0.4638140,-0.0931880,0.4667135,-218.136,80.135,-1757.004,0.6298972,3,OK,-217.836,80.572,-1757.172,OK,-299.345,45.363,-1802.968,OK,-269.266,6.454,-1729.112
3,Port 0x01: JJH Probe  s/n:3E4C880C,983427865,1783616064.418516830,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983427865,1783616064.418516830,1,OK,0.8205966,0.0786040,0.1474944,0.5465235,80.729,-28.214,-1597.275,0.3152438,3,OK,80.947,-28.185,-1597.352,OK,147.061,-94.724,-1618.049,OK,48.161,-110.995,-1583.137,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983427865,1783616064.418516830,1,OK,0.7472055,-0.4639055,-0.0931471,0.4666897,-218.145,80.135,-1756.977,0.6341866,3,OK,-217.847,80.573,-1757.149,OK,-299.352,45.362,-1802.940,OK,-269.282,6.457,-1729.067
3,Port 0x01: JJH Probe  s/n:3E4C880C,983427868,1783616064.468516826,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983427868,1783616064.468516826,1,OK,0.8206281,0.0792041,0.1470558,0.5465079,80.747,-28.214,-1597.193,0.3021188,3,OK,80.951,-28.192,-1597.265,OK,147.066,-94.722,-1618.061,OK,48.163,-110.988,-1583.182,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983427868,1783616064.468516826,1,OK,0.7473764,-0.4635747,-0.0933674,0.4667006,-218.153,80.146,-1756.950,0.6014479,3,OK,-217.845,80.586,-1757.113,OK,-299.348,45.370,-1802.898,OK,-269.298,6.467,-1729.153
3,Port 0x01: JJH Probe  s/n:3E4C880C,983427871,1783616064.518516826,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983427871,1783616064.518516826,1,OK,0.8206421,0.0786163,0.1473062,0.5465042,80.739,-28.212,-1597.293,0.3017940,3,OK,80.947,-28.182,-1597.366,OK,147.067,-94.735,-1618.059,OK,48.173,-110.983,-1583.188,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983427871,1783616064.518516826,1,OK,0.7472164,-0.4638210,-0.0930453,0.4667765,-218.151,80.143,-1757.027,0.6282198,3,OK,-217.863,80.578,-1757.207,OK,-299.355,45.370,-1802.953,OK,-269.279,6.463,-1729.108
