Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,983513014,1783617483.568682969,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983513014,1783617483.568682969,1,OK,0.8200705,0.0725597,0.1328051,0.5518897,89.511,-26.938,-1609.581,0.2971389,3,OK,89.738,-26.931,-1609.652,OK,157.022,-92.692,-1628.758,OK,57.290,-110.092,-1597.117,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983513014,1783617483.568682969,1,OK,0.5708316,-0.0076963,0.3958349,0.7193100,-184.065,45.037,-1493.004,0.3250058,3,OK,-183.999,45.295,-1493.264,OK,-230.523,-5.435,-1420.661,OK,-151.445,-31.088,-1449.832
3,Port 0x01: JJH Probe  s/n:3E4C880C,983513017,1783617483.618682969,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983513017,1783617483.618682969,1,OK,0.8199838,0.0729525,0.1332378,0.5518625,89.516,-26.961,-1609.779,0.3160381,3,OK,89.742,-26.958,-1609.850,OK,157.037,-92.705,-1629.057,OK,57.279,-110.120,-1597.283,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983513017,1783617483.618682969,1,OK,0.5707545,-0.0079747,0.3961734,0.7191817,-184.072,45.001,-1493.048,0.3459492,3,OK,-184.000,45.286,-1493.335,OK,-230.516,-5.431,-1420.642,OK,-151.444,-31.089,-1449.795
3,Port 0x01: JJH Probe  s/n:3E4C880C,983513020,1783617483.668682969,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983513020,1783617483.668682969,1,OK,0.8199588,0.0736908,0.1323704,0.5520102,89.507,-26.982,-1610.008,0.3061220,3,OK,89.731,-26.978,-1610.078,OK,157.023,-92.690,-1629.385,OK,57.272,-110.163,-1597.720,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983513020,1783617483.668682969,1,OK,0.5707547,-0.0080445,0.3960161,0.7192674,-184.087,45.025,-1493.046,0.3389794,3,OK,-184.025,45.308,-1493.326,OK,-230.536,-5.422,-1420.676,OK,-151.456,-31.075,-1449.797
3,Port 0x01: JJH Probe  s/n:3E4C880C,983513023,1783617483.718682969,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983513023,1783617483.718682969,1,OK,0.8199251,0.0746327,0.1317956,0.5520713,89.508,-27.012,-1609.993,0.2927451,3,OK,89.717,-26.995,-1610.059,OK,157.012,-92.708,-1629.521,OK,57.271,-110.211,-1597.889,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983513023,1783617483.718682969,1,OK,0.5708258,-0.0078398,0.3959073,0.7192732,-184.088,45.025,-1493.019,0.3302886,3,OK,-184.023,45.291,-1493.285,OK,-230.549,-5.431,-1420.664,OK,-151.467,-31.090,-1449.816
3,Port 0x01: JJH Probe  s/n:3E4C880C,983513026,1783617483.768682969,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983513026,1783617483.768682969,1,OK,0.8198981,0.0744022,0.1320874,0.5520728,89.521,-27.017,-1610.136,0.3048973,3,OK,89.740,-26.995,-1610.205,OK,157.030,-92.710,-1629.635,OK,57.286,-110.224,-1597.963,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983513026,1783617483.768682969,1,OK,0.5708538,-0.0078425,0.3957797,0.7193211,-184.055,45.036,-1493.023,0.3223204,3,OK,-183.991,45.292,-1493.279,OK,-230.527,-5.431,-1420.692,OK,-151.439,-31.082,-1449.835
3,Port 0x01: JJH Probe  s/n:3E4C880C,983513029,1783617483.818682969,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983513029,1783617483.818682969,1,OK,0.8198464,0.0748918,0.1319903,0.5521066,89.509,-27.025,-1610.103,0.2978795,3,OK,89.713,-27.020,-1610.167,OK,157.025,-92.706,-1629.694,OK,57.275,-110.221,-1597.994,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983513029,1783617483.818682969,1,OK,0.5707204,-0.0079558,0.3961464,0.7192238,-184.101,45.012,-1493.078,0.3480538,3,OK,-184.029,45.299,-1493.366,OK,-230.541,-5.429,-1420.675,OK,-151.462,-31.080,-1449.834
3,Port 0x01: JJH Probe  s/n:3E4C880C,983513032,1783617483.868682969,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983513032,1783617483.868682969,1,OK,0.8198084,0.0751373,0.1321535,0.5520906,89.500,-27.032,-1610.101,0.2992330,3,OK,89.702,-27.015,-1610.165,OK,157.008,-92.714,-1629.745,OK,57.269,-110.235,-1597.993,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983513032,1783617483.868682969,1,OK,0.5708072,-0.0077960,0.3958892,0.7192984,-184.088,45.033,-1493.007,0.3276838,3,OK,-184.020,45.293,-1493.270,OK,-230.546,-5.430,-1420.654,OK,-151.462,-31.080,-1449.817
3,Port 0x01: JJH Probe  s/n:3E4C880C,983513035,1783617483.918682969,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983513035,1783617483.918682969,1,OK,0.8198218,0.0758413,0.1314281,0.5521476,89.540,-27.033,-1610.096,0.2801100,3,OK,89.726,-27.019,-1610.154,OK,157.039,-92.705,-1629.839,OK,57.306,-110.238,-1598.172,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983513035,1783617483.918682969,1,OK,0.5707668,-0.0079795,0.3960115,0.7192611,-184.070,45.020,-1493.044,0.3381526,3,OK,-184.005,45.297,-1493.320,OK,-230.523,-5.426,-1420.672,OK,-151.437,-31.082,-1449.809
3,Port 0x01: JJH Probe  s/n:3E4C880C,983513038,1783617483.968682969,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983513038,1783617483.968682969,1,OK,0.8198009,0.0754433,0.1317773,0.5521500,89.521,-27.050,-1610.286,0.2922782,3,OK,89.722,-27.037,-1610.349,OK,157.024,-92.718,-1629.969,OK,57.294,-110.259,-1598.267,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983513038,1783617483.968682969,1,OK,0.5708198,-0.0079580,0.3958687,0.7192978,-184.081,45.023,-1493.028,0.3300271,3,OK,-184.016,45.288,-1493.293,OK,-230.551,-5.433,-1420.680,OK,-151.457,-31.085,-1449.814
3,Port 0x01: JJH Probe  s/n:3E4C880C,983513041,1783617484.018682969,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983513041,1783617484.018682969,1,OK,0.8197699,0.0756725,0.1316502,0.5521950,89.514,-27.061,-1610.310,0.2902177,3,OK,89.712,-27.052,-1610.372,OK,157.019,-92.717,-1630.032,OK,57.291,-110.274,-1598.335,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983513041,1783617484.018682969,1,OK,0.5708241,-0.0078625,0.3959818,0.7192332,-184.084,45.037,-1493.026,0.3393116,3,OK,-184.016,45.313,-1493.302,OK,-230.545,-5.411,-1420.654,OK,-151.462,-31.075,-1449.809
