Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,988426012,1783699366.868651430,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988426012,1783699366.868651430,1,OK,0.8202976,0.0074588,0.1592924,0.5492560,111.187,15.909,-1620.801,0.3925629,3,OK,111.542,15.919,-1620.904,OK,180.094,-50.499,-1628.982,OK,79.793,-65.450,-1597.936,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988426012,1783699366.868651430,1,OK,0.5676513,-0.0398648,0.4373658,0.6963433,-162.544,96.880,-1510.551,0.3254004,3,OK,-162.417,97.007,-1510.778,OK,-208.688,54.901,-1432.699,OK,-129.514,26.382,-1459.163
3,Port 0x01: JJH Probe  s/n:3E4C880C,988426015,1783699366.918651430,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988426015,1783699366.918651430,1,OK,0.8202845,0.0090620,0.1584081,0.5495071,111.221,15.773,-1621.323,0.3966122,3,OK,111.581,15.782,-1621.427,OK,180.118,-50.606,-1629.770,OK,79.823,-65.668,-1598.747,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988426015,1783699366.918651430,1,OK,0.5676364,-0.0400553,0.4374423,0.6962964,-162.518,96.877,-1510.557,0.3339490,3,OK,-162.392,97.021,-1510.802,OK,-208.669,54.915,-1432.693,OK,-129.487,26.392,-1459.128
3,Port 0x01: JJH Probe  s/n:3E4C880C,988426018,1783699366.968651430,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988426018,1783699366.968651430,1,OK,0.8202010,0.0110673,0.1576199,0.5498216,111.176,15.574,-1622.025,0.3958093,3,OK,111.531,15.576,-1622.126,OK,180.075,-50.772,-1630.822,OK,79.788,-65.955,-1599.765,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988426018,1783699366.968651430,1,OK,0.5675573,-0.0400601,0.4376155,0.6962518,-162.578,96.857,-1510.571,0.3405401,3,OK,-162.448,97.009,-1510.826,OK,-208.708,54.910,-1432.675,OK,-129.533,26.387,-1459.126
3,Port 0x01: JJH Probe  s/n:3E4C880C,988426021,1783699367.018651430,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988426021,1783699367.018651430,1,OK,0.8202129,0.0135285,0.1558240,0.5502605,111.193,15.416,-1622.522,0.3776799,3,OK,111.534,15.412,-1622.619,OK,180.081,-50.893,-1631.707,OK,79.810,-66.229,-1600.780,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988426021,1783699367.018651430,1,OK,0.5676818,-0.0399195,0.4373392,0.6963320,-162.554,96.880,-1510.531,0.3199468,3,OK,-162.433,97.009,-1510.755,OK,-208.702,54.907,-1432.691,OK,-129.532,26.380,-1459.132
3,Port 0x01: JJH Probe  s/n:3E4C880C,988426024,1783699367.068651430,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988426024,1783699367.068651430,1,OK,0.8201143,0.0152694,0.1553436,0.5504977,111.235,15.260,-1623.175,0.3852736,3,OK,111.574,15.268,-1623.273,OK,180.128,-51.023,-1632.673,OK,79.855,-66.466,-1601.673,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988426024,1783699367.068651430,1,OK,0.5676540,-0.0400515,0.4373580,0.6963353,-162.518,96.871,-1510.552,0.3205121,3,OK,-162.400,97.007,-1510.782,OK,-208.667,54.903,-1432.713,OK,-129.492,26.379,-1459.130
3,Port 0x01: JJH Probe  s/n:3E4C880C,988426027,1783699367.118651430,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988426027,1783699367.118651430,1,OK,0.8199874,0.0169093,0.1540670,0.5509973,111.209,15.050,-1624.131,0.3937004,3,OK,111.560,15.059,-1624.232,OK,180.121,-51.155,-1633.891,OK,79.856,-66.789,-1602.984,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988426027,1783699367.118651430,1,OK,0.5676413,-0.0399860,0.4374171,0.6963122,-162.546,96.869,-1510.560,0.3254077,3,OK,-162.419,96.998,-1510.789,OK,-208.693,54.904,-1432.703,OK,-129.516,26.385,-1459.150
3,Port 0x01: JJH Probe  s/n:3E4C880C,988426030,1783699367.168651435,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988426030,1783699367.168651435,1,OK,0.8199992,0.0194230,0.1529471,0.5512089,111.208,14.900,-1624.644,0.3902575,3,OK,111.551,14.903,-1624.742,OK,180.092,-51.286,-1634.830,OK,79.829,-67.027,-1603.911,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988426030,1783699367.168651435,1,OK,0.5676273,-0.0400916,0.4374558,0.6962933,-162.577,96.857,-1510.577,0.3247116,3,OK,-162.456,96.996,-1510.812,OK,-208.721,54.903,-1432.720,OK,-129.545,26.376,-1459.141
3,Port 0x01: JJH Probe  s/n:3E4C880C,988426033,1783699367.218651434,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988426033,1783699367.218651434,1,OK,0.8199545,0.0200887,0.1519950,0.5515148,111.231,14.798,-1625.150,0.3815741,3,OK,111.572,14.806,-1625.248,OK,180.129,-51.350,-1635.422,OK,79.878,-67.185,-1604.632,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988426033,1783699367.218651434,1,OK,0.5677126,-0.0398400,0.4372818,0.6963475,-162.531,96.880,-1510.547,0.3153911,3,OK,-162.411,97.001,-1510.763,OK,-208.682,54.901,-1432.719,OK,-129.514,26.371,-1459.167
3,Port 0x01: JJH Probe  s/n:3E4C880C,988426036,1783699367.268651435,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988426036,1783699367.268651435,1,OK,0.8199449,0.0215920,0.1513122,0.5516600,111.260,14.725,-1625.438,0.3744090,3,OK,111.596,14.723,-1625.534,OK,180.137,-51.407,-1635.963,OK,79.905,-67.307,-1605.174,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988426036,1783699367.268651435,1,OK,0.5676551,-0.0397162,0.4374053,0.6963239,-162.533,96.879,-1510.542,0.3311318,3,OK,-162.400,97.000,-1510.766,OK,-208.675,54.903,-1432.677,OK,-129.497,26.376,-1459.178
3,Port 0x01: JJH Probe  s/n:3E4C880C,988426039,1783699367.318651435,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988426039,1783699367.318651435,1,OK,0.8198832,0.0221567,0.1513624,0.5517156,111.224,14.650,-1625.822,0.3985157,3,OK,111.575,14.659,-1625.924,OK,180.105,-51.461,-1636.461,OK,79.853,-67.421,-1605.597,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988426039,1783699367.318651435,1,OK,0.5676680,-0.0397542,0.4373485,0.6963469,-162.570,96.883,-1510.542,0.3267016,3,OK,-162.438,97.002,-1510.764,OK,-208.715,54.899,-1432.689,OK,-129.540,26.380,-1459.177
