Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,988189681,1783695428.018559320,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988189681,1783695428.018559320,1,OK,0.8050643,-0.1619928,0.2797971,0.4973364,103.232,41.329,-1542.510,0.4338824,3,OK,103.628,41.138,-1542.525,OK,171.382,-23.467,-1523.276,OK,71.544,-22.508,-1487.403,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988189681,1783695428.018559320,1,OK,0.7349447,-0.5151527,-0.0998292,0.4295440,-186.131,112.635,-1790.594,0.5440675,3,OK,-185.808,113.002,-1790.719,OK,-264.413,77.970,-1841.463,OK,-243.282,43.723,-1762.568
3,Port 0x01: JJH Probe  s/n:3E4C880C,988189684,1783695428.068559320,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988189684,1783695428.068559320,1,OK,0.8048765,-0.1622241,0.2802778,0.4972942,103.311,41.141,-1542.422,0.4494714,3,OK,103.719,40.948,-1542.439,OK,171.487,-23.623,-1523.179,OK,71.645,-22.653,-1487.223,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988189684,1783695428.068559320,1,OK,0.7349222,-0.5151370,-0.0992006,0.4297470,-186.035,112.375,-1790.656,0.5321242,3,OK,-185.732,112.748,-1790.816,OK,-264.338,77.710,-1841.357,OK,-243.205,43.488,-1762.547
3,Port 0x01: JJH Probe  s/n:3E4C880C,988189687,1783695428.118559320,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988189687,1783695428.118559320,1,OK,0.8048273,-0.1623685,0.2803591,0.4972809,103.352,41.037,-1542.437,0.4466814,3,OK,103.756,40.842,-1542.453,OK,171.534,-23.717,-1523.172,OK,71.694,-22.739,-1487.220,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988189687,1783695428.118559320,1,OK,0.7349293,-0.5151495,-0.0994724,0.4296570,-186.019,112.260,-1790.578,0.5246091,3,OK,-185.707,112.629,-1790.722,OK,-264.308,77.585,-1841.333,OK,-243.185,43.372,-1762.524
3,Port 0x01: JJH Probe  s/n:3E4C880C,988189690,1783695428.168559320,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988189690,1783695428.168559320,1,OK,0.8047475,-0.1630220,0.2803051,0.4972267,103.371,40.925,-1542.464,0.4367214,3,OK,103.774,40.760,-1542.498,OK,171.552,-23.793,-1523.071,OK,71.712,-22.823,-1487.194,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988189690,1783695428.168559320,1,OK,0.7348454,-0.5152084,-0.0992248,0.4297871,-186.047,112.061,-1790.590,0.5448953,3,OK,-185.748,112.422,-1790.738,OK,-264.362,77.389,-1841.336,OK,-243.186,43.169,-1762.440
3,Port 0x01: JJH Probe  s/n:3E4C880C,988189693,1783695428.218559320,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988189693,1783695428.218559320,1,OK,0.8046954,-0.1631804,0.2803708,0.4972219,103.395,40.904,-1542.451,0.4403808,3,OK,103.803,40.750,-1542.494,OK,171.578,-23.800,-1523.033,OK,71.741,-22.840,-1487.152,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988189693,1783695428.218559320,1,OK,0.7347965,-0.5153239,-0.0992515,0.4297261,-186.039,111.986,-1790.589,0.5579761,3,OK,-185.734,112.350,-1790.735,OK,-264.353,77.313,-1841.364,OK,-243.184,43.094,-1762.422
3,Port 0x01: JJH Probe  s/n:3E4C880C,988189696,1783695428.268559320,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988189696,1783695428.268559320,1,OK,0.8046459,-0.1636597,0.2802469,0.4972143,103.438,40.745,-1542.453,0.4314974,3,OK,103.845,40.594,-1542.497,OK,171.614,-23.923,-1522.940,OK,71.789,-22.973,-1487.139,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988189696,1783695428.268559320,1,OK,0.7347077,-0.5154027,-0.0995051,0.4297248,-186.037,111.806,-1790.466,0.5538359,3,OK,-185.719,112.168,-1790.592,OK,-264.340,77.096,-1841.289,OK,-243.164,42.909,-1762.334
3,Port 0x01: JJH Probe  s/n:3E4C880C,988189699,1783695428.318559320,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988189699,1783695428.318559320,1,OK,0.8045087,-0.1632016,0.2804219,0.4974883,103.468,40.706,-1542.285,0.4435218,3,OK,103.881,40.540,-1542.322,OK,171.691,-23.949,-1522.888,OK,71.867,-23.051,-1486.983,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988189699,1783695428.318559320,1,OK,0.7341141,-0.5151187,-0.0994392,0.4310929,-186.092,111.187,-1790.444,0.5490419,3,OK,-185.795,111.561,-1790.613,OK,-264.336,76.264,-1841.064,OK,-243.032,42.142,-1762.198
3,Port 0x01: JJH Probe  s/n:3E4C880C,988189702,1783695428.368559320,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988189702,1783695428.368559320,1,OK,0.8044473,-0.1626571,0.2802494,0.4978629,103.527,40.652,-1542.167,0.4352831,3,OK,103.925,40.455,-1542.177,OK,171.794,-23.998,-1522.882,OK,71.980,-23.156,-1486.953,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988189702,1783695428.368559320,1,OK,0.7330519,-0.5150077,-0.1000190,0.4328950,-186.162,110.268,-1790.313,0.5510762,3,OK,-185.864,110.643,-1790.479,OK,-264.309,74.977,-1840.842,OK,-242.786,41.008,-1761.958
3,Port 0x01: JJH Probe  s/n:3E4C880C,988189705,1783695428.418559320,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988189705,1783695428.418559320,1,OK,0.8044193,-0.1625407,0.2800491,0.4980588,103.481,40.615,-1542.111,0.4322918,3,OK,103.873,40.411,-1542.114,OK,171.774,-24.023,-1522.850,OK,71.949,-23.222,-1486.938,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988189705,1783695428.418559320,1,OK,0.7325538,-0.5150528,-0.1006924,0.4335280,-186.245,109.869,-1790.139,0.5530665,3,OK,-185.922,110.246,-1790.271,OK,-264.339,74.396,-1840.733,OK,-242.725,40.512,-1761.804
3,Port 0x01: JJH Probe  s/n:3E4C880C,988189708,1783695428.468559320,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988189708,1783695428.468559320,1,OK,0.8042906,-0.1630995,0.2801223,0.4980430,103.470,40.614,-1542.194,0.4257474,3,OK,103.866,40.445,-1542.223,OK,171.765,-23.986,-1522.830,OK,71.956,-23.205,-1486.955,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988189708,1783695428.468559320,1,OK,0.7322921,-0.5152007,-0.1005610,0.4338249,-186.236,109.744,-1790.188,0.5647635,3,OK,-185.942,110.112,-1790.346,OK,-264.301,74.227,-1840.740,OK,-242.670,40.358,-1761.757
