Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,988183318,1783695321.968499772,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988183318,1783695321.968499772,1,OK,0.8268873,0.0541551,0.1607463,0.5361765,99.579,5.534,-1610.465,0.3620997,3,OK,99.882,5.531,-1610.569,OK,164.956,-62.960,-1626.915,OK,65.717,-75.841,-1591.676,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988183318,1783695321.968499772,1,OK,0.7341409,-0.5143603,-0.0995961,0.4319158,-186.134,111.327,-1790.443,0.5185774,3,OK,-185.825,111.701,-1790.595,OK,-264.397,76.312,-1840.967,OK,-242.941,42.195,-1762.254
3,Port 0x01: JJH Probe  s/n:3E4C880C,988183321,1783695322.018499772,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988183321,1783695322.018499772,1,OK,0.8268754,0.0537335,0.1608927,0.5361933,99.589,5.494,-1610.518,0.3696887,3,OK,99.907,5.484,-1610.626,OK,164.963,-62.989,-1626.892,OK,65.740,-75.878,-1591.668,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988183321,1783695322.018499772,1,OK,0.7342407,-0.5143537,-0.0993766,0.4318045,-186.099,111.388,-1790.389,0.5176242,3,OK,-185.795,111.766,-1790.553,OK,-264.376,76.408,-1840.875,OK,-242.943,42.280,-1762.189
3,Port 0x01: JJH Probe  s/n:3E4C880C,988183324,1783695322.068499772,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988183324,1783695322.068499772,1,OK,0.8268215,0.0537464,0.1611441,0.5361997,99.609,5.491,-1610.634,0.3746504,3,OK,99.926,5.468,-1610.741,OK,164.997,-62.984,-1627.026,OK,65.763,-75.871,-1591.745,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988183324,1783695322.068499772,1,OK,0.7342583,-0.5144720,-0.0991576,0.4316840,-186.066,111.462,-1790.425,0.5344671,3,OK,-185.769,111.839,-1790.598,OK,-264.360,76.519,-1840.913,OK,-242.933,42.372,-1762.166
3,Port 0x01: JJH Probe  s/n:3E4C880C,988183327,1783695322.118499772,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988183327,1783695322.118499772,1,OK,0.8268900,0.0543878,0.1604902,0.5362255,99.620,5.489,-1610.506,0.3532858,3,OK,99.915,5.472,-1610.606,OK,164.997,-62.997,-1626.991,OK,65.759,-75.882,-1591.782,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988183327,1783695322.118499772,1,OK,0.7343051,-0.5145603,-0.0993410,0.4314569,-186.068,111.513,-1790.395,0.5476747,3,OK,-185.759,111.885,-1790.544,OK,-264.375,76.595,-1840.983,OK,-242.941,42.432,-1762.149
3,Port 0x01: JJH Probe  s/n:3E4C880C,988183330,1783695322.168499772,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988183330,1783695322.168499772,1,OK,0.8268123,0.0542743,0.1608976,0.5362348,99.590,5.468,-1610.569,0.3632589,3,OK,99.892,5.447,-1610.671,OK,164.976,-63.009,-1627.052,OK,65.743,-75.902,-1591.771,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988183330,1783695322.168499772,1,OK,0.7345778,-0.5144122,-0.0996781,0.4310913,-186.087,111.577,-1790.327,0.5291585,3,OK,-185.761,111.942,-1790.441,OK,-264.407,76.709,-1841.005,OK,-242.993,42.527,-1762.207
3,Port 0x01: JJH Probe  s/n:3E4C880C,988183333,1783695322.218499772,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988183333,1783695322.218499772,1,OK,0.8269166,0.0541017,0.1604220,0.5362338,99.612,5.449,-1610.576,0.3547102,3,OK,99.916,5.416,-1610.677,OK,164.989,-63.028,-1627.001,OK,65.754,-75.911,-1591.836,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988183333,1783695322.218499772,1,OK,0.7346222,-0.5145521,-0.0994605,0.4308990,-186.065,111.694,-1790.404,0.5427727,3,OK,-185.745,112.059,-1790.529,OK,-264.398,76.870,-1841.083,OK,-243.009,42.669,-1762.239
3,Port 0x01: JJH Probe  s/n:3E4C880C,988183336,1783695322.268499772,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988183336,1783695322.268499772,1,OK,0.8268525,0.0545948,0.1606711,0.5362081,99.658,5.426,-1610.582,0.3615603,3,OK,99.962,5.408,-1610.685,OK,165.023,-63.052,-1627.112,OK,65.798,-75.953,-1591.849,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988183336,1783695322.268499772,1,OK,0.7347499,-0.5147480,-0.0991793,0.4305120,-186.015,111.844,-1790.465,0.5594736,3,OK,-185.699,112.208,-1790.593,OK,-264.380,77.096,-1841.168,OK,-243.026,42.874,-1762.258
3,Port 0x01: JJH Probe  s/n:3E4C880C,988183339,1783695322.318499772,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988183339,1783695322.318499772,1,OK,0.8268635,0.0550591,0.1605024,0.5361943,99.620,5.408,-1610.629,0.3612479,3,OK,99.917,5.390,-1610.730,OK,164.979,-63.072,-1627.241,OK,65.741,-75.979,-1591.963,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988183339,1783695322.318499772,1,OK,0.7349935,-0.5147301,-0.0988586,0.4301912,-186.030,112.051,-1790.499,0.5692460,3,OK,-185.719,112.417,-1790.640,OK,-264.428,77.396,-1841.189,OK,-243.109,43.122,-1762.270
3,Port 0x01: JJH Probe  s/n:3E4C880C,988183342,1783695322.368499772,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988183342,1783695322.368499772,1,OK,0.8271361,0.0555996,0.1601880,0.5358118,99.476,5.305,-1610.632,0.3599206,3,OK,99.773,5.287,-1610.733,OK,164.758,-63.232,-1627.319,OK,65.507,-76.062,-1592.054,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988183342,1783695322.368499772,1,OK,0.7352504,-0.5146035,-0.0988160,0.4299134,-186.045,112.187,-1790.489,0.5390069,3,OK,-185.736,112.558,-1790.640,OK,-264.437,77.587,-1841.138,OK,-243.193,43.297,-1762.348
3,Port 0x01: JJH Probe  s/n:3E4C880C,988183345,1783695322.418499772,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988183345,1783695322.418499772,1,OK,0.8274282,0.0550542,0.1601805,0.5354192,99.399,5.207,-1610.511,0.3488641,3,OK,99.696,5.188,-1610.611,OK,164.614,-63.400,-1627.075,OK,65.376,-76.111,-1591.877,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988183345,1783695322.418499772,1,OK,0.7352482,-0.5146597,-0.0989933,0.4298091,-186.001,112.189,-1790.434,0.5420636,3,OK,-185.684,112.555,-1790.566,OK,-264.398,77.589,-1841.148,OK,-243.144,43.304,-1762.315
