Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,988316509,1783697541.818661515,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988316509,1783697541.818661515,1,OK,0.7741553,0.1735611,0.0771098,0.6038329,126.778,21.548,-1664.963,0.2056009,3,OK,126.779,21.729,-1664.929,OK,199.677,-30.412,-1700.645,OK,103.390,-64.932,-1673.037,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988316509,1783697541.818661515,1,OK,0.6602076,-0.1943119,0.3016953,0.6598097,-216.958,102.184,-1580.778,0.4156635,3,OK,-216.929,102.587,-1581.140,OK,-293.331,62.440,-1531.131,OK,-212.122,31.587,-1519.450
3,Port 0x01: JJH Probe  s/n:3E4C880C,988316512,1783697541.868661515,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988316512,1783697541.868661515,1,OK,0.7742394,0.1730891,0.0773287,0.6038326,126.831,21.564,-1664.904,0.2038561,3,OK,126.838,21.743,-1664.873,OK,199.736,-30.425,-1700.512,OK,103.449,-64.927,-1672.895,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988316512,1783697541.868661515,1,OK,0.6601774,-0.1941739,0.3017983,0.6598334,-216.925,102.179,-1580.774,0.4140793,3,OK,-216.895,102.581,-1581.134,OK,-293.284,62.437,-1531.101,OK,-212.071,31.581,-1519.452
3,Port 0x01: JJH Probe  s/n:3E4C880C,988316515,1783697541.918661515,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988316515,1783697541.918661515,1,OK,0.7741591,0.1735893,0.0771296,0.6038174,126.780,21.550,-1664.801,0.2138359,3,OK,126.765,21.750,-1664.758,OK,199.685,-30.427,-1700.495,OK,103.397,-64.932,-1672.878,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988316515,1783697541.918661515,1,OK,0.6601331,-0.1943285,0.3017475,0.6598554,-216.971,102.186,-1580.774,0.4170169,3,OK,-216.941,102.591,-1581.136,OK,-293.334,62.436,-1531.114,OK,-212.117,31.595,-1519.439
3,Port 0x01: JJH Probe  s/n:3E4C880C,988316518,1783697541.968661515,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988316518,1783697541.968661515,1,OK,0.7742889,0.1725474,0.0777874,0.6038652,126.766,21.573,-1664.828,0.2033602,3,OK,126.777,21.745,-1664.800,OK,199.683,-30.444,-1700.366,OK,103.399,-64.934,-1672.696,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988316518,1783697541.968661515,1,OK,0.6601941,-0.1942828,0.3017189,0.6598209,-216.969,102.177,-1580.793,0.4093581,3,OK,-216.945,102.573,-1581.147,OK,-293.340,62.439,-1531.144,OK,-212.119,31.581,-1519.468
3,Port 0x01: JJH Probe  s/n:3E4C880C,988316521,1783697542.018661519,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988316521,1783697542.018661519,1,OK,0.7742203,0.1726983,0.0773997,0.6039598,126.798,21.576,-1664.786,0.2067729,3,OK,126.800,21.753,-1664.753,OK,199.743,-30.415,-1700.333,OK,103.441,-64.925,-1672.727,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988316521,1783697542.018661519,1,OK,0.6601112,-0.1945530,0.3018272,0.6597747,-216.935,102.176,-1580.796,0.4223403,3,OK,-216.908,102.585,-1581.162,OK,-293.304,62.448,-1531.135,OK,-212.091,31.607,-1519.422
3,Port 0x01: JJH Probe  s/n:3E4C880C,988316524,1783697542.068661519,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988316524,1783697542.068661519,1,OK,0.7741590,0.1734436,0.0773291,0.6038339,126.816,21.541,-1664.649,0.2125051,3,OK,126.801,21.737,-1664.607,OK,199.724,-30.442,-1700.329,OK,103.440,-64.945,-1672.682,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988316524,1783697542.068661519,1,OK,0.6601639,-0.1944065,0.3018256,0.6597658,-216.944,102.168,-1580.797,0.4172368,3,OK,-216.910,102.573,-1581.161,OK,-293.324,62.441,-1531.130,OK,-212.096,31.589,-1519.444
3,Port 0x01: JJH Probe  s/n:3E4C880C,988316527,1783697542.118661519,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988316527,1783697542.118661519,1,OK,0.7742511,0.1726847,0.0774781,0.6039142,126.790,21.571,-1664.748,0.2050335,3,OK,126.794,21.753,-1664.716,OK,199.719,-30.432,-1700.295,OK,103.430,-64.932,-1672.678,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988316527,1783697542.118661519,1,OK,0.6602320,-0.1943113,0.3016072,0.6598257,-216.948,102.189,-1580.751,0.4090484,3,OK,-216.918,102.586,-1581.106,OK,-293.333,62.439,-1531.119,OK,-212.111,31.588,-1519.436
3,Port 0x01: JJH Probe  s/n:3E4C880C,988316530,1783697542.168661519,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988316530,1783697542.168661519,1,OK,0.7742909,0.1725129,0.0776635,0.6038884,126.795,21.568,-1664.682,0.1915290,3,OK,126.801,21.722,-1664.656,OK,199.721,-30.444,-1700.207,OK,103.434,-64.919,-1672.562,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988316530,1783697542.168661519,1,OK,0.6601244,-0.1945311,0.3017693,0.6597944,-216.953,102.171,-1580.791,0.4264800,3,OK,-216.928,102.583,-1581.160,OK,-293.328,62.438,-1531.141,OK,-212.104,31.587,-1519.421
3,Port 0x01: JJH Probe  s/n:3E4C880C,988316533,1783697542.218661519,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988316533,1783697542.218661519,1,OK,0.7742591,0.1725970,0.0771157,0.6039754,126.800,21.568,-1664.657,0.1978844,3,OK,126.810,21.753,-1664.626,OK,199.734,-30.428,-1700.164,OK,103.457,-64.933,-1672.635,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988316533,1783697542.218661519,1,OK,0.6602345,-0.1945102,0.3015344,0.6597978,-216.926,102.183,-1580.769,0.4086410,3,OK,-216.902,102.579,-1581.123,OK,-293.324,62.440,-1531.163,OK,-212.098,31.590,-1519.438
3,Port 0x01: JJH Probe  s/n:3E4C880C,988316536,1783697542.268661519,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,988316536,1783697542.268661519,1,OK,0.7743069,0.1721603,0.0778917,0.6039392,126.811,21.577,-1664.735,0.2069287,3,OK,126.824,21.749,-1664.708,OK,199.753,-30.449,-1700.211,OK,103.457,-64.943,-1672.546,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,988316536,1783697542.268661519,1,OK,0.6602762,-0.1943076,0.3015083,0.6598277,-216.925,102.183,-1580.747,0.3939618,3,OK,-216.900,102.565,-1581.089,OK,-293.317,62.432,-1531.138,OK,-212.094,31.583,-1519.453
