Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,983123320,1783610988.668749951,1,OK,0.7871284,0.0236849,0.1766980,0.5904623,-47.326,71.615,-1637.680,0.2713856,3,OK,-75.158,-43.584,-1608.244,OK,-99.441,-139.752,-1582.705,OK,-86.535,-182.887,-1579.030,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983123320,1783610988.668749951,1,OK,0.8257702,0.0844614,0.1251428,0.5434235,84.363,-30.529,-1618.804,0.2833273,3,OK,84.573,-30.611,-1618.870,OK,150.252,-97.399,-1639.654,OK,50.129,-113.087,-1608.399,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983123320,1783610988.668749951,1,OK,0.6685831,-0.1687389,0.2886152,0.6642478,-239.646,63.385,-1556.068,0.4795559,3,OK,-239.624,63.870,-1556.453,OK,-316.015,22.046,-1507.732,OK,-235.134,-10.731,-1498.872
3,Port 0x01: JJH Probe  s/n:3E4C880C,983123323,1783610988.718749951,1,OK,0.7871369,0.0241288,0.1778327,0.5900922,-47.300,71.580,-1637.858,0.2710556,3,OK,-75.142,-43.585,-1608.267,OK,-99.441,-139.707,-1582.597,OK,-86.542,-182.841,-1578.924,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983123323,1783610988.718749951,1,OK,0.8258237,0.0843360,0.1251029,0.5433709,84.393,-30.532,-1618.808,0.2913374,3,OK,84.621,-30.614,-1618.879,OK,150.259,-97.400,-1639.625,OK,50.147,-113.094,-1608.394,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983123323,1783610988.718749951,1,OK,0.6685669,-0.1688230,0.2885554,0.6642687,-239.623,63.394,-1556.041,0.4790547,3,OK,-239.602,63.877,-1556.425,OK,-315.997,22.048,-1507.718,OK,-235.110,-10.721,-1498.842
3,Port 0x01: JJH Probe  s/n:3E4C880C,983123326,1783610988.768749951,1,OK,0.7868327,0.0259075,0.1794874,0.5899215,-47.396,71.562,-1637.895,0.2666540,3,OK,-75.145,-43.611,-1608.264,OK,-99.376,-139.749,-1582.548,OK,-86.467,-182.889,-1578.977,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983123326,1783610988.768749951,1,OK,0.8258293,0.0844170,0.1248973,0.5433970,84.357,-30.537,-1618.800,0.2858441,3,OK,84.574,-30.622,-1618.868,OK,150.238,-97.406,-1639.628,OK,50.107,-113.093,-1608.426,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983123326,1783610988.768749951,1,OK,0.6685160,-0.1687980,0.2886819,0.6642713,-239.657,63.381,-1556.065,0.4883872,3,OK,-239.631,63.875,-1556.458,OK,-316.022,22.038,-1507.714,OK,-235.132,-10.732,-1498.849
3,Port 0x01: JJH Probe  s/n:3E4C880C,983123329,1783610988.818749951,1,OK,0.7867799,0.0246431,0.1788858,0.5902287,-47.380,71.546,-1637.991,0.2704043,3,OK,-75.093,-43.609,-1608.295,OK,-99.277,-139.753,-1582.529,OK,-86.359,-182.881,-1578.868,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983123329,1783610988.818749951,1,OK,0.8258482,0.0838404,0.1252400,0.5433787,84.350,-30.533,-1618.870,0.2951219,3,OK,84.580,-30.626,-1618.942,OK,150.235,-97.408,-1639.603,OK,50.108,-113.084,-1608.387,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983123329,1783610988.818749951,1,OK,0.6685257,-0.1684835,0.2888118,0.6642849,-239.659,63.391,-1556.064,0.4805277,3,OK,-239.629,63.878,-1556.453,OK,-315.998,22.046,-1507.676,OK,-235.127,-10.724,-1498.879
3,Port 0x01: JJH Probe  s/n:3E4C880C,983123332,1783610988.868749951,1,OK,0.7868987,0.0252561,0.1787825,0.5900757,-47.299,71.591,-1637.763,0.2703442,3,OK,-75.066,-43.592,-1608.167,OK,-99.301,-139.726,-1582.490,OK,-86.395,-182.865,-1578.883,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983123332,1783610988.868749951,1,OK,0.8258166,0.0843693,0.1251932,0.5433557,84.377,-30.537,-1618.798,0.2884217,3,OK,84.594,-30.627,-1618.867,OK,150.252,-97.411,-1639.629,OK,50.129,-113.086,-1608.374,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983123332,1783610988.868749951,1,OK,0.6685450,-0.1685163,0.2887982,0.6642631,-239.642,63.382,-1556.076,0.4806672,3,OK,-239.604,63.870,-1556.467,OK,-315.996,22.037,-1507.688,OK,-235.115,-10.730,-1498.890
3,Port 0x01: JJH Probe  s/n:3E4C880C,983123335,1783610988.918749951,1,OK,0.7867931,0.0243794,0.1785004,0.5903387,-47.371,71.568,-1637.861,0.2707546,3,OK,-75.086,-43.614,-1608.196,OK,-99.274,-139.736,-1582.465,OK,-86.340,-182.867,-1578.797,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983123335,1783610988.918749951,1,OK,0.8257566,0.0849970,0.1251889,0.5433501,84.371,-30.544,-1618.742,0.2832007,3,OK,84.570,-30.630,-1618.804,OK,150.247,-97.418,-1639.696,OK,50.118,-113.093,-1608.379,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983123335,1783610988.918749951,1,OK,0.6685949,-0.1687358,0.2885800,0.6642519,-239.645,63.377,-1556.039,0.4731269,3,OK,-239.621,63.855,-1556.420,OK,-316.022,22.035,-1507.708,OK,-235.133,-10.736,-1498.852
3,Port 0x01: JJH Probe  s/n:3E4C880C,983123338,1783610988.968721224,1,OK,0.7866627,0.0245554,0.1788844,0.5903890,-47.361,71.537,-1637.900,0.2606197,3,OK,-75.026,-43.640,-1608.196,OK,-99.189,-139.766,-1582.423,OK,-86.224,-182.903,-1578.765,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983123338,1783610988.968721224,1,OK,0.8258030,0.0837823,0.1255963,0.5433742,84.361,-30.550,-1618.839,0.2973505,3,OK,84.591,-30.643,-1618.911,OK,150.247,-97.428,-1639.576,OK,50.130,-113.102,-1608.296,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983123338,1783610988.968721224,1,OK,0.6685292,-0.1687713,0.2887876,0.6642188,-239.641,63.355,-1556.053,0.4896504,3,OK,-239.610,63.850,-1556.449,OK,-316.007,22.025,-1507.682,OK,-235.119,-10.749,-1498.830
3,Port 0x01: JJH Probe  s/n:3E4C880C,983123341,1783610989.018721224,1,OK,0.7866046,0.0255887,0.1794573,0.5902487,-47.341,71.579,-1637.773,0.2629080,3,OK,-74.998,-43.608,-1608.113,OK,-99.150,-139.752,-1582.376,OK,-86.205,-182.895,-1578.783,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983123341,1783610989.018721224,1,OK,0.8258016,0.0844149,0.1251205,0.5433881,84.377,-30.528,-1618.769,0.2848459,3,OK,84.593,-30.600,-1618.837,OK,150.256,-97.405,-1639.606,OK,50.135,-113.092,-1608.361,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983123341,1783610989.018721224,1,OK,0.6685223,-0.1688369,0.2885801,0.6642992,-239.634,63.385,-1556.028,0.4835523,3,OK,-239.615,63.873,-1556.415,OK,-315.999,22.034,-1507.700,OK,-235.113,-10.731,-1498.821
3,Port 0x01: JJH Probe  s/n:3E4C880C,983123344,1783610989.068721228,1,OK,0.7865674,0.0240559,0.1785859,0.5906268,-47.356,71.539,-1637.855,0.2723224,3,OK,-74.981,-43.648,-1608.137,OK,-99.089,-139.783,-1582.363,OK,-86.125,-182.899,-1578.670,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983123344,1783610989.068721228,1,OK,0.8258200,0.0845016,0.1246158,0.5434627,84.351,-30.549,-1618.740,0.2710437,3,OK,84.562,-30.635,-1618.806,OK,150.229,-97.414,-1639.569,OK,50.122,-113.104,-1608.423,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983123344,1783610989.068721228,1,OK,0.6685889,-0.1685333,0.2886693,0.6642706,-239.660,63.367,-1556.032,0.4763387,3,OK,-239.626,63.851,-1556.418,OK,-316.024,22.019,-1507.671,OK,-235.141,-10.753,-1498.859
3,Port 0x01: JJH Probe  s/n:3E4C880C,983123347,1783610989.118721227,1,OK,0.7861609,0.0255666,0.1796752,0.5907742,-47.320,71.540,-1637.856,0.2630279,3,OK,-74.807,-43.683,-1608.174,OK,-98.815,-139.856,-1582.419,OK,-85.810,-182.982,-1578.828,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983123347,1783610989.118721227,1,OK,0.8257393,0.0842708,0.1256893,0.5433740,84.369,-30.534,-1618.822,0.2997091,3,OK,84.585,-30.614,-1618.890,OK,150.267,-97.410,-1639.662,OK,50.126,-113.092,-1608.309,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983123347,1783610989.118721227,1,OK,0.6684758,-0.1688545,0.2888170,0.6642386,-239.645,63.360,-1556.075,0.4936286,3,OK,-239.619,63.859,-1556.473,OK,-316.007,22.031,-1507.703,OK,-235.112,-10.741,-1498.836
