Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,983186866,1783612047.768526296,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983186866,1783612047.768526296,1,OK,0.7777170,0.1869516,0.0814142,0.5946235,91.519,-14.861,-1632.897,0.1670513,3,OK,91.564,-14.785,-1632.899,OK,162.449,-67.667,-1671.067,OK,66.256,-100.717,-1641.446,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983186866,1783612047.768526296,1,OK,0.7472538,-0.4638911,-0.0926794,0.4667197,-218.093,81.245,-1756.854,0.6245429,3,OK,-217.816,81.685,-1757.050,OK,-299.309,46.493,-1802.706,OK,-269.259,7.594,-1728.892
3,Port 0x01: JJH Probe  s/n:3E4C880C,983186869,1783612047.818526296,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983186869,1783612047.818526296,1,OK,0.7777518,0.1868285,0.0811766,0.5946492,91.501,-14.852,-1632.889,0.1668554,3,OK,91.545,-14.766,-1632.888,OK,162.444,-67.665,-1671.025,OK,66.242,-100.711,-1641.461,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983186869,1783612047.818526296,1,OK,0.7473758,-0.4637319,-0.0932797,0.4665629,-218.113,81.249,-1756.732,0.6082308,3,OK,-217.811,81.679,-1756.891,OK,-299.322,46.498,-1802.705,OK,-269.268,7.593,-1728.902
3,Port 0x01: JJH Probe  s/n:3E4C880C,983186872,1783612047.868526296,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983186872,1783612047.868526296,1,OK,0.7777573,0.1868182,0.0812975,0.5946287,91.536,-14.847,-1632.919,0.1721623,3,OK,91.580,-14.755,-1632.916,OK,162.478,-67.667,-1671.060,OK,66.272,-100.714,-1641.472,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983186872,1783612047.868526296,1,OK,0.7473034,-0.4638376,-0.0931436,0.4666011,-218.092,81.251,-1756.755,0.6186742,3,OK,-217.795,81.685,-1756.924,OK,-299.301,46.494,-1802.709,OK,-269.248,7.592,-1728.879
3,Port 0x01: JJH Probe  s/n:3E4C880C,983186875,1783612047.918526296,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983186875,1783612047.918526296,1,OK,0.7777627,0.1868588,0.0810691,0.5946400,91.533,-14.856,-1632.880,0.1655934,3,OK,91.578,-14.772,-1632.879,OK,162.476,-67.666,-1671.014,OK,66.269,-100.711,-1641.470,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983186875,1783612047.918526296,1,OK,0.7472003,-0.4639553,-0.0927108,0.4667354,-218.076,81.244,-1756.810,0.6334259,3,OK,-217.793,81.685,-1757.001,OK,-299.296,46.483,-1802.683,OK,-269.231,7.587,-1728.831
3,Port 0x01: JJH Probe  s/n:3E4C880C,983186878,1783612047.968526296,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983186878,1783612047.968526296,1,OK,0.7776356,0.1875025,0.0808096,0.5946390,91.524,-14.877,-1632.773,0.1684723,3,OK,91.545,-14.771,-1632.758,OK,162.464,-67.662,-1671.016,OK,66.260,-100.720,-1641.473,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983186878,1783612047.968526296,1,OK,0.7472611,-0.4638073,-0.0928026,0.4667669,-218.102,81.243,-1756.797,0.6069145,3,OK,-217.819,81.681,-1756.985,OK,-299.308,46.469,-1802.644,OK,-269.261,7.593,-1728.881
3,Port 0x01: JJH Probe  s/n:3E4C880C,983186881,1783612048.018526296,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983186881,1783612048.018526296,1,OK,0.7777814,0.1866138,0.0815107,0.5946322,91.528,-14.834,-1632.887,0.1716715,3,OK,91.574,-14.756,-1632.888,OK,162.474,-67.663,-1671.004,OK,66.266,-100.701,-1641.385,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983186881,1783612048.018526296,1,OK,0.7472416,-0.4639687,-0.0929356,0.4666112,-218.096,81.241,-1756.780,0.6191408,3,OK,-217.806,81.674,-1756.955,OK,-299.310,46.481,-1802.700,OK,-269.257,7.599,-1728.858
3,Port 0x01: JJH Probe  s/n:3E4C880C,983186884,1783612048.068526296,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983186884,1783612048.068526296,1,OK,0.7777383,0.1871860,0.0809072,0.5945911,91.553,-14.859,-1632.798,0.1608443,3,OK,91.586,-14.770,-1632.792,OK,162.484,-67.666,-1670.984,OK,66.282,-100.699,-1641.446,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983186884,1783612048.068526296,1,OK,0.7473376,-0.4637426,-0.0928796,0.4666933,-218.082,81.236,-1756.794,0.6039446,3,OK,-217.798,81.670,-1756.978,OK,-299.290,46.481,-1802.662,OK,-269.247,7.588,-1728.903
3,Port 0x01: JJH Probe  s/n:3E4C880C,983186887,1783612048.118526296,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983186887,1783612048.118526296,1,OK,0.7777469,0.1869878,0.0813028,0.5945882,91.542,-14.848,-1632.805,0.1693879,3,OK,91.575,-14.764,-1632.801,OK,162.479,-67.666,-1670.981,OK,66.269,-100.699,-1641.372,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983186887,1783612048.118526296,1,OK,0.7472720,-0.4638416,-0.0929235,0.4666912,-218.099,81.243,-1756.776,0.6168455,3,OK,-217.810,81.680,-1756.958,OK,-299.308,46.480,-1802.669,OK,-269.257,7.587,-1728.865
3,Port 0x01: JJH Probe  s/n:3E4C880C,983186890,1783612048.168526300,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983186890,1783612048.168526300,1,OK,0.7777717,0.1866855,0.0813245,0.5946478,91.528,-14.846,-1632.862,0.1725583,3,OK,91.574,-14.772,-1632.864,OK,162.481,-67.663,-1670.982,OK,66.261,-100.708,-1641.392,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983186890,1783612048.168526300,1,OK,0.7472557,-0.4639041,-0.0928062,0.4666786,-218.096,81.236,-1756.793,0.6198617,3,OK,-217.804,81.674,-1756.973,OK,-299.319,46.473,-1802.678,OK,-269.258,7.591,-1728.858
3,Port 0x01: JJH Probe  s/n:3E4C880C,983186893,1783612048.218526300,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,983186893,1783612048.218526300,1,OK,0.7777661,0.1868161,0.0810829,0.5946472,91.540,-14.843,-1632.857,0.1715808,3,OK,91.586,-14.759,-1632.857,OK,162.491,-67.653,-1670.986,OK,66.271,-100.703,-1641.438,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,983186893,1783612048.218526300,1,OK,0.7472271,-0.4639252,-0.0930523,0.4666544,-218.086,81.251,-1756.773,0.6260975,3,OK,-217.789,81.685,-1756.942,OK,-299.301,46.482,-1802.720,OK,-269.231,7.592,-1728.860
