Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,759693946,1779887165.768782929,1,OK,0.4607701,0.4865543,-0.4456252,-0.5936110,-93.560,-22.914,-1460.413,0.2773451,3,OK,-80.660,97.118,-1442.110,OK,-70.165,197.561,-1424.577,OK,-69.115,239.443,-1442.671,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759693946,1779887165.768782929,1,OK,0.4389952,0.1016580,0.0454939,-0.8915599,54.235,83.512,-1398.101,0.2035617,3,OK,54.112,83.296,-1398.156,OK,3.423,165.000,-1391.228,OK,107.666,153.100,-1378.200,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759693946,1779887165.768782929,1,OK,0.8669354,0.2458323,-0.2460382,-0.3570080,-194.593,89.678,-1497.301,0.5030250,3,OK,-194.516,89.031,-1497.454,OK,-191.141,183.516,-1463.543,OK,-252.636,158.833,-1520.546
3,Port 0x01: JJH Probe  s/n:3E4C880C,759693949,1779887165.818782929,1,OK,0.4610025,0.4859496,-0.4448988,-0.5944702,-93.548,-22.842,-1460.461,0.2798231,3,OK,-80.561,97.177,-1442.088,OK,-69.989,197.587,-1424.490,OK,-68.968,239.494,-1442.561,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759693949,1779887165.818782929,1,OK,0.4390289,0.1017886,0.0459199,-0.8915066,54.268,83.512,-1398.142,0.2017986,3,OK,54.150,83.293,-1398.197,OK,3.444,164.989,-1391.190,OK,107.683,153.090,-1378.188,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759693949,1779887165.818782929,1,OK,0.8670304,0.2456307,-0.2458515,-0.3570446,-194.570,89.670,-1497.297,0.5066513,3,OK,-194.494,89.021,-1497.451,OK,-191.110,183.514,-1463.572,OK,-252.612,158.820,-1520.517
3,Port 0x01: JJH Probe  s/n:3E4C880C,759693952,1779887165.868782930,1,OK,0.4611692,0.4856597,-0.4446066,-0.5947962,-93.561,-22.720,-1460.462,0.2568689,3,OK,-80.543,97.289,-1442.068,OK,-69.950,197.713,-1424.514,OK,-68.938,239.602,-1442.503,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759693952,1779887165.868782930,1,OK,0.4390099,0.1020808,0.0457872,-0.8914894,54.275,83.507,-1398.079,0.1988530,3,OK,54.160,83.290,-1398.134,OK,3.453,164.988,-1391.158,OK,107.679,153.078,-1378.090,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759693952,1779887165.868782930,1,OK,0.8670580,0.2458551,-0.2454397,-0.3571066,-194.556,89.678,-1497.399,0.5279245,3,OK,-194.497,89.013,-1497.571,OK,-191.109,183.528,-1463.610,OK,-252.600,158.820,-1520.518
3,Port 0x01: JJH Probe  s/n:3E4C880C,759693955,1779887165.918782930,1,OK,0.4613129,0.4852535,-0.4449816,-0.5947360,-93.534,-22.670,-1460.414,0.2734369,3,OK,-80.454,97.350,-1442.153,OK,-69.803,197.784,-1424.664,OK,-68.780,239.662,-1442.748,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759693955,1779887165.918782930,1,OK,0.4389988,0.1015250,0.0456059,-0.8915676,54.232,83.504,-1398.043,0.1967032,3,OK,54.116,83.290,-1398.097,OK,3.424,164.992,-1391.145,OK,107.656,153.086,-1378.157,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759693955,1779887165.918782930,1,OK,0.8671513,0.2455096,-0.2455071,-0.3570712,-194.589,89.689,-1497.329,0.5122572,3,OK,-194.519,89.045,-1497.486,OK,-191.141,183.528,-1463.629,OK,-252.630,158.834,-1520.482
3,Port 0x01: JJH Probe  s/n:3E4C880C,759693958,1779887165.968782930,1,OK,0.4616462,0.4849317,-0.4453996,-0.5944268,-93.530,-22.537,-1460.431,0.2786335,3,OK,-80.448,97.518,-1442.337,OK,-69.796,197.966,-1424.985,OK,-68.774,239.811,-1443.132,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759693958,1779887165.968782930,1,OK,0.4389668,0.1017421,0.0458123,-0.8915480,54.267,83.501,-1397.988,0.1944429,3,OK,54.150,83.295,-1398.041,OK,3.456,164.982,-1391.056,OK,107.694,153.068,-1378.051,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759693958,1779887165.968782930,1,OK,0.8670888,0.2455180,-0.2457209,-0.3570702,-194.569,89.685,-1497.328,0.5125034,3,OK,-194.501,89.039,-1497.486,OK,-191.117,183.532,-1463.630,OK,-252.595,158.832,-1520.516
3,Port 0x01: JJH Probe  s/n:3E4C880C,759693961,1779887166.018782930,1,OK,0.4626985,0.4840262,-0.4452577,-0.5944529,-93.511,-22.435,-1460.350,0.2530612,3,OK,-80.457,97.642,-1442.474,OK,-69.828,198.150,-1425.362,OK,-68.860,239.958,-1443.512,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759693961,1779887166.018782930,1,OK,0.4389432,0.1021459,0.0460936,-0.8914990,54.274,83.490,-1397.988,0.2053179,3,OK,54.154,83.267,-1398.045,OK,3.458,164.970,-1391.009,OK,107.693,153.050,-1377.963,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759693961,1779887166.018782930,1,OK,0.8670729,0.2458042,-0.2454625,-0.3570898,-194.547,89.685,-1497.367,0.5184026,3,OK,-194.485,89.033,-1497.534,OK,-191.104,183.523,-1463.598,OK,-252.589,158.827,-1520.493
3,Port 0x01: JJH Probe  s/n:3E4C880C,759693964,1779887166.068782930,1,OK,0.4623565,0.4838323,-0.4451866,-0.5949300,-93.637,-22.330,-1460.297,0.2528250,3,OK,-80.460,97.724,-1442.348,OK,-69.729,198.199,-1425.168,OK,-68.728,240.038,-1443.302,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759693964,1779887166.068782930,1,OK,0.4389675,0.1018464,0.0457396,-0.8915395,54.239,83.527,-1398.074,0.1986824,3,OK,54.120,83.317,-1398.128,OK,3.426,165.011,-1391.157,OK,107.665,153.098,-1378.125,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759693964,1779887166.068782930,1,OK,0.8670351,0.2458284,-0.2455213,-0.3571244,-194.589,89.685,-1497.363,0.5196654,3,OK,-194.524,89.026,-1497.529,OK,-191.130,183.529,-1463.579,OK,-252.637,158.835,-1520.505
3,Port 0x01: JJH Probe  s/n:3E4C880C,759693967,1779887166.118782930,1,OK,0.4624496,0.4841397,-0.4446634,-0.5949988,-93.543,-22.339,-1460.277,0.2697590,3,OK,-80.461,97.716,-1442.234,OK,-69.804,198.180,-1424.938,OK,-68.849,240.027,-1443.075,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759693967,1779887166.118782930,1,OK,0.4389794,0.1020366,0.0461059,-0.8914931,54.279,83.516,-1398.100,0.2023711,3,OK,54.160,83.299,-1398.156,OK,3.457,164.991,-1391.118,OK,107.696,153.080,-1378.093,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759693967,1779887166.118782930,1,OK,0.8671219,0.2455343,-0.2457157,-0.3569823,-194.551,89.682,-1497.298,0.5129029,3,OK,-194.480,89.033,-1497.455,OK,-191.116,183.530,-1463.601,OK,-252.594,158.820,-1520.493
3,Port 0x01: JJH Probe  s/n:3E4C880C,759693970,1779887166.168782930,1,OK,0.4620480,0.4834022,-0.4449800,-0.5956734,-93.651,-22.430,-1460.108,0.2502748,3,OK,-80.305,97.596,-1442.075,OK,-69.430,198.041,-1424.835,OK,-68.398,239.890,-1442.925,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759693970,1779887166.168782930,1,OK,0.4389426,0.1024064,0.0463384,-0.8914567,54.267,83.476,-1397.961,0.2008369,3,OK,54.149,83.262,-1398.016,OK,3.441,164.946,-1390.941,OK,107.678,153.022,-1377.876,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759693970,1779887166.168782930,1,OK,0.8670554,0.2457373,-0.2456744,-0.3570326,-194.550,89.684,-1497.342,0.5129802,3,OK,-194.485,89.036,-1497.505,OK,-191.109,183.528,-1463.596,OK,-252.589,158.823,-1520.515
3,Port 0x01: JJH Probe  s/n:3E4C880C,759693973,1779887166.218782930,1,OK,0.4611696,0.4834352,-0.4445079,-0.5966789,-93.734,-22.444,-1460.223,0.2483846,3,OK,-80.198,97.520,-1441.917,OK,-69.164,197.907,-1424.453,OK,-68.079,239.798,-1442.440,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759693973,1779887166.218782930,1,OK,0.4389593,0.1021956,0.0457832,-0.8915014,54.238,83.485,-1397.991,0.1992729,3,OK,54.124,83.270,-1398.046,OK,3.419,164.973,-1391.073,OK,107.651,153.047,-1377.984,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759693973,1779887166.218782930,1,OK,0.8670564,0.2457139,-0.2456871,-0.3570373,-194.579,89.685,-1497.333,0.5114432,3,OK,-194.512,89.037,-1497.494,OK,-191.134,183.528,-1463.591,OK,-252.622,158.828,-1520.512
