Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,759833380,1779889489.668775354,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759833380,1779889489.668775354,1,OK,0.4765072,0.0020718,-0.1440741,-0.8672827,30.395,102.620,-1463.735,0.2112957,3,OK,30.427,102.343,-1463.659,OK,-25.043,176.537,-1491.005,OK,79.292,176.956,-1475.776,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759833380,1779889489.668775354,1,OK,0.8604636,0.2587669,-0.2936281,-0.3262278,-207.683,88.150,-1509.355,0.4860338,3,OK,-207.481,87.526,-1509.387,OK,-210.852,182.615,-1477.879,OK,-264.944,154.955,-1540.569
3,Port 0x01: JJH Probe  s/n:3E4C880C,759833383,1779889489.718775354,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759833383,1779889489.718775354,1,OK,0.4764870,0.0013604,-0.1444648,-0.8672302,30.408,102.627,-1463.715,0.2248269,3,OK,30.429,102.328,-1463.634,OK,-25.038,176.519,-1491.039,OK,79.318,176.957,-1475.903,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759833383,1779889489.718775354,1,OK,0.8604537,0.2584508,-0.2939910,-0.3261778,-207.694,88.137,-1509.306,0.4881115,3,OK,-207.474,87.507,-1509.321,OK,-210.837,182.617,-1477.899,OK,-264.952,154.951,-1540.622
3,Port 0x01: JJH Probe  s/n:3E4C880C,759833386,1779889489.768775354,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759833386,1779889489.768775354,1,OK,0.4764795,0.0018439,-0.1443821,-0.8672472,30.360,102.621,-1463.778,0.2089312,3,OK,30.393,102.346,-1463.702,OK,-25.082,176.521,-1491.100,OK,79.268,176.943,-1475.879,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759833386,1779889489.768775354,1,OK,0.8605700,0.2582133,-0.2938192,-0.3262138,-207.731,88.130,-1509.224,0.4930684,3,OK,-207.513,87.506,-1509.239,OK,-210.877,182.606,-1477.875,OK,-264.978,154.945,-1540.505
3,Port 0x01: JJH Probe  s/n:3E4C880C,759833389,1779889489.818775354,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759833389,1779889489.818775354,1,OK,0.4764722,0.0011981,-0.1444093,-0.8672478,30.407,102.615,-1463.837,0.2241622,3,OK,30.422,102.317,-1463.757,OK,-25.038,176.507,-1491.145,OK,79.322,176.943,-1476.046,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759833389,1779889489.818775354,1,OK,0.8604055,0.2586078,-0.2939527,-0.3262149,-207.708,88.128,-1509.327,0.4904935,3,OK,-207.492,87.494,-1509.348,OK,-210.856,182.605,-1477.888,OK,-264.959,154.947,-1540.619
3,Port 0x01: JJH Probe  s/n:3E4C880C,759833392,1779889489.868775354,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759833392,1779889489.868775354,1,OK,0.4764519,0.0018178,-0.1445300,-0.8672378,30.394,102.604,-1463.851,0.2120583,3,OK,30.428,102.325,-1463.773,OK,-25.042,176.502,-1491.200,OK,79.305,176.921,-1475.968,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759833392,1779889489.868775354,1,OK,0.8605025,0.2583331,-0.2940084,-0.3261265,-207.706,88.138,-1509.302,0.5010220,3,OK,-207.477,87.501,-1509.312,OK,-210.869,182.616,-1477.942,OK,-264.959,154.961,-1540.619
3,Port 0x01: JJH Probe  s/n:3E4C880C,759833395,1779889489.918775354,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759833395,1779889489.918775354,1,OK,0.4764475,0.0018543,-0.1445627,-0.8672347,30.365,102.596,-1463.878,0.2160572,3,OK,30.403,102.312,-1463.798,OK,-25.070,176.498,-1491.235,OK,79.274,176.913,-1475.992,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759833395,1779889489.918775354,1,OK,0.8605737,0.2583641,-0.2936399,-0.3262460,-207.729,88.139,-1509.300,0.4948854,3,OK,-207.521,87.514,-1509.325,OK,-210.887,182.612,-1477.916,OK,-264.975,154.950,-1540.528
3,Port 0x01: JJH Probe  s/n:3E4C880C,759833398,1779889489.968775354,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759833398,1779889489.968775354,1,OK,0.4763879,0.0012958,-0.1450882,-0.8671807,30.394,102.612,-1463.830,0.2384223,3,OK,30.425,102.296,-1463.742,OK,-25.034,176.497,-1491.273,OK,79.317,176.923,-1476.080,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759833398,1779889489.968775354,1,OK,0.8603991,0.2586080,-0.2940032,-0.3261863,-207.694,88.132,-1509.308,0.4927504,3,OK,-207.472,87.497,-1509.324,OK,-210.847,182.607,-1477.875,OK,-264.948,154.956,-1540.612
3,Port 0x01: JJH Probe  s/n:3E4C880C,759833401,1779889490.018775354,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759833401,1779889490.018775354,1,OK,0.4764324,0.0016838,-0.1449085,-0.8671856,30.390,102.609,-1463.872,0.2213352,3,OK,30.423,102.316,-1463.791,OK,-25.040,176.492,-1491.289,OK,79.305,176.922,-1476.044,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759833401,1779889490.018775354,1,OK,0.8605135,0.2582502,-0.2940817,-0.3260970,-207.700,88.141,-1509.260,0.4940027,3,OK,-207.471,87.514,-1509.266,OK,-210.861,182.614,-1477.922,OK,-264.953,154.958,-1540.599
3,Port 0x01: JJH Probe  s/n:3E4C880C,759833404,1779889490.068775354,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759833404,1779889490.068775354,1,OK,0.4764311,0.0015407,-0.1448798,-0.8671914,30.380,102.602,-1463.897,0.2279619,3,OK,30.419,102.303,-1463.813,OK,-25.051,176.493,-1491.307,OK,79.286,176.912,-1476.090,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759833404,1779889490.068775354,1,OK,0.8604973,0.2583712,-0.2939723,-0.3261427,-207.716,88.146,-1509.297,0.4824837,3,OK,-207.503,87.530,-1509.314,OK,-210.872,182.619,-1477.921,OK,-264.963,154.949,-1540.603
3,Port 0x01: JJH Probe  s/n:3E4C880C,759833407,1779889490.118775354,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,759833407,1779889490.118775354,1,OK,0.4764754,0.0010735,-0.1446706,-0.8672027,30.399,102.603,-1463.958,0.2305560,3,OK,30.419,102.297,-1463.875,OK,-25.049,176.486,-1491.313,OK,79.311,176.926,-1476.209,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,759833407,1779889490.118775354,1,OK,0.8605059,0.2584054,-0.2938804,-0.3261755,-207.713,88.134,-1509.300,0.4928191,3,OK,-207.494,87.505,-1509.316,OK,-210.870,182.607,-1477.913,OK,-264.967,154.949,-1540.587
