Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,760462300,1779899971.668777477,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760462300,1779899971.668777477,1,OK,0.4471057,0.1537232,0.1400355,-0.8699745,32.613,79.792,-1355.404,0.3225633,3,OK,32.424,79.504,-1355.554,OK,-22.264,155.499,-1332.365,OK,82.491,145.991,-1320.019,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760462300,1779899971.668777477,1,OK,0.8017551,0.0105287,0.4434671,-0.4005182,-183.632,79.099,-1347.583,0.5859779,3,OK,-183.536,78.579,-1348.014,OK,-148.217,170.611,-1332.466,OK,-210.059,138.627,-1280.437
3,Port 0x01: JJH Probe  s/n:3E4C880C,760462303,1779899971.718777477,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760462303,1779899971.718777477,1,OK,0.4470767,0.1540332,0.1401883,-0.8699100,32.611,79.804,-1355.439,0.3377909,3,OK,32.413,79.497,-1355.599,OK,-22.268,155.503,-1332.378,OK,82.480,145.998,-1319.989,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760462303,1779899971.718777477,1,OK,0.8017424,0.0107005,0.4435268,-0.4004729,-183.632,79.116,-1347.589,0.5886217,3,OK,-183.532,78.595,-1348.025,OK,-148.210,170.615,-1332.439,OK,-210.059,138.625,-1280.417
3,Port 0x01: JJH Probe  s/n:3E4C880C,760462306,1779899971.768777477,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760462306,1779899971.768777477,1,OK,0.4470893,0.1538694,0.1402409,-0.8699241,32.634,79.798,-1355.448,0.3296106,3,OK,32.449,79.493,-1355.605,OK,-22.250,155.502,-1332.371,OK,82.504,145.987,-1320.024,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760462306,1779899971.768777477,1,OK,0.8017509,0.0107401,0.4435010,-0.4004835,-183.621,79.118,-1347.615,0.5945596,3,OK,-183.523,78.592,-1348.051,OK,-148.203,170.615,-1332.451,OK,-210.042,138.631,-1280.450
3,Port 0x01: JJH Probe  s/n:3E4C880C,760462309,1779899971.818777476,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760462309,1779899971.818777476,1,OK,0.4470756,0.1539615,0.1403857,-0.8698914,32.622,79.805,-1355.467,0.3276801,3,OK,32.436,79.503,-1355.622,OK,-22.262,155.497,-1332.365,OK,82.487,145.983,-1320.018,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760462309,1779899971.818777476,1,OK,0.8017384,0.0108093,0.4435404,-0.4004630,-183.628,79.116,-1347.638,0.5981185,3,OK,-183.524,78.589,-1348.082,OK,-148.205,170.605,-1332.463,OK,-210.051,138.624,-1280.453
3,Port 0x01: JJH Probe  s/n:3E4C880C,760462312,1779899971.868777476,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760462312,1779899971.868777476,1,OK,0.4471066,0.1537372,0.1402482,-0.8699374,32.617,79.801,-1355.439,0.3272665,3,OK,32.430,79.499,-1355.594,OK,-22.261,155.502,-1332.358,OK,82.488,145.998,-1320.034,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760462312,1779899971.868777476,1,OK,0.8016959,0.0107096,0.4436325,-0.4004488,-183.638,79.115,-1347.619,0.5944093,3,OK,-183.533,78.590,-1348.064,OK,-148.213,170.610,-1332.467,OK,-210.056,138.624,-1280.424
3,Port 0x01: JJH Probe  s/n:3E4C880C,760462315,1779899971.918777476,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760462315,1779899971.918777476,1,OK,0.4470404,0.1541338,0.1406198,-0.8698412,32.616,79.813,-1355.497,0.3411687,3,OK,32.418,79.500,-1355.660,OK,-22.268,155.490,-1332.357,OK,82.486,145.984,-1319.998,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760462315,1779899971.918777476,1,OK,0.8017680,0.0107460,0.4434628,-0.4004914,-183.640,79.111,-1347.613,0.5905125,3,OK,-183.543,78.584,-1348.049,OK,-148.215,170.614,-1332.454,OK,-210.073,138.622,-1280.446
3,Port 0x01: JJH Probe  s/n:3E4C880C,760462318,1779899971.968777476,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760462318,1779899971.968777476,1,OK,0.4470880,0.1536964,0.1402336,-0.8699565,32.610,79.792,-1355.429,0.3275008,3,OK,32.420,79.493,-1355.583,OK,-22.263,155.494,-1332.349,OK,82.488,145.989,-1320.031,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760462318,1779899971.968777476,1,OK,0.8017981,0.0107109,0.4434517,-0.4004443,-183.629,79.109,-1347.621,0.5913750,3,OK,-183.532,78.587,-1348.054,OK,-148.223,170.612,-1332.459,OK,-210.065,138.620,-1280.463
3,Port 0x01: JJH Probe  s/n:3E4C880C,760462321,1779899972.018777476,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760462321,1779899972.018777476,1,OK,0.4470212,0.1538807,0.1405187,-0.8699122,32.614,79.815,-1355.487,0.3360072,3,OK,32.420,79.503,-1355.648,OK,-22.251,155.505,-1332.356,OK,82.491,145.995,-1320.036,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760462321,1779899972.018777476,1,OK,0.8016595,0.0108363,0.4436938,-0.4004503,-183.644,79.120,-1347.642,0.6040148,3,OK,-183.541,78.579,-1348.094,OK,-148.206,170.613,-1332.462,OK,-210.049,138.623,-1280.429
3,Port 0x01: JJH Probe  s/n:3E4C880C,760462324,1779899972.068777476,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760462324,1779899972.068777476,1,OK,0.4470908,0.1537036,0.1398748,-0.8700115,32.604,79.787,-1355.420,0.3250142,3,OK,32.410,79.497,-1355.571,OK,-22.265,155.506,-1332.409,OK,82.485,145.996,-1320.049,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760462324,1779899972.068777476,1,OK,0.8016996,0.0105365,0.4436404,-0.4004372,-183.641,79.103,-1347.629,0.5864001,3,OK,-183.537,78.584,-1348.069,OK,-148.224,170.607,-1332.512,OK,-210.065,138.617,-1280.444
3,Port 0x01: JJH Probe  s/n:3E4C880C,760462327,1779899972.118777476,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760462327,1779899972.118777476,1,OK,0.4470798,0.1538223,0.1400428,-0.8699692,32.603,79.802,-1355.438,0.3257065,3,OK,32.416,79.503,-1355.592,OK,-22.270,155.516,-1332.396,OK,82.475,145.999,-1320.037,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760462327,1779899972.118777476,1,OK,0.8017338,0.0107224,0.4435710,-0.4004406,-183.643,79.112,-1347.625,0.5938073,3,OK,-183.541,78.585,-1348.067,OK,-148.222,170.611,-1332.467,OK,-210.069,138.619,-1280.439
