Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,760456627,1779899877.118781851,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760456627,1779899877.118781851,1,OK,0.4683215,0.1494709,0.1369370,-0.8599893,22.126,88.034,-1357.178,0.3204909,3,OK,21.948,87.735,-1357.325,OK,-36.272,161.417,-1335.349,OK,68.726,156.914,-1322.454,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760456627,1779899877.118781851,1,OK,0.8760111,0.0880641,0.2450243,-0.4059710,-218.774,84.285,-1385.985,0.4354031,3,OK,-218.597,83.783,-1386.264,OK,-190.332,176.084,-1360.245,OK,-270.113,146.906,-1339.146
3,Port 0x01: JJH Probe  s/n:3E4C880C,760456630,1779899877.168781851,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760456630,1779899877.168781851,1,OK,0.4683008,0.1498194,0.1372379,-0.8598920,22.142,88.037,-1357.198,0.3273346,3,OK,21.961,87.728,-1357.350,OK,-36.267,161.401,-1335.323,OK,68.728,156.895,-1322.395,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760456630,1779899877.168781851,1,OK,0.8760498,0.0876446,0.2450981,-0.4059337,-218.755,84.271,-1385.926,0.4225828,3,OK,-218.577,83.789,-1386.196,OK,-190.327,176.084,-1360.265,OK,-270.099,146.900,-1339.106
3,Port 0x01: JJH Probe  s/n:3E4C880C,760456633,1779899877.218781851,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760456633,1779899877.218781851,1,OK,0.4682224,0.1500142,0.1374748,-0.8598629,22.146,88.035,-1357.218,0.3378727,3,OK,21.958,87.717,-1357.375,OK,-36.258,161.390,-1335.304,OK,68.742,156.877,-1322.363,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760456633,1779899877.218781851,1,OK,0.8760121,0.0877926,0.2452152,-0.4059122,-218.747,84.273,-1385.973,0.4291883,3,OK,-218.566,83.783,-1386.248,OK,-190.315,176.077,-1360.279,OK,-270.084,146.892,-1339.122
3,Port 0x01: JJH Probe  s/n:3E4C880C,760456636,1779899877.268781851,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760456636,1779899877.268781851,1,OK,0.4682727,0.1498376,0.1373712,-0.8598829,22.125,88.035,-1357.222,0.3296314,3,OK,21.945,87.722,-1357.376,OK,-36.280,161.397,-1335.322,OK,68.714,156.887,-1322.406,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760456636,1779899877.268781851,1,OK,0.8760226,0.0877405,0.2451080,-0.4059657,-218.772,84.277,-1385.953,0.4280655,3,OK,-218.596,83.785,-1386.226,OK,-190.336,176.089,-1360.271,OK,-270.105,146.906,-1339.126
3,Port 0x01: JJH Probe  s/n:3E4C880C,760456639,1779899877.318781851,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760456639,1779899877.318781851,1,OK,0.4683339,0.1498050,0.1370337,-0.8599091,22.145,88.010,-1357.152,0.3239397,3,OK,21.965,87.707,-1357.301,OK,-36.268,161.382,-1335.316,OK,68.727,156.877,-1322.369,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760456639,1779899877.318781851,1,OK,0.8760627,0.0877783,0.2449208,-0.4059838,-218.749,84.258,-1385.937,0.4239274,3,OK,-218.580,83.768,-1386.207,OK,-190.317,176.077,-1360.253,OK,-270.091,146.889,-1339.141
3,Port 0x01: JJH Probe  s/n:3E4C880C,760456642,1779899877.368781851,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760456642,1779899877.368781851,1,OK,0.4682921,0.1498744,0.1372053,-0.8598924,22.142,88.011,-1357.142,0.3237760,3,OK,21.968,87.704,-1357.293,OK,-36.271,161.381,-1335.274,OK,68.725,156.863,-1322.336,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760456642,1779899877.368781851,1,OK,0.8760063,0.0878644,0.2451465,-0.4059507,-218.757,84.276,-1385.975,0.4252162,3,OK,-218.582,83.788,-1386.247,OK,-190.318,176.079,-1360.270,OK,-270.089,146.894,-1339.134
3,Port 0x01: JJH Probe  s/n:3E4C880C,760456645,1779899877.418781851,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760456645,1779899877.418781851,1,OK,0.4682645,0.1498219,0.1373251,-0.8598974,22.118,88.010,-1357.151,0.3254008,3,OK,21.936,87.706,-1357.301,OK,-36.286,161.371,-1335.261,OK,68.712,156.859,-1322.342,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760456645,1779899877.418781851,1,OK,0.8760210,0.0877622,0.2451615,-0.4059321,-218.764,84.276,-1385.963,0.4294971,3,OK,-218.588,83.782,-1386.238,OK,-190.333,176.088,-1360.274,OK,-270.094,146.900,-1339.127
3,Port 0x01: JJH Probe  s/n:3E4C880C,760456648,1779899877.468781851,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760456648,1779899877.468781851,1,OK,0.4682726,0.1499265,0.1371871,-0.8598968,22.138,87.998,-1357.117,0.3220813,3,OK,21.956,87.702,-1357.265,OK,-36.271,161.361,-1335.258,OK,68.728,156.845,-1322.305,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760456648,1779899877.468781851,1,OK,0.8759942,0.0878067,0.2452315,-0.4059379,-218.751,84.276,-1385.979,0.4234707,3,OK,-218.573,83.793,-1386.251,OK,-190.308,176.077,-1360.286,OK,-270.084,146.892,-1339.127
3,Port 0x01: JJH Probe  s/n:3E4C880C,760456651,1779899877.518781851,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760456651,1779899877.518781851,1,OK,0.4682788,0.1499684,0.1372176,-0.8598813,22.135,88.002,-1357.116,0.3240664,3,OK,21.954,87.702,-1357.265,OK,-36.277,161.364,-1335.251,OK,68.721,156.849,-1322.294,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760456651,1779899877.518781851,1,OK,0.8759269,0.0879601,0.2455398,-0.4058636,-218.760,84.291,-1386.009,0.4393566,3,OK,-218.579,83.786,-1386.290,OK,-190.313,176.089,-1360.270,OK,-270.077,146.888,-1339.094
3,Port 0x01: JJH Probe  s/n:3E4C880C,760456654,1779899877.568781851,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760456654,1779899877.568781851,1,OK,0.4682720,0.1498532,0.1373775,-0.8598795,22.118,88.003,-1357.128,0.3185582,3,OK,21.941,87.704,-1357.275,OK,-36.287,161.359,-1335.229,OK,68.703,156.843,-1322.313,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760456654,1779899877.568781851,1,OK,0.8760622,0.0876259,0.2450876,-0.4059172,-218.752,84.274,-1385.924,0.4161750,3,OK,-218.573,83.801,-1386.191,OK,-190.326,176.084,-1360.270,OK,-270.103,146.898,-1339.108
