Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,760337155,1779897885.918771780,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760337155,1779897885.918771780,1,OK,0.5098811,0.1389106,0.1246535,-0.8397539,29.692,106.160,-1372.614,0.2873799,3,OK,29.556,105.867,-1372.740,OK,-35.273,174.771,-1354.142,OK,69.477,180.166,-1340.151,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760337155,1779897885.918771780,1,OK,0.8855364,0.2343284,-0.1990589,-0.3482686,-201.180,87.642,-1489.935,0.4347880,3,OK,-201.081,87.077,-1490.065,OK,-198.822,181.540,-1456.436,OK,-264.307,154.006,-1507.469
3,Port 0x01: JJH Probe  s/n:3E4C880C,760337158,1779897885.968771780,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760337158,1779897885.968771780,1,OK,0.5098553,0.1391175,0.1248711,-0.8397030,29.727,106.168,-1372.655,0.2982569,3,OK,29.595,105.857,-1372.788,OK,-35.246,174.777,-1354.147,OK,69.507,180.165,-1340.138,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760337158,1779897885.968771780,1,OK,0.8855275,0.2344764,-0.1988307,-0.3483220,-201.142,87.639,-1489.939,0.4461018,3,OK,-201.053,87.065,-1490.078,OK,-198.788,181.538,-1456.398,OK,-264.259,154.001,-1507.412
3,Port 0x01: JJH Probe  s/n:3E4C880C,760337161,1779897886.018771780,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760337161,1779897886.018771780,1,OK,0.5098513,0.1394290,0.1253554,-0.8395816,29.690,106.199,-1372.756,0.3162767,3,OK,29.555,105.863,-1372.899,OK,-35.295,174.782,-1354.170,OK,69.459,180.182,-1340.144,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760337161,1779897886.018771780,1,OK,0.8855392,0.2345289,-0.1987044,-0.3483290,-201.193,87.642,-1489.971,0.4566455,3,OK,-201.102,87.055,-1490.114,OK,-198.845,181.543,-1456.415,OK,-264.316,154.007,-1507.416
3,Port 0x01: JJH Probe  s/n:3E4C880C,760337164,1779897886.068771780,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760337164,1779897886.068771780,1,OK,0.5098763,0.1389078,0.1249421,-0.8397144,29.690,106.180,-1372.664,0.2929150,3,OK,29.557,105.875,-1372.794,OK,-35.276,174.781,-1354.137,OK,69.474,180.180,-1340.174,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760337164,1779897886.068771780,1,OK,0.8855708,0.2348220,-0.1981310,-0.3483777,-201.175,87.680,-1490.107,0.4577037,3,OK,-201.116,87.105,-1490.266,OK,-198.834,181.568,-1456.464,OK,-264.298,154.011,-1507.425
3,Port 0x01: JJH Probe  s/n:3E4C880C,760337167,1779897886.118771780,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760337167,1779897886.118771780,1,OK,0.5099192,0.1388240,0.1242705,-0.8398018,29.711,106.150,-1372.586,0.2874821,3,OK,29.583,105.853,-1372.712,OK,-35.263,174.785,-1354.180,OK,69.496,180.175,-1340.169,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760337167,1779897886.118771780,1,OK,0.8854686,0.2347484,-0.1987405,-0.3483400,-201.159,87.652,-1490.011,0.4501600,3,OK,-201.079,87.074,-1490.158,OK,-198.807,181.547,-1456.406,OK,-264.279,154.007,-1507.452
3,Port 0x01: JJH Probe  s/n:3E4C880C,760337170,1779897886.168771780,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760337170,1779897886.168771780,1,OK,0.5099095,0.1389251,0.1247429,-0.8397210,29.688,106.174,-1372.628,0.2866525,3,OK,29.559,105.877,-1372.755,OK,-35.285,174.781,-1354.139,OK,69.465,180.177,-1340.155,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760337170,1779897886.168771780,1,OK,0.8856088,0.2343863,-0.1986539,-0.3482769,-201.182,87.653,-1489.929,0.4479635,3,OK,-201.092,87.080,-1490.067,OK,-198.847,181.546,-1456.411,OK,-264.304,154.009,-1507.372
3,Port 0x01: JJH Probe  s/n:3E4C880C,760337173,1779897886.218771780,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760337173,1779897886.218771780,1,OK,0.5099050,0.1390051,0.1247808,-0.8397048,29.706,106.178,-1372.638,0.2975302,3,OK,29.575,105.867,-1372.771,OK,-35.270,174.787,-1354.144,OK,69.482,180.187,-1340.146,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760337173,1779897886.218771780,1,OK,0.8855888,0.2345546,-0.1985227,-0.3482892,-201.152,87.660,-1489.977,0.4543086,3,OK,-201.068,87.079,-1490.122,OK,-198.818,181.555,-1456.413,OK,-264.280,154.009,-1507.388
3,Port 0x01: JJH Probe  s/n:3E4C880C,760337176,1779897886.268771780,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760337176,1779897886.268771780,1,OK,0.5098820,0.1391625,0.1246715,-0.8397090,29.709,106.170,-1372.646,0.2966340,3,OK,29.576,105.863,-1372.777,OK,-35.269,174.783,-1354.178,OK,69.486,180.173,-1340.140,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760337176,1779897886.268771780,1,OK,0.8855635,0.2343748,-0.1988120,-0.3483095,-201.167,87.647,-1489.932,0.4431648,3,OK,-201.081,87.079,-1490.071,OK,-198.816,181.546,-1456.415,OK,-264.280,154.004,-1507.406
3,Port 0x01: JJH Probe  s/n:3E4C880C,760337179,1779897886.318771780,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760337179,1779897886.318771780,1,OK,0.5098917,0.1389242,0.1245888,-0.8397548,29.677,106.166,-1372.613,0.2895123,3,OK,29.542,105.869,-1372.740,OK,-35.292,174.782,-1354.153,OK,69.461,180.177,-1340.153,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760337179,1779897886.318771780,1,OK,0.8855114,0.2344754,-0.1989490,-0.3482959,-201.186,87.643,-1489.888,0.4368808,3,OK,-201.096,87.079,-1490.023,OK,-198.832,181.536,-1456.354,OK,-264.307,154.003,-1507.387
3,Port 0x01: JJH Probe  s/n:3E4C880C,760337182,1779897886.368771780,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760337182,1779897886.368771780,1,OK,0.5098762,0.1392511,0.1248774,-0.8396672,29.714,106.183,-1372.683,0.3007303,3,OK,29.584,105.866,-1372.818,OK,-35.265,174.788,-1354.180,OK,69.484,180.178,-1340.146,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760337182,1779897886.368771780,1,OK,0.8855026,0.2346906,-0.1986686,-0.3483336,-201.153,87.653,-1489.997,0.4434546,3,OK,-201.075,87.086,-1490.141,OK,-198.805,181.539,-1456.407,OK,-264.271,154.004,-1507.426
