Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,760114090,1779894168.168794342,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760114090,1779894168.168794342,1,OK,0.4522812,0.1597638,0.1493214,-0.8646504,29.948,80.499,-1351.734,0.3420774,3,OK,29.747,80.196,-1351.900,OK,-26.175,154.866,-1327.379,OK,78.660,146.675,-1314.658,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760114090,1779894168.168794342,1,OK,0.8031010,0.0117358,0.4414316,-0.4000365,-184.493,78.559,-1346.786,0.5875706,3,OK,-184.390,78.035,-1347.223,OK,-149.223,170.087,-1331.417,OK,-211.336,138.023,-1279.732
3,Port 0x01: JJH Probe  s/n:3E4C880C,760114093,1779894168.218794342,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760114093,1779894168.218794342,1,OK,0.4523087,0.1596941,0.1488077,-0.8647375,29.991,80.533,-1351.856,0.3428685,3,OK,29.788,80.230,-1352.022,OK,-26.124,154.932,-1327.593,OK,78.702,146.739,-1314.828,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760114093,1779894168.218794342,1,OK,0.8032031,0.0118954,0.4411728,-0.4001122,-184.455,78.544,-1346.772,0.5915393,3,OK,-184.359,78.020,-1347.202,OK,-149.191,170.065,-1331.369,OK,-211.310,138.015,-1279.759
3,Port 0x01: JJH Probe  s/n:3E4C880C,760114096,1779894168.268794342,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760114096,1779894168.268794342,1,OK,0.4522673,0.1595989,0.1487566,-0.8647855,30.001,80.541,-1351.857,0.3344644,3,OK,29.799,80.247,-1352.018,OK,-26.094,154.945,-1327.599,OK,78.716,146.743,-1314.851,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760114096,1779894168.268794342,1,OK,0.8031450,0.0116734,0.4413119,-0.4000820,-184.461,78.548,-1346.775,0.5890028,3,OK,-184.361,78.022,-1347.210,OK,-149.198,170.082,-1331.418,OK,-211.312,138.027,-1279.746
3,Port 0x01: JJH Probe  s/n:3E4C880C,760114099,1779894168.318794342,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760114099,1779894168.318794342,1,OK,0.4522754,0.1594960,0.1486547,-0.8648177,29.978,80.586,-1351.950,0.3459802,3,OK,29.770,80.281,-1352.118,OK,-26.117,155.000,-1327.708,OK,78.706,146.808,-1314.962,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760114099,1779894168.318794342,1,OK,0.8030362,0.0118441,0.4415350,-0.4000493,-184.496,78.562,-1346.811,0.6005830,3,OK,-184.391,78.026,-1347.259,OK,-149.215,170.080,-1331.418,OK,-211.317,138.026,-1279.735
3,Port 0x01: JJH Probe  s/n:3E4C880C,760114102,1779894168.368794344,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760114102,1779894168.368794344,1,OK,0.4522988,0.1594629,0.1487902,-0.8647883,29.988,80.601,-1351.980,0.3422467,3,OK,29.783,80.302,-1352.145,OK,-26.115,155.003,-1327.715,OK,78.717,146.816,-1314.988,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760114102,1779894168.368794344,1,OK,0.8031244,0.0119810,0.4413213,-0.4001040,-184.483,78.556,-1346.775,0.5996015,3,OK,-184.381,78.025,-1347.216,OK,-149.205,170.065,-1331.357,OK,-211.320,138.021,-1279.728
3,Port 0x01: JJH Probe  s/n:3E4C880C,760114105,1779894168.418794344,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760114105,1779894168.418794344,1,OK,0.4523029,0.1593632,0.1484261,-0.8648671,29.992,80.605,-1351.970,0.3462501,3,OK,29.780,80.306,-1352.135,OK,-26.102,155.028,-1327.769,OK,78.730,146.844,-1315.019,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760114105,1779894168.418794344,1,OK,0.8030530,0.0116782,0.4414557,-0.4001080,-184.477,78.540,-1346.779,0.5931880,3,OK,-184.375,78.008,-1347.221,OK,-149.196,170.070,-1331.425,OK,-211.306,138.020,-1279.727
3,Port 0x01: JJH Probe  s/n:3E4C880C,760114108,1779894168.468794344,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760114108,1779894168.468794344,1,OK,0.4523113,0.1593818,0.1486276,-0.8648247,29.994,80.646,-1352.061,0.3505044,3,OK,29.790,80.332,-1352.232,OK,-26.109,155.067,-1327.820,OK,78.726,146.880,-1315.090,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760114108,1779894168.468794344,1,OK,0.8031455,0.0117256,0.4413292,-0.4000606,-184.470,78.546,-1346.778,0.5940406,3,OK,-184.370,78.013,-1347.219,OK,-149.207,170.080,-1331.408,OK,-211.323,138.022,-1279.739
3,Port 0x01: JJH Probe  s/n:3E4C880C,760114111,1779894168.518794344,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760114111,1779894168.518794344,1,OK,0.4523738,0.1590361,0.1481777,-0.8649328,30.002,80.622,-1352.033,0.3436103,3,OK,29.798,80.320,-1352.199,OK,-26.095,155.066,-1327.868,OK,78.744,146.890,-1315.152,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760114111,1779894168.518794344,1,OK,0.8031897,0.0120087,0.4411418,-0.4001698,-184.467,78.548,-1346.784,0.5960227,3,OK,-184.369,78.023,-1347.216,OK,-149.191,170.056,-1331.363,OK,-211.315,138.021,-1279.768
3,Port 0x01: JJH Probe  s/n:3E4C880C,760114114,1779894168.568794344,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760114114,1779894168.568794344,1,OK,0.4523394,0.1594238,0.1486429,-0.8647996,30.005,80.656,-1352.098,0.3503660,3,OK,29.801,80.342,-1352.269,OK,-26.103,155.072,-1327.856,OK,78.729,146.891,-1315.120,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760114114,1779894168.568794344,1,OK,0.8030956,0.0116990,0.4413617,-0.4001256,-184.486,78.545,-1346.788,0.5896128,3,OK,-184.387,78.019,-1347.222,OK,-149.212,170.074,-1331.427,OK,-211.319,138.025,-1279.757
3,Port 0x01: JJH Probe  s/n:3E4C880C,760114117,1779894168.618794344,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760114117,1779894168.618794344,1,OK,0.4524117,0.1589706,0.1480183,-0.8649524,29.982,80.648,-1352.032,0.3360396,3,OK,29.780,80.355,-1352.193,OK,-26.111,155.097,-1327.896,OK,78.716,146.925,-1315.175,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760114117,1779894168.618794344,1,OK,0.8031210,0.0117146,0.4413354,-0.4001031,-184.488,78.547,-1346.776,0.5892694,3,OK,-184.388,78.020,-1347.211,OK,-149.216,170.078,-1331.413,OK,-211.331,138.024,-1279.743
