Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,760073482,1779893491.368761624,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760073482,1779893491.368761624,1,OK,0.4789563,0.0951220,0.0259658,-0.8722835,42.504,99.436,-1406.293,0.1633911,3,OK,42.414,99.249,-1406.333,OK,-15.059,176.530,-1403.850,OK,89.512,174.130,-1389.139,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760073482,1779893491.368761624,1,OK,0.8836910,0.2370836,-0.2017197,-0.3495579,-201.822,87.026,-1490.931,0.4600136,3,OK,-201.762,86.449,-1491.091,OK,-199.366,180.808,-1457.002,OK,-264.522,153.673,-1508.567
3,Port 0x01: JJH Probe  s/n:3E4C880C,760073485,1779893491.418761624,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760073485,1779893491.418761624,1,OK,0.4789832,0.0948353,0.0257949,-0.8723050,42.558,99.432,-1406.262,0.1561996,3,OK,42.468,99.256,-1406.300,OK,-15.005,176.521,-1403.844,OK,89.571,174.129,-1389.168,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760073485,1779893491.418761624,1,OK,0.8838097,0.2365527,-0.2020037,-0.3494535,-201.755,87.010,-1490.811,0.4485447,3,OK,-201.680,86.445,-1490.956,OK,-199.306,180.802,-1457.015,OK,-264.452,153.660,-1508.534
3,Port 0x01: JJH Probe  s/n:3E4C880C,760073488,1779893491.468761624,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760073488,1779893491.468761624,1,OK,0.4790070,0.0948266,0.0259014,-0.8722897,42.531,99.434,-1406.266,0.1574856,3,OK,42.446,99.252,-1406.304,OK,-15.037,176.526,-1403.827,OK,89.533,174.133,-1389.165,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760073488,1779893491.468761624,1,OK,0.8837426,0.2367996,-0.2020208,-0.3494462,-201.794,87.010,-1490.804,0.4502935,3,OK,-201.716,86.437,-1490.951,OK,-199.345,180.796,-1456.954,OK,-264.505,153.662,-1508.523
3,Port 0x01: JJH Probe  s/n:3E4C880C,760073491,1779893491.518761624,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760073491,1779893491.518761624,1,OK,0.4790224,0.0949700,0.0258753,-0.8722664,42.509,99.435,-1406.240,0.1605315,3,OK,42.423,99.248,-1406.278,OK,-15.060,176.526,-1403.809,OK,89.503,174.137,-1389.118,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760073491,1779893491.518761624,1,OK,0.8837493,0.2366948,-0.2020309,-0.3494942,-201.824,87.013,-1490.793,0.4456519,3,OK,-201.748,86.446,-1490.938,OK,-199.361,180.800,-1456.961,OK,-264.529,153.668,-1508.518
3,Port 0x01: JJH Probe  s/n:3E4C880C,760073494,1779893491.568761624,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760073494,1779893491.568761624,1,OK,0.4790230,0.0948872,0.0257083,-0.8722800,42.581,99.427,-1406.247,0.1632897,3,OK,42.493,99.238,-1406.286,OK,-14.988,176.520,-1403.847,OK,89.585,174.136,-1389.151,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760073494,1779893491.568761624,1,OK,0.8836781,0.2369453,-0.2020018,-0.3495213,-201.741,87.013,-1490.799,0.4468454,3,OK,-201.676,86.449,-1490.951,OK,-199.281,180.794,-1456.913,OK,-264.435,153.663,-1508.498
3,Port 0x01: JJH Probe  s/n:3E4C880C,760073497,1779893491.618761624,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760073497,1779893491.618761624,1,OK,0.4790547,0.0946451,0.0258885,-0.8722836,42.537,99.433,-1406.264,0.1551514,3,OK,42.453,99.253,-1406.301,OK,-15.036,176.519,-1403.823,OK,89.536,174.137,-1389.193,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760073497,1779893491.618761624,1,OK,0.8837440,0.2364057,-0.2024640,-0.3494526,-201.807,86.988,-1490.683,0.4400347,3,OK,-201.715,86.422,-1490.817,OK,-199.335,180.788,-1456.929,OK,-264.504,153.658,-1508.509
3,Port 0x01: JJH Probe  s/n:3E4C880C,760073500,1779893491.668761624,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760073500,1779893491.668761624,1,OK,0.4790177,0.0949137,0.0257514,-0.8722788,42.517,99.429,-1406.224,0.1555734,3,OK,42.437,99.245,-1406.261,OK,-15.052,176.526,-1403.815,OK,89.511,174.128,-1389.123,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760073500,1779893491.668761624,1,OK,0.8837385,0.2367332,-0.2020226,-0.3495006,-201.810,87.010,-1490.761,0.4520504,3,OK,-201.735,86.436,-1490.909,OK,-199.348,180.802,-1456.919,OK,-264.512,153.666,-1508.481
3,Port 0x01: JJH Probe  s/n:3E4C880C,760073503,1779893491.718761624,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760073503,1779893491.718761624,1,OK,0.4789928,0.0952743,0.0259098,-0.8722485,42.565,99.428,-1406.301,0.1628090,3,OK,42.482,99.237,-1406.339,OK,-15.010,176.524,-1403.872,OK,89.560,174.122,-1389.128,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760073503,1779893491.718761624,1,OK,0.8836915,0.2368571,-0.2020504,-0.3495193,-201.770,86.999,-1490.764,0.4475975,3,OK,-201.698,86.431,-1490.913,OK,-199.305,180.785,-1456.896,OK,-264.468,153.655,-1508.480
3,Port 0x01: JJH Probe  s/n:3E4C880C,760073506,1779893491.768761624,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760073506,1779893491.768761624,1,OK,0.4790165,0.0951710,0.0260423,-0.8722428,42.554,99.438,-1406.270,0.1578588,3,OK,42.467,99.258,-1406.307,OK,-15.025,176.521,-1403.815,OK,89.551,174.130,-1389.102,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760073506,1779893491.768761624,1,OK,0.8837588,0.2366641,-0.2021109,-0.3494447,-201.774,86.999,-1490.734,0.4484885,3,OK,-201.692,86.428,-1490.878,OK,-199.323,180.788,-1456.918,OK,-264.481,153.657,-1508.477
3,Port 0x01: JJH Probe  s/n:3E4C880C,760073509,1779893491.818761624,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,760073509,1779893491.818761624,1,OK,0.4790544,0.0946655,0.0255263,-0.8722922,42.534,99.434,-1406.239,0.1531947,3,OK,42.452,99.255,-1406.275,OK,-15.034,176.526,-1403.867,OK,89.531,174.143,-1389.196,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,760073509,1779893491.818761624,1,OK,0.8837071,0.2370167,-0.2017547,-0.3495425,-201.793,87.014,-1490.809,0.4544140,3,OK,-201.728,86.441,-1490.964,OK,-199.337,180.790,-1456.899,OK,-264.498,153.663,-1508.459
