Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,764580232,1779968603.868761046,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764580232,1779968603.868761046,1,OK,0.4947650,-0.0121556,-0.1798388,-0.8501281,23.740,91.241,-1476.135,0.2324413,3,OK,23.841,90.974,-1476.027,OK,-34.707,160.261,-1509.426,OK,69.373,166.401,-1494.005,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764580232,1779968603.868761046,1,OK,0.8695880,0.2567404,-0.2938356,-0.3025916,-213.235,66.432,-1513.545,0.5082136,3,OK,-212.963,65.783,-1513.535,OK,-220.856,161.329,-1484.185,OK,-273.321,129.897,-1546.600
3,Port 0x01: JJH Probe  s/n:3E4C880C,764580235,1779968603.918761046,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764580235,1779968603.918761046,1,OK,0.4948516,-0.0119031,-0.1793324,-0.8501883,23.662,91.228,-1476.198,0.2206817,3,OK,23.760,90.975,-1476.095,OK,-34.803,160.266,-1509.401,OK,69.285,166.409,-1493.984,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764580235,1779968603.918761046,1,OK,0.8698724,0.2560210,-0.2937178,-0.3024980,-213.333,66.442,-1513.481,0.5348225,3,OK,-213.048,65.785,-1513.461,OK,-220.979,161.343,-1484.308,OK,-273.407,129.908,-1546.526
3,Port 0x01: JJH Probe  s/n:3E4C880C,764580238,1779968603.968761046,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764580238,1779968603.968761046,1,OK,0.4947222,-0.0122081,-0.1799669,-0.8501252,23.650,91.236,-1476.079,0.2395879,3,OK,23.749,90.957,-1475.967,OK,-34.789,160.256,-1509.393,OK,69.290,166.395,-1493.969,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764580238,1779968603.968761046,1,OK,0.8697459,0.2562446,-0.2938269,-0.3025666,-213.326,66.424,-1513.477,0.5215975,3,OK,-213.049,65.773,-1513.463,OK,-220.953,161.327,-1484.244,OK,-273.390,129.892,-1546.534
3,Port 0x01: JJH Probe  s/n:3E4C880C,764580241,1779968604.018761046,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764580241,1779968604.018761046,1,OK,0.4947277,-0.0120472,-0.1799684,-0.8501239,23.750,91.240,-1476.103,0.2365589,3,OK,23.859,90.968,-1475.992,OK,-34.696,160.264,-1509.425,OK,69.392,166.394,-1493.965,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764580241,1779968604.018761046,1,OK,0.8698009,0.2561805,-0.2936915,-0.3025941,-213.228,66.429,-1513.528,0.5170289,3,OK,-212.950,65.783,-1513.511,OK,-220.842,161.330,-1484.292,OK,-273.308,129.892,-1546.574
3,Port 0x01: JJH Probe  s/n:3E4C880C,764580244,1779968604.068761046,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764580244,1779968604.068761046,1,OK,0.4946848,-0.0116171,-0.1799509,-0.8501586,23.637,91.231,-1476.083,0.2363126,3,OK,23.752,90.961,-1475.973,OK,-34.798,160.271,-1509.419,OK,69.291,166.390,-1493.875,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764580244,1779968604.068761046,1,OK,0.8697235,0.2563382,-0.2938619,-0.3025177,-213.326,66.431,-1513.474,0.5160869,3,OK,-213.039,65.787,-1513.448,OK,-220.953,161.319,-1484.221,OK,-273.416,129.901,-1546.555
3,Port 0x01: JJH Probe  s/n:3E4C880C,764580247,1779968604.118761046,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764580247,1779968604.118761046,1,OK,0.4947489,-0.0123381,-0.1801394,-0.8500712,23.666,91.253,-1476.082,0.2492595,3,OK,23.776,90.964,-1475.965,OK,-34.785,160.266,-1509.427,OK,69.298,166.405,-1494.008,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764580247,1779968604.118761046,1,OK,0.8698149,0.2563750,-0.2934867,-0.3025878,-213.303,66.434,-1513.516,0.5259774,3,OK,-213.032,65.779,-1513.508,OK,-220.948,161.328,-1484.247,OK,-273.387,129.899,-1546.499
3,Port 0x01: JJH Probe  s/n:3E4C880C,764580250,1779968604.168761046,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764580250,1779968604.168761046,1,OK,0.4948209,-0.0115763,-0.1792120,-0.8502361,23.742,91.194,-1476.214,0.2213569,3,OK,23.843,90.943,-1476.112,OK,-34.706,160.251,-1509.406,OK,69.368,166.383,-1493.938,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764580250,1779968604.168761046,1,OK,0.8697953,0.2562291,-0.2936601,-0.3025995,-213.248,66.416,-1513.559,0.5256867,3,OK,-212.972,65.761,-1513.547,OK,-220.874,161.321,-1484.319,OK,-273.320,129.884,-1546.584
3,Port 0x01: JJH Probe  s/n:3E4C880C,764580253,1779968604.218761046,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764580253,1779968604.218761046,1,OK,0.4948047,-0.0116982,-0.1795094,-0.8501811,23.657,91.218,-1476.165,0.2251478,3,OK,23.758,90.959,-1476.059,OK,-34.796,160.259,-1509.410,OK,69.293,166.401,-1493.934,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764580253,1779968604.218761046,1,OK,0.8697767,0.2561709,-0.2937160,-0.3026480,-213.346,66.425,-1513.553,0.5218908,3,OK,-213.069,65.776,-1513.538,OK,-220.957,161.327,-1484.324,OK,-273.411,129.901,-1546.591
3,Port 0x01: JJH Probe  s/n:3E4C880C,764580256,1779968604.268761046,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764580256,1779968604.268761046,1,OK,0.4947358,-0.0121803,-0.1799799,-0.8501149,23.668,91.223,-1476.094,0.2409307,3,OK,23.775,90.947,-1475.982,OK,-34.774,160.245,-1509.413,OK,69.300,166.377,-1493.980,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764580256,1779968604.268761046,1,OK,0.8698194,0.2559541,-0.2939026,-0.3025277,-213.308,66.413,-1513.444,0.5308598,3,OK,-213.014,65.761,-1513.413,OK,-220.930,161.312,-1484.283,OK,-273.379,129.891,-1546.536
3,Port 0x01: JJH Probe  s/n:3E4C880C,764580259,1779968604.318761046,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764580259,1779968604.318761046,1,OK,0.4948075,-0.0119442,-0.1794211,-0.8501946,23.705,91.211,-1476.184,0.2181929,3,OK,23.795,90.958,-1476.083,OK,-34.747,160.244,-1509.401,OK,69.339,166.391,-1493.984,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764580259,1779968604.318761046,1,OK,0.8698286,0.2564505,-0.2933162,-0.3026499,-213.278,66.426,-1513.607,0.5227271,3,OK,-213.021,65.776,-1513.612,OK,-220.923,161.322,-1484.313,OK,-273.352,129.884,-1546.540
