Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,764793634,1779972160.568786408,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764793634,1779972160.568786408,1,OK,0.4691729,0.1400703,0.1036516,-0.8657444,45.560,73.056,-1375.698,0.2482864,3,OK,45.430,72.789,-1375.807,OK,-12.196,148.395,-1359.693,OK,92.398,143.573,-1345.113,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764793634,1779972160.568786408,1,OK,0.8827729,0.2473509,-0.2418154,-0.3178913,-200.854,64.525,-1499.629,0.4847905,3,OK,-200.648,63.899,-1499.704,OK,-205.299,158.925,-1467.927,OK,-264.290,128.266,-1524.636
3,Port 0x01: JJH Probe  s/n:3E4C880C,764793637,1779972160.618786409,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764793637,1779972160.618786409,1,OK,0.4692272,0.1398186,0.1036559,-0.8657552,45.575,73.038,-1375.638,0.2455615,3,OK,45.448,72.773,-1375.745,OK,-12.189,148.373,-1359.627,OK,92.419,143.565,-1345.090,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764793637,1779972160.618786409,1,OK,0.8828671,0.2468533,-0.2421638,-0.3177511,-200.841,64.507,-1499.526,0.4867382,3,OK,-200.618,63.883,-1499.586,OK,-205.293,158.923,-1467.954,OK,-264.273,128.246,-1524.631
3,Port 0x01: JJH Probe  s/n:3E4C880C,764793640,1779972160.668786409,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764793640,1779972160.668786409,1,OK,0.4691981,0.1396063,0.1039878,-0.8657654,45.565,73.073,-1375.743,0.2380930,3,OK,45.442,72.817,-1375.847,OK,-12.192,148.397,-1359.664,OK,92.419,143.586,-1345.204,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764793640,1779972160.668786409,1,OK,0.8827725,0.2471694,-0.2421553,-0.3177749,-200.834,64.528,-1499.569,0.4869049,3,OK,-200.611,63.899,-1499.632,OK,-205.288,158.933,-1467.929,OK,-264.274,128.274,-1524.659
3,Port 0x01: JJH Probe  s/n:3E4C880C,764793643,1779972160.718786409,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764793643,1779972160.718786409,1,OK,0.4691934,0.1399023,0.1038115,-0.8657414,45.552,73.055,-1375.682,0.2464026,3,OK,45.424,72.792,-1375.789,OK,-12.211,148.385,-1359.644,OK,92.400,143.571,-1345.109,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764793643,1779972160.718786409,1,OK,0.8827184,0.2473905,-0.2419106,-0.3179393,-200.864,64.524,-1499.646,0.4837335,3,OK,-200.661,63.895,-1499.724,OK,-205.290,158.935,-1467.926,OK,-264.294,128.267,-1524.671
3,Port 0x01: JJH Probe  s/n:3E4C880C,764793646,1779972160.768786409,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764793646,1779972160.768786409,1,OK,0.4691788,0.1400272,0.1038937,-0.8657192,45.581,73.064,-1375.694,0.2491071,3,OK,45.452,72.795,-1375.803,OK,-12.183,148.392,-1359.643,OK,92.423,143.574,-1345.095,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764793646,1779972160.768786409,1,OK,0.8827445,0.2472759,-0.2420340,-0.3178622,-200.827,64.527,-1499.589,0.4824063,3,OK,-200.617,63.902,-1499.660,OK,-205.266,158.933,-1467.910,OK,-264.260,128.270,-1524.646
3,Port 0x01: JJH Probe  s/n:3E4C880C,764793649,1779972160.818786406,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764793649,1779972160.818786406,1,OK,0.4691743,0.1400067,0.1038855,-0.8657259,45.571,73.070,-1375.701,0.2473271,3,OK,45.442,72.804,-1375.809,OK,-12.191,148.397,-1359.651,OK,92.416,143.579,-1345.106,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764793649,1779972160.818786406,1,OK,0.8826366,0.2475013,-0.2421647,-0.3178868,-200.849,64.539,-1499.628,0.4798680,3,OK,-200.646,63.913,-1499.705,OK,-205.280,158.952,-1467.896,OK,-264.274,128.280,-1524.698
3,Port 0x01: JJH Probe  s/n:3E4C880C,764793652,1779972160.868786406,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764793652,1779972160.868786406,1,OK,0.4692293,0.1398215,0.1034149,-0.8657824,45.563,73.054,-1375.649,0.2428848,3,OK,45.433,72.796,-1375.754,OK,-12.196,148.396,-1359.684,OK,92.408,143.588,-1345.121,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764793652,1779972160.868786406,1,OK,0.8828691,0.2469594,-0.2420249,-0.3177689,-200.836,64.535,-1499.579,0.4813984,3,OK,-200.615,63.918,-1499.639,OK,-205.288,158.938,-1467.978,OK,-264.279,128.273,-1524.656
3,Port 0x01: JJH Probe  s/n:3E4C880C,764793655,1779972160.918786406,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764793655,1779972160.918786406,1,OK,0.4691773,0.1401180,0.1036172,-0.8657384,45.573,73.053,-1375.653,0.2446100,3,OK,45.442,72.794,-1375.759,OK,-12.188,148.389,-1359.657,OK,92.413,143.566,-1345.063,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764793655,1779972160.918786406,1,OK,0.8827356,0.2469926,-0.2423840,-0.3178405,-200.849,64.515,-1499.523,0.4814955,3,OK,-200.623,63.891,-1499.582,OK,-205.270,158.931,-1467.916,OK,-264.272,128.270,-1524.666
3,Port 0x01: JJH Probe  s/n:3E4C880C,764793658,1779972160.968786406,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764793658,1779972160.968786406,1,OK,0.4691520,0.1399077,0.1039873,-0.8657418,45.554,73.060,-1375.696,0.2504418,3,OK,45.422,72.791,-1375.805,OK,-12.200,148.386,-1359.624,OK,92.406,143.570,-1345.107,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764793658,1779972160.968786406,1,OK,0.8827660,0.2471466,-0.2420052,-0.3179248,-200.868,64.525,-1499.624,0.4802651,3,OK,-200.657,63.905,-1499.693,OK,-205.292,158.931,-1467.968,OK,-264.292,128.275,-1524.678
3,Port 0x01: JJH Probe  s/n:3E4C880C,764793661,1779972161.018786406,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764793661,1779972161.018786406,1,OK,0.4692049,0.1398064,0.1039049,-0.8657394,45.567,73.057,-1375.696,0.2491260,3,OK,45.435,72.791,-1375.804,OK,-12.196,148.380,-1359.638,OK,92.418,143.577,-1345.128,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764793661,1779972161.018786406,1,OK,0.8827822,0.2470236,-0.2422879,-0.3177601,-200.837,64.529,-1499.574,0.4842138,3,OK,-200.612,63.902,-1499.633,OK,-205.280,158.943,-1467.963,OK,-264.276,128.272,-1524.702
3,Port 0x01: JJH Probe  s/n:3E4C880C,764793664,1779972161.068786406,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764793664,1779972161.068786406,1,OK,0.4691497,0.1401036,0.1041475,-0.8656921,45.573,73.060,-1375.711,0.2498858,3,OK,45.441,72.794,-1375.820,OK,-12.188,148.374,-1359.615,OK,92.418,143.558,-1345.078,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764793664,1779972161.068786406,1,OK,0.8826901,0.2471375,-0.2424275,-0.3178209,-200.845,64.509,-1499.555,0.4836191,3,OK,-200.616,63.881,-1499.612,OK,-205.273,158.922,-1467.920,OK,-264.275,128.268,-1524.701
