Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,764920600,1779974276.668761403,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764920600,1779974276.668761403,1,OK,0.4859352,-0.0250240,-0.1891134,-0.8529226,46.071,85.093,-1478.458,0.2218803,3,OK,46.163,84.842,-1478.350,OK,-11.154,154.444,-1513.114,OK,93.169,158.688,-1498.826,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764920600,1779974276.668761403,1,OK,0.8828447,0.2456282,-0.2438430,-0.3174786,-200.854,64.687,-1499.797,0.5001646,3,OK,-200.604,64.039,-1499.841,OK,-205.270,159.215,-1468.536,OK,-264.213,128.421,-1525.293
3,Port 0x01: JJH Probe  s/n:3E4C880C,764920603,1779974276.718761403,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764920603,1779974276.718761403,1,OK,0.4861072,-0.0246986,-0.1881138,-0.8530550,45.656,85.151,-1478.304,0.1908515,3,OK,45.736,84.942,-1478.214,OK,-11.595,154.533,-1512.777,OK,92.731,158.784,-1498.535,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764920603,1779974276.718761403,1,OK,0.8840055,0.2458342,-0.2430125,-0.3147137,-202.196,64.105,-1499.944,0.4964153,3,OK,-201.944,63.465,-1499.987,OK,-207.176,158.632,-1468.781,OK,-265.954,127.421,-1525.468
3,Port 0x01: JJH Probe  s/n:3E4C880C,764920606,1779974276.768761403,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764920606,1779974276.768761403,1,OK,0.4860765,-0.0241138,-0.1874885,-0.8532269,45.451,85.206,-1477.872,0.2045416,3,OK,45.548,84.984,-1477.775,OK,-11.795,154.665,-1512.259,OK,92.531,158.868,-1497.958,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764920606,1779974276.768761403,1,OK,0.8864154,0.2456786,-0.2401402,-0.3102298,-204.024,63.068,-1500.258,0.5063659,3,OK,-203.789,62.430,-1500.319,OK,-209.940,157.594,-1469.279,OK,-268.496,125.646,-1525.578
3,Port 0x01: JJH Probe  s/n:3E4C880C,764920609,1779974276.818761403,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764920609,1779974276.818761403,1,OK,0.4860464,-0.0233811,-0.1862750,-0.8535302,45.264,85.317,-1477.281,0.2204873,3,OK,45.364,85.072,-1477.176,OK,-11.969,154.895,-1511.477,OK,92.352,159.041,-1497.153,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764920609,1779974276.818761403,1,OK,0.8877084,0.2444449,-0.2361973,-0.3105339,-205.016,62.908,-1499.464,0.4882857,3,OK,-204.765,62.291,-1499.509,OK,-210.796,157.407,-1468.449,OK,-269.842,125.381,-1524.276
3,Port 0x01: JJH Probe  s/n:3E4C880C,764920612,1779974276.868761403,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764920612,1779974276.868761403,1,OK,0.4863092,-0.0218629,-0.1831279,-0.8541016,44.941,85.415,-1476.624,0.2005173,3,OK,45.027,85.193,-1476.531,OK,-12.325,155.195,-1510.288,OK,92.003,159.289,-1495.997,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764920612,1779974276.868761403,1,OK,0.8898787,0.2431179,-0.2268292,-0.3123429,-206.524,62.751,-1497.961,0.4789470,3,OK,-206.315,62.133,-1498.043,OK,-211.874,157.193,-1466.494,OK,-271.927,125.112,-1521.315
3,Port 0x01: JJH Probe  s/n:3E4C880C,764920615,1779974276.918761403,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764920615,1779974276.918761403,1,OK,0.4862703,-0.0191268,-0.1793729,-0.8549858,44.813,85.799,-1475.374,0.2026277,3,OK,44.909,85.578,-1475.283,OK,-12.418,155.905,-1508.446,OK,91.900,159.841,-1494.000,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764920615,1779974276.918761403,1,OK,0.8933442,0.2392847,-0.2116309,-0.3160559,-208.289,62.896,-1495.156,0.4686946,3,OK,-208.097,62.293,-1495.252,OK,-212.712,157.249,-1463.275,OK,-274.481,125.222,-1516.179
3,Port 0x01: JJH Probe  s/n:3E4C880C,764920618,1779974276.968761402,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764920618,1779974276.968761402,1,OK,0.4864367,-0.0164074,-0.1736563,-0.8561271,44.657,86.277,-1473.376,0.2106415,3,OK,44.726,86.030,-1473.284,OK,-12.583,156.798,-1505.487,OK,91.740,160.580,-1491.103,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764920618,1779974276.968761402,1,OK,0.8974581,0.2337409,-0.1916625,-0.3212470,-210.373,63.061,-1491.093,0.4656925,3,OK,-210.186,62.467,-1491.194,OK,-213.468,157.300,-1458.785,OK,-277.432,125.416,-1509.028
3,Port 0x01: JJH Probe  s/n:3E4C880C,764920621,1779974277.018761402,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764920621,1779974277.018761402,1,OK,0.4868456,-0.0116524,-0.1660969,-0.8574715,44.157,86.773,-1470.684,0.2073819,3,OK,44.221,86.525,-1470.597,OK,-13.118,157.813,-1501.556,OK,91.200,161.424,-1487.034,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764920621,1779974277.018761402,1,OK,0.9018022,0.2277366,-0.1672263,-0.3269926,-212.961,63.078,-1486.468,0.4491234,3,OK,-212.811,62.503,-1486.594,OK,-214.482,157.172,-1453.538,OK,-280.945,125.364,-1500.579
3,Port 0x01: JJH Probe  s/n:3E4C880C,764920624,1779974277.068761402,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764920624,1779974277.068761402,1,OK,0.4871586,-0.0050619,-0.1559430,-0.8592628,43.729,87.200,-1467.394,0.1996926,3,OK,43.802,86.968,-1467.316,OK,-13.559,158.928,-1496.598,OK,90.727,162.246,-1481.847,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764920624,1779974277.068761402,1,OK,0.9058514,0.2202313,-0.1405619,-0.3334274,-215.428,63.063,-1480.683,0.4220541,3,OK,-215.286,62.514,-1480.811,OK,-215.068,157.012,-1447.303,OK,-284.188,125.331,-1490.644
3,Port 0x01: JJH Probe  s/n:3E4C880C,764920627,1779974277.118761402,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764920627,1779974277.118761402,1,OK,0.4873645,0.0004130,-0.1453798,-0.8610112,43.307,87.744,-1463.604,0.2092732,3,OK,43.348,87.485,-1463.530,OK,-14.009,160.129,-1491.018,OK,90.289,163.165,-1476.301,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764920627,1779974277.118761402,1,OK,0.9095170,0.2123447,-0.1109180,-0.3396847,-217.617,63.184,-1474.600,0.4057938,3,OK,-217.499,62.658,-1474.739,OK,-215.318,156.946,-1440.770,OK,-286.973,125.340,-1479.880
