Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,764907820,1779974063.668780087,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764907820,1779974063.668780087,1,OK,0.4618058,0.0991672,0.0343985,-0.8807486,51.513,74.816,-1402.062,0.1363705,3,OK,51.420,74.675,-1402.098,OK,-3.132,153.874,-1397.745,OK,101.233,147.333,-1383.512,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764907820,1779974063.668780087,1,OK,0.8828905,0.2461808,-0.2428615,-0.3176754,-201.150,64.600,-1500.095,0.4955710,3,OK,-200.918,63.964,-1500.151,OK,-205.582,159.071,-1468.688,OK,-264.534,128.341,-1525.361
3,Port 0x01: JJH Probe  s/n:3E4C880C,764907823,1779974063.718780087,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764907823,1779974063.718780087,1,OK,0.4617858,0.0991352,0.0345325,-0.8807574,51.477,74.825,-1402.121,0.1400005,3,OK,51.383,74.678,-1402.157,OK,-3.168,153.885,-1397.777,OK,101.205,147.341,-1383.563,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764907823,1779974063.718780087,1,OK,0.8828883,0.2459567,-0.2431749,-0.3176155,-201.193,64.594,-1500.029,0.4927508,3,OK,-200.947,63.964,-1500.073,OK,-205.617,159.069,-1468.684,OK,-264.577,128.341,-1525.375
3,Port 0x01: JJH Probe  s/n:3E4C880C,764907826,1779974063.768780087,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764907826,1779974063.768780087,1,OK,0.4617706,0.0996186,0.0345572,-0.8807099,51.510,74.834,-1402.129,0.1450752,3,OK,51.413,74.680,-1402.167,OK,-3.142,153.894,-1397.792,OK,101.229,147.345,-1383.492,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764907826,1779974063.768780087,1,OK,0.8828344,0.2460593,-0.2432102,-0.3176588,-201.161,64.605,-1500.015,0.4885694,3,OK,-200.919,63.976,-1500.060,OK,-205.573,159.080,-1468.641,OK,-264.542,128.354,-1525.362
3,Port 0x01: JJH Probe  s/n:3E4C880C,764907829,1779974063.818780087,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764907829,1779974063.818780087,1,OK,0.4617868,0.0995574,0.0348084,-0.8806984,51.533,74.826,-1402.155,0.1428252,3,OK,51.438,74.675,-1402.192,OK,-3.122,153.878,-1397.769,OK,101.249,147.332,-1383.508,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764907829,1779974063.818780087,1,OK,0.8828559,0.2459205,-0.2432860,-0.3176484,-201.148,64.593,-1500.015,0.4936387,3,OK,-200.901,63.960,-1500.057,OK,-205.560,159.074,-1468.676,OK,-264.523,128.347,-1525.381
3,Port 0x01: JJH Probe  s/n:3E4C880C,764907832,1779974063.868780087,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764907832,1779974063.868780087,1,OK,0.4617503,0.0991299,0.0341147,-0.8807929,51.504,74.808,-1401.997,0.1315464,3,OK,51.412,74.674,-1402.032,OK,-3.129,153.877,-1397.733,OK,101.236,147.320,-1383.477,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764907832,1779974063.868780087,1,OK,0.8827896,0.2461518,-0.2432779,-0.3176598,-201.163,64.608,-1500.049,0.4870280,3,OK,-200.922,63.977,-1500.096,OK,-205.567,159.088,-1468.650,OK,-264.548,128.354,-1525.411
3,Port 0x01: JJH Probe  s/n:3E4C880C,764907835,1779974063.918780087,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764907835,1779974063.918780087,1,OK,0.4617536,0.0992950,0.0348407,-0.8807441,51.535,74.836,-1402.149,0.1444864,3,OK,51.436,74.688,-1402.186,OK,-3.103,153.890,-1397.749,OK,101.260,147.344,-1383.540,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764907835,1779974063.918780087,1,OK,0.8827414,0.2461528,-0.2433516,-0.3177363,-201.130,64.621,-1500.006,0.4850572,3,OK,-200.889,63.994,-1500.051,OK,-205.521,159.095,-1468.610,OK,-264.498,128.382,-1525.373
3,Port 0x01: JJH Probe  s/n:3E4C880C,764907838,1779974063.968780083,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764907838,1779974063.968780083,1,OK,0.4616716,0.0993404,0.0346291,-0.8807904,51.612,74.781,-1402.118,0.1434021,3,OK,51.512,74.634,-1402.156,OK,-3.014,153.848,-1397.759,OK,101.355,147.282,-1383.519,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764907838,1779974063.968780083,1,OK,0.8828151,0.2457581,-0.2432695,-0.3179001,-201.028,64.627,-1499.963,0.5001774,3,OK,-200.772,63.988,-1500.000,OK,-205.387,159.107,-1468.643,OK,-264.378,128.424,-1525.321
3,Port 0x01: JJH Probe  s/n:3E4C880C,764907841,1779974064.018780083,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764907841,1779974064.018780083,1,OK,0.4615857,0.0991248,0.0348463,-0.8808511,51.554,74.669,-1402.070,0.1351327,3,OK,51.457,74.534,-1402.105,OK,-3.057,153.739,-1397.663,OK,101.314,147.151,-1383.489,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764907841,1779974064.018780083,1,OK,0.8831315,0.2460110,-0.2427371,-0.3172317,-201.349,64.432,-1499.979,0.5009249,3,OK,-201.105,63.793,-1500.028,OK,-205.865,158.906,-1468.631,OK,-264.803,128.115,-1525.265
3,Port 0x01: JJH Probe  s/n:3E4C880C,764907844,1779974064.068780083,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764907844,1779974064.068780083,1,OK,0.4619170,0.0990037,0.0341262,-0.8807192,50.864,74.774,-1402.200,0.1337812,3,OK,50.768,74.639,-1402.235,OK,-3.800,153.821,-1397.935,OK,100.577,147.310,-1383.698,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764907844,1779974064.068780083,1,OK,0.8844718,0.2458237,-0.2421563,-0.3140710,-202.854,63.705,-1500.211,0.5138818,3,OK,-202.592,63.060,-1500.250,OK,-208.008,158.196,-1469.086,OK,-266.732,126.936,-1525.608
3,Port 0x01: JJH Probe  s/n:3E4C880C,764907847,1779974064.118780083,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764907847,1779974064.118780083,1,OK,0.4624941,0.0975998,0.0323374,-0.8806406,51.151,75.044,-1402.516,0.1373118,3,OK,51.060,74.900,-1402.551,OK,-3.567,154.071,-1398.566,OK,100.807,147.707,-1384.383,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764907847,1779974064.118780083,1,OK,0.8859521,0.2461824,-0.2391936,-0.3118807,-203.647,62.991,-1499.835,0.4974990,3,OK,-203.407,62.362,-1499.890,OK,-209.254,157.443,-1468.605,OK,-268.031,125.796,-1524.887
