Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,764534683,1779967844.718802182,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764534683,1779967844.718802182,1,OK,0.4435338,0.1769067,0.1759521,-0.8608267,31.962,56.732,-1345.137,0.2657365,3,OK,31.789,56.533,-1345.271,OK,-23.648,129.789,-1316.195,OK,81.005,119.863,-1303.658,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764534683,1779967844.718802182,1,OK,0.8005315,0.0257387,0.4550485,-0.3891242,-182.235,58.373,-1345.092,0.6000828,3,OK,-182.139,57.874,-1345.546,OK,-147.090,149.268,-1326.215,OK,-208.377,114.807,-1275.235
3,Port 0x01: JJH Probe  s/n:3E4C880C,764534686,1779967844.768802182,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764534686,1779967844.768802182,1,OK,0.4434695,0.1771941,0.1762049,-0.8607491,31.968,56.751,-1345.186,0.2681642,3,OK,31.793,56.548,-1345.323,OK,-23.642,129.790,-1316.205,OK,81.001,119.854,-1303.646,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764534686,1779967844.768802182,1,OK,0.8005050,0.0256356,0.4550576,-0.3891749,-182.246,58.371,-1345.094,0.5896695,3,OK,-182.148,57.882,-1345.542,OK,-147.092,149.267,-1326.249,OK,-208.386,114.810,-1275.243
3,Port 0x01: JJH Probe  s/n:3E4C880C,764534689,1779967844.818802182,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764534689,1779967844.818802182,1,OK,0.4435394,0.1771003,0.1757611,-0.8608230,31.981,56.740,-1345.125,0.2574522,3,OK,31.810,56.554,-1345.251,OK,-23.635,129.803,-1316.225,OK,81.010,119.863,-1303.636,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764534689,1779967844.818802182,1,OK,0.8006026,0.0257232,0.4548497,-0.3892116,-182.222,58.375,-1345.092,0.5898522,3,OK,-182.132,57.885,-1345.533,OK,-147.076,149.274,-1326.227,OK,-208.381,114.818,-1275.275
3,Port 0x01: JJH Probe  s/n:3E4C880C,764534692,1779967844.868802183,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764534692,1779967844.868802183,1,OK,0.4434814,0.1773235,0.1764343,-0.8606693,31.971,56.774,-1345.200,0.2730045,3,OK,31.796,56.562,-1345.341,OK,-23.653,129.794,-1316.180,OK,80.996,119.864,-1303.621,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764534692,1779967844.868802183,1,OK,0.8005489,0.0255586,0.4550225,-0.3891308,-182.231,58.367,-1345.062,0.5861821,3,OK,-182.135,57.882,-1345.506,OK,-147.092,149.273,-1326.226,OK,-208.383,114.807,-1275.221
3,Port 0x01: JJH Probe  s/n:3E4C880C,764534695,1779967844.918802182,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764534695,1779967844.918802182,1,OK,0.4435485,0.1770103,0.1761593,-0.8607554,31.977,56.748,-1345.128,0.2616901,3,OK,31.809,56.547,-1345.262,OK,-23.641,129.788,-1316.151,OK,81.004,119.864,-1303.621,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764534695,1779967844.918802182,1,OK,0.8005318,0.0259735,0.4550273,-0.3891327,-182.239,58.390,-1345.117,0.6081095,3,OK,-182.144,57.882,-1345.576,OK,-147.081,149.272,-1326.194,OK,-208.378,114.811,-1275.248
3,Port 0x01: JJH Probe  s/n:3E4C880C,764534698,1779967844.968802182,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764534698,1779967844.968802182,1,OK,0.4435312,0.1770734,0.1758868,-0.8608072,31.981,56.740,-1345.136,0.2628018,3,OK,31.805,56.548,-1345.267,OK,-23.630,129.794,-1316.213,OK,81.013,119.864,-1303.639,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764534698,1779967844.968802182,1,OK,0.8006206,0.0256509,0.4547669,-0.3892760,-182.222,58.363,-1345.057,0.5886463,3,OK,-182.136,57.876,-1345.490,OK,-147.078,149.267,-1326.204,OK,-208.376,114.820,-1275.268
3,Port 0x01: JJH Probe  s/n:3E4C880C,764534701,1779967845.018802182,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764534701,1779967845.018802182,1,OK,0.4435392,0.1769916,0.1756700,-0.8608641,31.947,56.722,-1345.089,0.2535124,3,OK,31.773,56.542,-1345.213,OK,-23.656,129.789,-1316.204,OK,80.977,119.854,-1303.624,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764534701,1779967845.018802182,1,OK,0.8005341,0.0257876,0.4550725,-0.3890876,-182.249,58.375,-1345.112,0.6110436,3,OK,-182.153,57.859,-1345.577,OK,-147.105,149.276,-1326.219,OK,-208.393,114.808,-1275.242
3,Port 0x01: JJH Probe  s/n:3E4C880C,764534704,1779967845.068802182,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764534704,1779967845.068802182,1,OK,0.4435596,0.1768777,0.1759102,-0.8608279,31.977,56.732,-1345.107,0.2558145,3,OK,31.808,56.544,-1345.234,OK,-23.633,129.787,-1316.174,OK,81.012,119.862,-1303.641,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764534704,1779967845.068802182,1,OK,0.8006234,0.0256437,0.4548003,-0.3892315,-182.215,58.367,-1345.079,0.5860345,3,OK,-182.127,57.879,-1345.515,OK,-147.073,149.273,-1326.229,OK,-208.378,114.817,-1275.276
3,Port 0x01: JJH Probe  s/n:3E4C880C,764534707,1779967845.118802182,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764534707,1779967845.118802182,1,OK,0.4435691,0.1767429,0.1756444,-0.8609050,31.978,56.722,-1345.093,0.2513447,3,OK,31.807,56.547,-1345.213,OK,-23.627,129.793,-1316.207,OK,81.023,119.866,-1303.668,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764534707,1779967845.118802182,1,OK,0.8005496,0.0258835,0.4550317,-0.3890970,-182.220,58.380,-1345.110,0.6097115,3,OK,-182.124,57.867,-1345.574,OK,-147.071,149.274,-1326.202,OK,-208.369,114.807,-1275.239
3,Port 0x01: JJH Probe  s/n:3E4C880C,764534710,1779967845.168802182,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764534710,1779967845.168802182,1,OK,0.4435946,0.1767866,0.1753918,-0.8609344,31.956,56.720,-1345.049,0.2430477,3,OK,31.783,56.564,-1345.159,OK,-23.650,129.798,-1316.215,OK,80.994,119.868,-1303.641,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764534710,1779967845.168802182,1,OK,0.8005825,0.0258368,0.4548811,-0.3892086,-182.242,58.381,-1345.086,0.5963476,3,OK,-182.151,57.885,-1345.531,OK,-147.089,149.271,-1326.196,OK,-208.393,114.817,-1275.255
