Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,764404255,1779965670.918774233,1,OK,0.6216008,0.3128941,-0.1914439,-0.6921409,-82.867,-22.536,-1440.487,0.1643236,3,OK,-80.030,97.556,-1418.466,OK,-76.658,197.879,-1398.353,OK,-93.798,239.269,-1407.071,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764404255,1779965670.918774233,1,OK,0.4601582,0.0812282,0.0125608,-0.8840241,53.683,75.825,-1410.475,0.1278030,3,OK,53.629,75.661,-1410.499,OK,-0.253,155.550,-1409.859,OK,104.255,148.762,-1396.537,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764404255,1779965670.918774233,1,OK,0.8829946,0.2471192,-0.2413196,-0.3178325,-200.807,64.931,-1499.972,0.4782829,3,OK,-200.613,64.312,-1500.053,OK,-205.247,159.346,-1468.279,OK,-264.291,128.628,-1524.927
3,Port 0x01: JJH Probe  s/n:3E4C880C,764404258,1779965670.968774233,1,OK,0.6211183,0.3137898,-0.1926878,-0.6918233,-82.850,-22.541,-1440.425,0.1825593,3,OK,-80.005,97.563,-1418.453,OK,-76.590,197.879,-1398.342,OK,-93.721,239.291,-1407.173,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764404258,1779965670.968774233,1,OK,0.4602136,0.0808121,0.0125325,-0.8840338,53.713,75.823,-1410.427,0.1212917,3,OK,53.660,75.669,-1410.449,OK,-0.226,155.540,-1409.807,OK,104.282,148.766,-1396.557,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764404258,1779965670.968774233,1,OK,0.8830975,0.2468844,-0.2411292,-0.3178737,-200.779,64.928,-1499.974,0.4772993,3,OK,-200.593,64.318,-1500.057,OK,-205.218,159.341,-1468.328,OK,-264.248,128.620,-1524.892
3,Port 0x01: JJH Probe  s/n:3E4C880C,764404261,1779965671.018774233,1,OK,0.6213251,0.3133457,-0.1928261,-0.6918003,-82.844,-22.534,-1440.471,0.1823794,3,OK,-79.994,97.588,-1418.606,OK,-76.577,197.929,-1398.586,OK,-93.711,239.323,-1407.443,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764404261,1779965671.018774233,1,OK,0.4601986,0.0808757,0.0127515,-0.8840327,53.707,75.828,-1410.453,0.1231486,3,OK,53.653,75.671,-1410.476,OK,-0.237,155.544,-1409.794,OK,104.283,148.767,-1396.555,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764404261,1779965671.018774233,1,OK,0.8829807,0.2468602,-0.2416905,-0.3177905,-200.796,64.922,-1499.900,0.4811778,3,OK,-200.588,64.298,-1499.972,OK,-205.226,159.351,-1468.277,OK,-264.267,128.629,-1524.940
3,Port 0x01: JJH Probe  s/n:3E4C880C,764404264,1779965671.068774233,1,OK,0.6218011,0.3118368,-0.1923130,-0.6921971,-82.909,-22.562,-1440.338,0.1687588,3,OK,-79.973,97.593,-1418.633,OK,-76.514,197.954,-1398.784,OK,-93.631,239.335,-1407.604,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764404264,1779965671.068774233,1,OK,0.4602177,0.0810474,0.0128332,-0.8840058,53.695,75.826,-1410.450,0.1268275,3,OK,53.639,75.665,-1410.473,OK,-0.249,155.538,-1409.778,OK,104.259,148.768,-1396.517,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764404264,1779965671.068774233,1,OK,0.8830028,0.2468051,-0.2416724,-0.3177858,-200.808,64.921,-1499.915,0.4737150,3,OK,-200.601,64.308,-1499.983,OK,-205.237,159.341,-1468.306,OK,-264.281,128.626,-1524.956
3,Port 0x01: JJH Probe  s/n:3E4C880C,764404267,1779965671.118774233,1,OK,0.6217802,0.3120164,-0.1926589,-0.6920388,-82.864,-22.529,-1440.539,0.1725995,3,OK,-79.951,97.618,-1418.874,OK,-76.490,198.004,-1399.032,OK,-93.628,239.386,-1407.903,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764404267,1779965671.118774233,1,OK,0.4601906,0.0812638,0.0127162,-0.8840017,53.703,75.834,-1410.472,0.1226244,3,OK,53.646,75.680,-1410.495,OK,-0.239,155.546,-1409.828,OK,104.271,148.769,-1396.515,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764404267,1779965671.118774233,1,OK,0.8830974,0.2466654,-0.2414859,-0.3177730,-200.794,64.924,-1499.924,0.4813597,3,OK,-200.587,64.307,-1499.994,OK,-205.237,159.345,-1468.345,OK,-264.266,128.626,-1524.930
3,Port 0x01: JJH Probe  s/n:3E4C880C,764404270,1779965671.168774233,1,OK,0.6218249,0.3118400,-0.1933467,-0.6918863,-82.845,-22.523,-1440.597,0.1838829,3,OK,-79.921,97.661,-1419.083,OK,-76.437,198.060,-1399.355,OK,-93.573,239.427,-1408.304,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764404270,1779965671.168774233,1,OK,0.4602330,0.0811879,0.0127664,-0.8839859,53.712,75.829,-1410.445,0.1247848,3,OK,53.662,75.668,-1410.468,OK,-0.241,155.544,-1409.790,OK,104.270,148.768,-1396.497,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764404270,1779965671.168774233,1,OK,0.8830087,0.2468330,-0.2416210,-0.3177868,-200.798,64.926,-1499.922,0.4777180,3,OK,-200.590,64.309,-1499.991,OK,-205.234,159.344,-1468.309,OK,-264.271,128.633,-1524.948
3,Port 0x01: JJH Probe  s/n:3E4C880C,764404273,1779965671.218774233,1,OK,0.6220440,0.3109794,-0.1935743,-0.6920131,-82.876,-22.546,-1440.460,0.1791473,3,OK,-79.887,97.671,-1419.124,OK,-76.358,198.088,-1399.557,OK,-93.479,239.457,-1408.538,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764404273,1779965671.218774233,1,OK,0.4602054,0.0811547,0.0130303,-0.8839995,53.707,75.829,-1410.495,0.1347556,3,OK,53.649,75.657,-1410.520,OK,-0.243,155.546,-1409.788,OK,104.275,148.772,-1396.528,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764404273,1779965671.218774233,1,OK,0.8829538,0.2470070,-0.2416572,-0.3177767,-200.790,64.921,-1499.912,0.4728665,3,OK,-200.586,64.306,-1499.984,OK,-205.223,159.339,-1468.257,OK,-264.270,128.622,-1524.943
3,Port 0x01: JJH Probe  s/n:3E4C880C,764404276,1779965671.268774233,1,OK,0.6220923,0.3110611,-0.1942310,-0.6917488,-82.848,-22.536,-1440.467,0.1886774,3,OK,-79.887,97.708,-1419.242,OK,-76.368,198.133,-1399.756,OK,-93.497,239.494,-1408.809,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764404276,1779965671.268774233,1,OK,0.4601993,0.0807289,0.0124687,-0.8840498,53.706,75.844,-1410.477,0.1234258,3,OK,53.648,75.689,-1410.500,OK,-0.233,155.559,-1409.868,OK,104.289,148.790,-1396.624,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764404276,1779965671.268774233,1,OK,0.8830532,0.2469149,-0.2414132,-0.3177573,-200.787,64.935,-1499.944,0.4730313,3,OK,-200.587,64.326,-1500.017,OK,-205.236,159.345,-1468.309,OK,-264.270,128.627,-1524.928
3,Port 0x01: JJH Probe  s/n:3E4C880C,764404279,1779965671.318774231,1,OK,0.6218413,0.3114080,-0.1939180,-0.6919063,-82.895,-22.518,-1440.620,0.1762690,3,OK,-79.907,97.689,-1419.264,OK,-76.383,198.119,-1399.679,OK,-93.482,239.482,-1408.671,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764404279,1779965671.318774231,1,OK,0.4602195,0.0809771,0.0126396,-0.8840141,53.700,75.841,-1410.516,0.1223954,3,OK,53.650,75.683,-1410.538,OK,-0.246,155.559,-1409.880,OK,104.264,148.780,-1396.612,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764404279,1779965671.318774231,1,OK,0.8830202,0.2469147,-0.2414704,-0.3178056,-200.800,64.917,-1499.896,0.4820863,3,OK,-200.601,64.295,-1499.975,OK,-205.239,159.342,-1468.256,OK,-264.273,128.617,-1524.887
3,Port 0x01: JJH Probe  s/n:3E4C880C,764404282,1779965671.368774231,1,OK,0.6217819,0.3119029,-0.1942999,-0.6916295,-82.831,-22.528,-1440.549,0.1832792,3,OK,-79.901,97.680,-1419.189,OK,-76.413,198.107,-1399.586,OK,-93.525,239.470,-1408.616,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764404282,1779965671.368774231,1,OK,0.4602095,0.0807605,0.0123569,-0.8840431,53.699,75.845,-1410.573,0.1246282,3,OK,53.649,75.684,-1410.596,OK,-0.240,155.570,-1409.986,OK,104.270,148.792,-1396.726,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764404282,1779965671.368774231,1,OK,0.8829245,0.2471343,-0.2415024,-0.3178766,-200.813,64.923,-1499.983,0.4712364,3,OK,-200.624,64.311,-1500.065,OK,-205.236,159.340,-1468.288,OK,-264.279,128.623,-1524.967
