Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,764375662,1779965194.368793206,1,OK,0.6877179,0.5898411,0.2539605,0.3385789,-98.076,-85.384,-1465.901,0.4376958,3,OK,-176.609,-178.543,-1474.219,OK,-242.511,-256.932,-1478.632,OK,-262.726,-287.981,-1505.543,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764375662,1779965194.368793206,1,OK,0.4611000,0.0594784,-0.0166021,-0.8851969,55.266,77.249,-1420.442,0.1255740,3,OK,55.237,77.079,-1420.450,OK,1.611,157.049,-1424.916,OK,106.189,150.779,-1412.367,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764375662,1779965194.368793206,1,OK,0.8831512,0.2465859,-0.2410003,-0.3180537,-200.434,64.974,-1499.470,0.4781313,3,OK,-200.226,64.354,-1499.541,OK,-204.800,159.398,-1467.843,OK,-263.935,128.691,-1524.408
3,Port 0x01: JJH Probe  s/n:3E4C880C,764375665,1779965194.418793206,1,OK,0.6880000,0.5894710,0.2536072,0.3389149,-97.978,-85.328,-1465.936,0.4297561,3,OK,-176.490,-178.486,-1474.310,OK,-242.398,-256.904,-1478.796,OK,-262.565,-287.941,-1505.686,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764375665,1779965194.418793206,1,OK,0.4610645,0.0596673,-0.0165195,-0.8852042,55.280,77.258,-1420.457,0.1184978,3,OK,55.244,77.100,-1420.465,OK,1.631,157.052,-1424.919,OK,106.212,150.781,-1412.343,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764375665,1779965194.418793206,1,OK,0.8831044,0.2468449,-0.2409431,-0.3180262,-200.408,64.990,-1499.512,0.4736769,3,OK,-200.204,64.374,-1499.584,OK,-204.786,159.402,-1467.830,OK,-263.923,128.701,-1524.431
3,Port 0x01: JJH Probe  s/n:3E4C880C,764375668,1779965194.468793206,1,OK,0.6887812,0.5886997,0.2531316,0.3390244,-98.074,-85.435,-1465.801,0.4082215,3,OK,-176.622,-178.559,-1474.149,OK,-242.558,-256.949,-1478.660,OK,-262.715,-288.027,-1505.488,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764375668,1779965194.468793206,1,OK,0.4611013,0.0596016,-0.0162632,-0.8851942,55.266,77.257,-1420.517,0.1218720,3,OK,55.240,77.092,-1420.525,OK,1.606,157.058,-1424.929,OK,106.183,150.779,-1412.395,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764375668,1779965194.468793206,1,OK,0.8831477,0.2469414,-0.2405781,-0.3181074,-200.427,64.989,-1499.560,0.4790939,3,OK,-200.232,64.367,-1499.642,OK,-204.801,159.400,-1467.836,OK,-263.947,128.696,-1524.400
3,Port 0x01: JJH Probe  s/n:3E4C880C,764375671,1779965194.518793206,1,OK,0.6889722,0.5882343,0.2525696,0.3398623,-98.012,-85.378,-1465.690,0.4124484,3,OK,-176.473,-178.534,-1474.203,OK,-242.368,-256.977,-1478.835,OK,-262.456,-288.089,-1505.739,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764375671,1779965194.518793206,1,OK,0.4610929,0.0599419,-0.0163905,-0.8851732,55.267,77.261,-1420.483,0.1241593,3,OK,55.236,77.093,-1420.491,OK,1.608,157.061,-1424.927,OK,106.185,150.787,-1412.316,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764375671,1779965194.518793206,1,OK,0.8832252,0.2467467,-0.2405152,-0.3180909,-200.422,64.994,-1499.533,0.4821701,3,OK,-200.228,64.374,-1499.616,OK,-204.804,159.408,-1467.856,OK,-263.934,128.699,-1524.365
3,Port 0x01: JJH Probe  s/n:3E4C880C,764375674,1779965194.568793206,1,OK,0.6891544,0.5879382,0.2533822,0.3393999,-97.992,-85.404,-1465.802,0.4131446,3,OK,-176.449,-178.620,-1474.079,OK,-242.306,-257.076,-1478.523,OK,-262.402,-288.202,-1505.322,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764375674,1779965194.568793206,1,OK,0.4610516,0.0597427,-0.0162776,-0.8852103,55.283,77.249,-1420.479,0.1205734,3,OK,55.253,77.086,-1420.487,OK,1.628,157.052,-1424.897,OK,106.214,150.767,-1412.334,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764375674,1779965194.568793206,1,OK,0.8832505,0.2468045,-0.2403912,-0.3180696,-200.388,64.990,-1499.555,0.4904824,3,OK,-200.195,64.361,-1499.641,OK,-204.787,159.404,-1467.866,OK,-263.906,128.693,-1524.357
3,Port 0x01: JJH Probe  s/n:3E4C880C,764375677,1779965194.618793206,1,OK,0.6894646,0.5874208,0.2526422,0.3402165,-98.047,-85.439,-1465.646,0.3981121,3,OK,-176.429,-178.647,-1474.093,OK,-242.276,-257.158,-1478.701,OK,-262.324,-288.328,-1505.551,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764375677,1779965194.618793206,1,OK,0.4610644,0.0597666,-0.0162708,-0.8852021,55.263,77.264,-1420.498,0.1230565,3,OK,55.231,77.098,-1420.507,OK,1.606,157.065,-1424.916,OK,106.194,150.786,-1412.349,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764375677,1779965194.618793206,1,OK,0.8831469,0.2467144,-0.2409432,-0.3180092,-200.423,64.996,-1499.475,0.4706959,3,OK,-200.220,64.386,-1499.545,OK,-204.801,159.409,-1467.822,OK,-263.935,128.702,-1524.399
3,Port 0x01: JJH Probe  s/n:3E4C880C,764375680,1779965194.668793206,1,OK,0.6898345,0.5871071,0.2529649,0.3397682,-98.006,-85.425,-1465.875,0.4035885,3,OK,-176.443,-178.643,-1474.161,OK,-242.300,-257.116,-1478.630,OK,-262.352,-288.284,-1505.406,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764375680,1779965194.668793206,1,OK,0.4610984,0.0594962,-0.0166207,-0.8851961,55.261,77.249,-1420.432,0.1259766,3,OK,55.237,77.076,-1420.439,OK,1.601,157.054,-1424.910,OK,106.185,150.776,-1412.355,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764375680,1779965194.668793206,1,OK,0.8831757,0.2466084,-0.2410124,-0.3179591,-200.427,64.987,-1499.456,0.4741979,3,OK,-200.213,64.373,-1499.520,OK,-204.810,159.401,-1467.833,OK,-263.947,128.696,-1524.404
3,Port 0x01: JJH Probe  s/n:3E4C880C,764375683,1779965194.718793206,1,OK,0.6893961,0.5881013,0.2534370,0.3385845,-98.076,-85.470,-1465.928,0.4433380,3,OK,-176.670,-178.599,-1474.091,OK,-242.629,-256.950,-1478.368,OK,-262.783,-288.072,-1505.209,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764375683,1779965194.718793206,1,OK,0.4611045,0.0595535,-0.0164656,-0.8851920,55.285,77.257,-1420.422,0.1223479,3,OK,55.259,77.091,-1420.430,OK,1.627,157.057,-1424.872,OK,106.204,150.782,-1412.324,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764375683,1779965194.718793206,1,OK,0.8832214,0.2468540,-0.2404464,-0.3180700,-200.395,64.996,-1499.571,0.4896212,3,OK,-200.202,64.367,-1499.657,OK,-204.794,159.409,-1467.874,OK,-263.908,128.699,-1524.379
3,Port 0x01: JJH Probe  s/n:3E4C880C,764375686,1779965194.768793206,1,OK,0.6887781,0.5893564,0.2529308,0.3380383,-98.088,-85.483,-1465.680,0.4268817,3,OK,-176.830,-178.458,-1473.983,OK,-242.921,-256.706,-1478.411,OK,-263.167,-287.736,-1505.278,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764375686,1779965194.768793206,1,OK,0.4610963,0.0596605,-0.0164472,-0.8851894,55.269,77.258,-1420.482,0.1208775,3,OK,55.242,77.093,-1420.490,OK,1.607,157.058,-1424.931,OK,106.193,150.781,-1412.365,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764375686,1779965194.768793206,1,OK,0.8831766,0.2466494,-0.2407976,-0.3180874,-200.434,64.982,-1499.483,0.4779817,3,OK,-200.232,64.366,-1499.557,OK,-204.806,159.398,-1467.838,OK,-263.934,128.698,-1524.372
3,Port 0x01: JJH Probe  s/n:3E4C880C,764375689,1779965194.818793206,1,OK,0.6889873,0.5894906,0.2529833,0.3373378,-98.095,-85.540,-1465.791,0.4063509,3,OK,-176.947,-178.426,-1473.974,OK,-243.129,-256.616,-1478.353,OK,-263.435,-287.621,-1505.125,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,764375689,1779965194.818793206,1,OK,0.4610942,0.0597363,-0.0163648,-0.8851869,55.278,77.258,-1420.478,0.1286245,3,OK,55.246,77.084,-1420.487,OK,1.620,157.059,-1424.912,OK,106.202,150.789,-1412.341,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,764375689,1779965194.818793206,1,OK,0.8831244,0.2466272,-0.2411281,-0.3179992,-200.431,64.984,-1499.468,0.4782745,3,OK,-200.219,64.362,-1499.536,OK,-204.802,159.412,-1467.837,OK,-263.940,128.699,-1524.434
