Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,864051163,1781626452.718587064,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,864051163,1781626452.718587064,1,OK,0.9624632,-0.0868697,-0.0479975,0.2526152,34.823,30.785,-1593.717,0.3258547,3,OK,35.060,30.524,-1593.646,OK,48.020,-62.967,-1578.209,OK,-43.328,-13.639,-1598.102,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,864051163,1781626452.718587064,1,OK,0.6532089,-0.5031648,-0.2081704,0.5261259,-218.117,11.802,-1663.343,0.4768610,3,OK,-218.011,12.104,-1663.459,OK,-277.637,-45.212,-1719.148,OK,-251.647,-72.219,-1638.884
3,Port 0x01: JJH Probe  s/n:3E4C880C,864051166,1781626452.768587064,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,864051166,1781626452.768587064,1,OK,0.9624583,-0.0871794,-0.0475571,0.2526106,34.832,30.765,-1593.796,0.3252002,3,OK,35.070,30.502,-1593.725,OK,48.017,-62.968,-1578.224,OK,-43.314,-13.661,-1598.089,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,864051166,1781626452.768587064,1,OK,0.6532752,-0.5031051,-0.2082390,0.5260734,-218.108,11.787,-1663.318,0.4669173,3,OK,-218.000,12.093,-1663.434,OK,-277.623,-45.218,-1719.122,OK,-251.650,-72.236,-1638.897
3,Port 0x01: JJH Probe  s/n:3E4C880C,864051169,1781626452.818587064,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,864051169,1781626452.818587064,1,OK,0.9624672,-0.0869768,-0.0479455,0.2525732,34.824,30.763,-1593.747,0.3271954,3,OK,35.066,30.502,-1593.676,OK,48.003,-62.981,-1578.221,OK,-43.326,-13.663,-1598.118,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,864051169,1781626452.818587064,1,OK,0.6532455,-0.5031525,-0.2082937,0.5260434,-218.119,11.783,-1663.310,0.4753050,3,OK,-218.006,12.090,-1663.419,OK,-277.634,-45.227,-1719.141,OK,-251.657,-72.240,-1638.882
3,Port 0x01: JJH Probe  s/n:3E4C880C,864051172,1781626452.868587064,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,864051172,1781626452.868587064,1,OK,0.9624690,-0.0866585,-0.0482894,0.2526101,34.820,30.751,-1593.683,0.3323840,3,OK,35.060,30.480,-1593.611,OK,48.008,-62.995,-1578.225,OK,-43.321,-13.680,-1598.128,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,864051172,1781626452.868587064,1,OK,0.6532391,-0.5030701,-0.2081453,0.5261888,-218.112,11.762,-1663.341,0.4640901,3,OK,-218.009,12.065,-1663.464,OK,-277.629,-45.253,-1719.113,OK,-251.642,-72.264,-1638.903
3,Port 0x01: JJH Probe  s/n:3E4C880C,864051175,1781626452.918587064,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,864051175,1781626452.918587064,1,OK,0.9624642,-0.0868644,-0.0479490,0.2526226,34.818,30.727,-1593.748,0.3287505,3,OK,35.060,30.465,-1593.676,OK,48.013,-63.020,-1578.242,OK,-43.332,-13.703,-1598.125,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,864051175,1781626452.918587064,1,OK,0.6531856,-0.5031430,-0.2082776,0.5261331,-218.125,11.729,-1663.363,0.4769786,3,OK,-218.014,12.033,-1663.472,OK,-277.636,-45.293,-1719.187,OK,-251.644,-72.296,-1638.918
3,Port 0x01: JJH Probe  s/n:3E4C880C,864051178,1781626452.968587064,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,864051178,1781626452.968587064,1,OK,0.9624848,-0.0865266,-0.0480207,0.2526462,34.801,30.710,-1593.731,0.3241049,3,OK,35.037,30.446,-1593.660,OK,47.996,-63.044,-1578.291,OK,-43.332,-13.724,-1598.133,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,864051178,1781626452.968587064,1,OK,0.6532521,-0.5030936,-0.2081473,0.5261494,-218.136,11.710,-1663.371,0.4658763,3,OK,-218.034,12.007,-1663.491,OK,-277.656,-45.299,-1719.155,OK,-251.668,-72.310,-1638.929
3,Port 0x01: JJH Probe  s/n:3E4C880C,864051181,1781626453.018587064,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,864051181,1781626453.018587064,1,OK,0.9624779,-0.0866932,-0.0482282,0.2525761,34.812,30.694,-1593.702,0.3318658,3,OK,35.054,30.425,-1593.629,OK,47.992,-63.053,-1578.236,OK,-43.334,-13.733,-1598.135,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,864051181,1781626453.018587064,1,OK,0.6532240,-0.5031812,-0.2082568,0.5260572,-218.130,11.701,-1663.381,0.4790648,3,OK,-218.021,12.000,-1663.489,OK,-277.650,-45.310,-1719.216,OK,-251.662,-72.317,-1638.934
3,Port 0x01: JJH Probe  s/n:3E4C880C,864051184,1781626453.068587064,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,864051184,1781626453.068587064,1,OK,0.9624755,-0.0868977,-0.0479631,0.2525653,34.821,30.678,-1593.778,0.3261231,3,OK,35.059,30.416,-1593.706,OK,48.001,-63.069,-1578.266,OK,-43.329,-13.742,-1598.155,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,864051184,1781626453.068587064,1,OK,0.6531804,-0.5031424,-0.2082107,0.5261666,-218.129,11.687,-1663.410,0.4681994,3,OK,-218.020,11.998,-1663.529,OK,-277.635,-45.341,-1719.195,OK,-251.659,-72.341,-1638.971
3,Port 0x01: JJH Probe  s/n:3E4C880C,864051187,1781626453.118587064,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,864051187,1781626453.118587064,1,OK,0.9624888,-0.0867061,-0.0480394,0.2525662,34.824,30.659,-1593.769,0.3268028,3,OK,35.066,30.400,-1593.698,OK,48.005,-63.095,-1578.296,OK,-43.327,-13.764,-1598.169,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,864051187,1781626453.118587064,1,OK,0.6531197,-0.5032588,-0.2083128,0.5260904,-218.133,11.668,-1663.384,0.4860133,3,OK,-218.023,11.969,-1663.492,OK,-277.637,-45.360,-1719.228,OK,-251.652,-72.356,-1638.920
3,Port 0x01: JJH Probe  s/n:3E4C880C,864051190,1781626453.168587063,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,864051190,1781626453.168587063,1,OK,0.9624759,-0.0867521,-0.0480690,0.2525939,34.806,30.644,-1593.772,0.3272698,3,OK,35.047,30.383,-1593.700,OK,47.993,-63.109,-1578.290,OK,-43.343,-13.783,-1598.174,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,864051190,1781626453.168587063,1,OK,0.6531780,-0.5032316,-0.2081363,0.5261139,-218.152,11.663,-1663.430,0.4817775,3,OK,-218.043,11.969,-1663.545,OK,-277.675,-45.357,-1719.234,OK,-251.687,-72.356,-1638.956
