Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,863838487,1781622908.118731877,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863838487,1781622908.118731877,1,OK,0.9690342,0.0823077,-0.0851000,0.2166935,4.355,31.659,-1614.761,0.3360522,3,OK,4.587,31.364,-1614.790,OK,12.740,-62.171,-1632.606,OK,-75.887,-4.823,-1632.804,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863838487,1781622908.118731877,1,OK,0.5762945,0.0171983,0.2158260,0.7880406,-196.522,-12.711,-1509.878,0.5362836,3,OK,-196.541,-12.006,-1510.122,OK,-249.388,-85.910,-1467.912,OK,-165.295,-98.503,-1489.059
3,Port 0x01: JJH Probe  s/n:3E4C880C,863838490,1781622908.168731877,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863838490,1781622908.168731877,1,OK,0.9689841,0.0839848,-0.0845827,0.2164767,4.377,31.720,-1615.025,0.3210281,3,OK,4.579,31.418,-1615.060,OK,12.740,-62.069,-1633.174,OK,-75.880,-4.683,-1633.032,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863838490,1781622908.168731877,1,OK,0.5763304,0.0170952,0.2156471,0.7880656,-196.515,-12.721,-1509.842,0.5357746,3,OK,-196.537,-12.017,-1510.084,OK,-249.397,-85.924,-1467.909,OK,-165.290,-98.519,-1489.026
3,Port 0x01: JJH Probe  s/n:3E4C880C,863838493,1781622908.218731877,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863838493,1781622908.218731877,1,OK,0.9690549,0.0832529,-0.0843917,0.2165169,4.371,31.735,-1615.104,0.3324044,3,OK,4.576,31.419,-1615.141,OK,12.730,-62.070,-1633.108,OK,-75.895,-4.691,-1633.052,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863838493,1781622908.218731877,1,OK,0.5764119,0.0171607,0.2155492,0.7880313,-196.521,-12.716,-1509.842,0.5334563,3,OK,-196.541,-12.014,-1510.084,OK,-249.422,-85.918,-1467.927,OK,-165.315,-98.521,-1489.044
3,Port 0x01: JJH Probe  s/n:3E4C880C,863838496,1781622908.268731877,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863838496,1781622908.268731877,1,OK,0.9690631,0.0823881,-0.0846741,0.2167009,4.349,31.664,-1614.778,0.3323966,3,OK,4.565,31.358,-1614.811,OK,12.740,-62.172,-1632.626,OK,-75.903,-4.809,-1632.746,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863838496,1781622908.268731877,1,OK,0.5763409,0.0172278,0.2157429,0.7880288,-196.538,-12.709,-1509.855,0.5321701,3,OK,-196.558,-12.009,-1510.097,OK,-249.416,-85.906,-1467.905,OK,-165.320,-98.505,-1489.049
3,Port 0x01: JJH Probe  s/n:3E4C880C,863838499,1781622908.318731877,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863838499,1781622908.318731877,1,OK,0.9691277,0.0825926,-0.0839156,0.2166290,4.409,31.682,-1614.913,0.3272969,3,OK,4.610,31.370,-1614.950,OK,12.766,-62.150,-1632.781,OK,-75.854,-4.785,-1632.754,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863838499,1781622908.318731877,1,OK,0.5763103,0.0170863,0.2158064,0.7880369,-196.514,-12.721,-1509.889,0.5391466,3,OK,-196.535,-12.012,-1510.133,OK,-249.393,-85.915,-1467.924,OK,-165.281,-98.516,-1489.055
3,Port 0x01: JJH Probe  s/n:3E4C880C,863838502,1781622908.368731877,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863838502,1781622908.368731877,1,OK,0.9690808,0.0821329,-0.0844821,0.2167932,4.385,31.643,-1614.687,0.3239284,3,OK,4.598,31.347,-1614.719,OK,12.778,-62.207,-1632.483,OK,-75.854,-4.859,-1632.613,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863838502,1781622908.368731877,1,OK,0.5763179,0.0170557,0.2156491,0.7880751,-196.508,-12.705,-1509.851,0.5323203,3,OK,-196.530,-12.005,-1510.092,OK,-249.386,-85.907,-1467.920,OK,-165.283,-98.497,-1489.029
3,Port 0x01: JJH Probe  s/n:3E4C880C,863838505,1781622908.418731877,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863838505,1781622908.418731877,1,OK,0.9690185,0.0830115,-0.0845275,0.2167194,4.351,31.660,-1614.779,0.3202452,3,OK,4.562,31.367,-1614.810,OK,12.738,-62.161,-1632.742,OK,-75.888,-4.814,-1632.745,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863838505,1781622908.418731877,1,OK,0.5763458,0.0171272,0.2156105,0.7880636,-196.532,-12.715,-1509.841,0.5321221,3,OK,-196.552,-12.015,-1510.082,OK,-249.424,-85.919,-1467.913,OK,-165.307,-98.512,-1489.035
3,Port 0x01: JJH Probe  s/n:3E4C880C,863838508,1781622908.468731877,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863838508,1781622908.468731877,1,OK,0.9690745,0.0824264,-0.0846411,0.2166482,4.376,31.692,-1614.925,0.3265403,3,OK,4.589,31.393,-1614.957,OK,12.750,-62.147,-1632.781,OK,-75.874,-4.776,-1632.888,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863838508,1781622908.468731877,1,OK,0.5763829,0.0169881,0.2155462,0.7880571,-196.508,-12.710,-1509.852,0.5344667,3,OK,-196.532,-12.007,-1510.093,OK,-249.405,-85.909,-1467.939,OK,-165.295,-98.510,-1489.028
3,Port 0x01: JJH Probe  s/n:3E4C880C,863838511,1781622908.518731877,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863838511,1781622908.518731877,1,OK,0.9689832,0.0837904,-0.0846770,0.2165189,4.390,31.698,-1614.943,0.3160881,3,OK,4.597,31.408,-1614.975,OK,12.755,-62.103,-1633.059,OK,-75.861,-4.721,-1632.961,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863838511,1781622908.518731877,1,OK,0.5763699,0.0172205,0.2155523,0.7880599,-196.504,-12.712,-1509.827,0.5306256,3,OK,-196.527,-12.015,-1510.066,OK,-249.392,-85.916,-1467.913,OK,-165.287,-98.517,-1489.038
3,Port 0x01: JJH Probe  s/n:3E4C880C,863838514,1781622908.568731877,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863838514,1781622908.568731877,1,OK,0.9690413,0.0828958,-0.0846291,0.2166221,4.350,31.686,-1614.907,0.3170981,3,OK,4.565,31.403,-1614.936,OK,12.718,-62.146,-1632.854,OK,-75.896,-4.776,-1632.886,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863838514,1781622908.568731877,1,OK,0.5763356,0.0170996,0.2156517,0.7880604,-196.551,-12.722,-1509.887,0.5301015,3,OK,-196.576,-12.026,-1510.126,OK,-249.434,-85.919,-1467.956,OK,-165.325,-98.519,-1489.072
