Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,863839504,1781622925.068731875,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863839504,1781622925.068731875,1,OK,0.9680442,0.0951690,-0.0874048,0.2149270,4.056,32.191,-1616.535,0.3297589,3,OK,4.266,31.884,-1616.577,OK,12.314,-61.148,-1636.859,OK,-76.238,-3.694,-1635.429,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863839504,1781622925.068731875,1,OK,0.5772871,0.0152414,0.2139346,0.7878701,-197.261,-13.089,-1509.447,0.5418697,3,OK,-197.279,-12.376,-1509.693,OK,-250.441,-86.262,-1467.826,OK,-166.232,-98.930,-1488.503
3,Port 0x01: JJH Probe  s/n:3E4C880C,863839507,1781622925.118731875,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863839507,1781622925.118731875,1,OK,0.9681471,0.0946180,-0.0867021,0.2149915,4.073,32.157,-1616.452,0.3265121,3,OK,4.272,31.844,-1616.498,OK,12.317,-61.208,-1636.655,OK,-76.224,-3.760,-1635.203,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863839507,1781622925.118731875,1,OK,0.5773355,0.0151913,0.2137532,0.7878849,-197.251,-13.088,-1509.437,0.5390959,3,OK,-197.268,-12.378,-1509.681,OK,-250.443,-86.269,-1467.849,OK,-166.236,-98.932,-1488.502
3,Port 0x01: JJH Probe  s/n:3E4C880C,863839510,1781622925.168731875,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863839510,1781622925.168731875,1,OK,0.9680956,0.0942600,-0.0872319,0.2151662,4.041,32.110,-1616.323,0.3236163,3,OK,4.253,31.815,-1616.362,OK,12.315,-61.265,-1636.473,OK,-76.227,-3.847,-1635.158,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863839510,1781622925.168731875,1,OK,0.5772885,0.0151694,0.2139105,0.7878770,-197.270,-13.098,-1509.429,0.5390459,3,OK,-197.288,-12.389,-1509.673,OK,-250.447,-86.271,-1467.814,OK,-166.247,-98.934,-1488.476
3,Port 0x01: JJH Probe  s/n:3E4C880C,863839513,1781622925.218731875,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863839513,1781622925.218731875,1,OK,0.9681416,0.0940288,-0.0868635,0.2152095,4.073,32.085,-1616.188,0.3267289,3,OK,4.282,31.782,-1616.229,OK,12.355,-61.303,-1636.283,OK,-76.212,-3.882,-1634.950,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863839513,1781622925.218731875,1,OK,0.5773203,0.0154626,0.2136426,0.7879207,-197.247,-13.077,-1509.409,0.5284194,3,OK,-197.265,-12.381,-1509.648,OK,-250.434,-86.269,-1467.844,OK,-166.226,-98.925,-1488.532
3,Port 0x01: JJH Probe  s/n:3E4C880C,863839516,1781622925.268731875,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863839516,1781622925.268731875,1,OK,0.9682217,0.0933584,-0.0866748,0.2152173,4.082,32.083,-1616.229,0.3341185,3,OK,4.285,31.763,-1616.274,OK,12.357,-61.325,-1636.192,OK,-76.208,-3.895,-1634.932,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863839516,1781622925.268731875,1,OK,0.5773187,0.0152203,0.2136228,0.7879320,-197.243,-13.073,-1509.393,0.5304691,3,OK,-197.267,-12.376,-1509.631,OK,-250.430,-86.258,-1467.835,OK,-166.224,-98.919,-1488.479
3,Port 0x01: JJH Probe  s/n:3E4C880C,863839519,1781622925.318731875,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863839519,1781622925.318731875,1,OK,0.9682448,0.0932181,-0.0863456,0.2153063,4.081,32.071,-1616.239,0.3215613,3,OK,4.276,31.764,-1616.283,OK,12.359,-61.354,-1636.169,OK,-76.199,-3.932,-1634.880,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863839519,1781622925.318731875,1,OK,0.5773461,0.0153588,0.2135450,0.7879302,-197.244,-13.079,-1509.399,0.5306351,3,OK,-197.267,-12.381,-1509.637,OK,-250.438,-86.270,-1467.855,OK,-166.227,-98.934,-1488.514
3,Port 0x01: JJH Probe  s/n:3E4C880C,863839522,1781622925.368731875,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863839522,1781622925.368731875,1,OK,0.9682180,0.0932207,-0.0867519,0.2152623,4.089,32.066,-1616.177,0.3312739,3,OK,4.303,31.761,-1616.217,OK,12.371,-61.353,-1636.117,OK,-76.202,-3.929,-1634.891,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863839522,1781622925.368731875,1,OK,0.5773097,0.0151548,0.2137610,0.7879023,-197.237,-13.083,-1509.415,0.5372325,3,OK,-197.254,-12.376,-1509.659,OK,-250.425,-86.265,-1467.827,OK,-166.217,-98.922,-1488.476
3,Port 0x01: JJH Probe  s/n:3E4C880C,863839525,1781622925.418731875,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863839525,1781622925.418731875,1,OK,0.9682857,0.0927125,-0.0863106,0.2153547,4.056,32.074,-1616.230,0.3305581,3,OK,4.260,31.760,-1616.273,OK,12.341,-61.365,-1636.062,OK,-76.232,-3.948,-1634.848,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863839525,1781622925.418731875,1,OK,0.5773213,0.0153581,0.2138154,0.7878751,-197.263,-13.081,-1509.403,0.5283820,3,OK,-197.280,-12.385,-1509.642,OK,-250.447,-86.257,-1467.806,OK,-166.245,-98.920,-1488.491
3,Port 0x01: JJH Probe  s/n:3E4C880C,863839528,1781622925.468731875,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863839528,1781622925.468731875,1,OK,0.9682615,0.0928437,-0.0865335,0.2153175,4.070,32.057,-1616.163,0.3265365,3,OK,4.275,31.751,-1616.204,OK,12.353,-61.381,-1636.027,OK,-76.216,-3.954,-1634.824,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863839528,1781622925.468731875,1,OK,0.5773578,0.0152851,0.2135149,0.7879313,-197.241,-13.078,-1509.381,0.5294555,3,OK,-197.262,-12.381,-1509.619,OK,-250.440,-86.270,-1467.841,OK,-166.230,-98.928,-1488.488
3,Port 0x01: JJH Probe  s/n:3E4C880C,863839531,1781622925.518731875,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863839531,1781622925.518731875,1,OK,0.9682436,0.0930731,-0.0865481,0.2152931,4.093,32.048,-1616.140,0.3231001,3,OK,4.294,31.744,-1616.182,OK,12.372,-61.383,-1636.049,OK,-76.189,-3.954,-1634.812,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863839531,1781622925.518731875,1,OK,0.5773252,0.0150150,0.2135707,0.7879453,-197.232,-13.080,-1509.431,0.5348192,3,OK,-197.254,-12.378,-1509.671,OK,-250.424,-86.268,-1467.882,OK,-166.217,-98.922,-1488.490
