Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,863835997,1781622866.618701124,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863835997,1781622866.618701124,1,OK,0.9478353,0.1318835,-0.1137427,0.2669788,19.862,54.602,-1633.939,0.3195753,3,OK,20.101,54.335,-1633.990,OK,39.461,-35.384,-1660.677,OK,-54.972,11.823,-1659.658,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863835997,1781622866.618701124,1,OK,0.6302304,-0.1228226,0.1147471,0.7579956,-222.333,-3.511,-1551.223,0.5096461,3,OK,-222.208,-2.851,-1551.448,OK,-291.305,-72.274,-1530.301,OK,-206.003,-90.348,-1520.245
3,Port 0x01: JJH Probe  s/n:3E4C880C,863836000,1781622866.668701124,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863836000,1781622866.668701124,1,OK,0.9479230,0.1316149,-0.1132555,0.2670069,19.846,54.626,-1633.963,0.3148385,3,OK,20.075,54.355,-1634.017,OK,39.426,-35.379,-1660.646,OK,-54.990,11.825,-1659.585,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863836000,1781622866.668701124,1,OK,0.6302189,-0.1226933,0.1148669,0.7580080,-222.371,-3.481,-1551.211,0.5166053,3,OK,-222.244,-2.811,-1551.438,OK,-291.340,-72.245,-1530.261,OK,-206.033,-90.322,-1520.235
3,Port 0x01: JJH Probe  s/n:3E4C880C,863836003,1781622866.718701124,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863836003,1781622866.718701124,1,OK,0.9479107,0.1311463,-0.1136460,0.2671154,19.813,54.614,-1633.924,0.3190930,3,OK,20.049,54.345,-1633.976,OK,39.414,-35.404,-1660.523,OK,-54.997,11.788,-1659.595,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863836003,1781622866.718701124,1,OK,0.6302532,-0.1226997,0.1151462,0.7579361,-222.380,-3.512,-1551.247,0.5224172,3,OK,-222.250,-2.834,-1551.478,OK,-291.354,-72.258,-1530.243,OK,-206.057,-90.346,-1520.237
3,Port 0x01: JJH Probe  s/n:3E4C880C,863836006,1781622866.768701124,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863836006,1781622866.768701124,1,OK,0.9480017,0.1308111,-0.1132448,0.2671269,19.882,54.630,-1633.965,0.3202159,3,OK,20.107,54.345,-1634.024,OK,39.475,-35.408,-1660.495,OK,-54.939,11.794,-1659.549,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863836006,1781622866.768701124,1,OK,0.6302764,-0.1226670,0.1148777,0.7579628,-222.330,-3.489,-1551.215,0.5212412,3,OK,-222.198,-2.812,-1551.445,OK,-291.303,-72.251,-1530.263,OK,-206.015,-90.333,-1520.242
3,Port 0x01: JJH Probe  s/n:3E4C880C,863836009,1781622866.818701124,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863836009,1781622866.818701124,1,OK,0.9480645,0.1305252,-0.1129189,0.2671820,19.856,54.644,-1633.980,0.3277836,3,OK,20.079,54.346,-1634.043,OK,39.438,-35.398,-1660.448,OK,-54.965,11.782,-1659.496,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863836009,1781622866.818701124,1,OK,0.6302276,-0.1228570,0.1149045,0.7579685,-222.363,-3.497,-1551.228,0.5179621,3,OK,-222.234,-2.825,-1551.457,OK,-291.336,-72.258,-1530.273,OK,-206.041,-90.330,-1520.226
3,Port 0x01: JJH Probe  s/n:3E4C880C,863836012,1781622866.868701124,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863836012,1781622866.868701124,1,OK,0.9479772,0.1309981,-0.1132673,0.2671126,19.851,54.604,-1633.873,0.3211569,3,OK,20.080,54.324,-1633.930,OK,39.446,-35.425,-1660.438,OK,-54.978,11.774,-1659.471,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863836012,1781622866.868701124,1,OK,0.6302652,-0.1226699,0.1149849,0.7579554,-222.363,-3.499,-1551.213,0.5130904,3,OK,-222.240,-2.833,-1551.440,OK,-291.333,-72.246,-1530.243,OK,-206.040,-90.337,-1520.228
3,Port 0x01: JJH Probe  s/n:3E4C880C,863836015,1781622866.918701120,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863836015,1781622866.918701120,1,OK,0.9479508,0.1308151,-0.1136508,0.2671333,19.864,54.595,-1633.918,0.3234067,3,OK,20.099,54.317,-1633.973,OK,39.471,-35.439,-1660.454,OK,-54.951,11.763,-1659.574,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863836015,1781622866.918701120,1,OK,0.6302663,-0.1227335,0.1149293,0.7579526,-222.342,-3.503,-1551.231,0.5192054,3,OK,-222.214,-2.830,-1551.460,OK,-291.318,-72.258,-1530.271,OK,-206.023,-90.344,-1520.242
3,Port 0x01: JJH Probe  s/n:3E4C880C,863836018,1781622866.968701120,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863836018,1781622866.968701120,1,OK,0.9478629,0.1313508,-0.1137066,0.2671587,19.841,54.592,-1633.829,0.3101155,3,OK,20.077,54.338,-1633.876,OK,39.464,-35.429,-1660.469,OK,-54.973,11.768,-1659.521,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863836018,1781622866.968701120,1,OK,0.6302699,-0.1227610,0.1149884,0.7579362,-222.366,-3.486,-1551.237,0.5188582,3,OK,-222.236,-2.813,-1551.466,OK,-291.345,-72.237,-1530.266,OK,-206.048,-90.322,-1520.238
3,Port 0x01: JJH Probe  s/n:3E4C880C,863836021,1781622867.018701120,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863836021,1781622867.018701120,1,OK,0.9479267,0.1308197,-0.1135843,0.2672447,19.851,54.585,-1633.889,0.3232226,3,OK,20.090,54.312,-1633.942,OK,39.477,-35.446,-1660.422,OK,-54.959,11.731,-1659.537,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863836021,1781622867.018701120,1,OK,0.6302416,-0.1225612,0.1152196,0.7579569,-222.362,-3.511,-1551.261,0.5234028,3,OK,-222.233,-2.831,-1551.492,OK,-291.326,-72.258,-1530.240,OK,-206.033,-90.348,-1520.262
3,Port 0x01: JJH Probe  s/n:3E4C880C,863836024,1781622867.068701120,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,863836024,1781622867.068701120,1,OK,0.9479006,0.1307871,-0.1139059,0.2672163,19.849,54.607,-1633.836,0.3242404,3,OK,20.099,54.345,-1633.883,OK,39.473,-35.424,-1660.370,OK,-54.955,11.756,-1659.541,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,863836024,1781622867.068701120,1,OK,0.6302782,-0.1224383,0.1149693,0.7579843,-222.343,-3.482,-1551.214,0.5167891,3,OK,-222.211,-2.812,-1551.442,OK,-291.313,-72.243,-1530.240,OK,-206.017,-90.327,-1520.264
